mode,participant,held_out_participant,target,modality,regressor,feature_count_request,feature_count_resolved,fold,training_participants,sample_size,train_size,test_size,rmse,mae,r2,explained_variance
general,COHORT,P42,valence,eeg,knn,10,10,8,P10;P11;P19;P22;P25;P32;P40;P43;P45,1200,1080,120,1.3850838603765052,1.1954545454545455,0.0047989796474317,0.005184827257275315
general,COHORT,P43,valence,eeg,knn,10,10,9,P10;P11;P19;P22;P25;P32;P40;P42;P45,1200,1080,120,1.4291822779026735,1.1106060606060604,-0.19608363067721823,-0.1953093098966867
general,COHORT,P45,valence,eeg,knn,10,10,10,P10;P11;P19;P22;P25;P32;P40;P42;P43,1200,1080,120,1.5537433691894795,1.2977272727272726,-0.13638997695805832,-0.0971732895025843
general,COHORT,P10,valence,eeg,knn,20,20,1,P11;P19;P22;P25;P32;P40;P42;P43;P45,1200,1080,120,2.148755165283048,1.7553030303030301,-0.2915352308467596,-0.055320961335594054
general,COHORT,P11,valence,eeg,knn,20,20,2,P10;P19;P22;P25;P32;P40;P42;P43;P45,1200,1080,120,2.21766635839005,1.9363636363636365,-0.06534440566134836,-0.04424140645552033
general,COHORT,P19,valence,eeg,knn,20,20,3,P10;P11;P22;P25;P32;P40;P42;P43;P45,1200,1080,120,1.7127009590546292,1.3531309317383815,-0.1283300000564087,-0.1282603125005617
general,COHORT,P22,valence,eeg,knn,20,20,4,P10;P11;P19;P25;P32;P40;P42;P43;P45,1200,1080,120,2.2896942425830367,2.0348484848484847,-0.08121671678875253,-0.04383299497769144
general,COHORT,P25,valence,eeg,knn,20,20,5,P10;P11;P19;P22;P32;P40;P42;P43;P45,1200,1080,120,1.9961912769885228,1.7810606060606062,-0.24225122743133953,-0.23382609506234542
general,COHORT,P32,valence,eeg,knn,20,20,6,P10;P11;P19;P22;P25;P40;P42;P43;P45,1200,1080,120,1.6767737617024798,1.3378787878787877,-0.2592644574118361,-0.25926034458781944
general,COHORT,P40,valence,eeg,knn,20,20,7,P10;P11;P19;P22;P25;P32;P42;P43;P45,1200,1080,120,2.2863681547036507,1.9477272727272728,-0.2008758611342425,-0.16536242920676214
general,COHORT,P42,valence,eeg,knn,20,20,8,P10;P11;P19;P22;P25;P32;P40;P43;P45,1200,1080,120,1.3164598308724704,1.1187003114992904,0.10097058962026251,0.10114822102413656
general,COHORT,P43,valence,eeg,knn,20,20,9,P10;P11;P19;P22;P25;P32;P40;P42;P45,1200,1080,120,1.5131881218179777,1.197727272727273,-0.34082515574635774,-0.3380421043645949
general,COHORT,P45,valence,eeg,knn,20,20,10,P10;P11;P19;P22;P25;P32;P40;P42;P43,1200,1080,120,1.4714219804760629,1.2340909090909091,-0.019162174582217917,0.0006786417762904007
general,COHORT,P10,valence,eeg,svr,all,all,1,P11;P19;P22;P25;P32;P40;P42;P43;P45,1200,1080,120,2.0246865666611114,1.6804173394533388,-0.14669519575630074,-8.409333074332892e-07
general,COHORT,P11,valence,eeg,svr,all,all,2,P10;P19;P22;P25;P32;P40;P42;P43;P45,1200,1080,120,2.151363867546115,1.8875369632078105,-0.0025945824717923394,6.77135347793012e-10
general,COHORT,P19,valence,eeg,svr,all,all,3,P10;P11;P22;P25;P32;P40;P42;P43;P45,1200,1080,120,1.619247139238551,1.2541879967789054,-0.00855440458981005,-4.284880723792739e-06
general,COHORT,P22,valence,eeg,svr,all,all,4,P10;P11;P19;P25;P32;P40;P42;P43;P45,1200,1080,120,2.261805085748165,2.0344202701597918,-0.05503804338328089,-3.888625249270916e-05
general,COHORT,P25,valence,eeg,svr,all,all,5,P10;P11;P19;P22;P32;P40;P42;P43;P45,1200,1080,120,1.826667832921016,1.6551066084025843,-0.04021782066481361,-7.098015879303254e-05
general,COHORT,P32,valence,eeg,svr,all,all,6,P10;P11;P19;P22;P25;P40;P42;P43;P45,1200,1080,120,1.5274071899948514,1.2149919253664963,-0.04490707058227561,-0.02117334667232118
general,COHORT,P40,valence,eeg,svr,all,all,7,P10;P11;P19;P22;P25;P32;P42;P43;P45,1200,1080,120,2.1268560674582364,1.829734060047678,-0.039158970969439766,-5.300287972742623e-05
general,COHORT,P42,valence,eeg,svr,all,all,8,P10;P11;P19;P22;P25;P32;P40;P43;P45,1200,1080,120,1.4047443987577606,1.1838532944733255,-0.023654248788312016,-0.0003272234470019786
general,COHORT,P43,valence,eeg,svr,all,all,9,P10;P11;P19;P22;P25;P32;P40;P42;P45,1200,1080,120,1.305730876629036,0.9832997569491286,0.0016251083962829371,0.002623428511504877
general,COHORT,P45,valence,eeg,svr,all,all,10,P10;P11;P19;P22;P25;P32;P40;P42;P43,1200,1080,120,1.4769713296796239,1.2366514884110054,-0.026864046458650703,-0.0042735205430377565
general,COHORT,P10,valence,eeg,svr,5,5,1,P11;P19;P22;P25;P32;P40;P42;P43;P45,1200,1080,120,2.002772499824336,1.677885216623257,-0.12200716173891735,-0.007778897549047148
general,COHORT,P11,valence,eeg,svr,5,5,2,P10;P19;P22;P25;P32;P40;P42;P43;P45,1200,1080,120,2.1485364754793723,1.8879949582787248,3.897037877331755e-05,0.00029751291298629745
general,COHORT,P19,valence,eeg,svr,5,5,3,P10;P11;P22;P25;P32;P40;P42;P43;P45,1200,1080,120,1.6127172218934895,1.237442368901418,-0.00043643723161435055,0.0038510993807449045
general,COHORT,P22,valence,eeg,svr,5,5,4,P10;P11;P19;P25;P32;P40;P42;P43;P45,1200,1080,120,2.2707377466933147,2.038984115541919,-0.06338792915491509,0.003015514159098065
