mode,target,modality,regressor,feature_count_request,feature_count_resolved,feature,selected_folds,outer_folds,selection_frequency,mean_feature_score
individual,arousal,eeg,knn,10,10,eeg_mf_hz__Fz,24,5,0.10434782608695652,1.304191334807583
individual,arousal,eeg,knn,10,10,eeg_mf_hz__Oz,12,5,0.05217391304347826,0.9677919672560519
individual,arousal,eeg,knn,10,10,eeg_mf_hz__PO7,11,5,0.04782608695652174,1.018300809975963
individual,arousal,eeg,knn,10,10,eeg_mf_hz__PO8,31,5,0.13478260869565217,1.6062635750473353
individual,arousal,eeg,knn,10,10,eeg_mf_hz__Pz,12,5,0.05217391304347826,0.9614204983197219
individual,arousal,eeg,knn,10,10,eeg_sd__C3,17,5,0.07391304347826087,1.2181157465013939
individual,arousal,eeg,knn,10,10,eeg_sd__C4,26,5,0.11304347826086956,1.4426250458051195
individual,arousal,eeg,knn,10,10,eeg_sd__Cz,9,5,0.0391304347826087,0.9841031475050623
individual,arousal,eeg,knn,10,10,eeg_sd__Fz,9,5,0.0391304347826087,0.9013691331595624
individual,arousal,eeg,knn,10,10,eeg_sd__Oz,6,5,0.02608695652173913,1.1120311063030386
individual,arousal,eeg,knn,10,10,eeg_sd__PO7,29,5,0.12608695652173912,1.3654009247569179
individual,arousal,eeg,knn,10,10,eeg_sd__PO8,9,5,0.0391304347826087,0.8601873650061131
individual,arousal,eeg,knn,10,10,eeg_sd__Pz,18,5,0.0782608695652174,1.0466066922572672
individual,arousal,eeg,knn,10,10,eeg_se__C3,15,5,0.06521739130434782,0.9651395743084433
individual,arousal,eeg,knn,10,10,eeg_se__C4,19,5,0.08260869565217391,1.1170934604369638
individual,arousal,eeg,knn,10,10,eeg_se__Cz,23,5,0.1,1.211394653234914
individual,arousal,eeg,knn,10,10,eeg_se__Fz,13,5,0.05652173913043478,1.0514375792659074
individual,arousal,eeg,knn,10,10,eeg_se__Oz,15,5,0.06521739130434782,1.1008425294057926
individual,arousal,eeg,knn,10,10,eeg_se__PO7,12,5,0.05217391304347826,1.0638445389666185
individual,arousal,eeg,knn,10,10,eeg_se__PO8,30,5,0.13043478260869565,1.5486702547489524
individual,arousal,eeg,knn,10,10,eeg_se__Pz,16,5,0.06956521739130435,1.0613722306558004
individual,arousal,eeg,knn,10,10,eeg_se_alpha__C3,18,5,0.0782608695652174,1.1035239131416605
individual,arousal,eeg,knn,10,10,eeg_se_alpha__C4,30,5,0.13043478260869565,1.3188929472323723
individual,arousal,eeg,knn,10,10,eeg_se_alpha__Cz,12,5,0.05217391304347826,0.9020102672774958
individual,arousal,eeg,knn,10,10,eeg_se_alpha__Fz,33,5,0.14347826086956522,1.5079679512561246
individual,arousal,eeg,knn,10,10,eeg_se_alpha__Oz,27,5,0.11739130434782609,1.1852732253983667
individual,arousal,eeg,knn,10,10,eeg_se_alpha__PO7,17,5,0.07391304347826087,0.9975414837513263
individual,arousal,eeg,knn,10,10,eeg_se_alpha__PO8,28,5,0.12173913043478261,1.3279846781411138
individual,arousal,eeg,knn,10,10,eeg_se_alpha__Pz,18,5,0.0782608695652174,1.0133518599311635
