participant,target,outer_fold,outer_folds,outer_train_size,outer_test_size,low_count,high_count,classifier,feature_family,channel_subset,feature_count_request,analysis_tier,available_feature_count,selected_threshold,selection_oof_ba_fixed_050,selection_oof_fold_ba_sd_fixed_050,selection_oof_ba_at_selected_threshold,final_refit_best_parameters,final_refit_inner_balanced_accuracy,fixed_threshold_ba,optimized_threshold_ba,fixed_threshold_sensitivity,fixed_threshold_specificity,optimized_threshold_sensitivity,optimized_threshold_specificity
P31,arousal,1,5,95,24,61,58,logreg,paper_compact,frontal_central,10,secondary,32,0.5,0.5771960958296363,0.03265511735907128,0.5771960958296363,"{""classifier__C"": 0.1, ""classifier__class_weight"": ""balanced""}",0.5656454248366013,0.375,0.375,0.3333333333333333,0.4166666666666667,0.3333333333333333,0.4166666666666667
P31,arousal,2,5,95,24,61,58,svm,paper_compact,all_channels,10,secondary,64,0.5,0.5514640638864241,0.03571044226266176,0.5514640638864241,"{""classifier__C"": 1, ""classifier__class_weight"": null, ""classifier__gamma"": 0.001, ""classifier__kernel"": ""rbf""}",0.5,0.5,0.5,1.0,0.0,1.0,0.0
P31,arousal,3,5,95,24,61,58,svm,all_eeg,all_channels,10,primary,120,0.55,0.4893522626441881,0.0,0.5590062111801242,"{""classifier__C"": 1, ""classifier__class_weight"": null, ""classifier__gamma"": 0.001, ""classifier__kernel"": ""rbf""}",0.5,0.5,0.5,1.0,0.0,1.0,0.0
P31,arousal,4,5,95,24,61,58,logreg,paper_compact,frontal_central,8,secondary,32,0.5,0.5374556737588653,0.06364688465216443,0.5374556737588653,"{""classifier__C"": 0.1, ""classifier__class_weight"": null}",0.5583333333333333,0.49650349650349646,0.49650349650349646,0.45454545454545453,0.5384615384615384,0.45454545454545453,0.5384615384615384
P31,arousal,5,5,96,23,61,58,svm,paper_compact,frontal_central,10,secondary,32,0.5,0.5356057316543639,0.06565944237842805,0.5356057316543639,"{""classifier__C"": 1, ""classifier__class_weight"": ""balanced"", ""classifier__kernel"": ""linear""}",0.5457107843137255,0.3522727272727273,0.3522727272727273,0.45454545454545453,0.25,0.45454545454545453,0.25
