mode,participant,held_out_participant,target,modality,regressor,feature_count_request,feature_count_resolved,fold,feature,selected,feature_score
individual,P19,P19,arousal,eeg,knn,5,5,1,eeg_bp_theta__C3,False,6.771077996758765
individual,P19,P19,arousal,eeg,knn,5,5,1,eeg_bp_theta__C4,False,6.596414836145939
individual,P19,P19,arousal,eeg,knn,5,5,1,eeg_bp_theta__Cz,False,0.04197396081338631
individual,P19,P19,arousal,eeg,knn,5,5,1,eeg_bp_theta__Fz,False,2.907206576639183
individual,P19,P19,arousal,eeg,knn,5,5,1,eeg_bp_theta__Oz,False,0.048331613400864636
individual,P19,P19,arousal,eeg,knn,5,5,1,eeg_bp_theta__PO7,False,1.9838196050028036
individual,P19,P19,arousal,eeg,knn,5,5,1,eeg_bp_theta__PO8,False,1.2836369147955538
individual,P19,P19,arousal,eeg,knn,5,5,1,eeg_bp_theta__Pz,False,0.07509067487175301
individual,P19,P19,arousal,eeg,knn,5,5,1,eeg_se_theta__C3,False,0.07024277357337885
individual,P19,P19,arousal,eeg,knn,5,5,1,eeg_se_theta__C4,False,0.30019490713332775
individual,P19,P19,arousal,eeg,knn,5,5,1,eeg_se_theta__Cz,False,0.30436667302436987
individual,P19,P19,arousal,eeg,knn,5,5,1,eeg_se_theta__Fz,False,0.5121813398880501
individual,P19,P19,arousal,eeg,knn,5,5,1,eeg_se_theta__Oz,False,0.03796117513658056
individual,P19,P19,arousal,eeg,knn,5,5,1,eeg_se_theta__PO7,False,0.00011439123474835623
individual,P19,P19,arousal,eeg,knn,5,5,1,eeg_se_theta__PO8,False,1.354878200133525
individual,P19,P19,arousal,eeg,knn,5,5,1,eeg_se_theta__Pz,False,0.00949491821815163
individual,P19,P19,arousal,eeg,knn,5,5,1,eeg_bp_alpha__C3,False,3.3008172071198247
individual,P19,P19,arousal,eeg,knn,5,5,1,eeg_bp_alpha__C4,False,6.4910994534767745
individual,P19,P19,arousal,eeg,knn,5,5,1,eeg_bp_alpha__Cz,False,1.3499317753179685
individual,P19,P19,arousal,eeg,knn,5,5,1,eeg_bp_alpha__Fz,False,0.04492776205096357
individual,P19,P19,arousal,eeg,knn,5,5,1,eeg_bp_alpha__Oz,False,0.34475907608737927
individual,P19,P19,arousal,eeg,knn,5,5,1,eeg_bp_alpha__PO7,False,2.0201726940288123
individual,P19,P19,arousal,eeg,knn,5,5,1,eeg_bp_alpha__PO8,False,4.5822739338230365
