eeg_se__C3,eeg_hm__C3,eeg_hm__Oz,eeg_hc__Cz,eeg_mf_hz__C3,eeg_bp_delta__C3,eeg_se_delta__C3,eeg_se_theta__Cz,eeg_se_alpha__C4,eeg_se_beta__Oz
4.385800647526783,0.2964083853633018,0.262727643049695,1.8832870933379924,7.0,5.092460690312324,1.6795327336161558,2.0704574158510165,1.9358162968720007,3.722280123137369
4.704019192566289,0.3543429738835522,0.3704653513377242,1.4758128703168731,10.0,1.003754494350849,1.974586828925508,2.1625786633083166,2.056109244314947,3.7490251727499766
4.697804356320643,0.3422587041030781,0.2663000071456534,1.9495811751604488,12.0,1.4983907457761507,1.927082717949308,2.167249484521503,2.004185704929792,3.5711181121857227
4.307139160081504,0.3476428455099811,0.2762042870942121,1.5379636232549412,6.0,3.3498287378993497,1.960028382138384,2.1344423265367385,2.193881837453477,3.716248652744446
4.6524943287526375,0.3450165203364542,0.2917434650644811,1.6722811128910164,11.0,1.9918411568835384,1.9682886527670584,2.31596904523152,2.075684078052308,3.8713436338773946
4.450777613627435,0.3108206683036851,0.2836709297262592,1.7798671720042114,8.0,3.351873496916593,1.897712864240812,2.216701527099376,2.2852622354452428,3.875397990619115
4.589245916133318,0.3278398230435915,0.2088810651340717,1.6432674330078405,10.0,1.0254355536907136,1.8282446983905984,2.219488407895827,2.2424821326464066,3.793060652324122
4.633169699478136,0.346859384614923,0.2918955824542075,1.6892138683500997,11.0,1.719792369751212,1.9718299008159024,2.3142307026110496,2.285948580745381,3.8736967660420234
4.379032858247145,0.3096605972513462,0.2418068239681639,2.1523772361905293,6.0,3.023368159055616,1.9194490414201384,2.0747242215115285,2.089451293995181,3.8971883047896143
4.724211176718173,0.3605298108549719,0.2958779461877588,1.706103471770937,12.0,1.4773315792190171,1.8857844479750687,2.217073837473614,1.9908591426194,3.949753833190528
4.522829886372738,0.3323972395417431,0.2648785966539067,1.7892912853432568,12.0,1.7382372472565804,1.493609334970907,2.134742592214553,2.292245058782268,3.7409519150431727
4.540390141051852,0.3262624501333235,0.2614679858094009,1.7418468227440749,8.0,3.70788875768934,1.8807274267133625,2.1478764684504066,1.8629324388141173,3.892607036713321
4.719313922159516,0.3576955417147026,0.2302870236952676,2.084825068803552,9.0,2.54371759499201,1.8209985047221944,2.168399810932496,2.241423095585519,3.573098097127408
4.606529268371663,0.3646346365045098,0.2587014481237582,1.7516440411019671,12.0,1.5033988233591389,1.8373276534914156,2.1572907413541453,2.2098749141718432,3.890340207490401
4.514825063472167,0.3399200994529048,0.3060547746243449,1.7678889491764327,10.0,2.191258076424696,1.9447100258646817,2.1279830630958028,1.972792473814243,3.8872810477343793
4.214126210567518,0.3008206092471198,0.2701997307032601,1.6376531768898,8.0,5.27401352039626,1.7170989382707174,2.263724158933287,2.0369487432083195,3.783832962001605
4.51740055937219,0.3283422066444546,0.2113184627703049,1.8485452439048689,10.0,2.547427610571163,1.6839455556688612,2.1027086416045084,2.2456661581042505,4.003307123820831
4.644424207040919,0.3586654994071658,0.2771626142885198,1.482849878086329,11.0,1.6199249386542984,1.9445066106489304,2.2545184118778376,2.1313099762732306,3.55682057393595
4.330397466025734,0.3155190423257331,0.246448449988268,1.6126231134860314,10.0,3.292561291896597,1.911980388438627,2.2285401816437096,2.1758174604631817,3.627946679303636
4.375019818838177,0.312446495556048,0.2998761032446569,1.9153205303891208,8.0,3.1223339666325582,1.726029933362865,1.9348271174936724,2.240841005862446,3.802957472986316
4.448754588310125,0.3261181138236301,0.2969987483007248,1.646257062385284,8.0,2.98563709003567,1.9689483629337312,2.037647856821025,1.8338107802572068,3.767694837630117
4.670062567333341,0.3548669996252856,0.252914076607504,2.103460598538085,12.0,1.4939044089021112,1.4901270877533854,1.8889640496776725,2.244008211312152,3.872862824279769
4.291471148366085,0.2934792185815453,0.2760573847157639,1.8426317107147672,6.0,3.4474825098059734,1.9423506298508,1.9753370572195172,2.174866965362133,3.875481050754351
