eeg_se__C3,eeg_se__C4,eeg_hm__C4,eeg_se_beta__C4,eeg_bp_gamma__C4,eeg_bp_gamma__Oz,eeg_se_gamma__C4,video_irisdo_norm_std,video_eso_norm_std,video_enso_norm_std
4.385800647526783,3.3771286151799917,0.1861339010435075,3.544412131527898,0.304237029719542,0.4545131940815019,3.047278633901769,0.023223606897699,0.0073261469692628,0.0135934882312384
4.704019192566289,4.4375687562739445,0.3411400857805768,3.560247734806513,0.1125183796621944,0.3505772098517459,3.0389950006560484,0.0019441756071327,0.0036996373385847,0.0065274612782472
4.697804356320643,4.728288931878773,0.3767007536300212,3.914666641909404,0.2647624183680115,0.5095097069479407,3.098960317333833,0.0252047959660033,0.0114589476080414,0.0118621272879787
4.307139160081504,4.607449900968186,0.3804071559196839,3.667992379450152,0.1198224084975766,0.2264181316653698,3.2983692816498795,0.0234444977302819,0.0075199630591694,0.0045060680742147
4.6524943287526375,4.649811940008513,0.3397252101639649,3.860787144763707,0.2371533890147331,0.5259608445990098,3.0358580167882216,0.0251724262561412,0.0071808569394962,0.0083316942720947
4.450777613627435,4.748339097549588,0.3732827633534483,3.745665819581205,0.2138164007653585,0.4393811046918915,3.3435159212760097,0.0288364076387563,0.0094554611057173,0.0127694588783494
4.589245916133318,4.68225235457958,0.3417126596429335,3.8144647122058193,0.5661077071042977,0.4011781351297421,3.2816994184613617,0.0317253612281022,0.0102488947941314,0.017087392654972
4.633169699478136,4.90195429433128,0.3870037838917046,4.064398269113113,0.3948597785476322,0.3031296586027799,3.0616767630820743,0.0024573402228258,0.0027168837710401,0.005941539076654
4.379032858247145,4.522186412988426,0.3676347933906199,3.8683114208631495,0.1792565879033255,0.3300541978873221,3.178696589568194,0.0210551300395689,0.007902164048801,0.0098508754234068
4.724211176718173,4.73294774594082,0.3819235035184855,3.879967457189247,0.3781838227041382,0.4695327500787962,3.2032708893517423,0.0052282612564923,0.0029925990529402,0.0059224355904727
4.522829886372738,4.56313361037992,0.3253754891439774,3.8748517304802905,0.144760577523612,0.2345012350477185,3.156638489550774,0.0076871783598066,0.0047179672127137,0.0054188370721901
4.540390141051852,4.663306981349886,0.3719660917316397,3.782066020131572,0.3695064456570375,0.2071118204296563,3.1788168804400763,0.0266478808177658,0.0131568139514538,0.0146166216415807
4.719313922159516,4.749705993359113,0.3623250768561403,3.856026289861004,0.3617926774918203,0.5321179452686867,3.2504742877395114,0.0063849402822568,0.0029303887075561,0.011476979325532
4.606529268371663,4.4603567478965696,0.3552072192263479,3.515372077607421,0.1030855303879083,0.1454531547771297,3.094235919276619,0.0288443964811529,0.0132444406849685,0.0231474678177956
4.514825063472167,4.230800731431582,0.3154701568334379,3.9009707964256255,0.1727881533733275,0.3008656428435707,2.954463991536759,0.0236582520925357,0.007932635262503,0.0151713161295278
4.214126210567518,4.489893181816351,0.3294975952390184,3.666503514786924,0.1254003691173682,0.5708620787315845,3.180315499456448,0.0277032840985293,0.0094773461744348,0.0146784620124337
4.51740055937219,4.551776325313044,0.3441420577500151,3.827080063620856,0.113240651790956,0.2083288106273527,3.01117532038225,0.0257215532600382,0.0072402347641948,0.0119219458613806
4.644424207040919,4.524841919045451,0.3480935423524534,3.473474249965081,0.1373229605746588,0.3747512301941037,2.927685754994558,0.0278975465349729,0.0116394049975775,0.0170056068695515
4.330397466025734,4.334887154874639,0.2971313780290736,3.732393726294701,0.1275867922642626,0.2229746536096548,2.875815463145836,0.0088475958899427,0.0045810716491705,0.0064097980537796
4.375019818838177,4.394525088792319,0.3206820992384608,4.09122871246527,0.2037731185415675,0.2635882197315324,3.396279660659735,0.0048694153832163,0.0045062370674558,0.0106041957160564
4.448754588310125,4.702689573872953,0.4308075112956777,3.807950716485276,0.6462585328436187,0.3753440624055447,3.2520939476288584,0.0039717579933213,0.0047650640167783,0.0048068525365508
4.670062567333341,4.779936397753615,0.3739962853784568,3.767039900681112,0.6161067334213804,0.3777130426886297,3.3542718068913024,0.0275328074669759,0.011381822359335,0.0168483752285839
4.291471148366085,4.624980251752528,0.3377930631278065,3.806084151699757,0.4977871139869954,0.2245160242826374,3.1081949452820044,0.0034537636454844,0.0047285305993573,0.0067375945965359
4.4813207062620375,4.078299894854177,0.2924194988369811,3.747155609056032,0.4404447735407319,0.523050713321579,3.216177407133845,0.0220381736282469,0.0097093020790087,0.0187678606131292
3.570410518116419,3.407865108993299,0.2362191982064044,3.702265463316853,0.1839515631684609,0.3240725814974008,3.0998441519696294,0.023360940185921,0.0107792761499642,0.014326018781103
4.562270671452155,4.42751857729155,0.3354892042485499,3.687871720753229,0.3997364457417346,0.4809920910581242,3.291175141096117,0.0229098211836636,0.0093498395822984,0.0107777427324412
4.452827423718221,4.782774499968632,0.3796186960595805,4.095206514275275,0.3167172368703216,0.4110027235905107,2.9070298763444664,0.0062653565845758,0.0047938316669125,0.0063800372915557
4.468192639566807,4.645993036726797,0.3608912940602563,4.062171414731013,0.4695108834410287,0.3197761338669501,3.055562417572101,0.008701679935523,0.0052981913666857,0.0088353527681281
4.503874840031744,4.773537492338638,0.3738184575244105,3.826037697068658,0.5351944406856483,0.4954834531418587,3.0469235493600326,0.0250666808877437,0.0118769371778988,0.0134524315775273
4.699480269223542,4.583256467822622,0.3901044904124446,3.7185124037221695,0.3217988678158128,0.2594123754868642,3.203606430957737,0.0214252495084027,0.0114896961177243,0.0098762752120684
4.482173185200875,4.577972086339368,0.3665276653350152,3.592071952754204,0.3340833552412441,0.2962524016933088,3.388114393391455,0.0273567720388311,0.0074942065226634,0.0142891614393424
4.422791884126915,4.57732983716206,0.3888232282364495,3.9823261387692255,0.6207717024612205,0.4490967231669049,3.193695303104927,0.0240893596179621,0.0084167257062735,0.0084625732702873
