participant,target,task,window_id,window_index,window_start_s,high_class_score,nearest_image_distance,image_reference_distance_percentile,image_reference_nearest_distance_p95,image_reference_nearest_distance_max,nearest_distance_exceeds_image_p95,nearest_distance_exceeds_image_max,mean_11_image_neighbor_distance,feature_domain_reliability
P19,valence,pick_place,pick_place_s1_0.000,1,0.0,0.0,108100.36842653851,100.0,1.3099880359456375,2.3901764237130623,True,True,108101.78178481874,beyond_image_reference
P19,valence,pick_place,pick_place_s1_1.000,2,1.0,0.0,1265.0551885430511,100.0,1.3099880359456375,2.3901764237130623,True,True,1266.565155297409,beyond_image_reference
P19,valence,pick_place,pick_place_s1_2.000,3,2.0,0.0,54.1187861495313,100.0,1.3099880359456375,2.3901764237130623,True,True,55.974326477809626,beyond_image_reference
P19,valence,pick_place,pick_place_s1_3.000,4,3.0,8.183329710527825e-115,24.505048631884296,100.0,1.3099880359456375,2.3901764237130623,True,True,26.31812572576695,beyond_image_reference
P19,valence,pick_place,pick_place_s1_4.000,5,4.0,1.1357050925777054e-140,28.145764436321546,100.0,1.3099880359456375,2.3901764237130623,True,True,29.856991979759297,beyond_image_reference
P19,valence,pick_place,pick_place_s1_5.000,6,5.0,2.4207689947912168e-284,42.212718504300454,100.0,1.3099880359456375,2.3901764237130623,True,True,43.80585349927818,beyond_image_reference
P19,valence,pick_place,pick_place_s1_6.000,7,6.0,0.0,138.59254404666697,100.0,1.3099880359456375,2.3901764237130623,True,True,140.17778279962306,beyond_image_reference
P19,valence,pick_place,pick_place_s1_7.000,8,7.0,7.522552889590974e-221,35.42002997596457,100.0,1.3099880359456375,2.3901764237130623,True,True,37.38193339089101,beyond_image_reference
P19,valence,pick_place,pick_place_s1_8.000,9,8.0,1.0553456070493256e-32,9.505487867977125,100.0,1.3099880359456375,2.3901764237130623,True,True,11.598632228198271,beyond_image_reference
P19,valence,pick_place,pick_place_s1_9.000,10,9.0,7.588333451888114e-76,18.59333080517325,100.0,1.3099880359456375,2.3901764237130623,True,True,20.493745773281578,beyond_image_reference
P19,valence,pick_place,pick_place_s1_10.000,11,10.0,2.856242804092136e-17,5.878935137332706,100.0,1.3099880359456375,2.3901764237130623,True,True,7.660884771064944,beyond_image_reference
P19,valence,pick_place,pick_place_s1_11.000,12,11.0,8.263894752345704e-22,7.482062264164209,100.0,1.3099880359456375,2.3901764237130623,True,True,9.37871530263565,beyond_image_reference
P19,valence,pick_place,pick_place_s1_12.000,13,12.0,3.7038871510720766e-08,2.0255578723046983,99.16666666666667,1.3099880359456375,2.3901764237130623,True,False,4.179145896090337,above_image_95pct
P19,valence,pick_place,pick_place_s1_13.000,14,13.0,1.3260616219539728e-51,14.515831033312795,100.0,1.3099880359456375,2.3901764237130623,True,True,16.318589235608854,beyond_image_reference
P19,valence,pick_place,pick_place_s1_14.000,15,14.0,1.8926640989677043e-108,23.632735333770796,100.0,1.3099880359456375,2.3901764237130623,True,True,25.44971797664931,beyond_image_reference
P19,valence,pick_place,pick_place_s1_15.000,16,15.0,1.2832586113684715e-28,9.102935987141885,100.0,1.3099880359456375,2.3901764237130623,True,True,11.078483733532552,beyond_image_reference
P19,valence,pick_place,pick_place_s1_16.000,17,16.0,2.065093156047455e-65,17.304403880869835,100.0,1.3099880359456375,2.3901764237130623,True,True,19.02265993381648,beyond_image_reference
