participant,target,task,task_display,robot_condition,n_consensus_windows,median_top3_consensus_probability,mean_top3_consensus_probability,fraction_consensus_windows_ge_0_5,descriptive_task_verdict,mean_top3_probability_range,median_top3_probability_range,mean_pairwise_absolute_probability_difference,fraction_unanimous_low_windows,fraction_unanimous_high_windows,fraction_unanimous_top3_windows,majority_vote_high_fraction,probability_correlation_r1_r2,probability_correlation_r1_r3,probability_correlation_r2_r3,robot_rating_1_to_7,robot_rating_class,verdict_matches_robot_rating
P36,arousal,pick_place,PnP,FAULTY,32,0.8332533596910199,0.8107349580602045,1.0,HIGH,0.3125153245541524,0.3131692409796728,0.20834354970276825,0.0,0.71875,0.71875,0.90625,0.10000871565381374,0.32379875977492417,0.3287071993710461,5.0,HIGH,True
P36,arousal,shape_sorter_alone,SSAlone,N/A,22,0.8819373676536865,0.8490854145076032,1.0,HIGH,0.29846739825308566,0.31467403562658597,0.1989782655020571,0.0,0.6818181818181818,0.6818181818181818,0.9090909090909091,0.2312266004753116,0.3864672736073605,0.333601026544292,2.0,LOW,False
P36,arousal,shape_sorter_interaction,SSInt,N/A,78,0.8893433392225047,0.8392736575265812,0.9871794871794872,HIGH,0.3080160585551804,0.3159059038511664,0.20534403903678689,0.038461538461538464,0.7435897435897436,0.782051282051282,0.9358974358974359,0.34242161173827657,0.5154464797418369,0.31989944587719826,3.0,LOW,False
P36,arousal,shape_sorter_observation,SSObs,SLOW,106,0.7661232274785705,0.7445666690160264,0.9622641509433962,HIGH,0.2981353407937417,0.31810332365753274,0.19875689386249445,0.04716981132075472,0.4716981132075472,0.5188679245283019,0.8113207547169812,0.4285637797966029,0.5856362906472897,0.37838489598088887,6.0,HIGH,True
P36,arousal,sisyphus,Sisyphus,N/A,129,0.884626361550163,0.7913628489278485,0.9457364341085271,HIGH,0.2751381365983487,0.2847419750039599,0.18342542439889914,0.06201550387596899,0.6201550387596899,0.6821705426356589,0.8217054263565892,0.6810869678887196,0.6547278658778359,0.625737064429547,7.0,HIGH,True
P36,arousal,stack,St,FAST,68,0.6498528493809819,0.6626577729252056,0.8970588235294118,HIGH,0.28475855259492994,0.2834039964587564,0.18983903506328662,0.11764705882352941,0.19117647058823528,0.3088235294117647,0.6911764705882353,0.48654596890753266,0.5443023320377809,0.4691665719472846,4.0,HIGH,True
P36,valence,pick_place,PnP,FAULTY,32,0.4979675687658415,0.551736770730956,0.5,LOW,0.16367079012281327,0.15363248203214364,0.10911386008187553,0.3125,0.3125,0.625,0.46875,0.3277755216976349,0.3666546350613714,0.9947679035318462,5.0,HIGH,False
P36,valence,shape_sorter_alone,SSAlone,N/A,22,0.6183763805559745,0.5759174531040478,0.5909090909090909,HIGH,0.1510391228122626,0.11792393788708005,0.10069274854150843,0.13636363636363635,0.4090909090909091,0.5454545454545454,0.5909090909090909,0.0076003828913973415,0.04628176292969109,0.9957535211072296,4.0,HIGH,True
P36,valence,shape_sorter_interaction,SSInt,N/A,78,0.6585418746564476,0.6343351570588105,0.6794871794871795,HIGH,0.15901999617784204,0.15449751825692548,0.10601333078522802,0.21794871794871795,0.46153846153846156,0.6794871794871795,0.6410256410256411,0.6050310290770744,0.6360923519945274,0.9959195789155072,5.0,HIGH,True
P36,valence,shape_sorter_observation,SSObs,SLOW,106,0.7598834035216935,0.713449687368892,0.8679245283018868,HIGH,0.1822967450024458,0.18258730385684935,0.12153116333496386,0.11320754716981132,0.6698113207547169,0.7830188679245284,0.839622641509434,0.3913006518587133,0.44116441478037277,0.9898521469545587,6.0,HIGH,True
P36,valence,sisyphus,Sisyphus,N/A,129,0.7319519795110363,0.686516549289553,0.8217054263565892,HIGH,0.14983368600631994,0.14370789972201203,0.09988912400421329,0.12403100775193798,0.6434108527131783,0.7674418604651163,0.8217054263565892,0.5603410600390696,0.5596584979840372,0.9944596311331882,7.0,HIGH,True
P36,valence,stack,St,FAST,68,0.5664968551091457,0.5838077349238072,0.7058823529411765,HIGH,0.1423721107604386,0.15093359634949255,0.09491474050695906,0.1323529411764706,0.38235294117647056,0.5147058823529411,0.6176470588235294,0.04190817997553342,0.09394413894334018,0.9953528079118562,5.0,HIGH,True
