target,model_rank,participant,task,segment_id,window_id,window_start_s,window_end_s,nearest_image_distance,outside_selected_count,outside_selected_fraction,median_abs_image_z,max_abs_image_z
arousal,1,P36,pick_place,1,pick_place_s1_0.000,0.0,2.0,6107.138195644752,7,0.7,25.246826986992783,6039.022836592294
arousal,1,P36,pick_place,1,pick_place_s1_1.000,1.0,3.0,82.32887278823887,4,0.4,1.5087660214966987,78.9099991550464
arousal,1,P36,pick_place,1,pick_place_s1_2.000,2.0,4.0,5.448965234046422,2,0.2,1.2033635913896914,5.805887882497406
arousal,1,P36,pick_place,1,pick_place_s1_3.000,3.0,5.0,10.423639484288552,2,0.2,1.5091099154579535,7.928536285842394
arousal,1,P36,pick_place,1,pick_place_s1_4.000,4.0,6.0,15.784377422746664,4,0.4,4.0771461426706,12.460060716592558
arousal,1,P36,pick_place,1,pick_place_s1_5.000,5.0,7.0,9.597654849381108,3,0.3,2.343532003848245,9.356901410520473
arousal,1,P36,pick_place,1,pick_place_s1_6.000,6.0,8.0,3.803725202530937,0,0.0,0.723777115035129,6.107126362112619
arousal,1,P36,pick_place,1,pick_place_s1_7.000,7.0,9.0,6.480106586121716,1,0.1,0.9895907510215478,6.839381020051775
arousal,1,P36,pick_place,1,pick_place_s1_8.000,8.0,10.0,5.1338076382193965,1,0.1,0.96149338847074,6.401200180263084
arousal,1,P36,pick_place,1,pick_place_s1_9.000,9.0,11.0,3.034227990991783,0,0.0,0.7374720060678606,2.3787414676490592
arousal,1,P36,pick_place,1,pick_place_s1_10.000,10.0,12.0,1.0917883844003617,0,0.0,0.5078358910697939,1.330016438479925
arousal,1,P36,pick_place,1,pick_place_s1_11.000,11.0,13.0,3.1317561289723113,0,0.0,1.1315660986263474,2.7014569469653815
arousal,1,P36,pick_place,1,pick_place_s1_12.000,12.0,14.0,2.192665704167082,0,0.0,0.930741021727192,2.29841693087088
arousal,1,P36,pick_place,1,pick_place_s1_13.000,13.0,15.0,2.5429675339575635,1,0.1,0.6330041946814521,2.3317986477854085
arousal,1,P36,pick_place,1,pick_place_s1_14.000,14.0,16.0,1.9763187642409816,0,0.0,0.5425159078002914,2.890144847012032
arousal,1,P36,pick_place,1,pick_place_s1_15.000,15.0,17.0,2.30724051976791,0,0.0,1.0531249355417986,1.7908428131496226
arousal,1,P36,pick_place,1,pick_place_s1_16.000,16.0,18.0,1.8538470343933848,0,0.0,0.39487138926921794,2.2200767100421754
arousal,1,P36,pick_place,1,pick_place_s1_17.000,17.0,19.0,1.5299494867825496,0,0.0,0.4252720291202554,1.8261388690140596
arousal,1,P36,pick_place,1,pick_place_s1_18.000,18.0,20.0,2.5274460958575626,0,0.0,0.6656377169490759,2.4761399058255047
arousal,1,P36,pick_place,1,pick_place_s1_19.000,19.0,21.0,7.9244475415952484,2,0.2,2.7768520136917463,7.708881610138444
arousal,1,P36,pick_place,1,pick_place_s1_20.000,20.0,22.0,3.948461778474667,0,0.0,1.327801355887272,3.6024205176929307
arousal,1,P36,pick_place,1,pick_place_s1_21.000,21.0,23.0,1.8900507691331105,0,0.0,0.5584914584767818,2.5998223049472706
arousal,1,P36,pick_place,1,pick_place_s1_22.000,22.0,24.0,3.880137351964018,1,0.1,0.9946136087902573,3.0516060375423377
arousal,1,P36,pick_place,1,pick_place_s1_23.000,23.0,25.0,2.365778034815309,2,0.2,0.8087732817850046,3.3661299572083916
