participant,target,modality,classifier,feature_count,feature_count_request,outer_folds,mean_balanced_accuracy,std_balanced_accuracy,mean_accuracy,std_accuracy,best_hyperparameters,seed,gridsearch_n_jobs,estimator_n_jobs
P36,valence,eeg,knn,8,8,5,0.5351515151515152,0.0921694893877722,0.550952380952381,0.08965289578901516,"[{""fold"": 1, ""inner_best_balanced_accuracy"": 0.5944444444444444, ""parameters"": {""classifier__metric"": ""manhattan"", ""classifier__n_neighbors"": 5, ""classifier__weights"": ""uniform""}}, {""fold"": 2, ""inner_best_balanced_accuracy"": 0.5358058608058608, ""parameters"": {""classifier__metric"": ""manhattan"", ""classifier__n_neighbors"": 3, ""classifier__weights"": ""uniform""}}, {""fold"": 3, ""inner_best_balanced_accuracy"": 0.5213675213675213, ""parameters"": {""classifier__metric"": ""euclidean"", ""classifier__n_neighbors"": 15, ""classifier__weights"": ""uniform""}}, {""fold"": 4, ""inner_best_balanced_accuracy"": 0.5108974358974359, ""parameters"": {""classifier__metric"": ""euclidean"", ""classifier__n_neighbors"": 7, ""classifier__weights"": ""uniform""}}, {""fold"": 5, ""inner_best_balanced_accuracy"": 0.5912393162393162, ""parameters"": {""classifier__metric"": ""manhattan"", ""classifier__n_neighbors"": 21, ""classifier__weights"": ""uniform""}}]",42,4,
P36,valence,eeg,knn,10,10,5,0.5577777777777777,0.0651562914230773,0.5790476190476191,0.0623318599993218,"[{""fold"": 1, ""inner_best_balanced_accuracy"": 0.561111111111111, ""parameters"": {""classifier__metric"": ""euclidean"", ""classifier__n_neighbors"": 7, ""classifier__weights"": ""uniform""}}, {""fold"": 2, ""inner_best_balanced_accuracy"": 0.5453601953601953, ""parameters"": {""classifier__metric"": ""manhattan"", ""classifier__n_neighbors"": 15, ""classifier__weights"": ""uniform""}}, {""fold"": 3, ""inner_best_balanced_accuracy"": 0.5519230769230768, ""parameters"": {""classifier__metric"": ""euclidean"", ""classifier__n_neighbors"": 11, ""classifier__weights"": ""distance""}}, {""fold"": 4, ""inner_best_balanced_accuracy"": 0.5324786324786325, ""parameters"": {""classifier__metric"": ""manhattan"", ""classifier__n_neighbors"": 7, ""classifier__weights"": ""uniform""}}, {""fold"": 5, ""inner_best_balanced_accuracy"": 0.6363247863247863, ""parameters"": {""classifier__metric"": ""manhattan"", ""classifier__n_neighbors"": 9, ""classifier__weights"": ""uniform""}}]",42,4,
P36,valence,eeg,knn,15,15,5,0.5030303030303029,0.1384557064726158,0.5199999999999999,0.12971799169588819,"[{""fold"": 1, ""inner_best_balanced_accuracy"": 0.6, ""parameters"": {""classifier__metric"": ""euclidean"", ""classifier__n_neighbors"": 3, ""classifier__weights"": ""uniform""}}, {""fold"": 2, ""inner_best_balanced_accuracy"": 0.5499999999999999, ""parameters"": {""classifier__metric"": ""euclidean"", ""classifier__n_neighbors"": 15, ""classifier__weights"": ""uniform""}}, {""fold"": 3, ""inner_best_balanced_accuracy"": 0.5275641025641026, ""parameters"": {""classifier__metric"": ""euclidean"", ""classifier__n_neighbors"": 11, ""classifier__weights"": ""uniform""}}, {""fold"": 4, ""inner_best_balanced_accuracy"": 0.5536324786324787, ""parameters"": {""classifier__metric"": ""euclidean"", ""classifier__n_neighbors"": 3, ""classifier__weights"": ""uniform""}}, {""fold"": 5, ""inner_best_balanced_accuracy"": 0.533974358974359, ""parameters"": {""classifier__metric"": ""euclidean"", ""classifier__n_neighbors"": 21, ""classifier__weights"": ""uniform""}}]",42,4,
P36,valence,eeg,knn,20,20,5,0.47994949494949496,0.09835183973441974,0.5,0.09508320738453563,"[{""fold"": 1, ""inner_best_balanced_accuracy"": 0.65, ""parameters"": {""classifier__metric"": ""manhattan"", ""classifier__n_neighbors"": 5, ""classifier__weights"": ""uniform""}}, {""fold"": 2, ""inner_best_balanced_accuracy"": 0.5877899877899878, ""parameters"": {""classifier__metric"": ""manhattan"", ""classifier__n_neighbors"": 3, ""classifier__weights"": ""uniform""}}, {""fold"": 3, ""inner_best_balanced_accuracy"": 0.5213675213675214, ""parameters"": {""classifier__metric"": ""euclidean"", ""classifier__n_neighbors"": 21, ""classifier__weights"": ""uniform""}}, {""fold"": 4, ""inner_best_balanced_accuracy"": 0.5284188034188034, ""parameters"": {""classifier__metric"": ""manhattan"", ""classifier__n_neighbors"": 5, ""classifier__weights"": ""uniform""}}, {""fold"": 5, ""inner_best_balanced_accuracy"": 0.5145299145299145, ""parameters"": {""classifier__metric"": ""euclidean"", ""classifier__n_neighbors"": 21, ""classifier__weights"": ""uniform""}}]",42,4,
P36,valence,eeg,knn,30,30,5,0.5345454545454545,0.13649099925737862,0.5485714285714286,0.13854278872749032,"[{""fold"": 1, ""inner_best_balanced_accuracy"": 0.5861111111111111, ""parameters"": {""classifier__metric"": ""manhattan"", ""classifier__n_neighbors"": 5, ""classifier__weights"": ""uniform""}}, {""fold"": 2, ""inner_best_balanced_accuracy"": 0.5361111111111111, ""parameters"": {""classifier__metric"": ""euclidean"", ""classifier__n_neighbors"": 15, ""classifier__weights"": ""uniform""}}, {""fold"": 3, ""inner_best_balanced_accuracy"": 0.561965811965812, ""parameters"": {""classifier__metric"": ""manhattan"", ""classifier__n_neighbors"": 7, ""classifier__weights"": ""uniform""}}, {""fold"": 4, ""inner_best_balanced_accuracy"": 0.576923076923077, ""parameters"": {""classifier__metric"": ""euclidean"", ""classifier__n_neighbors"": 5, ""classifier__weights"": ""uniform""}}, {""fold"": 5, ""inner_best_balanced_accuracy"": 0.5412393162393162, ""parameters"": {""classifier__metric"": ""euclidean"", ""classifier__n_neighbors"": 21, ""classifier__weights"": ""uniform""}}]",42,4,
P36,valence,eeg,knn,all,all,5,0.5133333333333333,0.11803694824461942,0.5385714285714285,0.12116591574498989,"[{""fold"": 1, ""inner_best_balanced_accuracy"": 0.6166666666666666, ""parameters"": {""classifier__metric"": ""manhattan"", ""classifier__n_neighbors"": 9, ""classifier__weights"": ""uniform""}}, {""fold"": 2, ""inner_best_balanced_accuracy"": 0.5989316239316239, ""parameters"": {""classifier__metric"": ""manhattan"", ""classifier__n_neighbors"": 9, ""classifier__weights"": ""uniform""}}, {""fold"": 3, ""inner_best_balanced_accuracy"": 0.566880341880342, ""parameters"": {""classifier__metric"": ""euclidean"", ""classifier__n_neighbors"": 7, ""classifier__weights"": ""uniform""}}, {""fold"": 4, ""inner_best_balanced_accuracy"": 0.5903846153846154, ""parameters"": {""classifier__metric"": ""euclidean"", ""classifier__n_neighbors"": 7, ""classifier__weights"": ""uniform""}}, {""fold"": 5, ""inner_best_balanced_accuracy"": 0.5613247863247864, ""parameters"": {""classifier__metric"": ""euclidean"", ""classifier__n_neighbors"": 11, ""classifier__weights"": ""uniform""}}]",42,4,
P36,valence,eeg,svm,3,3,5,0.5452525252525253,0.10454745520947151,0.550952380952381,0.09925573374003192,"[{""fold"": 1, ""inner_best_balanced_accuracy"": 0.5916666666666667, ""parameters"": {""classifier__C"": 10, ""classifier__class_weight"": ""balanced"", ""classifier__gamma"": 0.01, ""classifier__kernel"": ""rbf""}}, {""fold"": 2, ""inner_best_balanced_accuracy"": 0.5786935286935287, ""parameters"": {""classifier__C"": 0.1, ""classifier__class_weight"": null, ""classifier__kernel"": ""linear""}}, {""fold"": 3, ""inner_best_balanced_accuracy"": 0.527991452991453, ""parameters"": {""classifier__C"": 10, ""classifier__class_weight"": ""balanced"", ""classifier__gamma"": 1, ""classifier__kernel"": ""rbf""}}, {""fold"": 4, ""inner_best_balanced_accuracy"": 0.5596153846153847, ""parameters"": {""classifier__C"": 10, ""classifier__class_weight"": ""balanced"", ""classifier__gamma"": 0.1, ""classifier__kernel"": ""rbf""}}, {""fold"": 5, ""inner_best_balanced_accuracy"": 0.5914529914529915, ""parameters"": {""classifier__C"": 10, ""classifier__class_weight"": ""balanced"", ""classifier__gamma"": 1, ""classifier__kernel"": ""rbf""}}]",42,4,
P36,valence,eeg,svm,5,5,5,0.5271717171717172,0.06071068410564194,0.5404761904761906,0.06394087404899672,"[{""fold"": 1, ""inner_best_balanced_accuracy"": 0.6472222222222223, ""parameters"": {""classifier__C"": 0.1, ""classifier__class_weight"": ""balanced"", ""classifier__kernel"": ""linear""}}, {""fold"": 2, ""inner_best_balanced_accuracy"": 0.5662087912087912, ""parameters"": {""classifier__C"": 10, ""classifier__class_weight"": ""balanced"", ""classifier__gamma"": 0.001, ""classifier__kernel"": ""rbf""}}, {""fold"": 3, ""inner_best_balanced_accuracy"": 0.5397435897435897, ""parameters"": {""classifier__C"": 10, ""classifier__class_weight"": null, ""classifier__gamma"": 1, ""classifier__kernel"": ""rbf""}}, {""fold"": 4, ""inner_best_balanced_accuracy"": 0.5630341880341881, ""parameters"": {""classifier__C"": 10, ""classifier__class_weight"": null, ""classifier__gamma"": 0.1, ""classifier__kernel"": ""rbf""}}, {""fold"": 5, ""inner_best_balanced_accuracy"": 0.5948717948717949, ""parameters"": {""classifier__C"": 10, ""classifier__class_weight"": null, ""classifier__gamma"": 1, ""classifier__kernel"": ""rbf""}}]",42,4,
P36,valence,eeg,svm,8,8,5,0.5523737373737374,0.10625374429984558,0.5604761904761906,0.10521115794012555,"[{""fold"": 1, ""inner_best_balanced_accuracy"": 0.6055555555555556, ""parameters"": {""classifier__C"": 10, ""classifier__class_weight"": ""balanced"", ""classifier__gamma"": 0.01, ""classifier__kernel"": ""rbf""}}, {""fold"": 2, ""inner_best_balanced_accuracy"": 0.6097374847374848, ""parameters"": {""classifier__C"": 10, ""classifier__class_weight"": ""balanced"", ""classifier__gamma"": 0.1, ""classifier__kernel"": ""rbf""}}, {""fold"": 3, ""inner_best_balanced_accuracy"": 0.5119658119658119, ""parameters"": {""classifier__C"": 0.01, ""classifier__class_weight"": ""balanced"", ""classifier__kernel"": ""linear""}}, {""fold"": 4, ""inner_best_balanced_accuracy"": 0.567948717948718, ""parameters"": {""classifier__C"": 1, ""classifier__class_weight"": ""balanced"", ""classifier__gamma"": 1, ""classifier__kernel"": ""rbf""}}, {""fold"": 5, ""inner_best_balanced_accuracy"": 0.5935897435897436, ""parameters"": {""classifier__C"": 1, ""classifier__class_weight"": null, ""classifier__gamma"": 0.1, ""classifier__kernel"": ""rbf""}}]",42,4,
P36,valence,eeg,svm,10,10,5,0.4945454545454545,0.09125992907978497,0.51,0.0918739153760773,"[{""fold"": 1, ""inner_best_balanced_accuracy"": 0.5944444444444444, ""parameters"": {""classifier__C"": 0.1, ""classifier__class_weight"": ""balanced"", ""classifier__kernel"": ""linear""}}, {""fold"": 2, ""inner_best_balanced_accuracy"": 0.5334249084249084, ""parameters"": {""classifier__C"": 10, ""classifier__class_weight"": null, ""classifier__gamma"": ""scale"", ""classifier__kernel"": ""rbf""}}, {""fold"": 3, ""inner_best_balanced_accuracy"": 0.5222222222222221, ""parameters"": {""classifier__C"": 10, ""classifier__class_weight"": null, ""classifier__gamma"": 1, ""classifier__kernel"": ""rbf""}}, {""fold"": 4, ""inner_best_balanced_accuracy"": 0.5497863247863248, ""parameters"": {""classifier__C"": 100, ""classifier__class_weight"": null, ""classifier__kernel"": ""linear""}}, {""fold"": 5, ""inner_best_balanced_accuracy"": 0.5728632478632479, ""parameters"": {""classifier__C"": 1, ""classifier__class_weight"": null, ""classifier__gamma"": 0.01, ""classifier__kernel"": ""rbf""}}]",42,4,
