participant,target,task,model_rank,model_label,condition,median_nearest_image_distance,median_abs_z,out_of_range_fraction,shift_flag,shift_reason
P15,valence,shape_sorter_alone,3,Face GNB Top-10,no-ICA,8.113681991651003,2.0567252055614365,0.3333333333333333,False,
P15,valence,shape_sorter_interaction,3,Face GNB Top-10,no-ICA,6.5672106091819415,1.924526206216782,0.3712499999999999,False,
P15,valence,shape_sorter_observation,3,Face GNB Top-10,no-ICA,5.743041782372302,1.5904563278576151,0.3009615384615384,False,
P15,valence,sisyphus,3,Face GNB Top-10,no-ICA,6.027801450894076,1.4893048429642817,0.2726315789473684,False,
P15,valence,stack,3,Face GNB Top-10,no-ICA,5.12579014165336,1.307526115521859,0.2770491803278688,False,
P15,arousal,pick_place,1,Face GNB Top-5,no-ICA,1.964705896968572,1.4904696481171475,0.23,False,
P15,arousal,shape_sorter_alone,1,Face GNB Top-5,no-ICA,2.0541728138938877,1.50487066200985,0.1166666666666666,False,
P15,arousal,shape_sorter_interaction,1,Face GNB Top-5,no-ICA,1.9115514212154656,1.390248235066065,0.1375,False,
P15,arousal,shape_sorter_observation,1,Face GNB Top-5,no-ICA,1.6265181690812198,1.2097067565587802,0.1192307692307692,False,
P15,arousal,sisyphus,1,Face GNB Top-5,no-ICA,1.5555962201905449,1.0503783942226113,0.0926315789473684,False,
P15,arousal,stack,1,Face GNB Top-5,no-ICA,1.4184279741071475,1.166012115151566,0.121311475409836,False,
P15,arousal,pick_place,2,Multimodal KNN All,no-ICA,20.12239191408661,0.7932035659106094,0.0684615384615384,True,median nearest Image-training distance > 10 in selected standardized feature space
P15,arousal,shape_sorter_alone,2,Multimodal KNN All,no-ICA,24.910683256615386,0.910452225250016,0.0987179487179487,True,median nearest Image-training distance > 10 in selected standardized feature space
P15,arousal,shape_sorter_interaction,2,Multimodal KNN All,no-ICA,17.190980388742496,0.8215757425852022,0.073076923076923,True,median nearest Image-training distance > 10 in selected standardized feature space
P15,arousal,shape_sorter_observation,2,Multimodal KNN All,no-ICA,15.812067286266508,0.8009925920006086,0.0575443786982248,True,median nearest Image-training distance > 10 in selected standardized feature space
P15,arousal,sisyphus,2,Multimodal KNN All,no-ICA,16.588194422579566,0.8667100868547941,0.0697165991902833,True,median nearest Image-training distance > 10 in selected standardized feature space
P15,arousal,stack,2,Multimodal KNN All,no-ICA,15.331296563025678,0.812479363575392,0.0614123581336696,True,median nearest Image-training distance > 10 in selected standardized feature space
P15,arousal,pick_place,3,Multimodal GNB Top-20,no-ICA,8.23285553749946,0.898383796925499,0.1075,False,
P15,arousal,shape_sorter_alone,3,Multimodal GNB Top-20,no-ICA,9.091686150760172,0.9600768841963352,0.1333333333333333,False,
P15,arousal,shape_sorter_interaction,3,Multimodal GNB Top-20,no-ICA,4.657530169390739,0.8815726613808352,0.07625,False,
P15,arousal,shape_sorter_observation,3,Multimodal GNB Top-20,no-ICA,4.242453315487454,0.8450949531806169,0.0509615384615384,False,
P15,arousal,sisyphus,3,Multimodal GNB Top-20,no-ICA,4.577024019658783,0.8636704925358052,0.0673684210526315,False,
P15,arousal,stack,3,Multimodal GNB Top-20,no-ICA,4.218533115488065,0.8174683612619574,0.0549180327868852,False,
