participant,representation,target,task,window_id,window_index,window_start_s,predicted_class,high_class_score,nearest_image_distance,image_reference_distance_percentile,image_reference_nearest_distance_p95,image_reference_nearest_distance_max,nearest_distance_exceeds_image_p95,nearest_distance_exceeds_image_max,feature_domain_reliability,selected_feature_abs_z_median,selected_feature_abs_z_p95
P19,A_existing_robot_features,valence,pick_place,pick_place_s1_26.000,27,26.0,LOW,3.9476923793308035e-11,4.651509149337693,100.0,1.3099880359456375,2.3901764237130623,True,True,beyond_image_reference,1.3341701373498436,6.798622109841729
P19,A_existing_robot_features,valence,pick_place,pick_place_s1_27.000,28,27.0,LOW,2.221864750286756e-27,9.16500574992913,100.0,1.3099880359456375,2.3901764237130623,True,True,beyond_image_reference,1.9991539434875751,10.935171627144715
P19,A_existing_robot_features,valence,pick_place,pick_place_s1_28.000,29,28.0,LOW,3.40754692461663e-70,17.85160016426002,100.0,1.3099880359456375,2.3901764237130623,True,True,beyond_image_reference,3.639159905666768,17.976602069351525
P19,A_existing_robot_features,valence,pick_place,pick_place_s1_29.000,30,29.0,LOW,1.2145327186905583e-38,11.974048388872962,100.0,1.3099880359456375,2.3901764237130623,True,True,beyond_image_reference,2.1890818184619762,13.171496474168869
P19,A_existing_robot_features,valence,pick_place,pick_place_s1_30.000,31,30.0,LOW,2.4843783314534647e-88,20.57489794935962,100.0,1.3099880359456375,2.3901764237130623,True,True,beyond_image_reference,4.630828344611247,20.226539251271273
P19,A_existing_robot_features,valence,pick_place,pick_place_s1_31.000,32,31.0,LOW,1.8706076618545398e-208,35.01413190767367,100.0,1.3099880359456375,2.3901764237130623,True,True,beyond_image_reference,4.407068558326419,31.96232820202997
P19,A_existing_robot_features,valence,pick_place,pick_place_s1_32.000,33,32.0,LOW,2.670086695258241e-144,28.239737781131986,100.0,1.3099880359456375,2.3901764237130623,True,True,beyond_image_reference,3.39448482121715,26.42785154476067
P19,A_existing_robot_features,valence,pick_place,pick_place_s1_33.000,34,33.0,LOW,2.525119525254129e-46,13.121529350221309,100.0,1.3099880359456375,2.3901764237130623,True,True,beyond_image_reference,3.185454166627617,14.168269981932959
P19,A_existing_robot_features,valence,pick_place,pick_place_s1_34.000,35,34.0,LOW,1.1701937563723513e-51,13.750202230623874,100.0,1.3099880359456375,2.3901764237130623,True,True,beyond_image_reference,4.884892141931613,14.552099422188611
P19,A_existing_robot_features,valence,pick_place,pick_place_s1_35.000,36,35.0,LOW,5.109986587786863e-188,32.504161943960035,100.0,1.3099880359456375,2.3901764237130623,True,True,beyond_image_reference,6.03906209395541,30.010330013253842
P19,A_existing_robot_features,valence,pick_place,pick_place_s1_36.000,37,36.0,LOW,5.222615717929413e-59,16.046016646767818,100.0,1.3099880359456375,2.3901764237130623,True,True,beyond_image_reference,2.957115858989573,16.429396723379277
P19,A_existing_robot_features,valence,pick_place,pick_place_s1_37.000,38,37.0,LOW,1.9423501088282654e-20,7.053075343853968,100.0,1.3099880359456375,2.3901764237130623,True,True,beyond_image_reference,1.9991539434875751,9.119756877085686
P19,A_existing_robot_features,valence,pick_place,pick_place_s1_38.000,39,38.0,LOW,1.1525343880706573e-42,12.247569902170845,100.0,1.3099880359456375,2.3901764237130623,True,True,beyond_image_reference,4.138001091285887,13.372584342907057
P19,A_existing_robot_features,valence,pick_place,pick_place_s1_39.000,40,39.0,LOW,5.930633560675678e-37,11.14458216568599,100.0,1.3099880359456375,2.3901764237130623,True,True,beyond_image_reference,3.262641333910645,12.491919180189356
P19,A_existing_robot_features,valence,pick_place,pick_place_s1_40.000,41,40.0,LOW,0.0,105.79249232258337,100.0,1.3099880359456375,2.3901764237130623,True,True,beyond_image_reference,8.477009914584887,89.7989834436005
P19,A_existing_robot_features,valence,pick_place,pick_place_s1_41.000,42,41.0,LOW,0.0,146.791665545587,100.0,1.3099880359456375,2.3901764237130623,True,True,beyond_image_reference,7.944796229485667,122.50874324088879
P19,A_existing_robot_features,valence,shape_sorter_observation,shape_sorter_observation_s1_0.000,1,0.0,LOW,0.0,102873.28726025109,100.0,1.3099880359456375,2.3901764237130623,True,True,beyond_image_reference,2.7861041325879694,82303.95888310707
P19,A_existing_robot_features,valence,shape_sorter_observation,shape_sorter_observation_s1_1.000,2,1.0,LOW,0.0,1319.9922301175332,100.0,1.3099880359456375,2.3901764237130623,True,True,beyond_image_reference,11.667507316925487,1071.5044788522025
P19,A_existing_robot_features,valence,shape_sorter_observation,shape_sorter_observation_s1_2.000,3,2.0,LOW,0.0,51.01788035831986,100.0,1.3099880359456375,2.3901764237130623,True,True,beyond_image_reference,5.3942578253822,45.319868192352914
P19,A_existing_robot_features,valence,shape_sorter_observation,shape_sorter_observation_s1_3.000,4,3.0,LOW,2.3029538266704628e-12,3.3773053646562987,100.0,1.3099880359456375,2.3901764237130623,True,True,beyond_image_reference,2.3440523098049573,5.025321530883274
P19,A_existing_robot_features,valence,shape_sorter_observation,shape_sorter_observation_s1_4.000,5,4.0,LOW,1.8512677646085196e-303,43.05790614821083,100.0,1.3099880359456375,2.3901764237130623,True,True,beyond_image_reference,6.519185709266636,38.63574054278374
P19,A_existing_robot_features,valence,shape_sorter_observation,shape_sorter_observation_s1_5.000,6,5.0,LOW,5.302233732509111e-72,17.69321540579417,100.0,1.3099880359456375,2.3901764237130623,True,True,beyond_image_reference,3.363130694854295,17.9273509569111
P19,A_existing_robot_features,valence,shape_sorter_observation,shape_sorter_observation_s1_6.000,7,6.0,LOW,0.0,99.65116633363888,100.0,1.3099880359456375,2.3901764237130623,True,True,beyond_image_reference,7.129924063359137,84.33863563434772
P19,A_existing_robot_features,valence,shape_sorter_observation,shape_sorter_observation_s1_7.000,8,7.0,LOW,1.61259338303276e-295,41.962077316486315,100.0,1.3099880359456375,2.3901764237130623,True,True,beyond_image_reference,7.0314943625606094,37.799307769629614
P19,A_existing_robot_features,valence,shape_sorter_observation,shape_sorter_observation_s1_8.000,9,8.0,LOW,9.484495301666484e-165,30.224388596778233,100.0,1.3099880359456375,2.3901764237130623,True,True,beyond_image_reference,5.981520115042744,28.041212511426767
P19,A_existing_robot_features,valence,shape_sorter_observation,shape_sorter_observation_s1_9.000,10,9.0,LOW,0.0,99.00386502368437,100.0,1.3099880359456375,2.3901764237130623,True,True,beyond_image_reference,5.83105731744998,83.88806901928112
P19,A_existing_robot_features,valence,shape_sorter_observation,shape_sorter_observation_s1_10.000,11,10.0,LOW,0.0,78.93068369287838,100.0,1.3099880359456375,2.3901764237130623,True,True,beyond_image_reference,5.941775323477865,67.64585629323116
P19,A_existing_robot_features,valence,shape_sorter_observation,shape_sorter_observation_s1_11.000,12,11.0,LOW,0.028329200529703474,0.9961042302735256,88.33333333333333,1.3099880359456375,2.3901764237130623,False,False,within_reference,0.8647136515101991,2.994097752427093
P19,A_existing_robot_features,valence,shape_sorter_observation,shape_sorter_observation_s1_12.000,13,12.0,LOW,2.6569067732992287e-30,9.503029073947742,100.0,1.3099880359456375,2.3901764237130623,True,True,beyond_image_reference,2.990137129814012,11.210404502685838
P19,A_existing_robot_features,valence,shape_sorter_observation,shape_sorter_observation_s1_13.000,14,13.0,LOW,2.2656752267337465e-150,28.50823470959092,100.0,1.3099880359456375,2.3901764237130623,True,True,beyond_image_reference,6.521657563818105,26.614776493571398
P19,A_existing_robot_features,valence,shape_sorter_observation,shape_sorter_observation_s1_14.000,15,14.0,LOW,0.0,62.70054098944703,100.0,1.3099880359456375,2.3901764237130623,True,True,beyond_image_reference,7.169991524829596,54.612834698956576
P19,A_existing_robot_features,valence,shape_sorter_observation,shape_sorter_observation_s1_15.000,16,15.0,LOW,0.0,49.422908174937575,100.0,1.3099880359456375,2.3901764237130623,True,True,beyond_image_reference,6.886141574717389,43.91328965371139
P19,A_existing_robot_features,valence,shape_sorter_observation,shape_sorter_observation_s1_16.000,17,16.0,LOW,2.42765738683583e-151,28.580723897504512,100.0,1.3099880359456375,2.3901764237130623,True,True,beyond_image_reference,4.0597302707949305,26.908071996225438
P19,A_existing_robot_features,valence,shape_sorter_observation,shape_sorter_observation_s1_17.000,18,17.0,LOW,1.4427445592975993e-08,3.9089627710549837,100.0,1.3099880359456375,2.3901764237130623,True,True,beyond_image_reference,0.45400334263251907,6.064394081682962
P19,A_existing_robot_features,valence,shape_sorter_observation,shape_sorter_observation_s1_18.000,19,18.0,LOW,2.1798275748920328e-37,11.341700391392521,100.0,1.3099880359456375,2.3901764237130623,True,True,beyond_image_reference,2.8668143381425337,12.653544670058881
P19,A_existing_robot_features,valence,shape_sorter_observation,shape_sorter_observation_s1_19.000,20,19.0,LOW,2.4659408033810833e-197,33.90573775689864,100.0,1.3099880359456375,2.3901764237130623,True,True,beyond_image_reference,3.925288932988959,31.09667535538857
P19,A_existing_robot_features,valence,shape_sorter_observation,shape_sorter_observation_s1_20.000,21,20.0,LOW,9.11383402686435e-69,17.890699578737664,100.0,1.3099880359456375,2.3901764237130623,True,True,beyond_image_reference,2.260196895847215,17.996734407839888
P19,A_existing_robot_features,valence,shape_sorter_observation,shape_sorter_observation_s1_21.000,22,21.0,LOW,1.4016261366152556e-65,17.32427547125321,100.0,1.3099880359456375,2.3901764237130623,True,True,beyond_image_reference,2.671906819328256,17.408164991918458
P19,A_existing_robot_features,valence,shape_sorter_observation,shape_sorter_observation_s1_22.000,23,22.0,LOW,9.285660891199734e-23,8.114130873662567,100.0,1.3099880359456375,2.3901764237130623,True,True,beyond_image_reference,2.0809393733423978,9.838096401641637
P19,A_existing_robot_features,valence,shape_sorter_observation,shape_sorter_observation_s1_23.000,24,23.0,LOW,4.192165561028119e-129,26.207049329662457,100.0,1.3099880359456375,2.3901764237130623,True,True,beyond_image_reference,3.4383262791926263,24.883423253573884
P19,A_existing_robot_features,valence,shape_sorter_observation,shape_sorter_observation_s1_24.000,25,24.0,LOW,8.512024599202966e-204,33.9196618550563,100.0,1.3099880359456375,2.3901764237130623,True,True,beyond_image_reference,6.016077648189513,31.203622555420118
P19,A_existing_robot_features,valence,shape_sorter_observation,shape_sorter_observation_s1_25.000,26,25.0,LOW,1.33241568373003e-299,43.06244959996367,100.0,1.3099880359456375,2.3901764237130623,True,True,beyond_image_reference,5.206923968347449,38.542379364827816
P19,A_existing_robot_features,valence,shape_sorter_observation,shape_sorter_observation_s1_26.000,27,26.0,LOW,0.00020687740687086413,2.369234738733129,99.16666666666667,1.3099880359456375,2.3901764237130623,True,False,above_image_95pct,1.027716116559981,4.111034891169272
P19,A_existing_robot_features,valence,shape_sorter_observation,shape_sorter_observation_s1_27.000,28,27.0,LOW,1.9675003259073608e-06,2.7767113743803638,100.0,1.3099880359456375,2.3901764237130623,True,True,beyond_image_reference,1.5920595043359826,4.970321221755464
P19,A_existing_robot_features,valence,shape_sorter_observation,shape_sorter_observation_s1_28.000,29,28.0,LOW,4.176846106913954e-08,2.7991077594974123,100.0,1.3099880359456375,2.3901764237130623,True,True,beyond_image_reference,1.703623821033967,5.142171687969071
P19,A_existing_robot_features,valence,shape_sorter_observation,shape_sorter_observation_s1_29.000,30,29.0,LOW,6.358659991676805e-62,16.746823038337407,100.0,1.3099880359456375,2.3901764237130623,True,True,beyond_image_reference,2.4234126703511447,16.925006749055992
P19,A_existing_robot_features,valence,shape_sorter_observation,shape_sorter_observation_s1_30.000,31,30.0,LOW,7.633990537609903e-46,13.341231726582043,100.0,1.3099880359456375,2.3901764237130623,True,True,beyond_image_reference,2.532005703848928,14.277549856276629
P19,A_existing_robot_features,valence,shape_sorter_observation,shape_sorter_observation_s1_31.000,32,31.0,LOW,6.620060102429806e-72,18.19043192295592,100.0,1.3099880359456375,2.3901764237130623,True,True,beyond_image_reference,3.5382974257932065,18.233461804605223
P19,A_existing_robot_features,valence,shape_sorter_observation,shape_sorter_observation_s1_32.000,33,32.0,LOW,4.737151193212725e-05,1.8115859727256634,98.33333333333333,1.3099880359456375,2.3901764237130623,True,False,above_image_95pct,1.764903640751658,3.558588575330826
P19,A_existing_robot_features,valence,shape_sorter_observation,shape_sorter_observation_s1_33.000,34,33.0,LOW,0.0013780674559269353,1.4918297402223364,98.33333333333333,1.3099880359456375,2.3901764237130623,True,False,above_image_95pct,1.7381109911279353,2.651364865531318
P19,A_existing_robot_features,valence,shape_sorter_observation,shape_sorter_observation_s1_34.000,35,34.0,LOW,3.738610818728754e-32,8.712227429967397,100.0,1.3099880359456375,2.3901764237130623,True,True,beyond_image_reference,4.356820013353535,9.3124476213931
P19,A_existing_robot_features,valence,shape_sorter_observation,shape_sorter_observation_s1_35.000,36,35.0,LOW,7.109059240712164e-162,29.045741998071666,100.0,1.3099880359456375,2.3901764237130623,True,True,beyond_image_reference,6.956983603795426,27.002503565892475
P19,A_existing_robot_features,valence,shape_sorter_observation,shape_sorter_observation_s1_36.000,37,36.0,LOW,1.488434404346911e-302,43.416551256717376,100.0,1.3099880359456375,2.3901764237130623,True,True,beyond_image_reference,4.064351940327121,38.80696753918552
