mode,participant,target,modality,regressor,feature_count_request,feature_count_resolved,folds,rmse_mean,rmse_std,rmse_median,rmse_min,rmse_max,mae_mean,mae_std,mae_median,mae_min,mae_max,r2_mean,r2_std,r2_median,r2_min,r2_max,explained_variance_mean,explained_variance_std,explained_variance_median,explained_variance_min,explained_variance_max
general,COHORT,arousal,eeg,knn,10,10,10,1.8066762636711378,0.2893973078868564,1.7380936630628108,1.2637825717010858,2.3519085503482278,1.5401775537479154,0.30981204206769725,1.501087791524211,0.9492204958370605,2.129545454545455,-0.28979554455386947,0.2973960785169999,-0.1759523554991108,-0.869840907851487,-0.0047252488994289354,-0.15586579981105286,0.18492158936543565,-0.09029385672166867,-0.5392925229321581,-0.003333123880516542
general,COHORT,arousal,eeg,knn,20,20,10,1.8255075341139375,0.29775097946647017,1.851659979482261,1.2912078186155762,2.391261785853069,1.545883532661046,0.3043738959332608,1.5856060606060605,0.996969696969697,2.148229266004399,-0.30978711460996605,0.2628884504429684,-0.25652271228047774,-0.7868364010343496,-0.009054748101094745,-0.17153441713431827,0.17161332462157763,-0.11125701893963313,-0.5364642664704915,-0.006743480826065573
general,COHORT,arousal,eeg,knn,5,5,10,1.7864484955013953,0.3139288776781857,1.7836168027707644,1.2908792871699852,2.346396921323563,1.5218747541748674,0.3157035555310282,1.5182274483571088,1.0345579527848505,2.087121212121212,-0.24127867776958833,0.2050424234861044,-0.1806732845138871,-0.7859272410122538,-0.08545503485139982,-0.10775523515732954,0.14565283988372313,-0.08783826938833306,-0.5032806572865716,0.00912297245367677
general,COHORT,arousal,eeg,knn,all,all,10,1.84568175223576,0.3088154206232767,1.8542578070649964,1.320038851685704,2.4123905362054368,1.569784017996427,0.30523037729572033,1.509835785694925,1.0343270729801255,2.1659090909090906,-0.34073520188856227,0.285809279167031,-0.2207224359510519,-0.867522849614458,-0.05555252272879341,-0.13643873352222047,0.11174610662093473,-0.09454866314823784,-0.3475783503576855,-0.0352433333784834
general,COHORT,arousal,eeg,ridge,10,10,10,1.7499437941302876,0.35094818642232906,1.6908587476843375,1.219182219293436,2.355569094773273,1.4979751185208159,0.33526119135149324,1.4959621983253883,0.9651055793949441,2.1230217177293453,-0.17872518898604903,0.16854943213847812,-0.1456583555439791,-0.5930512122145173,-0.014663587701940983,-0.033375608728140424,0.05434116908858949,-0.013867509920621579,-0.1317428768381168,0.021850627281826518
general,COHORT,arousal,eeg,ridge,20,20,10,1.744332182613552,0.3381202999227268,1.6841623487517046,1.2238418653085477,2.351645369349677,1.496757271153107,0.32684660377761726,1.4934489020055242,0.9634885420228078,2.1188472802720257,-0.1747732411233886,0.1724266661798374,-0.15703199352392183,-0.6052515869648283,-0.0204665134291242,-0.036618739947198754,0.06189973221320854,-0.02060812718302596,-0.19826724805254647,0.0164994380865916
general,COHORT,arousal,eeg,ridge,5,5,10,1.7191349062913317,0.3365815208829567,1.6710326841209735,1.22882885399425,2.3554582852005783,1.4842925210339426,0.327327052171246,1.490699120268133,0.9834369924346162,2.126152072508517,-0.14115537764532304,0.1765994809264922,-0.09583770957423143,-0.6183606039511043,-0.0005223355689898401,-0.012783200302829801,0.03255929884531516,0.0006957247305216518,-0.07593430949341773,0.019949304455236794
general,COHORT,arousal,eeg,ridge,all,all,10,1.8811312482045448,0.3520625423517831,1.8708934821732626,1.2196227490733256,2.3413935065929268,1.590464204426167,0.34178671144806505,1.6184029927217616,0.9517088181769331,2.0989182785761136,-0.37016077630185257,0.2335267773113257,-0.3466952932385605,-0.8625322530192776,-0.061142360795829465,-0.14799772155950427,0.10485395066767898,-0.14078399285899956,-0.31031789112929364,-0.018690715398700375
general,COHORT,arousal,eeg,svr,10,10,10,1.712487891297981,0.37641246063972006,1.737142383565926,1.0803824682534735,2.411881330801225,1.4609499633286287,0.37715429504751546,1.4604250436680872,0.8001506623832884,2.16438001320565,-0.11595164903054904,0.13399817232312955,-0.0444347227384716,-0.3432126341874908,0.0034346048950053554,-0.008111557019523031,0.025606373446289743,-0.0005731147653817437,-0.07883273274570346,0.010011081915450526
general,COHORT,arousal,eeg,svr,20,20,10,1.7298571695318306,0.350543333758526,1.7555875065179718,1.2166823693397575,2.4091999510186817,1.478355371314228,0.3437153423434891,1.4685897016725193,0.954540493868979,2.158344786847435,-0.1554796849695201,0.20125920950402262,-0.05269882078865196,-0.5865250242048059,0.006482930554272626,-0.03854153156141762,0.11014900038870869,-0.0051166652590605155,-0.35132757067924003,0.007864661429083375
general,COHORT,arousal,eeg,svr,5,5,10,1.7024944028966154,0.37357401236414267,1.7219092144919959,1.0655351270052558,2.389720850917563,1.4503676034970712,0.3780416755837689,1.4562607699104795,0.7663613244944221,2.142212700823072,-0.10216874160600173,0.1256789521732427,-0.02845201173051848,-0.31454310954829245,0.0028477034393800116,0.00011448576986859971,0.011672794152908103,0.0034856989269497762,-0.030867824890401074,0.010580741420497364
