branch,target,task_type,metric,n_participants,mean,sd,median,q1,q3,iqr
eeg_only,arousal,Observation,task_consensus_p_high,46,0.5467432591214616,0.2502181795202415,0.5542963224228652,0.4564023196232331,0.7186660860625383,0.26226376643930527
eeg_only,arousal,Observation,absolute_margin,46,0.2141815407313282,0.15003064790097614,0.187638067730732,0.0834719472130501,0.29981152192445726,0.21633957471140716
eeg_only,arousal,Observation,unanimous_agreement_rate,46,0.6714934393662569,0.19332846190475564,0.7037482981621743,0.5410872709607193,0.8081818479089021,0.26709457694818284
eeg_only,arousal,Observation,disagreement_rate,46,0.3285065606337431,0.1933284619047557,0.2962517018378257,0.19181815209109782,0.4589127290392807,0.2670945769481829
eeg_only,arousal,Observation,mean_top3_probability_range,46,0.2840357578943447,0.13356767923663515,0.2855680617847599,0.20837975941814277,0.3813645219967877,0.17298476257864495
eeg_only,arousal,Observation,median_top3_probability_range,46,0.260013964623034,0.14564159791863016,0.25882797370964034,0.152811066693551,0.3477334699634299,0.19492240326987892
eeg_only,arousal,Observation,complete_top3_coverage,46,1.0,0.0,1.0,1.0,1.0,0.0
eeg_only,arousal,Observation,nearest_image_distance,46,2.749820440822813,2.055770050963282,2.149510654791819,1.883835836238348,2.710042272330349,0.826206436092001
eeg_only,arousal,Observation,outside_selected_fraction,46,0.09751261899177006,0.06360026040375126,0.08393722324178363,0.0526577395604059,0.1113550478387217,0.058697308278315805
eeg_only,arousal,Observation,median_abs_image_z,46,0.8936597624743822,0.25146298944153983,0.8311420221041679,0.7684725968836383,0.9735340090694692,0.20506141218583085
eeg_only,arousal,Interaction,task_consensus_p_high,44,0.5362136474814453,0.295996593845464,0.5378824430807607,0.3817803614286942,0.7705483127422419,0.3887679513135477
eeg_only,arousal,Interaction,absolute_margin,44,0.2459078121874861,0.16666514984010172,0.23158865334244982,0.11002117345441,0.4238194419359633,0.31379826848155334
eeg_only,arousal,Interaction,unanimous_agreement_rate,44,0.664703901860637,0.21988487515323654,0.6863348256467486,0.5984156451359421,0.7800050301810866,0.18158938504514444
eeg_only,arousal,Interaction,disagreement_rate,44,0.33529609813936295,0.21988487515323657,0.31366517435325136,0.21999496981891345,0.4015843548640578,0.18158938504514435
eeg_only,arousal,Interaction,mean_top3_probability_range,44,0.2962878935593552,0.16405172242235452,0.2873734554982258,0.20334752973465023,0.36435344140511383,0.1610059116704636
eeg_only,arousal,Interaction,median_top3_probability_range,44,0.2738074910503741,0.1872510114678789,0.25062302152999427,0.1646427927450555,0.3538799604807826,0.18923716773572707
eeg_only,arousal,Interaction,complete_top3_coverage,44,1.0,0.0,1.0,1.0,1.0,0.0
eeg_only,arousal,Interaction,nearest_image_distance,44,4.218016309944479,4.334616976342052,2.4428175080056667,2.077616329412092,3.822500645730168,1.7448843163180756
eeg_only,arousal,Interaction,outside_selected_fraction,44,0.13177178217663896,0.0929858427914512,0.11259365494626972,0.06721576412807752,0.16639451457266444,0.09917875044458692
eeg_only,arousal,Interaction,median_abs_image_z,44,1.0609719178742998,0.47503245465806926,0.9335583548128177,0.815794909397505,1.074358091595426,0.25856318219792107
eeg_only,arousal,Alone,task_consensus_p_high,44,0.5375084735369143,0.34268115877748506,0.53012619047947,0.272537855577212,0.8460944904079364,0.5735566348307244
eeg_only,arousal,Alone,absolute_margin,44,0.2962178688848614,0.17054141020436198,0.3005003842617215,0.1411770048618307,0.48708881179666474,0.34591180693483403
eeg_only,arousal,Alone,unanimous_agreement_rate,44,0.6766058306933761,0.2768556181110866,0.7241379310344828,0.4875,0.9130434782608696,0.42554347826086963
eeg_only,arousal,Alone,disagreement_rate,44,0.32339416930662396,0.2768556181110866,0.2758620689655172,0.0869565217391304,0.5125,0.4255434782608696
eeg_only,arousal,Alone,mean_top3_probability_range,44,0.31458137823438076,0.19601423186266898,0.29720140639093373,0.17879098569366486,0.4290046349586809,0.25021364926501605
eeg_only,arousal,Alone,median_top3_probability_range,44,0.2821776206113949,0.22509548426214318,0.2719018416656117,0.14543465592441265,0.3861136142107402,0.24067895828632754
eeg_only,arousal,Alone,complete_top3_coverage,44,1.0,0.0,1.0,1.0,1.0,0.0
eeg_only,arousal,Alone,nearest_image_distance,44,7.533153958474588,9.433337647443903,3.9411148534960034,2.5399198954510283,7.067289784885716,4.527369889434688
eeg_only,arousal,Alone,outside_selected_fraction,44,0.21109965858656032,0.14501367873071222,0.16609195402298843,0.10815092165898615,0.2586904761904762,0.15053955453149004
eeg_only,arousal,Alone,median_abs_image_z,44,1.4520084674498879,1.0387553316153315,1.0856352434060188,0.9400151856676601,1.387859062601745,0.447843876934085
eeg_only,valence,Observation,task_consensus_p_high,46,0.5533016649891355,0.16275536763239332,0.5178922334554672,0.46559659551039784,0.6458796071565753,0.1802830116461775
eeg_only,valence,Observation,absolute_margin,46,0.1337426732922571,0.12144887363550641,0.0896734928693928,0.046154573451034325,0.16284836868603747,0.11669379523500314
eeg_only,valence,Observation,unanimous_agreement_rate,46,0.6660311836238936,0.14660445144571282,0.6992011503583494,0.5729493831328134,0.7617884135649573,0.1888390304321439
eeg_only,valence,Observation,disagreement_rate,46,0.3339688163761062,0.14660445144571285,0.3007988496416505,0.2382115864350427,0.42705061686718654,0.18883903043214384
