branch,target,actual_condition,metric,n_participants,mean,sd,median,q1,q3,iqr
eeg_only,arousal,CONTROL_SLOW,task_consensus_p_high,45,0.5463599670451029,0.27452401198763804,0.5111936350438898,0.4102987939697681,0.7661232274785705,0.35582443350880244
eeg_only,arousal,CONTROL_SLOW,absolute_margin,45,0.21936864934596367,0.16836040611164874,0.1669619743048879,0.0582461110551923,0.3388333977513145,0.2805872866961222
eeg_only,arousal,CONTROL_SLOW,unanimous_agreement_rate,45,0.6741909005295963,0.19964915944672185,0.7207207207207207,0.5619834710743802,0.8048780487804879,0.24289457770610767
eeg_only,arousal,CONTROL_SLOW,disagreement_rate,45,0.32580909947040365,0.19964915944672185,0.2792792792792792,0.1951219512195122,0.4380165289256198,0.24289457770610762
eeg_only,arousal,CONTROL_SLOW,mean_top3_probability_range,45,0.2872051434018166,0.1390122978084191,0.2729554138746672,0.2097112105817934,0.39339453265815,0.1836833220763566
eeg_only,arousal,CONTROL_SLOW,median_top3_probability_range,45,0.25983884150850406,0.15012396692075963,0.2475716065929562,0.1513392510404612,0.3609600736268878,0.20962082258642661
eeg_only,arousal,CONTROL_SLOW,complete_top3_coverage,45,1.0,0.0,1.0,1.0,1.0,0.0
eeg_only,arousal,CONTROL_SLOW,nearest_image_distance,45,2.444863716926634,1.2549816450121047,2.1491363345128,1.7863413946214284,2.700774404907857,0.9144330102864286
eeg_only,arousal,CONTROL_SLOW,outside_selected_fraction,45,0.08801710504231701,0.055768169760488116,0.0717213114754098,0.0444444444444444,0.12,0.0755555555555556
eeg_only,arousal,CONTROL_SLOW,median_abs_image_z,45,0.8418300808787701,0.1903394793138183,0.8121529904195084,0.7093870386172809,0.9219908960240868,0.21260385740680587
eeg_only,arousal,CONTROL_FAST,task_consensus_p_high,46,0.5598975621096283,0.26979474280187826,0.5472034293300996,0.40454538065117407,0.7572851660565996,0.3527397854054255
eeg_only,arousal,CONTROL_FAST,absolute_margin,46,0.22143280814019897,0.1622792311998581,0.19952000438661938,0.09041060889161777,0.3216934472215264,0.2312828383299086
eeg_only,arousal,CONTROL_FAST,unanimous_agreement_rate,46,0.6664412544291005,0.21284150718032543,0.6771181716833892,0.5442583732057417,0.8116620288388566,0.26740365563311497
eeg_only,arousal,CONTROL_FAST,disagreement_rate,46,0.33355874557089954,0.21284150718032543,0.32288182831661094,0.18833797116114342,0.4557416267942583,0.26740365563311486
eeg_only,arousal,CONTROL_FAST,mean_top3_probability_range,46,0.28356988531960103,0.13055218367263025,0.2770677993404814,0.2141552269617628,0.38394154677391445,0.16978631981215164
eeg_only,arousal,CONTROL_FAST,median_top3_probability_range,46,0.2571951291085507,0.13728599117463328,0.24589624768419,0.16890479022946833,0.3716023391327996,0.20269754890333128
eeg_only,arousal,CONTROL_FAST,complete_top3_coverage,46,1.0,0.0,1.0,1.0,1.0,0.0
eeg_only,arousal,CONTROL_FAST,nearest_image_distance,46,3.095688098971902,4.322133446495097,2.2562474176358074,1.860640421438416,2.6515719170324124,0.7909314955939963
eeg_only,arousal,CONTROL_FAST,outside_selected_fraction,46,0.10309572364070184,0.0799286382061566,0.07524664811535535,0.05564258312020455,0.12598684210526315,0.0703442589850586
eeg_only,arousal,CONTROL_FAST,median_abs_image_z,46,0.9152204974279129,0.3181737001770828,0.8420738052177863,0.7696693381345848,0.977524993263488,0.20785565512890314
eeg_only,arousal,FAULTY_FAST,task_consensus_p_high,46,0.5329341125120519,0.2584548132804934,0.5462293894466184,0.3928236785306126,0.7265860269109587,0.33376234838034613
eeg_only,arousal,FAULTY_FAST,absolute_margin,46,0.20446608732110852,0.15865761307299542,0.20344617862327874,0.05905768166939197,0.29079029759960173,0.23173261593020977
eeg_only,arousal,FAULTY_FAST,unanimous_agreement_rate,46,0.6724141070577833,0.2221046431318232,0.7119815668202765,0.5414519906323185,0.8415317559153175,0.30007976528299896
eeg_only,arousal,FAULTY_FAST,disagreement_rate,46,0.32758589294221674,0.22210464313182318,0.28801843317972353,0.15846824408468244,0.4585480093676815,0.30007976528299907
eeg_only,arousal,FAULTY_FAST,mean_top3_probability_range,46,0.282853560069941,0.1479850165063028,0.27798857512514596,0.18904937289266244,0.33819132890801373,0.1491419560153513
eeg_only,arousal,FAULTY_FAST,median_top3_probability_range,46,0.26376073176931786,0.17305100255120076,0.26497639225873504,0.13480611100440704,0.3306626552138189,0.19585654420941184
eeg_only,arousal,FAULTY_FAST,complete_top3_coverage,46,1.0,0.0,1.0,1.0,1.0,0.0
eeg_only,arousal,FAULTY_FAST,nearest_image_distance,46,2.6883596542907906,1.7222011540553048,2.096085321208345,1.813877578451057,2.81210165343747,0.9982240749864131
eeg_only,arousal,FAULTY_FAST,outside_selected_fraction,46,0.09928161376650808,0.07425428299182753,0.07522509003601435,0.0500446428571428,0.12080933179723499,0.07076468894009219
eeg_only,arousal,FAULTY_FAST,median_abs_image_z,46,0.9165185441371339,0.3326441523730843,0.8194215790069388,0.761137280121236,0.9505400171855003,0.18940273706426425
eeg_only,valence,CONTROL_SLOW,task_consensus_p_high,45,0.5730320004700348,0.17917461659941342,0.5429573123960958,0.462250856617407,0.6702678018587342,0.20801694524132724
eeg_only,valence,CONTROL_SLOW,absolute_margin,45,0.14396067177829971,0.12791694887316446,0.1082973195885075,0.0395706868165842,0.1845812101410207,0.14501052332443648
eeg_only,valence,CONTROL_SLOW,unanimous_agreement_rate,45,0.6791295808626926,0.14771532333070114,0.6972477064220184,0.5702479338842975,0.7815126050420168,0.2112646711577193
eeg_only,valence,CONTROL_SLOW,disagreement_rate,45,0.3208704191373074,0.14771532333070114,0.3027522935779816,0.2184873949579832,0.4297520661157025,0.2112646711577193
eeg_only,valence,CONTROL_SLOW,mean_top3_probability_range,45,0.2744462958328994,0.11419124621037538,0.2757736811640602,0.1822967450024458,0.3704573089100573,0.1881605639076115
eeg_only,valence,CONTROL_SLOW,median_top3_probability_range,45,0.2555271289503738,0.11784626578304526,0.2459480337792855,0.1604442088162512,0.3630355102378633,0.20259130142161208
eeg_only,valence,CONTROL_SLOW,complete_top3_coverage,45,1.0,0.0,1.0,1.0,1.0,0.0
eeg_only,valence,CONTROL_SLOW,nearest_image_distance,45,2.129114834223951,0.7651495975844946,2.025573645286792,1.66579023745374,2.5322667874924423,0.8664765500387022
eeg_only,valence,CONTROL_SLOW,outside_selected_fraction,45,0.0990159981547114,0.061188638969093094,0.0904761904761904,0.0513761467889908,0.128125,0.07674885321100919
eeg_only,valence,CONTROL_SLOW,median_abs_image_z,45,0.8866370038309913,0.19618625413328267,0.8731554861511522,0.7617875905870302,0.9933223001548992,0.23153470956786903
eeg_only,valence,CONTROL_FAST,task_consensus_p_high,46,0.5538390818274054,0.17653262874418427,0.5279888870005075,0.4526901177716118,0.6395390693061738,0.186848951534562
eeg_only,valence,CONTROL_FAST,absolute_margin,46,0.12983403219061984,0.12998214091845453,0.077907235595448,0.03600097426035085,0.16290103669710676,0.12690006243675592
eeg_only,valence,CONTROL_FAST,unanimous_agreement_rate,46,0.6568133343865833,0.18256471746205272,0.6939799331103679,0.49709752321981415,0.8193753454947486,0.3222778222749344
eeg_only,valence,CONTROL_FAST,disagreement_rate,46,0.3431866656134167,0.18256471746205272,0.3060200668896321,0.1806246545052515,0.5029024767801857,0.32227782227493423
eeg_only,valence,CONTROL_FAST,mean_top3_probability_range,46,0.2771520171658227,0.11186384432599283,0.2747759821641115,0.17917958853708107,0.33993563396842,0.16075604543133895
eeg_only,valence,CONTROL_FAST,median_top3_probability_range,46,0.2620352228284193,0.11737513075012108,0.2481209745093002,0.15615179697822337,0.3398928307125994,0.18374103373437603
eeg_only,valence,CONTROL_FAST,complete_top3_coverage,46,1.0,0.0,1.0,1.0,1.0,0.0
eeg_only,valence,CONTROL_FAST,nearest_image_distance,46,2.514589944563993,3.0596119935536663,2.0509161129831366,1.6000257396735573,2.52362562353225,0.9235998838586925
eeg_only,valence,CONTROL_FAST,outside_selected_fraction,46,0.11042979787790108,0.07312251462233382,0.09226067936181159,0.054967948717948675,0.14382142857142854,0.08885347985347987
eeg_only,valence,CONTROL_FAST,median_abs_image_z,46,0.9346257797860243,0.264394488141941,0.9147750128309706,0.817773228984791,1.0207291318321878,0.20295590284739684
eeg_only,valence,FAULTY_FAST,task_consensus_p_high,46,0.5359310570327026,0.1914589742126786,0.5043296346999355,0.4595598260510143,0.6319749440429255,0.17241511799191123
eeg_only,valence,FAULTY_FAST,absolute_margin,46,0.12925340355051407,0.14456338699531573,0.0811133111898673,0.0235484105353956,0.1490248129868876,0.125476402451492
eeg_only,valence,FAULTY_FAST,unanimous_agreement_rate,46,0.66065276790066,0.16961926607663322,0.6853228962818003,0.5451388888888888,0.7935483870967742,0.24840949820788538
eeg_only,valence,FAULTY_FAST,disagreement_rate,46,0.33934723209934015,0.16961926607663325,0.31467710371819957,0.2064516129032258,0.4548611111111111,0.2484094982078853
eeg_only,valence,FAULTY_FAST,mean_top3_probability_range,46,0.27437925780914146,0.1109055286556318,0.26764371746583365,0.1877827616672023,0.3477685564404241,0.15998579477322178
eeg_only,valence,FAULTY_FAST,median_top3_probability_range,46,0.25109989346695427,0.11877048185240678,0.23703302872097795,0.1623541699502251,0.3367207375954119,0.17436656764518677
eeg_only,valence,FAULTY_FAST,complete_top3_coverage,46,1.0,0.0,1.0,1.0,1.0,0.0
eeg_only,valence,FAULTY_FAST,nearest_image_distance,46,2.1643684789720505,0.8909847244731501,1.9746035236525268,1.698285250818962,2.317496636467091,0.6192113856481287
eeg_only,valence,FAULTY_FAST,outside_selected_fraction,46,0.10381343726114226,0.06310859261545843,0.09269409937888196,0.06116071428571428,0.12958791208791207,0.06842719780219779
eeg_only,valence,FAULTY_FAST,median_abs_image_z,46,0.9077431161462294,0.19622895707640237,0.904915236006522,0.7729160684430448,0.975313247735646,0.20239717929260115
eeg_only,arousal,FAULTY_SLOW,task_consensus_p_high,1,0.5941142091347911,,0.5941142091347911,0.5941142091347911,0.5941142091347911,0.0
eeg_only,arousal,FAULTY_SLOW,absolute_margin,1,0.094114209134791,,0.094114209134791,0.094114209134791,0.094114209134791,0.0
eeg_only,arousal,FAULTY_SLOW,unanimous_agreement_rate,1,0.7401574803149606,,0.7401574803149606,0.7401574803149606,0.7401574803149606,0.0
eeg_only,arousal,FAULTY_SLOW,disagreement_rate,1,0.2598425196850393,,0.2598425196850393,0.2598425196850393,0.2598425196850393,0.0
eeg_only,arousal,FAULTY_SLOW,mean_top3_probability_range,1,0.2172246484188905,,0.2172246484188905,0.2172246484188905,0.2172246484188905,0.0
eeg_only,arousal,FAULTY_SLOW,median_top3_probability_range,1,0.2252096497140558,,0.2252096497140558,0.2252096497140558,0.2252096497140558,0.0
eeg_only,arousal,FAULTY_SLOW,complete_top3_coverage,1,1.0,,1.0,1.0,1.0,0.0
