held_out_participant,epoch,train_mse,validation_mse,is_best_validation,epochs_without_improvement,learning_rate
P01,1,9.952082039061047,3.0436291694641113,True,0,0.001
P01,2,3.33741417385283,3.1470489501953125,False,1,0.001
P01,3,3.2163890350432625,2.8185665607452393,True,0,0.001
P01,4,3.1320936430068245,2.980613946914673,False,1,0.001
P01,5,3.0736132065455117,2.8969926834106445,False,2,0.001
P01,6,3.047183400108701,2.879953622817993,False,3,0.001
P01,7,3.021499898320153,2.805330753326416,True,0,0.001
P01,8,2.9906336829775855,2.9038684368133545,False,1,0.001
P01,9,2.9621547505969095,3.008988380432129,False,2,0.001
P01,10,2.935423353740147,3.0912582874298096,False,3,0.001
P01,11,2.9289360738935923,3.0065150260925293,False,4,0.001
P01,12,2.904860788299924,3.084580421447754,False,5,0.001
P01,13,2.879068765186128,3.029053211212158,False,6,0.001
P01,14,2.858637957345872,3.1327080726623535,False,7,0.001
P01,15,2.8560556354976834,3.0017781257629395,False,8,0.001
P01,16,2.8487289178939093,2.8720078468322754,False,9,0.001
P01,17,2.830052550633748,3.047391414642334,False,10,0.001
P01,18,2.8154469001860845,3.0256340503692627,False,11,0.001
P01,19,2.8020454134259904,3.1753146648406982,False,12,0.001
P01,20,2.788942441486177,3.312061071395874,False,13,0.001
P01,21,2.770945083527338,3.2288498878479004,False,14,0.001
P01,22,2.77325333300091,2.9630026817321777,False,15,0.001
P01,23,2.7623583123797464,3.602202892303467,False,16,0.001
P01,24,2.7734349387032644,3.301957130432129,False,17,0.001
P01,25,2.760655340694246,3.5577244758605957,False,18,0.001
P01,26,2.753417842728751,3.290492534637451,False,19,0.001
P01,27,2.7527688537325177,3.218287944793701,False,20,0.001
P02,1,10.033532059520756,3.381357192993164,True,0,0.001
P02,2,3.231076728313341,3.2999184131622314,True,0,0.001
P02,3,3.123915549811967,3.212803840637207,True,0,0.001
P02,4,3.040742453085173,3.18176531791687,True,0,0.001
P02,5,3.003052466506258,3.1753339767456055,True,0,0.001
P02,6,2.982289861101623,3.1625075340270996,True,0,0.001
P02,7,2.9476707867526133,3.132561445236206,True,0,0.001
P02,8,2.9329564079232173,3.102468729019165,True,0,0.001
P02,9,2.893314221583375,3.1453609466552734,False,1,0.001
P02,10,2.884386516492301,3.1132330894470215,False,2,0.001
P02,11,2.8492385313051556,3.0912137031555176,True,0,0.001
P02,12,2.8315676516349164,3.047882318496704,True,0,0.001
P02,13,2.8064816982374277,3.065744638442993,False,1,0.001
P02,14,2.7915984949934374,3.0182347297668457,True,0,0.001
P02,15,2.76652614239159,3.1045475006103516,False,1,0.001
P02,16,2.751181499673686,2.977630615234375,True,0,0.001
P02,17,2.743182474320088,3.2108569145202637,False,1,0.001
P02,18,2.7474129593700445,3.0979647636413574,False,2,0.001
P02,19,2.735052340621248,3.0508217811584473,False,3,0.001
P02,20,2.719012630095176,3.102113962173462,False,4,0.001
P02,21,2.7097927572530343,3.0276951789855957,False,5,0.001
P02,22,2.700896994783244,3.0546531677246094,False,6,0.001
P02,23,2.694934834034071,2.929777145385742,True,0,0.001
P02,24,2.7040692502205523,3.020209550857544,False,1,0.001
P02,25,2.695448746374988,2.981387138366699,False,2,0.001
P02,26,2.6884949251052435,3.048118829727173,False,3,0.001
P02,27,2.6860551090415465,3.2308108806610107,False,4,0.001
P02,28,2.6895386286831777,2.9668304920196533,False,5,0.001
P02,29,2.6978817532915587,3.044487237930298,False,6,0.001
P02,30,2.700989540563811,2.926494836807251,True,0,0.001
P02,31,2.7076602857047263,3.089426279067993,False,1,0.001
P02,32,2.6674600609945593,2.937762498855591,False,2,0.001
P02,33,2.6708757899223117,3.0757079124450684,False,3,0.001
P02,34,2.67531626486997,3.0668914318084717,False,4,0.001
P02,35,2.689409519554278,3.1353580951690674,False,5,0.001
P02,36,2.669417557366397,3.0786306858062744,False,6,0.001
P02,37,2.663019968829024,3.023563861846924,False,7,0.001
P02,38,2.663887472327696,3.0737688541412354,False,8,0.001
P02,39,2.6670041368641986,2.9965600967407227,False,9,0.001
P02,40,2.6614280993785333,2.9954280853271484,False,10,0.001
P02,41,2.6621734899118406,3.07848858833313,False,11,0.001
P02,42,2.663743395324147,3.126020908355713,False,12,0.001
P02,43,2.648710255229145,2.997931480407715,False,13,0.001
P02,44,2.6440930421199274,3.0282490253448486,False,14,0.001
P02,45,2.637437422341163,3.029822826385498,False,15,0.001
P02,46,2.6327970738804667,3.0164146423339844,False,16,0.001
P02,47,2.6461230735166357,3.2713115215301514,False,17,0.001
P02,48,2.6272578600349776,3.1015913486480713,False,18,0.001
P02,49,2.6213912362352425,3.0578956604003906,False,19,0.001
P02,50,2.637722918746668,3.098656415939331,False,20,0.001
P04,1,9.709222531318664,3.2257468700408936,True,0,0.001
P04,2,3.2391226204958827,3.144956588745117,True,0,0.001
P04,3,3.105106485973705,3.15057110786438,False,1,0.001
P04,4,2.9936438192020765,3.1469995975494385,False,2,0.001
P04,5,2.969363301450556,3.128293991088867,True,0,0.001
P04,6,2.9497011975808576,3.15411639213562,False,1,0.001
P04,7,2.8981160976670006,3.112063407897949,True,0,0.001
P04,8,2.8710823644291272,3.142420530319214,False,1,0.001
P04,9,2.870210733196952,3.06608510017395,True,0,0.001
P04,10,2.8533760634335605,3.071392297744751,False,1,0.001
P04,11,2.827095372026617,3.075887441635132,False,2,0.001
P04,12,2.8051070722666656,3.137073040008545,False,3,0.001
P04,13,2.7910237756642426,3.1348233222961426,False,4,0.001
P04,14,2.7588567506183277,3.101466417312622,False,5,0.001
P04,15,2.7585596496408638,3.0314245223999023,True,0,0.001
P04,16,2.7358056545257567,3.2295217514038086,False,1,0.001
P04,17,2.722563793442466,3.2330267429351807,False,2,0.001
P04,18,2.7179228273305025,3.0962445735931396,False,3,0.001
P04,19,2.7189114440571176,3.0693721771240234,False,4,0.001
