participant,task,segment_id,window_id,window_start_s,window_end_s,condition,model_id,nearest_image_distance,outside_selected_count,outside_selected_fraction,max_abs_image_z,median_abs_image_z
P15,shape_sorter_observation,1,shape_sorter_observation_s1_76.000,76.0,78.0,ICA,valence__face__gnb__5,1.047972980798432,0,0.0,1.4328747988701782,0.7463110108505762
P15,shape_sorter_observation,1,shape_sorter_observation_s1_77.000,77.0,79.0,ICA,valence__face__gnb__5,1.487488391238544,0,0.0,2.1114900603942846,1.7686072420762924
P15,shape_sorter_observation,1,shape_sorter_observation_s1_78.000,78.0,80.0,ICA,valence__face__gnb__5,1.6045385413604596,0,0.0,2.126394810860723,1.9634064231728088
P15,shape_sorter_observation,1,shape_sorter_observation_s1_79.000,79.0,81.0,ICA,valence__face__gnb__5,1.5541436075356103,0,0.0,1.1407679875423276,0.5398584738333917
P15,shape_sorter_observation,1,shape_sorter_observation_s1_80.000,80.0,82.0,ICA,valence__face__gnb__5,1.6621469020703474,0,0.0,1.9815411076409095,1.3456009327550014
P15,shape_sorter_observation,1,shape_sorter_observation_s1_81.000,81.0,83.0,ICA,valence__face__gnb__5,1.7752985245833572,2,0.4,2.778739837643009,1.4262563558499046
P15,shape_sorter_observation,1,shape_sorter_observation_s1_82.000,82.0,84.0,ICA,valence__face__gnb__5,1.4386656862598548,1,0.2,2.6051151234510357,1.0655293548057911
P15,shape_sorter_observation,1,shape_sorter_observation_s1_83.000,83.0,85.0,ICA,valence__face__gnb__5,0.8318945801427879,0,0.0,1.278896447596429,1.045239386328332
P15,shape_sorter_observation,1,shape_sorter_observation_s1_84.000,84.0,86.0,ICA,valence__face__gnb__5,0.797326820325971,0,0.0,1.4739105579175078,1.1183224936936667
P15,shape_sorter_observation,1,shape_sorter_observation_s1_85.000,85.0,87.0,ICA,valence__face__gnb__5,1.505764963030912,1,0.2,2.5541378265721746,1.1089299862368203
P15,shape_sorter_observation,1,shape_sorter_observation_s1_86.000,86.0,88.0,ICA,valence__face__gnb__5,1.636721465975598,1,0.2,2.5218717658506424,0.9326322243895276
P15,shape_sorter_observation,1,shape_sorter_observation_s1_87.000,87.0,89.0,ICA,valence__face__gnb__5,1.6873150068994243,1,0.2,2.5599278623912882,1.2216955089556418
P15,shape_sorter_observation,1,shape_sorter_observation_s1_88.000,88.0,90.0,ICA,valence__face__gnb__5,1.4999990474484632,0,0.0,1.7014151694132378,1.4750311253018615
P15,shape_sorter_observation,1,shape_sorter_observation_s1_89.000,89.0,91.0,ICA,valence__face__gnb__5,0.8082397291218538,0,0.0,1.2044930371898568,0.4932862290368277
P15,shape_sorter_observation,1,shape_sorter_observation_s1_90.000,90.0,92.0,ICA,valence__face__gnb__5,0.7952993949306243,0,0.0,1.8207018871817997,0.9950801422195781
P15,shape_sorter_observation,1,shape_sorter_observation_s1_91.000,91.0,93.0,ICA,valence__face__gnb__5,0.6595340287852739,0,0.0,1.3382973784691958,0.8563052872123166
P15,shape_sorter_observation,1,shape_sorter_observation_s1_92.000,92.0,94.0,ICA,valence__face__gnb__5,1.211690209734304,0,0.0,1.038212925909701,0.7722358886871176
P15,shape_sorter_observation,1,shape_sorter_observation_s1_93.000,93.0,95.0,ICA,valence__face__gnb__5,1.6052710954480514,1,0.2,2.7988797774052716,1.0789343361767003
P15,shape_sorter_observation,1,shape_sorter_observation_s1_94.000,94.0,96.0,ICA,valence__face__gnb__5,2.178757766845885,1,0.2,3.2708501881213072,0.7472523492973472
P15,shape_sorter_observation,1,shape_sorter_observation_s1_95.000,95.0,97.0,ICA,valence__face__gnb__5,2.1665111865606588,0,0.0,1.8253208970731956,1.3820263053247028
P15,shape_sorter_observation,1,shape_sorter_observation_s1_96.000,96.0,98.0,ICA,valence__face__gnb__5,1.3764231652778955,0,0.0,1.397522980462372,0.3194064786202541
P15,shape_sorter_observation,1,shape_sorter_observation_s1_97.000,97.0,99.0,ICA,valence__face__gnb__5,1.1869345492199197,0,0.0,1.752314944730259,1.0494806957901948
P15,shape_sorter_observation,1,shape_sorter_observation_s1_98.000,98.0,100.0,ICA,valence__face__gnb__5,1.4758334712985377,0,0.0,2.054478295563017,1.2269037758769106
P15,shape_sorter_observation,1,shape_sorter_observation_s1_99.000,99.0,101.0,ICA,valence__face__gnb__5,1.2705907644959813,0,0.0,1.6957310178759715,0.5092664071966309
P15,shape_sorter_observation,1,shape_sorter_observation_s1_100.000,100.0,102.0,ICA,valence__face__gnb__5,1.9010000548395454,0,0.0,2.495425584803539,0.8259613305074088
P15,shape_sorter_observation,1,shape_sorter_observation_s1_101.000,101.0,103.0,ICA,valence__face__gnb__5,1.1404315653584691,0,0.0,2.2329116017722677,0.7317244808567707
P15,shape_sorter_observation,1,shape_sorter_observation_s1_102.000,102.0,104.0,ICA,valence__face__gnb__5,2.7294516177212333,1,0.2,4.254682871052715,0.6299135724823526
P15,shape_sorter_observation,1,shape_sorter_observation_s1_103.000,103.0,105.0,ICA,valence__face__gnb__5,4.468170817384836,2,0.4,5.337389184696547,1.087249919278517
P15,shape_sorter_observation,1,shape_sorter_observation_s1_104.000,104.0,106.0,ICA,valence__face__gnb__5,4.976503035397631,1,0.2,5.62947432034711,1.634528110070306
P15,shape_sorter_observation,1,shape_sorter_observation_s1_105.000,105.0,107.0,ICA,valence__face__gnb__5,4.360759614734147,3,0.6,4.013067223224391,2.7087153656180556
P15,shape_sorter_observation,1,shape_sorter_observation_s1_106.000,106.0,108.0,ICA,valence__face__gnb__5,2.452767555419597,3,0.6,3.5806176658347995,2.574567239163257
P15,shape_sorter_observation,1,shape_sorter_observation_s1_107.000,107.0,109.0,ICA,valence__face__gnb__5,4.516615995353528,3,0.6,5.3435163209716645,2.3552321662082103
P15,stack,1,stack_s1_7.000,7.0,9.0,ICA,valence__face__gnb__5,1.4328736614743238,0,0.0,2.0083643676295435,1.5096808317307266
P15,stack,1,stack_s1_8.000,8.0,10.0,ICA,valence__face__gnb__5,2.243398533174769,0,0.0,1.6705966620400918,1.116597928040872
