mode,participant,held_out_participant,target,modality,classifier,feature_count_request,fold,tn,fp,fn,tp
general,COHORT,P41,valence,eeg,knn,5,41,24,28,22,43
general,COHORT,P42,valence,eeg,knn,5,42,18,34,20,48
general,COHORT,P43,valence,eeg,knn,5,43,18,25,27,50
general,COHORT,P44,valence,eeg,knn,5,44,15,20,26,58
general,COHORT,P45,valence,eeg,knn,5,45,13,29,27,51
general,COHORT,P46,valence,eeg,knn,5,46,23,27,35,33
general,COHORT,P01,valence,eeg,knn,10,1,13,39,12,50
general,COHORT,P02,valence,eeg,knn,10,2,8,17,20,39
general,COHORT,P03,valence,eeg,knn,10,3,14,7,22,10
general,COHORT,P04,valence,eeg,knn,10,4,7,32,20,43
general,COHORT,P05,valence,eeg,knn,10,5,32,30,19,36
general,COHORT,P06,valence,eeg,knn,10,6,20,27,30,42
general,COHORT,P07,valence,eeg,knn,10,7,9,15,36,56
general,COHORT,P08,valence,eeg,knn,10,8,20,36,26,28
general,COHORT,P09,valence,eeg,knn,10,9,20,27,25,45
general,COHORT,P10,valence,eeg,knn,10,10,17,33,26,44
general,COHORT,P11,valence,eeg,knn,10,11,13,45,12,50
general,COHORT,P12,valence,eeg,knn,10,12,8,28,18,66
general,COHORT,P13,valence,eeg,knn,10,13,9,22,23,41
general,COHORT,P14,valence,eeg,knn,10,14,39,20,15,38
general,COHORT,P15,valence,eeg,knn,10,15,14,24,23,51
general,COHORT,P16,valence,eeg,knn,10,16,24,30,22,40
general,COHORT,P17,valence,eeg,knn,10,17,7,45,12,55
general,COHORT,P18,valence,eeg,knn,10,18,19,38,26,35
general,COHORT,P19,valence,eeg,knn,10,19,18,25,24,53
general,COHORT,P20,valence,eeg,knn,10,20,13,34,11,35
general,COHORT,P21,valence,eeg,knn,10,21,20,5,65,18
general,COHORT,P22,valence,eeg,knn,10,22,16,52,9,40
general,COHORT,P23,valence,eeg,knn,10,23,10,59,9,40
general,COHORT,P24,valence,eeg,knn,10,24,24,38,19,36
general,COHORT,P25,valence,eeg,knn,10,25,23,31,29,37
general,COHORT,P26,valence,eeg,knn,10,26,14,52,14,38
general,COHORT,P27,valence,eeg,knn,10,27,7,22,26,34
general,COHORT,P28,valence,eeg,knn,10,28,10,29,24,48
general,COHORT,P29,valence,eeg,knn,10,29,21,24,26,38
general,COHORT,P30,valence,eeg,knn,10,30,32,27,31,30
general,COHORT,P31,valence,eeg,knn,10,31,29,29,20,41
general,COHORT,P32,valence,eeg,knn,10,32,22,36,19,43
general,COHORT,P33,valence,eeg,knn,10,33,26,34,22,35
general,COHORT,P34,valence,eeg,knn,10,34,28,39,24,24
general,COHORT,P35,valence,eeg,knn,10,35,21,41,17,35
general,COHORT,P36,valence,eeg,knn,10,36,14,32,16,40
general,COHORT,P37,valence,eeg,knn,10,37,16,30,11,50
general,COHORT,P38,valence,eeg,knn,10,38,13,36,24,47
general,COHORT,P39,valence,eeg,knn,10,39,10,23,39,46
general,COHORT,P40,valence,eeg,knn,10,40,25,29,20,46
general,COHORT,P41,valence,eeg,knn,10,41,30,22,28,37
general,COHORT,P42,valence,eeg,knn,10,42,17,35,22,46
general,COHORT,P43,valence,eeg,knn,10,43,21,22,20,57
general,COHORT,P44,valence,eeg,knn,10,44,10,25,24,60
general,COHORT,P45,valence,eeg,knn,10,45,18,24,25,53
general,COHORT,P46,valence,eeg,knn,10,46,21,29,36,32
general,COHORT,P01,valence,eeg,knn,20,1,18,34,15,47
general,COHORT,P02,valence,eeg,knn,20,2,5,20,22,37
general,COHORT,P03,valence,eeg,knn,20,3,16,5,26,6
general,COHORT,P04,valence,eeg,knn,20,4,14,25,18,45
general,COHORT,P05,valence,eeg,knn,20,5,35,27,23,32
general,COHORT,P06,valence,eeg,knn,20,6,19,28,25,47
general,COHORT,P07,valence,eeg,knn,20,7,8,16,27,65
general,COHORT,P08,valence,eeg,knn,20,8,14,42,21,33
general,COHORT,P09,valence,eeg,knn,20,9,19,28,36,34
general,COHORT,P10,valence,eeg,knn,20,10,23,27,42,28
general,COHORT,P11,valence,eeg,knn,20,11,12,46,8,54
general,COHORT,P12,valence,eeg,knn,20,12,8,28,25,59
general,COHORT,P13,valence,eeg,knn,20,13,9,22,20,44
general,COHORT,P14,valence,eeg,knn,20,14,22,37,18,35
general,COHORT,P15,valence,eeg,knn,20,15,9,29,26,48
general,COHORT,P16,valence,eeg,knn,20,16,18,36,33,29
general,COHORT,P17,valence,eeg,knn,20,17,18,34,16,51
general,COHORT,P18,valence,eeg,knn,20,18,12,45,24,37
general,COHORT,P19,valence,eeg,knn,20,19,12,31,18,59
general,COHORT,P20,valence,eeg,knn,20,20,10,37,10,36
general,COHORT,P21,valence,eeg,knn,20,21,11,14,47,36
general,COHORT,P22,valence,eeg,knn,20,22,29,39,15,34
general,COHORT,P23,valence,eeg,knn,20,23,10,59,11,38
general,COHORT,P24,valence,eeg,knn,20,24,21,41,17,38
general,COHORT,P25,valence,eeg,knn,20,25,15,39,24,42
general,COHORT,P26,valence,eeg,knn,20,26,31,35,15,37
general,COHORT,P27,valence,eeg,knn,20,27,10,19,24,36
general,COHORT,P28,valence,eeg,knn,20,28,6,33,18,54
general,COHORT,P29,valence,eeg,knn,20,29,25,20,26,38
general,COHORT,P30,valence,eeg,knn,20,30,35,24,33,28
general,COHORT,P31,valence,eeg,knn,20,31,29,29,23,38
general,COHORT,P32,valence,eeg,knn,20,32,24,34,24,38
general,COHORT,P33,valence,eeg,knn,20,33,23,37,27,30
general,COHORT,P34,valence,eeg,knn,20,34,28,39,19,29
general,COHORT,P35,valence,eeg,knn,20,35,25,37,12,40
general,COHORT,P36,valence,eeg,knn,20,36,21,25,19,37
general,COHORT,P37,valence,eeg,knn,20,37,13,33,15,46
general,COHORT,P38,valence,eeg,knn,20,38,20,29,27,44
general,COHORT,P39,valence,eeg,knn,20,39,15,18,42,43
general,COHORT,P40,valence,eeg,knn,20,40,23,31,22,44
general,COHORT,P41,valence,eeg,knn,20,41,18,34,25,40
general,COHORT,P42,valence,eeg,knn,20,42,33,19,24,44
general,COHORT,P43,valence,eeg,knn,20,43,15,28,26,51
general,COHORT,P44,valence,eeg,knn,20,44,21,14,46,38
general,COHORT,P45,valence,eeg,knn,20,45,12,30,27,51
general,COHORT,P46,valence,eeg,knn,20,46,25,25,33,35
general,COHORT,P01,valence,eeg,svm,all,1,23,29,21,41
general,COHORT,P02,valence,eeg,svm,all,2,12,13,19,40
general,COHORT,P03,valence,eeg,svm,all,3,13,8,17,15
general,COHORT,P04,valence,eeg,svm,all,4,20,19,17,46
general,COHORT,P05,valence,eeg,svm,all,5,36,26,25,30
general,COHORT,P06,valence,eeg,svm,all,6,17,30,27,45
general,COHORT,P07,valence,eeg,svm,all,7,5,19,26,66
general,COHORT,P08,valence,eeg,svm,all,8,28,28,21,33
general,COHORT,P09,valence,eeg,svm,all,9,23,24,32,38
general,COHORT,P10,valence,eeg,svm,all,10,7,43,7,63
general,COHORT,P11,valence,eeg,svm,all,11,27,31,26,36
general,COHORT,P12,valence,eeg,svm,all,12,10,26,27,57
general,COHORT,P13,valence,eeg,svm,all,13,18,13,35,29
general,COHORT,P14,valence,eeg,svm,all,14,17,42,14,39
general,COHORT,P15,valence,eeg,svm,all,15,20,18,31,43
general,COHORT,P16,valence,eeg,svm,all,16,20,34,18,44
general,COHORT,P17,valence,eeg,svm,all,17,27,25,22,45
general,COHORT,P18,valence,eeg,svm,all,18,34,23,38,23
general,COHORT,P19,valence,eeg,svm,all,19,28,15,59,18
general,COHORT,P20,valence,eeg,svm,all,20,10,37,14,32
general,COHORT,P21,valence,eeg,svm,all,21,15,10,65,18
general,COHORT,P22,valence,eeg,svm,all,22,29,39,15,34
general,COHORT,P23,valence,eeg,svm,all,23,22,47,17,32
general,COHORT,P24,valence,eeg,svm,all,24,34,28,27,28
general,COHORT,P25,valence,eeg,svm,all,25,14,40,19,47
general,COHORT,P26,valence,eeg,svm,all,26,27,39,22,30
general,COHORT,P27,valence,eeg,svm,all,27,14,15,23,37
general,COHORT,P28,valence,eeg,svm,all,28,17,22,28,44
general,COHORT,P29,valence,eeg,svm,all,29,25,20,44,20
general,COHORT,P30,valence,eeg,svm,all,30,0,59,0,61
general,COHORT,P31,valence,eeg,svm,all,31,20,38,24,37
general,COHORT,P32,valence,eeg,svm,all,32,23,35,26,36
general,COHORT,P33,valence,eeg,svm,all,33,24,36,26,31
general,COHORT,P34,valence,eeg,svm,all,34,25,42,19,29
general,COHORT,P35,valence,eeg,svm,all,35,47,15,35,17
general,COHORT,P36,valence,eeg,svm,all,36,23,23,30,26
general,COHORT,P37,valence,eeg,svm,all,37,23,23,25,36
general,COHORT,P38,valence,eeg,svm,all,38,10,39,14,57
general,COHORT,P39,valence,eeg,svm,all,39,19,14,39,46
general,COHORT,P40,valence,eeg,svm,all,40,22,32,31,35
general,COHORT,P41,valence,eeg,svm,all,41,25,27,30,35
general,COHORT,P42,valence,eeg,svm,all,42,15,37,25,43
general,COHORT,P43,valence,eeg,svm,all,43,15,28,36,41
general,COHORT,P44,valence,eeg,svm,all,44,12,23,38,46
general,COHORT,P45,valence,eeg,svm,all,45,6,36,13,65
general,COHORT,P46,valence,eeg,svm,all,46,41,9,46,22
general,COHORT,P01,valence,eeg,svm,5,1,0,52,0,62
general,COHORT,P02,valence,eeg,svm,5,2,0,25,1,58
general,COHORT,P03,valence,eeg,svm,5,3,2,19,0,32
general,COHORT,P04,valence,eeg,svm,5,4,0,39,0,63
general,COHORT,P05,valence,eeg,svm,5,5,0,62,0,55
general,COHORT,P06,valence,eeg,svm,5,6,0,47,0,72
general,COHORT,P07,valence,eeg,svm,5,7,0,24,0,92
general,COHORT,P08,valence,eeg,svm,5,8,0,56,0,54
general,COHORT,P09,valence,eeg,svm,5,9,0,47,0,70
general,COHORT,P10,valence,eeg,svm,5,10,0,50,0,70
general,COHORT,P11,valence,eeg,svm,5,11,9,49,9,53
general,COHORT,P12,valence,eeg,svm,5,12,0,36,0,84
