mode,participant,held_out_participant,target,modality,classifier,feature_count_request,feature_count_resolved,fold,training_participants,sample_size,train_size,test_size,low_count,high_count,balanced_accuracy,accuracy,precision,recall,f1,tn,fp,fn,tp
individual,P07,P07,valence,eeg,knn,all,all,3,P07,119,95,24,25,94,0.47368421052631576,0.75,0.782608695652174,0.9473684210526315,0.8571428571428571,0,5,1,18
individual,P07,P07,valence,eeg,knn,all,all,4,P07,119,95,24,25,94,0.5,0.7916666666666666,0.7916666666666666,1.0,0.8837209302325582,0,5,0,19
individual,P07,P07,valence,eeg,knn,all,all,5,P07,119,96,23,25,94,0.5,0.782608695652174,0.782608695652174,1.0,0.8780487804878049,0,5,0,18
individual,P08,P08,valence,eeg,knn,all,all,1,P08,109,87,22,55,54,0.4545454545454546,0.45454545454545453,0.4,0.18181818181818182,0.25,8,3,9,2
individual,P08,P08,valence,eeg,knn,all,all,2,P08,109,87,22,55,54,0.40909090909090906,0.4090909090909091,0.42857142857142855,0.5454545454545454,0.48,3,8,5,6
individual,P08,P08,valence,eeg,knn,all,all,3,P08,109,87,22,55,54,0.5454545454545454,0.5454545454545454,0.5714285714285714,0.36363636363636365,0.4444444444444444,8,3,7,4
individual,P08,P08,valence,eeg,knn,all,all,4,P08,109,87,22,55,54,0.5454545454545454,0.5454545454545454,0.5714285714285714,0.36363636363636365,0.4444444444444444,8,3,7,4
individual,P08,P08,valence,eeg,knn,all,all,5,P08,109,88,21,55,54,0.5681818181818181,0.5714285714285714,0.5555555555555556,0.5,0.5263157894736842,7,4,5,5
individual,P09,P09,valence,eeg,knn,all,all,1,P09,115,92,23,47,68,0.5846153846153846,0.6086956521739131,0.625,0.7692307692307693,0.6896551724137931,4,6,3,10
individual,P09,P09,valence,eeg,knn,all,all,2,P09,115,92,23,47,68,0.6192307692307693,0.6086956521739131,0.7,0.5384615384615384,0.6086956521739131,7,3,6,7
individual,P09,P09,valence,eeg,knn,all,all,3,P09,115,92,23,47,68,0.6190476190476191,0.6086956521739131,0.7272727272727273,0.5714285714285714,0.64,6,3,6,8
individual,P09,P09,valence,eeg,knn,all,all,4,P09,115,92,23,47,68,0.376984126984127,0.43478260869565216,0.5294117647058824,0.6428571428571429,0.5806451612903226,1,8,5,9
individual,P09,P09,valence,eeg,knn,all,all,5,P09,115,92,23,47,68,0.48809523809523814,0.5217391304347826,0.6,0.6428571428571429,0.6206896551724138,3,6,5,9
individual,P12,P12,valence,eeg,knn,all,all,1,P12,120,96,24,36,84,0.5,0.7083333333333334,0.7083333333333334,1.0,0.8292682926829268,0,7,0,17
