target,model_rank,classifier,feature_family,task,n_windows,mean_high_probability,median_high_probability,sd_high_probability,fraction_predicted_high
arousal,1,gnb,paper_compact,pick_place,41,0.6226297976898523,0.8219598985864138,0.3948228574331912,0.6341463414634146
arousal,1,gnb,paper_compact,shape_sorter_alone,29,0.02465090222956134,3.74994891324682e-07,0.07115389903527963,0.0
arousal,1,gnb,paper_compact,shape_sorter_interaction,95,0.35250766326536964,0.14677057372390917,0.395010459936949,0.35789473684210527
arousal,1,gnb,paper_compact,shape_sorter_observation,60,0.7281214566670984,0.9489780915231101,0.37212143674927217,0.7666666666666667
arousal,1,gnb,paper_compact,sisyphus,127,0.2776201187899134,0.0029370326998859,0.3911909766580164,0.29133858267716534
arousal,1,gnb,paper_compact,stack,70,0.6941119927395704,0.9678409102044716,0.40061716832320754,0.7142857142857143
arousal,2,logreg,paper_compact,pick_place,41,0.5418390077850127,0.5288526764976992,0.11426383817228422,0.7560975609756098
arousal,2,logreg,paper_compact,shape_sorter_alone,29,0.4589314509795207,0.45418528956390775,0.18029200160026887,0.27586206896551724
arousal,2,logreg,paper_compact,shape_sorter_interaction,95,0.5205637219992859,0.5086317445945391,0.0914676822371062,0.6105263157894737
arousal,2,logreg,paper_compact,shape_sorter_observation,60,0.5286944168094273,0.5263524545443501,0.10954044705149747,0.5833333333333334
arousal,2,logreg,paper_compact,sisyphus,127,0.49005533062274986,0.5142580436403158,0.18292529361239926,0.6062992125984252
arousal,2,logreg,paper_compact,stack,70,0.5589567762163679,0.5495373817270379,0.09436630247022461,0.8714285714285714
arousal,3,svm,all_eeg,pick_place,41,0.6797454894411592,0.6861581395055592,0.13125814800901242,0.2682926829268293
arousal,3,svm,all_eeg,shape_sorter_alone,29,0.5766453231877605,0.4989296362772941,0.20065176313277497,0.3448275862068966
arousal,3,svm,all_eeg,shape_sorter_interaction,95,0.6529807643199975,0.676642405316384,0.13735427598970534,0.22105263157894736
arousal,3,svm,all_eeg,shape_sorter_observation,60,0.7488451285938342,0.8073320483293585,0.14823708358509663,0.5833333333333334
arousal,3,svm,all_eeg,sisyphus,127,0.6528812147624358,0.7015357269330995,0.16961395062719903,0.3779527559055118
arousal,3,svm,all_eeg,stack,70,0.7601541563924362,0.7609141163308822,0.12360170819103436,0.5
valence,1,logreg,all_eeg,pick_place,41,0.5233970413580348,0.5456528394462963,0.16859135345419257,0.6829268292682927
valence,1,logreg,all_eeg,shape_sorter_alone,29,0.4368605301279893,0.49636953077454654,0.18664002272470742,0.41379310344827586
valence,1,logreg,all_eeg,shape_sorter_interaction,95,0.479662276356278,0.509347905906681,0.15592032560094304,0.5368421052631579
valence,1,logreg,all_eeg,shape_sorter_observation,60,0.5205449752882738,0.5475523648375561,0.12858982896047053,0.6666666666666666
valence,1,logreg,all_eeg,sisyphus,127,0.3864997546226895,0.47905452454090347,0.24268179929545863,0.4645669291338583
valence,1,logreg,all_eeg,stack,70,0.46888820143158205,0.4913269703269489,0.1440136604847735,0.4857142857142857
valence,2,logreg,all_eeg,pick_place,41,0.5159057555832256,0.5540537385102987,0.1691493561050809,0.7073170731707317
valence,2,logreg,all_eeg,shape_sorter_alone,29,0.43249554919687516,0.4925158065013615,0.18634773240815566,0.41379310344827586
valence,2,logreg,all_eeg,shape_sorter_interaction,95,0.45633063043997,0.48583939262761017,0.16179752709804346,0.4631578947368421
valence,2,logreg,all_eeg,shape_sorter_observation,60,0.5095791765396636,0.5248314573247819,0.1324589914811968,0.6
valence,2,logreg,all_eeg,sisyphus,127,0.36425668174001835,0.4368846648315124,0.24334859037215253,0.4094488188976378
valence,2,logreg,all_eeg,stack,70,0.44346309712024484,0.463563322444723,0.14645957871461207,0.32857142857142857
valence,3,gnb,hjorth,pick_place,41,0.48899216443656623,0.5269607614298208,0.39216254157278957,0.5121951219512195
valence,3,gnb,hjorth,shape_sorter_alone,29,0.4669218797999334,0.4814467279875705,0.4103455840801677,0.4482758620689655
valence,3,gnb,hjorth,shape_sorter_interaction,95,0.28576307196033357,0.07796549645162186,0.36707600666778883,0.29473684210526313
valence,3,gnb,hjorth,shape_sorter_observation,60,0.4530581178516291,0.3966911954143958,0.40035951522040103,0.45
valence,3,gnb,hjorth,sisyphus,127,0.22205384501645775,0.008328801665582062,0.3474839566463724,0.2283464566929134
valence,3,gnb,hjorth,stack,70,0.143258981277804,0.007568996969100036,0.28097239711774646,0.11428571428571428
