target,model_rank,task,window_count,median_nearest_image_distance,fraction_windows_with_outside,fraction_feature_values_outside,median_abs_image_z,maximum_abs_image_z
arousal,1,pick_place,41,3.5754477864203245,0.6585365853658537,0.12439024390243904,0.8777867616461006,1292.348249124392
arousal,1,shape_sorter_alone,29,7.436466080347208,0.9310344827586207,0.33793103448275863,1.4987884281735564,1773.0300220084441
arousal,1,shape_sorter_interaction,95,5.572383174317033,0.8315789473684211,0.18315789473684213,0.95989806972622,1842.9386163053705
arousal,1,shape_sorter_observation,60,3.278282601935338,0.6,0.12000000000000001,0.8877542156004589,1361.8445269387555
arousal,1,sisyphus,127,6.613367063188683,0.8267716535433071,0.2795275590551181,1.2010855871264607,1522.176381695995
arousal,1,stack,70,3.197362490368029,0.6571428571428571,0.11142857142857143,0.9240869196210475,1111.8780706629902
arousal,2,pick_place,41,2.6212298924874475,0.4634146341463415,0.07560975609756097,0.925071825319286,1011.8930236924421
arousal,2,shape_sorter_alone,29,3.833401109028562,0.5517241379310345,0.1310344827586207,1.079662429895803,1289.5963021969997
arousal,2,shape_sorter_interaction,95,2.8618197942970016,0.6,0.09473684210526316,0.9447976892507679,1497.7388426164403
arousal,2,shape_sorter_observation,60,2.5592676803605645,0.6,0.08833333333333333,0.9426019670967228,1040.014201408555
arousal,2,sisyphus,127,3.243718503412844,0.7559055118110236,0.17795275590551182,1.1376676498097837,1422.6368953158922
arousal,2,stack,70,2.4618238223050684,0.6714285714285714,0.11,0.9653973060962873,2411.961073732995
arousal,3,pick_place,41,3.5812669107494783,0.5853658536585366,0.10243902439024391,0.7723146690224114,25.357622109920772
arousal,3,shape_sorter_alone,29,7.561001448294137,0.9655172413793104,0.3,1.1125211082866446,74.41304391823738
arousal,3,shape_sorter_interaction,95,5.71195565366512,0.8421052631578947,0.17894736842105263,0.9403459382882058,24.420267884227137
arousal,3,shape_sorter_observation,60,3.176778668117322,0.5166666666666667,0.1,0.8657315462205866,38.00409440396857
arousal,3,sisyphus,127,6.500433470459848,0.9133858267716536,0.2669291338582677,1.06044810289114,1033.3320966780336
arousal,3,stack,70,3.2912910734236114,0.7428571428571429,0.13,0.8712036722416917,18.61813820505302
valence,1,pick_place,41,2.3482715807002896,0.4634146341463415,0.11890243902439024,0.9933223001548992,8806.33135148732
valence,1,shape_sorter_alone,29,2.4978668437718334,0.4827586206896552,0.1336206896551724,1.0536742786311633,8703.050834338435
valence,1,shape_sorter_interaction,95,2.3112029788298054,0.4842105263157895,0.11710526315789474,1.018499089599775,11885.451168060385
valence,1,shape_sorter_observation,60,2.1801493854052305,0.45,0.09375,0.951122182391891,9353.078930180343
valence,1,sisyphus,127,3.2168804315255106,0.7007874015748031,0.23523622047244094,1.1275892553219369,10660.365088275807
valence,1,stack,70,2.0597511526961725,0.3142857142857143,0.07857142857142857,0.8938260607123022,30553.93547226422
valence,2,pick_place,41,2.721575124826863,0.4634146341463415,0.11219512195121953,0.9932717857368782,8806.33135148732
valence,2,shape_sorter_alone,29,2.816360919544016,0.4827586206896552,0.11724137931034483,1.0063461477978812,8703.050834338435
valence,2,shape_sorter_interaction,95,2.8488161166812405,0.5894736842105263,0.13789473684210526,1.0261754481026908,11885.451168060385
valence,2,shape_sorter_observation,60,2.422534860080641,0.4666666666666667,0.08333333333333333,0.9102541986747175,9353.078930180343
valence,2,sisyphus,127,3.7323397965695637,0.7559055118110236,0.25826771653543307,1.1317087425776822,10660.365088275807
valence,2,stack,70,2.4902357371210853,0.45714285714285713,0.09571428571428571,0.9753536085063828,30553.93547226422
valence,3,pick_place,41,2.2585070016737165,0.36585365853658536,0.0975609756097561,1.0669728860834244,43.482029967669824
valence,3,shape_sorter_alone,29,2.0947893643253375,0.41379310344827586,0.1206896551724138,0.9999021139555115,46.233772903670044
valence,3,shape_sorter_interaction,95,2.3194226577153736,0.5789473684210527,0.17894736842105263,1.0592235935266743,53.28299593620383
valence,3,shape_sorter_observation,60,1.894851831947073,0.38333333333333336,0.0875,0.8432501606503326,57.630108428449006
valence,3,sisyphus,127,3.328961616363635,0.7007874015748031,0.35236220472440943,1.4333608965030398,56.81543759389973
valence,3,stack,70,2.187002320146685,0.6285714285714286,0.19285714285714287,1.2430622898656758,84.7916034236394
