mode,participant,target,modality,regressor,feature_count_request,feature_count_resolved,folds,rmse_mean,rmse_std,rmse_median,rmse_min,rmse_max,mae_mean,mae_std,mae_median,mae_min,mae_max,r2_mean,r2_std,r2_median,r2_min,r2_max,explained_variance_mean,explained_variance_std,explained_variance_median,explained_variance_min,explained_variance_max
individual,P19,arousal,eeg,knn,10,10,5,1.5900910961853978,0.35882250678219985,1.5125396290500757,1.2148643203273393,2.00504421625602,1.3087518295587741,0.33503387995497413,1.263135493649071,0.9242424242424242,1.705615624703454,0.056842961444833195,0.08789352145209642,0.0526534503512308,-0.0492236203287852,0.1557937413313417,0.06724093095000463,0.09380225717757884,0.0674873960092854,-0.0430051575329231,0.174702700928213
individual,P19,arousal,eeg,knn,20,20,5,1.6316360473138007,0.31522438415341275,1.527074301684438,1.3270883269196392,2.036957741014145,1.3524215250134441,0.2907372965071736,1.2575757575757576,1.0620247022393865,1.7367842417784751,-0.002020585399064801,0.04789312098961559,0.0183950946414289,-0.0828896144441371,0.0343590139681898,0.018478418914287482,0.05869316603689714,0.0292735513938399,-0.0827503374078455,0.065159139925495
individual,P19,arousal,eeg,knn,5,5,5,1.5700987338298986,0.3243165261378969,1.482333987192757,1.225728545934849,2.0047835182974607,1.2967490936848636,0.2976605889815859,1.2613636363636362,0.9431818181818182,1.7115655842368085,0.07472272534284455,0.0736557447025515,0.0901129456779414,-0.0489507957483441,0.1406271799880177,0.09712365270151277,0.07679909667218436,0.1175425065869061,-0.0361437952553427,0.1587564732820666
individual,P19,arousal,eeg,knn,all,all,5,1.6276627241471986,0.30226878295221665,1.448055636478208,1.3870465282842332,1.958505502073684,1.351429697110241,0.2633389548495447,1.228561409580022,1.081617379001487,1.6856060606060606,-0.0017895428281593212,0.08623787583522961,-0.0010822065029751,-0.1017714757938084,0.1317078987996308,0.017691704665817605,0.09603216695314386,0.0065007283362102,-0.0872669683396345,0.1621176563328582
individual,P19,arousal,eeg,ridge,10,10,5,1.5558795419308142,0.292498433199497,1.5034318765014942,1.254972919240164,1.922024052135696,1.3091320432854274,0.2498612777455465,1.2885527622637036,1.0209339749741069,1.6309038925239274,0.08801450726353979,0.03744255982525113,0.0991308360048867,0.0358651385477308,0.126669497485081,0.10904940121825091,0.04989216289835266,0.1285960333832421,0.0379455209596306,0.1663976109411514
individual,P19,arousal,eeg,ridge,20,20,5,1.5439200717608512,0.31063540928106764,1.4849346289809278,1.2514620861269123,1.943910202713624,1.2934741225114021,0.28314447860708813,1.2811153829772486,0.9661307352574354,1.6442856120148992,0.10438607352815699,0.062169827835317576,0.1041642151583326,0.0137828542368213,0.1817971202034031,0.1280026161252566,0.07450119018551422,0.1387531095918025,0.0189445334716612,0.2273022121269774
individual,P19,arousal,eeg,ridge,5,5,5,1.55789751870327,0.2977343530747523,1.4954493503876392,1.2527742510019952,1.9337477293826253,1.310090771448249,0.2588534089552126,1.282572332303432,0.9946384546904058,1.632180230874697,0.08639296744554062,0.03898200072651337,0.1022846528214501,0.0240674935233088,0.120961259831975,0.107845210276498,0.05320588437760997,0.1234093243460422,0.0241535316250058,0.1612377938399845
individual,P19,arousal,eeg,ridge,all,all,5,1.7545311286214407,0.321448155603624,1.660940777015461,1.453246629133014,2.1632876865873043,1.4829143817764654,0.3045018715543354,1.4610784823635132,1.155646083047236,1.8388308162548777,-0.16257112641431015,0.06884414060846061,-0.1423617372376482,-0.247564222460382,-0.0900262013349511,-0.13634582906484413,0.0737410805597179,-0.1193350077873089,-0.220672903148188,-0.0352029076846915
individual,P19,arousal,eeg,svr,10,10,5,1.6028375624689961,0.3008636322676234,1.5843792259795884,1.2571075568796923,1.9320564013285029,1.3436501325362007,0.2809664342924743,1.3270854867252784,0.9868266263678268,1.686906771035298,0.03236695637675132,0.04843228499607162,0.0372558267147183,-0.0394740030684626,0.0960635750656596,0.07127556036798648,0.044540573427837196,0.0608550192232771,0.0266059476079746,0.1351822491323362
individual,P19,arousal,eeg,svr,20,20,5,1.6132063138286301,0.2673284125179955,1.5403579989180256,1.3114586018004242,1.9323876050703328,1.3587287119632412,0.25719781595539726,1.2928430333018943,1.1043107358877622,1.6855083462380704,0.009537605245216723,0.11004383733846435,0.0254398780298283,-0.175315667317836,0.1122974636199619,0.038433740719164,0.12872548382610272,0.0684974060895238,-0.1727713933437507,0.1661453352112484
individual,P19,arousal,eeg,svr,5,5,5,1.5935668934239255,0.3100261188148838,1.5199721424532255,1.2727766132852714,1.9665826200969343,1.342242581896366,0.2787530713349913,1.3095606960002983,1.0068049507254984,1.710913834942826,0.04539270454461728,0.03311597177169921,0.0501703744508329,-0.0093564060536375,0.0733891390072163,0.07142371605771433,0.05658228711882454,0.0734457702206127,-0.0048203634920829,0.1508013315416172
individual,P19,arousal,eeg,svr,all,all,5,1.6335958290380568,0.30222283995216204,1.5242755977909086,1.300692597594511,1.9980158526702567,1.3697939160500356,0.3078084174497669,1.3144139431910806,0.9535469768508108,1.7136579875876752,-0.006557838940596142,0.04845608184806054,0.0113263724727561,-0.0724265172807685,0.0378952750107842,0.0269913054317224,0.04847487332992115,0.0323131607032423,-0.0412565879285178,0.0942051045193872
individual,P19,arousal,face,knn,10,10,5,1.748371472153797,0.24746017979072105,1.7751811850617247,1.4735968252224845,1.9983636556631728,1.4713790099635529,0.2533713358882456,1.4924937067167303,1.1666666666666667,1.7386363636363635,-0.17047775734098836,0.13291101425761195,-0.1207677952545986,-0.3161423752739092,-0.020927469135036,-0.15915933852452308,0.12844791452779872,-0.1205011996800853,-0.3033330260905233,-0.010792472177779
individual,P19,arousal,face,knn,20,10,5,1.748371472153797,0.24746017979072105,1.7751811850617247,1.4735968252224845,1.9983636556631728,1.4713790099635529,0.2533713358882456,1.4924937067167303,1.1666666666666667,1.7386363636363635,-0.17047775734098836,0.13291101425761195,-0.1207677952545986,-0.3161423752739092,-0.020927469135036,-0.15915933852452308,0.12844791452779872,-0.1205011996800853,-0.3033330260905233,-0.010792472177779
individual,P19,arousal,face,knn,5,5,5,1.749729335755005,0.2506761567660505,1.8012161425773483,1.4415852538359066,1.9905077774581068,1.4948887422722155,0.23410321943780438,1.5653528022701686,1.2083333333333333,1.7575757575757576,-0.17413166602230384,0.16044053087368093,-0.0726028614591665,-0.3547481677841886,-0.0340651645590477,-0.15772820635397475,0.14464450411635826,-0.0699295002814064,-0.3274256837582965,-0.0261414657344962
individual,P19,arousal,face,knn,all,all,5,1.748371472153797,0.24746017979072105,1.7751811850617247,1.4735968252224845,1.9983636556631728,1.4713790099635529,0.2533713358882456,1.4924937067167303,1.1666666666666667,1.7386363636363635,-0.17047775734098836,0.13291101425761195,-0.1207677952545986,-0.3161423752739092,-0.020927469135036,-0.15915933852452308,0.12844791452779872,-0.1205011996800853,-0.3033330260905233,-0.010792472177779
individual,P19,arousal,face,ridge,10,10,5,1.6724200252887669,0.3046288013913346,1.741627334662212,1.3235763667366007,1.9593524624700005,1.4450375787300505,0.2906491371533727,1.5097702365765524,1.0940626329394842,1.7240070363368225,-0.05798595031225769,0.11248318515366323,-0.0020537572832062,-0.256046790192191,0.0115860251795257,-0.044661021121053385,0.10486537626489864,0.0032776654398262,-0.227028735984101,0.0283082776136028
individual,P19,arousal,face,ridge,20,10,5,1.6724200252887669,0.3046288013913346,1.741627334662212,1.3235763667366007,1.9593524624700005,1.4450375787300505,0.2906491371533727,1.5097702365765524,1.0940626329394842,1.7240070363368225,-0.05798595031225769,0.11248318515366323,-0.0020537572832062,-0.256046790192191,0.0115860251795257,-0.044661021121053385,0.10486537626489864,0.0032776654398262,-0.227028735984101,0.0283082776136028
individual,P19,arousal,face,ridge,5,5,5,1.6688902564189227,0.3009535420701466,1.7285827203182926,1.3278576939861857,1.9547181802762112,1.438469487116817,0.28287229580524886,1.495214271800864,1.0993990790688335,1.716970263307502,-0.0536760255853634,0.10488679097352922,-0.008546859935955,-0.2373019232826756,0.0125634616150872,-0.0401404012874404,0.09690701817877571,0.0044350510048279,-0.2074087654758711,0.0291173435054938
individual,P19,arousal,face,ridge,all,all,5,1.6724200252887669,0.3046288013913346,1.741627334662212,1.3235763667366007,1.9593524624700005,1.4450375787300505,0.2906491371533727,1.5097702365765524,1.0940626329394842,1.7240070363368225,-0.05798595031225769,0.11248318515366323,-0.0020537572832062,-0.256046790192191,0.0115860251795257,-0.044661021121053385,0.10486537626489864,0.0032776654398262,-0.227028735984101,0.0283082776136028
individual,P19,arousal,face,svr,10,10,5,1.6970432705149219,0.2893637821754348,1.6582152986043148,1.362508690290662,2.003067172023026,1.4280995635030165,0.28839177239127917,1.3659389386439893,1.0623847358683216,1.7383227853067211,-0.09010074897338222,0.04775873816973718,-0.0947760223053166,-0.1386157544778063,-0.0245190285751999,-0.039867931029392054,0.03686765897152988,-0.0245028236057653,-0.0943782954677898,-0.0045451378333845
individual,P19,arousal,face,svr,20,10,5,1.6970432705149219,0.2893637821754348,1.6582152986043148,1.362508690290662,2.003067172023026,1.4280995635030165,0.28839177239127917,1.3659389386439893,1.0623847358683216,1.7383227853067211,-0.09010074897338222,0.04775873816973718,-0.0947760223053166,-0.1386157544778063,-0.0245190285751999,-0.039867931029392054,0.03686765897152988,-0.0245028236057653,-0.0943782954677898,-0.0045451378333845
individual,P19,arousal,face,svr,5,5,5,1.6862678505879949,0.2959104299340866,1.6579491219358478,1.3267743968175103,2.002958143411321,1.4156797543604531,0.3059954867944305,1.3650119919651813,1.0054693300576605,1.7294445807776924,-0.07529417919873205,0.06457963935937307,-0.0946568464104455,-0.1382502426847167,-0.006811553091413,-0.0205540348061534,0.041673210707468704,-0.0013412764403839,-0.0937866070753434,0.0075480464812202
individual,P19,arousal,face,svr,all,all,5,1.6970432705149219,0.2893637821754348,1.6582152986043148,1.362508690290662,2.003067172023026,1.4280995635030165,0.28839177239127917,1.3659389386439893,1.0623847358683216,1.7383227853067211,-0.09010074897338222,0.04775873816973718,-0.0947760223053166,-0.1386157544778063,-0.0245190285751999,-0.039867931029392054,0.03686765897152988,-0.0245028236057653,-0.0943782954677898,-0.0045451378333845
individual,P19,arousal,multimodal,knn,10,10,5,1.5840062913809256,0.36071932228611175,1.482115605027714,1.2148643203273393,2.00504421625602,1.312791397495627,0.33446765993653615,1.2833333333333334,0.9242424242424242,1.705615624703454,0.06438847554424913,0.08905568477534978,0.0903810208483105,-0.0492236203287852,0.1557937413313417,0.07632864225857174,0.09600726766247394,0.1129259525521209,-0.0430051575329231,0.174702700928213
individual,P19,arousal,multimodal,knn,20,20,5,1.636246512522003,0.31347647214144475,1.5501266277254484,1.3270883269196392,2.036957741014145,1.3690881916801108,0.28629557714470344,1.340909090909091,1.0620247022393865,1.7367842417784751,-0.007895424239069321,0.04395462417925681,0.0049848197681672,-0.0828896144441371,0.0274110636545943,0.01101128961198402,0.05340646393680048,0.0285331319055657,-0.0827503374078455,0.0521766087543823
individual,P19,arousal,multimodal,knn,5,5,5,1.5700987338298986,0.3243165261378969,1.482333987192757,1.225728545934849,2.0047835182974607,1.2967490936848636,0.2976605889815859,1.2613636363636362,0.9431818181818182,1.7115655842368085,0.07472272534284455,0.0736557447025515,0.0901129456779414,-0.0489507957483441,0.1406271799880177,0.09712365270151277,0.07679909667218436,0.1175425065869061,-0.0361437952553427,0.1587564732820666
individual,P19,arousal,multimodal,knn,all,all,5,1.7065473841869163,0.21846254068814372,1.6451950239004087,1.4728956132745137,1.940666012739636,1.4191558441558443,0.18452960153913875,1.4166666666666667,1.232142857142857,1.6628787878787878,-0.12042054964165297,0.14744052392934975,-0.119701412956545,-0.3604361307581623,0.0170719012009121,-0.10607773943338217,0.13634401608621316,-0.0912349299446073,-0.3296110897189064,0.0216591086962217
individual,P19,arousal,multimodal,ridge,10,10,5,1.5558795419308142,0.292498433199497,1.5034318765014942,1.254972919240164,1.922024052135696,1.3091320432854274,0.2498612777455465,1.2885527622637036,1.0209339749741069,1.6309038925239274,0.08801450726353979,0.03744255982525113,0.0991308360048867,0.0358651385477308,0.126669497485081,0.10904940121825091,0.04989216289835266,0.1285960333832421,0.0379455209596306,0.1663976109411514
individual,P19,arousal,multimodal,ridge,20,20,5,1.5671609285423602,0.3094638331845973,1.6011389128884734,1.2514620861269123,1.943910202713624,1.3194776650676714,0.28766002393365797,1.411133095758594,0.9661307352574354,1.6442856120148992,0.07468625750703277,0.09783924120409615,0.1041642151583326,-0.0615815897761562,0.1817971202034031,0.09884952568795671,0.1038003343949733,0.1387531095918025,-0.0311345734188202,0.2273022121269774
individual,P19,arousal,multimodal,ridge,5,5,5,1.55789751870327,0.2977343530747523,1.4954493503876392,1.2527742510019952,1.9337477293826253,1.310090771448249,0.2588534089552126,1.282572332303432,0.9946384546904058,1.632180230874697,0.08639296744554062,0.03898200072651337,0.1022846528214501,0.0240674935233088,0.120961259831975,0.107845210276498,0.05320588437760997,0.1234093243460422,0.0241535316250058,0.1612377938399845
individual,P19,arousal,multimodal,ridge,all,all,5,1.7927860491784595,0.31986377051953313,1.816404602517684,1.4550247868034554,2.178867780595368,1.5240882685306498,0.31929094989240697,1.633533006262296,1.135397014427607,1.8631980673288555,-0.21697577930564033,0.11259392097047019,-0.2390302346453794,-0.3662196920972804,-0.0926952930128726,-0.18774871111735986,0.12014823950511053,-0.2165345490315333,-0.3405133150847479,-0.0262361594303681
individual,P19,arousal,multimodal,svr,10,10,5,1.6029669919891478,0.300734366291181,1.5843792259795884,1.2571075568796923,1.9320564013285029,1.3401856195162931,0.2837089893225326,1.3270854867252784,0.9868266263678268,1.686906771035298,0.03218491104874318,0.0483877024284257,0.0372558267147183,-0.0394740030684626,0.0960635750656596,0.06702953734105546,0.03735817258426651,0.0608550192232771,0.0266059476079746,0.1139521339976811
