task_type,model_scope,target,modality,model,input_representation,ica_status,label_condition,experiment,best_primary_metric,primary_metric_name,secondary_metric,secondary_metric_name,participant_if_individual,feature_count_or_family,channel_subset,hyperparameters_if_available,n_participants,source_run,source_file,notes
classification,general LOSO,arousal,face,SVM,handcrafted EEG/face trial features,no-ICA,standard LOW<4 / HIGH>=4,baseline no-ICA,0.5063756074175193,balanced_accuracy,0.6057543454340477,accuracy,,10,,,46,{participant_lower}_no_ica,outputs/image_classification/general_no_ica/results_summary.csv,mean outer-fold metric
classification,general LOSO,arousal,face,SVM,handcrafted EEG/face trial features,no-ICA,standard LOW<4 / HIGH>=4,baseline no-ICA,0.5063756074175193,balanced_accuracy,0.6057543454340477,accuracy,,10,,,46,{participant_lower}_no_ica,outputs/image_classification/general_no_ica/results_summary.csv,mean outer-fold metric
classification,general LOSO,arousal,face,SVM,handcrafted EEG/face trial features,no-ICA,standard LOW<4 / HIGH>=4,baseline no-ICA,0.5070748255596685,balanced_accuracy,0.5955820537565006,accuracy,,5,,,46,{participant_lower}_no_ica,outputs/image_classification/general_no_ica/results_summary.csv,mean outer-fold metric
classification,general LOSO,arousal,face,SVM,handcrafted EEG/face trial features,no-ICA,standard LOW<4 / HIGH>=4,baseline no-ICA,0.5063756074175193,balanced_accuracy,0.6057543454340477,accuracy,,all,,,46,{participant_lower}_no_ica,outputs/image_classification/general_no_ica/results_summary.csv,mean outer-fold metric
classification,general LOSO,arousal,multimodal,GaussianNB,handcrafted EEG/face trial features,no-ICA,standard LOW<4 / HIGH>=4,baseline no-ICA,0.5005366373145502,balanced_accuracy,0.5672018485844847,accuracy,,10,,,46,{participant_lower}_no_ica,outputs/image_classification/general_no_ica/results_summary.csv,mean outer-fold metric
classification,general LOSO,arousal,multimodal,GaussianNB,handcrafted EEG/face trial features,no-ICA,standard LOW<4 / HIGH>=4,baseline no-ICA,0.5041563738105775,balanced_accuracy,0.5802841958748293,accuracy,,20,,,46,{participant_lower}_no_ica,outputs/image_classification/general_no_ica/results_summary.csv,mean outer-fold metric
classification,general LOSO,arousal,multimodal,GaussianNB,handcrafted EEG/face trial features,no-ICA,standard LOW<4 / HIGH>=4,baseline no-ICA,0.4999677008412989,balanced_accuracy,0.58231734728461,accuracy,,5,,,46,{participant_lower}_no_ica,outputs/image_classification/general_no_ica/results_summary.csv,mean outer-fold metric
classification,general LOSO,arousal,multimodal,GaussianNB,handcrafted EEG/face trial features,no-ICA,standard LOW<4 / HIGH>=4,baseline no-ICA,0.5035436423795896,balanced_accuracy,0.4944341114219875,accuracy,,all,,,46,{participant_lower}_no_ica,outputs/image_classification/general_no_ica/results_summary.csv,mean outer-fold metric
classification,general LOSO,arousal,multimodal,kNN,handcrafted EEG/face trial features,no-ICA,standard LOW<4 / HIGH>=4,baseline no-ICA,0.5026868887595899,balanced_accuracy,0.5599940267032814,accuracy,,10,,,46,{participant_lower}_no_ica,outputs/image_classification/general_no_ica/results_summary.csv,mean outer-fold metric
classification,general LOSO,arousal,multimodal,kNN,handcrafted EEG/face trial features,no-ICA,standard LOW<4 / HIGH>=4,baseline no-ICA,0.5014163648411579,balanced_accuracy,0.551464124328555,accuracy,,20,,,46,{participant_lower}_no_ica,outputs/image_classification/general_no_ica/results_summary.csv,mean outer-fold metric
