task_type,model_scope,target,modality,model,input_representation,ica_status,label_condition,experiment,best_primary_metric,primary_metric_name,secondary_metric,secondary_metric_name,participant_if_individual,feature_count_or_family,channel_subset,hyperparameters_if_available,n_participants,source_run,source_file,notes
classification,individual,valence,face,SVM,handcrafted EEG/face trial features,no-ICA,standard LOW<4 / HIGH>=4,baseline no-ICA,0.6882917082917083,balanced_accuracy,0.7,accuracy,P17,10,,,46,{participant_lower}_no_ica,outputs/image_classification/no_ica/results_summary.csv,mean outer-fold metric
classification,individual,valence,multimodal,SVM,handcrafted EEG/face trial features,no-ICA,standard LOW<4 / HIGH>=4,baseline no-ICA,0.7144444444444444,balanced_accuracy,0.7171428571428571,accuracy,P36,5,,,46,{participant_lower}_no_ica,outputs/image_classification/no_ica/results_summary.csv,mean outer-fold metric
regression,general LOSO,arousal,eeg,SVR,handcrafted EEG/face trial features,not identifiable,continuous original rating,historical stage_a_general_regression_v1,1.7024944028966154,RMSE,1.4503676034970712,MAE,,5,,,10,not recorded,outputs/image_regression/stage_a_general_regression_v1/results_summary.csv,mean outer-fold RMSE
regression,general LOSO,arousal,face,SVR,handcrafted EEG/face trial features,not identifiable,continuous original rating,historical stage_c_general_regression_all46_v1,1.713640344724027,RMSE,1.4771094025763412,MAE,,5,,,46,not recorded,outputs/image_regression/stage_c_general_regression_all46_v1/results_summary.csv,mean outer-fold RMSE
regression,general LOSO,arousal,multimodal,Ridge,handcrafted EEG/face trial features,not identifiable,continuous original rating,historical stage_c_general_regression_all46_v1,1.6948711667124865,RMSE,1.4601601433237503,MAE,,20,,,46,not recorded,outputs/image_regression/stage_c_general_regression_all46_v1/results_summary.csv,mean outer-fold RMSE
regression,general LOSO,valence,eeg,SVR,handcrafted EEG/face trial features,not identifiable,continuous original rating,historical stage_a_general_regression_v1,1.7658327848460762,RMSE,1.4931238259427675,MAE,,5,,,10,not recorded,outputs/image_regression/stage_a_general_regression_v1/results_summary.csv,mean outer-fold RMSE
regression,general LOSO,valence,face,SVR,handcrafted EEG/face trial features,not identifiable,continuous original rating,historical stage_a_general_regression_v1,1.767394923142387,RMSE,1.4954722648616487,MAE,,5,,,10,not recorded,outputs/image_regression/stage_a_general_regression_v1/results_summary.csv,mean outer-fold RMSE
regression,general LOSO,valence,multimodal,SVR,handcrafted EEG/face trial features,not identifiable,continuous original rating,historical stage_a_general_regression_v1,1.7656381143726465,RMSE,1.4931378211990016,MAE,,5,,,10,not recorded,outputs/image_regression/stage_a_general_regression_v1/results_summary.csv,mean outer-fold RMSE
regression,individual,arousal,eeg,SVR,handcrafted EEG/face trial features,not identifiable,continuous original rating,historical stage_c_individual_regression_all46_v1,0.859205928881672,RMSE,0.7493172073412103,MAE,P08,all,,,46,not recorded,outputs/image_regression/stage_c_individual_regression_all46_v1/results_summary.csv,mean outer-fold RMSE
regression,individual,arousal,face,kNN,handcrafted EEG/face trial features,not identifiable,continuous original rating,historical stage_c_individual_regression_all46_v1,0.8693613107132426,RMSE,0.7314197299305583,MAE,P08,10,,,46,not recorded,outputs/image_regression/stage_c_individual_regression_all46_v1/results_summary.csv,mean outer-fold RMSE
regression,individual,arousal,multimodal,SVR,handcrafted EEG/face trial features,not identifiable,continuous original rating,historical stage_c_individual_regression_all46_v1,0.8486759894197778,RMSE,0.7385022492348466,MAE,P08,all,,,46,not recorded,outputs/image_regression/stage_c_individual_regression_all46_v1/results_summary.csv,mean outer-fold RMSE
regression,individual,valence,eeg,SVR,handcrafted EEG/face trial features,not identifiable,continuous original rating,historical stage_c_individual_regression_all46_v1,0.818917347202411,RMSE,0.5407762842337346,MAE,P07,5,,,46,not recorded,outputs/image_regression/stage_c_individual_regression_all46_v1/results_summary.csv,mean outer-fold RMSE
regression,individual,valence,face,SVR,handcrafted EEG/face trial features,not identifiable,continuous original rating,historical stage_c_individual_regression_all46_v1,0.7404359147760493,RMSE,0.5534515357958719,MAE,P07,10,,,46,not recorded,outputs/image_regression/stage_c_individual_regression_all46_v1/results_summary.csv,mean outer-fold RMSE
regression,individual,valence,multimodal,SVR,handcrafted EEG/face trial features,not identifiable,continuous original rating,historical stage_c_individual_regression_all46_v1,0.7932721250741255,RMSE,0.551203647614483,MAE,P07,10,,,46,not recorded,outputs/image_regression/stage_c_individual_regression_all46_v1/results_summary.csv,mean outer-fold RMSE
