eeg_sd__C3,eeg_sd__C4,eeg_sd__Fz,eeg_hm__Cz,eeg_hc__Cz,eeg_bp_delta__Fz,eeg_se_delta__PO7,eeg_se_theta__C4,eeg_se_theta__Fz,eeg_bp_alpha__C3,eeg_bp_alpha__PO8,eeg_se_alpha__C3,eeg_se_alpha__Fz,eeg_se_alpha__PO7,eeg_se_alpha__Pz,eeg_bp_beta__C3,eeg_bp_beta__C4,eeg_bp_beta__Cz,eeg_bp_beta__Fz,eeg_bp_beta__Pz
3.6009432980736245,4.386205869368224,11.834901914319804,0.2522252148834586,2.349108892109796,62.20088851350907,1.7576934347688578,2.247220834004612,2.2741064637602357,2.4276260437274715,6.031395140782198,2.0454379676365546,1.918422930119347,2.2722268121469518,2.109634070329391,3.227027474633938,5.715616179119584,3.4228409776329047,8.782177488175746,2.434358101238137
3.685474259000116,3.6613906048383424,9.114787819363976,0.3692932201997977,1.6446009890939772,19.680576309409904,1.9350958504300544,2.043791511640926,2.143858863534718,1.934140192274276,5.236060652127987,2.074271000641315,2.1267297421942173,2.131545041493812,2.0339724448741774,5.47736549046155,4.044047576682331,4.307103021710287,7.880606100903344,2.220383443503461
3.4089476587861154,3.1387632527693627,9.00872847584421,0.3093323297119947,2.0326874802229176,36.81614998065301,1.6427729906858826,2.173210662767448,2.019689884393892,1.8213645161213337,3.2931432373812046,2.276339288697801,2.164304038236639,2.2235891407424293,1.6697947478696678,3.602183615419752,2.6709340307524445,3.487310426816411,8.489796876101943,1.7663891916013033
4.620840039059557,4.250526324925122,11.071420057271853,0.3441397915214984,1.7543923845432148,47.35701630981288,1.886376511180196,2.054187686502606,2.147641235700881,1.3469136816841425,3.2231405578131973,2.14783556795036,2.1708329011990437,2.231324879170682,2.11044454369788,5.912648473160223,4.607396850819981,7.622947758553843,12.238585371589126,1.7507149029538704
4.913598815533977,3.968260304092751,7.711921563302777,0.3841281550121924,1.6133743904708544,38.46899391243595,1.8894192124369305,2.2373267663159,1.9614735194893207,1.284036547559403,1.639993763077555,2.258026809389168,2.2808680092890468,2.3004792345249374,2.180513869455176,5.864122832162693,4.612335996762599,5.157921876629048,14.278204441035603,2.3304610571460387
4.21781087734284,3.847107355056272,7.408839407668509,0.3433225331551423,1.7614749528250917,26.51357926882861,1.952372995198714,2.1894369616886804,1.9904362309188937,1.3356445257661975,1.888341312019432,2.2103509122415246,2.253828690337752,2.2690670626692864,1.9117716096141264,3.108154358921579,4.372852294048437,4.662627711969489,10.528976734734837,2.64269927351197
3.024678497671725,3.8488026577845806,7.525663841338827,0.2731843877445584,2.1179157054336537,20.33062456428802,1.8990734418528008,1.926659026334024,1.8900065357206743,1.5669334931991068,2.245954121841657,1.9932595770102188,2.2492760509675462,2.249472089909213,2.287425196842647,3.122757926674846,2.995727732023275,3.4295060225164877,21.97586201652372,2.3183011339976254
3.606016738164526,3.6545901083079344,8.643471104000222,0.3428303172000899,1.8223400227150288,57.54556814146403,1.6288951581809703,1.7753345775311389,2.1912297774258027,1.3463680567364475,5.8142838376939565,2.000199198870045,2.222220629511982,2.2702499623009738,2.241701241542194,5.149329503152499,3.3705336651473985,5.960421837307998,9.125611273669657,2.0744600109921043
4.124470209042833,3.397396697157765,10.584549798485584,0.3393433078729241,1.8211402224238384,56.63231246488882,1.7871016609598638,2.284797894044204,2.092739376283473,2.9055966253278096,4.00599842252925,2.2710943395261465,2.1261290919672984,2.194546628014644,2.131076843433526,4.10938360601982,2.81863625114003,4.9393146288247625,8.221450179490734,2.048230240752171
4.207659696791878,3.817350196901055,8.565213813051653,0.3356323278075275,1.7337826437197308,33.0921936249174,1.9489933401739643,2.258109604841909,2.1424869129789137,3.4166775207616964,9.446493317270267,2.1479656586433054,2.190303449130554,2.1495304738206844,2.0093934455472704,6.154595627451986,3.451799749699192,8.459219671142668,17.96431925644497,3.5126097931111944
3.463550027938914,3.0206847637353658,8.644257835548867,0.3698973466418779,1.6287570243444058,43.22067264482413,1.9286510642276964,2.2757165041980385,2.1029183058189083,1.617443178526608,3.976421091614639,2.1795628268805856,2.3067313286860265,2.2302585607388044,2.1698481225979664,6.584648633594357,2.9479414525068184,4.604534858599608,9.642369049780006,2.657280835069248
3.455925446018176,4.032846606154061,9.471022995683972,0.2694634806979438,2.1651622198605835,50.2133567922576,1.6355610718484062,2.138122416385931,2.148824395954988,1.02058308170623,3.0856593483052204,2.217758235956922,1.997392323472531,1.9428400285160623,1.848735307558268,2.793299059394045,2.6758455315254506,3.0126098410105016,6.0878884073185295,2.4626471725682664
3.4310923008588934,4.501051615122078,7.593807973520538,0.3307595750916572,1.765240022143917,16.59635419057593,1.9658768885910245,2.123148513938511,2.217991755415774,1.0885871277601775,3.459277847766396,2.072014802966688,2.2412635213290497,2.2704422773487707,2.1239872926534997,2.811446218622288,2.747984916664405,7.209075731118193,6.130051548561993,1.8546774763151657
3.6433349066716367,2.8213573292073004,8.265097806396524,0.3786442963476319,1.653557443942,32.742440016873566,1.8227838647976768,1.9752306573272576,2.1976130271924297,1.7823840652313687,2.1629399430448126,2.252889383009643,2.205414050507275,2.2043786188075423,2.083635813867374,3.134811120502656,2.5979424213943205,5.0652730612277415,11.003458000947123,1.6443481333040892
3.5435186615620573,3.670154575030671,5.619826445326906,0.3311996759177288,1.8109460414346328,10.936749135405474,1.7684468616583475,2.2070308043581237,2.2648346306794043,1.251104413508363,2.7842814178633075,2.147097593291206,2.241616327198922,1.9543369085500548,2.013658520425496,4.471112211911294,2.707420975110897,7.431261253823759,11.319272831598468,1.839294122229755
3.785243522040672,3.642271501122625,9.271833022698251,0.3659295245084131,1.6887936378996442,57.833488881113006,1.8537725813092585,1.928420531231189,2.146786986586797,1.8292756297151749,3.575850730161204,2.063280976698228,2.190515003052937,2.308622433252685,2.031880295628298,4.060911403162863,4.752934689850376,6.442805715382081,17.97799508188282,3.055623722954253
4.201430798893136,3.648788164747719,6.618691887359713,0.3583666206206933,1.676386501122313,9.359826066730369,1.962014770052304,2.2140364118536264,2.1308064093656074,2.0232483526855187,2.640214128396745,2.275969682706246,2.210145224250588,2.284984470754812,2.3134324702205635,5.852785631866933,4.538632213597369,5.345188810923776,13.508153161430744,5.165854665368263
3.081394288037905,3.166438216238586,9.228658609583244,0.3471372280899104,1.6710417772228263,19.359294440553622,1.7070887000119082,2.0943220372606444,2.1944369913439026,0.6945670280610154,4.556228217171378,2.2343428863853854,2.2035017280870868,2.1292494270575397,1.822103525245693,2.8461720615894777,3.216260255718439,6.351632376847798,10.362641124814449,3.4843472688827006
3.59003415616164,4.029258244298454,10.48624279851018,0.294184728778675,2.0254683017231296,32.01022094785164,1.7510095424577496,2.1688086426481274,2.29431472352074,1.266666652393678,3.0871056647646524,2.1878716563097638,2.055913923597605,2.021256140930772,2.265073467563792,2.577985960889029,4.414045712029791,6.120540559948896,14.109774670993504,2.159720960897597
3.659909352954049,3.172632979328112,6.641361302746125,0.3757851662266063,1.6642044941914194,16.280038411315346,1.812997545579756,2.173747880923187,2.076273201140813,1.119524616031866,2.890319115398963,1.9244862031328756,2.10179683564781,2.2089324472560063,2.0930498398711905,3.3059797633127,4.8964381391030205,4.926706287940813,11.331702218560451,2.388946734412293
3.9337273145409752,3.5523020234834544,9.04831553346078,0.3642582215963332,1.6280881451641385,51.327681212271344,1.7824014469889065,2.3122600525317853,2.0247710580954204,3.69637268689535,7.436456672718782,2.236985479888146,2.1523790613796514,2.2957801726610283,2.0855576000340363,5.124051744087397,4.933662749848013,9.1191750942686,14.106159277441298,3.056885382719291
3.202954496093959,3.5661497688082373,8.234064258442556,0.2844898467573523,2.054004542949623,45.30717570077865,1.6768271589308783,2.0781089783903948,2.198284959150315,0.9786895172232922,1.24789646543405,2.174040370278909,2.082993624356825,1.827626228938072,2.257089021567436,2.6779486356209348,3.343458390298218,4.575792448807951,7.592888372921676,2.374618430350452
4.639146520543543,4.323645015458186,10.74516389423828,0.2634845742841852,2.4119682539407785,75.02404666447123,1.4730402763474135,2.1057717354396672,2.29965815693471,1.7847696963046396,3.12021129863317,2.294894220470711,1.8188533564591105,2.2548930855544373,2.2271847769920523,3.688623558267473,3.0765765412288366,7.160981876902904,7.79923629042741,2.1571746394332365
3.144262194993111,3.490342750501723,10.240072442769453,0.3214612816615612,1.8485462306381972,70.09213978102089,1.987250690048762,2.2998400579946585,2.120599239582778,0.984071181948206,3.543314724544992,2.1947951312245184,2.2909211422881106,2.2333376014480493,2.1497596692928265,2.575939912079096,2.352448131785442,5.817706955880147,9.918904327556264,3.4943428797849267
3.671355259305064,3.248312250711538,7.260512555695497,0.3808453941046257,1.637687419153277,12.279891535322577,1.982690140370424,2.163605361995207,1.9007110032142875,2.2028282589866564,1.9212687128852948,2.072300542777552,2.2303001545152243,2.0580537444648024,2.206796537084178,4.816606881324346,4.748811679720253,5.918050089766275,15.348516932046776,4.366608589424041
4.022521174186956,4.036341301807675,7.231043546379033,0.3327498170273658,1.7747054355385783,10.065582557825437,1.968827245265908,2.1385666167705413,2.278060524567275,1.692207338677835,4.172369261001151,2.022490439375818,1.8791810554642217,1.9683875775061903,2.118228488162828,3.4567784523671774,2.737881089599649,3.813592019420585,9.13163307616757,2.40998409084416
3.5179893915307523,3.6227676578985206,6.3634497607632365,0.3608976376406918,1.673321224926038,7.352405730320505,1.995572301577206,2.0853877720986924,2.2705496197400548,1.6352291272082446,4.06924805023662,2.287785975162622,2.116620444639032,2.3070260517239505,2.104294868916315,3.369171553554944,3.5151808072124733,7.360198826968482,14.502477304352576,5.8226354289208535
4.306561566999413,3.2436146640795567,8.405227103145583,0.3188278188309698,1.9007151244426197,25.38314742624403,1.9016613042623245,2.2444440434344526,2.1414021188692134,2.0653578468221867,5.211838484053973,2.2031859615450022,2.123991622924972,2.0742117847614856,2.2804381115118733,5.5449976067777245,3.707625192221992,6.0949341428668085,7.489166089233253,2.8470557733691857
5.005173054840161,4.385046843980571,9.568037542321466,0.325769694537371,1.798816270411493,40.8706907601257,1.6407751143049456,2.095065306139518,1.8227044898441669,5.28528990054241,6.059145217282316,2.15483117767564,2.1726649937655367,2.234062650602088,1.9912892206626551,5.30834825899645,5.329573278358554,7.7130040877791535,19.54096231926546,2.4281746390739456
3.5498314475688484,4.121797247184262,7.306602303355611,0.3538781965116466,1.7266698977837525,17.178669641099837,1.732732711881226,2.126218731909424,2.175801010276884,1.0470075761511073,2.8294286545207346,2.2179819932585274,2.124652483776906,1.9086084044656688,2.28209757059136,3.806669549087182,3.7868455187297214,5.110642330374791,8.541024714927044,1.9701641378399828
4.571757680994454,3.8279664680277863,7.424148804927246,0.3285728544764821,1.7826885169504647,7.679885941807292,1.9078120315843128,2.262620989633429,2.261351221676305,2.766104240601357,5.736413178917756,2.1991940051344945,2.252985988305713,2.0675961279080317,2.062667746055741,5.129240427689628,3.8084410373192665,8.569450723219086,18.525006186950787,3.883801857124158
3.797213800689068,4.124482042537228,9.482520147934803,0.3265437994136738,1.7756729845558803,41.92000392828144,1.701218877391855,2.249897619415501,2.1507424305833145,2.5867276595512925,2.571786882168492,2.1917463971168214,2.147611963232332,2.0970065262701967,2.2074927286272485,8.887562804769342,7.610296518206065,9.01081091816537,25.08134533470644,2.57114280567024
3.330527656131789,3.586721349156356,7.171745295733972,0.356656043297252,1.7091179668832543,23.743245338231084,1.833698515644926,2.1362319084286754,2.2831007771107976,0.8438918944994057,2.4838690708248223,2.0530122948425813,1.9755790674593887,1.851323615791552,2.277192116701924,2.4403439395396727,4.782982394032193,7.57556918668435,9.886267368828848,2.053317908679595
4.0394719881556895,3.731792620087563,7.317244667061564,0.3728234563511723,1.6135600757363473,11.177459726144225,1.896472589639452,2.0977343183592208,2.198030934473415,3.380108428525407,4.744546197050505,2.0959525669255066,2.0250580799702647,2.195385298210319,2.112444514527295,5.937649793586242,5.780969673241986,5.403169661602292,13.237636550454395,2.3462062555059044
4.426483818148603,4.074999690459328,6.758353890535181,0.3393808605538936,1.8585085446971883,13.715182948950114,1.914961969377538,1.9195350702969336,2.1245017912975963,2.733326562546055,4.118525899462648,2.300312618682014,2.2602169056937407,2.214552856037232,2.1399412798281423,4.610475801952256,5.86832240788274,6.879464327940303,9.611018161265712,1.6165784238125234
4.452436022248092,3.774759068046501,7.099392759916365,0.3995697188943243,1.5416606057764688,7.464087599493288,1.76262203058122,2.143740661857511,2.17030238532732,1.2305756961221788,2.721050492615513,2.2565952493222863,2.192570148348953,2.259082749695967,2.1080888259275543,5.095699214545193,3.496363042668173,8.104521885202054,23.915253815090068,2.798624245677826
