eeg_sd__Fz,eeg_hm__Oz,eeg_hm__Pz,eeg_hc__Pz,eeg_mf_hz__C4,eeg_mf_hz__Oz,eeg_bp_delta__C4,eeg_se_delta__Oz,eeg_bp_theta__C4,eeg_bp_theta__Oz,eeg_se_theta__Cz,eeg_se_theta__Fz,eeg_se_alpha__C4,eeg_se_alpha__Fz,eeg_se_alpha__PO7,eeg_bp_gamma__PO7,video_irisdo_norm_std,video_eso_norm_std,video_enso_norm_std,video_mwo_norm_std
11.834901914319804,0.2025702012198431,0.2523927728999384,2.178210388184366,8.0,4.0,5.352463050468493,1.988457670393081,2.97718081863362,13.079126601953996,2.2833904342935485,2.2741064637602357,2.26898414318037,1.918422930119347,2.2722268121469518,0.2419061050661915,0.0299376533788967,0.0175511674644163,0.0330780084622225,0.018038371099715
9.114787819363976,0.2282863072802845,0.2262954251273041,2.2784519346972685,7.0,6.0,3.019674839225977,1.8767236267901923,4.241115794427052,10.829264007521637,2.019519068199148,2.143858863534718,2.269213502497861,2.1267297421942173,2.131545041493812,0.2748918939928387,0.0301647724783106,0.0139440635548948,0.0296665113019908,0.017768985782219
9.00872847584421,0.2417371267351362,0.277518158069069,1.998390747713976,8.0,3.0,3.143818706832849,1.591838163273945,1.1353342829339628,6.958404630907548,2.1792233399034173,2.019689884393892,1.8654524038997728,2.164304038236639,2.2235891407424293,0.4290224577832311,0.0113925176808699,0.004057663039827,0.0073872722198098,0.0112813055182443
11.071420057271853,0.2039180518498692,0.2009357384843739,2.7427306713778004,6.0,4.0,5.551785011360263,1.827261287515321,2.8382013828728634,9.177742507448857,2.2491934043551853,2.147641235700881,2.1983516025216345,2.1708329011990437,2.231324879170682,0.284197547222165,0.0301660034668417,0.0129265821786056,0.0325739738300672,0.0211600530328355
7.711921563302777,0.2831287027308399,0.2264315219594357,2.379114471415174,8.0,5.0,4.619695574837643,1.958776523352824,1.8302832668139168,5.6499549422011,2.148348568680065,1.9614735194893207,2.2689454492020147,2.2808680092890468,2.3004792345249374,0.330329289517596,0.0223097343375723,0.0095174326564049,0.0198497785406973,0.0098912529453833
7.408839407668509,0.2522466602322114,0.2461572047111378,2.1462424602628984,7.0,5.0,3.393846946261601,1.539824574514871,3.8848528850589057,9.37674016897918,2.208885920388638,1.9904362309188937,2.103726274152682,2.253828690337752,2.2690670626692864,0.3957547712668097,0.0175649127306964,0.0090215621028509,0.0192090602644211,0.0128406462328227
7.525663841338827,0.3288579069599674,0.2063024368424597,2.612880438621246,5.0,6.0,6.74703743097956,1.945062381954727,4.042111417820608,5.9836752452864825,1.947359269137168,1.8900065357206743,2.10301524493373,2.2492760509675462,2.249472089909213,0.3461768291749511,0.0281725175897466,0.0140385731435921,0.0341740565969518,0.0141120557729987
8.643471104000222,0.2168648509246103,0.2374804413003859,2.171528713099196,4.0,4.0,6.606921905821029,1.9180064134585448,2.3514523917335683,5.637246305395155,2.0637301245874884,2.1912297774258027,2.236487674076575,2.222220629511982,2.2702499623009738,0.6478200526392015,0.0241638715974025,0.0107352123516131,0.0229527233225158,0.0167795285606334
10.584549798485584,0.2432477341507709,0.2070308776271378,2.6425143512456257,7.0,6.0,3.286709270118064,1.6563409509822826,3.435824909258933,5.822597452797431,2.1575678186596656,2.092739376283473,2.164908147568968,2.1261290919672984,2.194546628014644,0.3039909471972202,0.0221100543907978,0.0136553384921884,0.0225604817437964,0.0122074027558799
8.565213813051653,0.2524659181823399,0.2387918323114537,2.0795219672840983,7.0,5.0,4.379957746253252,1.98796398181323,2.7963352949944715,7.207871529858359,2.158931697706648,2.1424869129789137,2.224735624664294,2.190303449130554,2.1495304738206844,0.2973527851279005,0.0182725392074359,0.0133861092799561,0.0236557097670323,0.010807962728869
