eeg_sd__C3,eeg_sd__C4,eeg_sd__Cz,eeg_sd__Fz,eeg_sd__Oz,eeg_sd__PO7,eeg_sd__PO8,eeg_sd__Pz,eeg_se__C3,eeg_se__C4,eeg_se__Cz,eeg_se__Fz,eeg_se__Oz,eeg_se__PO7,eeg_se__PO8,eeg_se__Pz,eeg_hm__C3,eeg_hm__C4,eeg_hm__Cz,eeg_hm__Fz,eeg_hm__Oz,eeg_hm__PO7,eeg_hm__PO8,eeg_hm__Pz,eeg_hc__C3,eeg_hc__C4,eeg_hc__Cz,eeg_hc__Fz,eeg_hc__Oz,eeg_hc__PO7,eeg_hc__PO8,eeg_hc__Pz,eeg_mf_hz__C3,eeg_mf_hz__C4,eeg_mf_hz__Cz,eeg_mf_hz__Fz,eeg_mf_hz__Oz,eeg_mf_hz__PO7,eeg_mf_hz__PO8,eeg_mf_hz__Pz,eeg_bp_delta__C3,eeg_bp_delta__C4,eeg_bp_delta__Cz,eeg_bp_delta__Fz,eeg_bp_delta__Oz,eeg_bp_delta__PO7,eeg_bp_delta__PO8,eeg_bp_delta__Pz,eeg_se_delta__C3,eeg_se_delta__C4,eeg_se_delta__Cz,eeg_se_delta__Fz,eeg_se_delta__Oz,eeg_se_delta__PO7,eeg_se_delta__PO8,eeg_se_delta__Pz,eeg_bp_theta__C3,eeg_bp_theta__C4,eeg_bp_theta__Cz,eeg_bp_theta__Fz,eeg_bp_theta__Oz,eeg_bp_theta__PO7,eeg_bp_theta__PO8,eeg_bp_theta__Pz,eeg_se_theta__C3,eeg_se_theta__C4,eeg_se_theta__Cz,eeg_se_theta__Fz,eeg_se_theta__Oz,eeg_se_theta__PO7,eeg_se_theta__PO8,eeg_se_theta__Pz,eeg_bp_alpha__C3,eeg_bp_alpha__C4,eeg_bp_alpha__Cz,eeg_bp_alpha__Fz,eeg_bp_alpha__Oz,eeg_bp_alpha__PO7,eeg_bp_alpha__PO8,eeg_bp_alpha__Pz,eeg_se_alpha__C3,eeg_se_alpha__C4,eeg_se_alpha__Cz,eeg_se_alpha__Fz,eeg_se_alpha__Oz,eeg_se_alpha__PO7,eeg_se_alpha__PO8,eeg_se_alpha__Pz,eeg_bp_beta__C3,eeg_bp_beta__C4,eeg_bp_beta__Cz,eeg_bp_beta__Fz,eeg_bp_beta__Oz,eeg_bp_beta__PO7,eeg_bp_beta__PO8,eeg_bp_beta__Pz,eeg_se_beta__C3,eeg_se_beta__C4,eeg_se_beta__Cz,eeg_se_beta__Fz,eeg_se_beta__Oz,eeg_se_beta__PO7,eeg_se_beta__PO8,eeg_se_beta__Pz,eeg_bp_gamma__C3,eeg_bp_gamma__C4,eeg_bp_gamma__Cz,eeg_bp_gamma__Fz,eeg_bp_gamma__Oz,eeg_bp_gamma__PO7,eeg_bp_gamma__PO8,eeg_bp_gamma__Pz,eeg_se_gamma__C3,eeg_se_gamma__C4,eeg_se_gamma__Cz,eeg_se_gamma__Fz,eeg_se_gamma__Oz,eeg_se_gamma__PO7,eeg_se_gamma__PO8,eeg_se_gamma__Pz
4.2867507672224265,9.001306100892155,4.489760182314761,6.301568441716301,5.366258063934115,4.956259177440878,5.362712567781895,3.030292422033126,4.385800647526783,3.3771286151799917,4.217662714575356,3.996723716300982,4.062000215538946,4.151520406375966,4.166435220671063,4.101730843382648,0.2964083853633018,0.1861339010435075,0.2725483652518316,0.2855006560943879,0.262727643049695,0.2883286606465366,0.2690741361190107,0.2769541152031496,1.72547166376023,2.629229391497952,1.8832870933379924,1.8590911381232167,2.043674496995878,1.8331760560514787,2.0512339801309927,1.8652174313019887,7.0,3.0,6.0,7.0,6.0,7.0,6.0,5.0,5.092460690312324,40.22456342232692,4.399411789105043,5.818493470363181,8.699980786842792,3.8170410816638647,9.453245496083646,3.1281160300609923,1.6795327336161558,1.4218138845375974,1.9042150614457745,1.767917275124668,1.928008224085335,1.805834650775388,1.860767239723652,1.840941970672627,4.992688171901378,16.186701822896467,7.947698904024581,23.47216139486595,13.105765746611985,12.629758026948336,10.74047734462349,2.4528767169388628,2.098810743054356,2.1769888285275365,2.0704574158510165,2.088143379748713,2.1422547548010566,2.202412613649173,2.245298925330364,2.243421362476951,2.745481556844291,5.930426144775019,1.8929104014161915,6.310354336790388,4.429612942085894,5.073308076456627,4.683292932798738,0.5403267186068506,2.304170738884124,1.9358162968720007,2.233888264680232,2.141925797291958,2.188183890119804,2.0252075602708546,2.0317190183609006,2.0584045577432835,6.69045125404317,10.609535478609397,4.788008277186097,8.383333680442583,4.659649452355292,5.756742286050856,5.664206525910799,2.2309828084847614,3.721727516168688,3.544412131527898,3.820928288166626,3.81682486767226,3.722280123137369,3.919577801275396,3.714320053532836,3.700577863352333,0.1984398797164782,0.304237029719542,0.2280383193276368,0.744390835134857,0.4545131940815019,0.1934093060953193,0.6004472182593145,0.1142055813717175,3.169367216983308,3.047278633901769,3.1778499460289407,3.033045452721752,3.1426440044947173,3.037999880633309,3.1109377031450403,3.1808523010561807
2.8688249862040704,3.297691135896,4.033735345703351,5.863061266932975,3.731230011897528,4.145610481664966,3.9710975099586823,2.4232636817416453,4.704019192566289,4.4375687562739445,4.487240436913971,4.09537387210668,4.67885381345067,4.407020586910034,4.540698016530982,4.698136712894695,0.3543429738835522,0.3411400857805768,0.3366851242884429,0.2965814451822279,0.3704653513377242,0.3214767750904833,0.3700152881774667,0.3786925818494719,1.6049952457360788,1.4507391013928497,1.4758128703168731,1.798430348155005,1.479087056218246,1.6099126795150067,1.5253354821470948,1.3857716482616962,10.0,14.0,11.0,5.0,12.0,10.0,11.0,14.0,1.003754494350849,1.1260527131327864,3.2016537367638587,14.988125071297407,2.328002857733691,4.12492958804554,4.997171194433696,0.6816878320708412,1.974586828925508,1.7453371766425143,1.8544396706995157,1.679264751507773,1.908118389231624,1.774758803827343,1.7272061505616532,1.964948486884328,1.8886525959046816,0.6905915114560077,3.230048450600142,3.052184866516553,2.133310002665503,1.6195714451255985,1.3944555297831245,0.8241427701819145,2.23918549221272,2.166545565308945,2.1625786633083166,2.186243168994496,2.261128262748938,2.1523352328366467,2.1579523651523527,2.294479206711369,1.0658285419912974,2.3896370018038144,3.865731571087007,4.252555435159532,3.226910326822951,2.492762901983579,2.1960707068469127,1.2065622970808247,1.798587276864915,2.056109244314947,1.98921603246126,2.1875345401286075,2.2114037805260955,2.1071904390648264,2.22901856017493,2.276182170535648,3.0896749923133084,5.261489889826503,8.088641710620617,10.571911798695464,6.81271524006261,6.817971621796214,7.095067648465895,3.5563587777766474,3.931608190190613,3.560247734806513,3.555194341100792,3.702766635835248,3.7490251727499766,3.468662506464562,3.8564569427887343,3.721765617830572,0.1884268195307604,0.1125183796621944,0.1967358306694525,0.5149916897876563,0.3505772098517459,0.1764477543477316,0.4313827981817411,0.1224804773689579,3.0249952533381395,3.0389950006560484,2.9906637140989414,3.0800643512795496,3.0925987764037943,3.129428003519517,3.142490936920922,3.163502181090206
2.8641580654333283,2.680767203737462,3.421980893817892,7.632659138567456,4.426463742684809,4.869410701328408,4.230230315551113,2.649087507182816,4.697804356320643,4.728288931878773,4.221281230259872,3.6766470641319007,4.341913592660197,4.383018449939551,4.289301571001929,4.532107364880132,0.3422587041030781,0.3767007536300212,0.2781648779761191,0.2097179979418896,0.2663000071456534,0.2900225830382573,0.2980121505254994,0.3005851428533915,1.5939064085664172,1.593439809021992,1.9495811751604488,2.5335321796428527,2.0465264240005365,1.9320949041920816,1.9934853215259745,1.70753149223301,12.0,10.0,6.0,4.0,7.0,6.0,6.0,8.0,1.4983907457761507,1.713034097468087,4.163385908894483,38.71862264539927,4.790004082225042,8.557085237236837,7.641626227791811,1.7631500685550126,1.927082717949308,1.986898347333464,1.8870481778324588,1.937118175973848,1.966953170234027,1.992235303344951,1.9261927891304544,1.9709718123297697,1.6529618096255765,1.6057867205488046,4.269542885577442,14.232575039101295,5.962437893641947,6.014824985272263,5.923673048802825,1.6628851703628478,2.1387474176930885,2.102048295124696,2.167249484521503,2.098352679565714,2.2091791848732862,2.0427106449850108,2.2093274911375875,2.204102197689804,1.4359310990207512,0.8954326301890821,1.053838145246501,4.637175749701672,3.849744104079602,3.416640458152179,1.6233538018889833,0.9737061641183388,2.215744970984284,2.004185704929792,2.2825488022982183,2.040041044450528,2.112033152804069,2.112382351492428,2.1817803682911747,2.188712628399503,3.864938350484559,3.4596805814434184,3.3959940327077454,8.532365013292482,4.116142938263832,7.121394860483333,4.531349904514557,2.4960919039452603,3.746941831873429,3.914666641909404,3.4874961857844693,3.6950671642899056,3.5711181121857227,3.8423792622849375,3.876251251970351,3.7372986495008846,0.2201717926384521,0.2647624183680115,0.2711433146154708,0.5416657505700678,0.5095097069479407,0.4385735831012065,0.565548149290931,0.0707895240422568,3.199975737517713,3.098960317333833,2.963783965298086,2.93252832036416,3.1139846328841108,2.99147860397786,3.0592274014722483,2.993877245119895
3.286062332828876,3.3335020817118544,4.381669152614608,6.847705583233093,4.864681904268956,4.2860261411856415,4.84734651853039,2.748566214992229,4.307139160081504,4.607449900968186,4.332028133805996,4.22135815674315,4.18798567416329,4.212599695687647,4.110844945707637,4.49023439612612,0.3476428455099811,0.3804071559196839,0.3253305457699114,0.2969468389701189,0.2762042870942121,0.3047695506333148,0.2988175782779649,0.3027977286374553,1.5263421265182768,1.3501258437928263,1.5379636232549412,1.737285352142997,1.923600303666103,1.7541816900649427,1.7753434653365705,1.7103473509991525,6.0,14.0,7.0,7.0,6.0,8.0,5.0,9.0,3.3498287378993497,1.4473727110093415,5.258054623377235,12.705715368606832,6.378515541552872,2.151224187614599,10.152962660522231,1.8010591858666505,1.960028382138384,1.981965149889998,1.8770609249555403,1.8357927472404247,1.8874642034764395,1.726840519673583,1.753262170519105,1.8712527009974824,1.4969679906320192,1.791624556348177,5.437479974674174,19.113982781900976,9.745465290560672,9.66971912293345,4.236562365880577,1.217159415540083,2.0002238084104533,2.2015831667255434,2.1344423265367385,2.277569163639849,2.191107666783405,2.213875650791493,2.2480206761664405,2.24138501203289,0.6575624647946741,1.4489050635946148,2.22161920600871,7.417120908021165,3.544323523293735,3.4848930501744397,2.563533963678545,0.8570586410921958,2.115960994820508,2.193881837453477,2.202764005390653,2.088083192457127,2.2554046136429258,2.1714952037409114,2.2708111004468376,2.2032966146943624,3.2386297498359,6.16409898417371,7.571908331274173,11.773431578915504,5.373089293358684,5.379213749561516,5.576075015679313,2.3953202670950984,3.6155012435201592,3.667992379450152,3.5764483315062527,3.6978177523095255,3.716248652744446,3.68567963674112,3.90862311557924,3.698684425884852,0.144193349196021,0.1198224084975766,0.0986447982086478,0.4067872622863145,0.2264181316653698,0.2727722913606623,0.2588201294049043,0.0758777677734472,3.064669642614266,3.2983692816498795,2.653482203640417,3.037077908498296,3.01446636697216,3.079923210002521,2.639725216490142,3.0931368401057813
3.181008919526614,2.989427014291885,3.6279332472015215,7.832346492480568,5.031606403177854,4.848117926593878,4.934022145138353,2.8081093884118324,4.6524943287526375,4.649811940008513,4.652586524725216,3.687920536085829,4.366175224040737,3.935669306461131,4.432599582177903,4.115563889973524,0.3450165203364542,0.3397252101639649,0.3247231671708246,0.2463794792542378,0.2917434650644811,0.2885455077509397,0.3136917220929376,0.2938737782831034,1.6249398830181114,1.615698404668638,1.6722811128910164,2.235270658874345,1.852568504713904,2.1109343603512696,1.8549838572054729,1.8752732297466488,11.0,9.0,9.0,3.0,7.0,4.0,6.0,4.0,1.9918411568835384,1.3424150895161264,2.803689670447036,39.79070279350684,5.867526625246674,10.748513902556088,8.214018879013214,2.704359278285687,1.9682886527670584,1.955447509594728,1.9623494838669924,1.916912002892309,1.9423104454401592,1.6526323051668457,1.9809617243864328,1.7366410418127192,1.1542391574921371,2.403875924563764,3.055694699073145,14.802525477756308,7.642987546182401,6.024597888719007,7.301394590121005,0.7306333022762651,2.0874976849974973,2.188145382653576,2.31596904523152,2.2388402526285223,2.3044381257332907,2.210868662136104,2.2002667919092658,2.263606084918741,0.4985004838460515,1.762405716826439,1.2982150019241527,3.300410210748552,3.409536515998734,1.822543117996584,1.7080401937660388,0.5916283483591758,2.218220905746858,2.075684078052308,2.1330253839758586,1.709779068825894,1.8333237915902407,1.952671224274588,2.170821420461748,2.1465638876475563,3.385335612240981,3.2565264705417647,4.934889011125383,9.423355885968762,4.925120384393962,3.711077094007326,7.537013761254333,2.028562571132963,3.8749928478969418,3.860787144763707,3.8087985476343857,3.998739623662948,3.8713436338773946,3.983680770864967,3.769874262551923,3.719719230257396,0.234343807204395,0.2371533890147331,0.2837290621032378,0.7474410174808928,0.5259608445990098,1.0659089889138196,0.7623980857880358,0.0991942377334942,3.1284944011302813,3.0358580167882216,2.992877282398563,2.603403990001281,2.838032084084196,2.8468487641384024,3.030791006626648,3.118968242443104
3.185892643822513,2.579424945577849,3.312891218528124,7.819743041008754,4.406879274095294,4.558502601092833,4.723969890594447,2.5059497981994894,4.450777613627435,4.748339097549588,4.455042452763314,3.8271405703251338,4.147977667490877,4.3611589654679,4.355971076279151,4.20401264236581,0.3108206683036851,0.3732827633534483,0.3127181444056516,0.2185940217372299,0.2836709297262592,0.2791696846322261,0.2933742603744151,0.3022969128759445,1.7320992911444222,1.5441022244870335,1.7798671720042114,2.430066736513003,2.0343974369844124,1.9671567285572027,1.9274634936120776,1.7725470283222988,8.0,14.0,7.0,5.0,6.0,6.0,6.0,5.0,3.351873496916593,0.8387323891209734,2.111115536056809,20.4404315298547,4.48586029026569,5.450278304175699,5.266644642010506,2.055271445891191,1.897712864240812,1.821527517117624,1.9464642759732396,1.925322534349704,1.5639770882655826,1.9263041927517657,1.8625500400790316,1.6989805079443068,2.0419446608756298,1.2273486926046548,3.912965188829151,18.740118528466603,8.41003882282654,5.648468854208239,5.8528803916450896,0.6379185341209019,2.2840994713511176,2.242237414619646,2.216701527099376,1.9850171602928224,2.1708846726901485,2.153962288536089,2.184705676858928,2.2550221335681826,1.9742851419927168,0.7598961177662213,1.1092313465346109,1.7513369597863029,2.5655583848080528,2.242031604485414,2.366151822116179,0.6561189705446573,2.2440679759309954,2.2852622354452428,2.1980585500432994,2.208968302789464,2.07201700091839,2.222411452878831,2.1902892634062807,2.213568495328836,3.088280341958101,3.503486927660173,2.406796180555965,6.934122079063185,3.3895395109289024,4.838561693521227,3.6080605729622968,1.667326355447667,3.717487360903176,3.745665819581205,3.978259443075445,3.976645505198899,3.875397990619115,3.615630922603784,3.945234802992835,3.829339809823806,0.1839426179678968,0.2138164007653585,0.3230380853913757,0.3845244738199062,0.4393811046918915,0.4247387017560202,0.5154034495740151,0.0571352187090998,3.0139810995385456,3.3435159212760097,2.893841686682947,3.2678957815824674,3.3554620306933174,3.35273168875002,3.1727093789969687,2.8058240564712977
3.2053067777502924,4.110299706649033,4.208783944608482,10.449001922228732,6.1732168433709536,5.787598830494476,5.261929975466403,2.7487145847647363,4.589245916133318,4.68225235457958,4.4029438324271215,4.083964787658302,4.244441692393018,4.549550612266589,4.429136054070487,4.72554925326964,0.3278398230435915,0.3417126596429335,0.3031762209380866,0.1665937952744085,0.2088810651340717,0.2361263397515214,0.2559522738678235,0.2978379970728383,1.5857336785966425,1.7374696958012543,1.6432674330078405,2.826390433529128,2.502407776295374,2.2640076427156384,2.109096128266825,1.7483612672758877,10.0,12.0,10.0,9.0,9.0,9.0,8.0,11.0,1.0254355536907136,1.703439400802912,2.1536278668471227,9.575386946185,4.728370150803484,2.3832838014950166,4.103347198507624,0.8621485794808849,1.8282446983905984,1.824529571531732,1.920705600629769,1.846886192322478,1.7663858779564874,1.8029706992426295,1.7766099398143402,1.905063441322527,3.1520143445498725,1.6634279406599153,3.8928202604926314,5.859402966046893,4.586342437043993,4.697098283097596,4.696891821718976,0.6320282408629178,2.1724364716290463,1.895563462286542,2.219488407895827,2.04224280874334,2.215621852295505,2.247354466494339,2.2889871150299856,2.1757682978977653,2.121446096867901,4.618271521718257,3.292888121790213,13.81167831923836,6.75379120656624,5.48825224102934,3.87191233061253,1.2502471844783196,2.2547462190177683,2.2424821326464066,1.8580418023206808,1.8808674953923616,1.9219624267288988,2.245406708753431,2.127301294418827,2.248566099596025,3.8790407223163954,6.303662588526938,7.129055308028715,6.339655069708032,3.956813421067412,5.279305050367618,5.693299948870651,1.8665328394125595,3.858096647523789,3.8144647122058193,3.2875589227122437,4.056824348974168,3.793060652324122,3.804356989609161,3.61450167379063,3.958476393813921,0.2162637100048185,0.5661077071042977,0.2091042508571747,0.4385364176720628,0.4011781351297421,0.4190559175065104,0.3312666368419852,0.1279486802205384,2.9054315213939943,3.2816994184613617,3.069464979569984,2.745646895502654,3.1440502282648777,3.3056597396490828,3.291397305080083,2.750014257738345
3.129735563156556,3.547352577567412,3.216406244493894,5.831526931228779,4.654999866684606,3.587249254856936,3.937574230171753,2.6600293434379423,4.633169699478136,4.90195429433128,4.369242638547477,4.454810055973993,4.286582021506691,4.569187042882659,4.434411509976416,4.223839717738853,0.346859384614923,0.3870037838917046,0.3149107016395333,0.3299918006052958,0.2918955824542075,0.3343115877560693,0.3325272021300261,0.3401847281223738,1.5118410367926254,1.500385359165398,1.6892138683500997,1.5307996211047443,1.7769425957028726,1.7020331634969843,1.5556319271112384,1.5101779055560685,11.0,13.0,8.0,9.0,8.0,9.0,12.0,11.0,1.719792369751212,1.649177686960697,3.332476724565112,8.31277473263136,5.352012769748619,2.3103241677001227,3.0501987401341304,2.165893967442316,1.9718299008159024,1.9143447820925377,1.8395247834160888,1.877468466783505,1.826042613468952,1.7693397014443295,1.6053123331089312,1.818808712105076,2.0726404227478863,2.408643664391185,2.1280799908336925,5.877289831839881,7.331026108498456,4.176530384543037,0.9768901555080608,0.4730511521590501,2.3169236486257105,2.2607634621883674,2.3142307026110496,2.22519460985721,2.22404882368595,2.085624046155216,1.8029231551671223,2.1381003325519474,2.3659467776941474,3.1309027439092847,1.5980863385855115,8.863465501006335,4.0558203358255565,3.047883546682516,3.9832482844210713,1.2718946769708288,2.2778987836253464,2.285948580745381,2.1552729938287265,2.2411077229600918,2.004469160177256,2.124737772229725,2.219587802584467,2.116091074777528,4.122077516097337,7.256331243225127,3.085391982007253,11.41037769316682,4.905510889493331,4.40699429334386,6.274139737654701,2.7120555311538665,3.629211460260904,4.064398269113113,3.70248134196916,3.5950702335511733,3.8736967660420234,3.9571739098761207,3.584582868360616,3.302461509557437,0.1783805079930922,0.3948597785476322,0.1509277926945098,0.4701892635412044,0.3031296586027799,0.2635079372513325,0.2322908978448687,0.1002653455371417,3.14731951663484,3.0616767630820743,3.012232321021144,3.1845119548712377,2.9011852177874027,3.215520466372038,3.1614021775321017,3.212195971428184
2.959809874580606,3.0488192549891733,4.256693513903147,9.454140717301826,4.957420411646143,5.256184067929152,5.100143782986617,3.320518639091445,4.379032858247145,4.522186412988426,3.912401771657207,4.075705843149043,4.348030881506591,4.22560241533894,4.490984548301342,4.278335507634762,0.3096605972513462,0.3676347933906199,0.2558877449754466,0.1803062549453288,0.2418068239681639,0.2420927072290136,0.2993938038854194,0.257111172582141,1.8534924924913592,1.6207235143374576,2.1523772361905293,2.903273153266285,2.351123393287779,2.384261159354352,1.9100576884912628,1.9372886241704756,6.0,9.0,3.0,4.0,6.0,5.0,12.0,7.0,3.023368159055616,2.682833912065158,7.297202899443121,12.708676157867147,5.908159496684489,7.336557216027497,4.318308554313925,2.686170014849986,1.9194490414201384,1.8679332511263251,1.7476407224354542,1.6017105197842625,1.8574289062149067,1.8613870347343535,1.5796602726766875,1.7992270668725108,1.2317420650469972,1.0793588031712404,1.5306084517524057,3.781236847771705,3.901883859374164,3.990637812950044,2.1859335546502185,0.792572228784109,2.121191713116656,2.097866704343531,2.0747242215115285,2.213699441320539,2.236432863996718,2.206056175484123,2.2400886998178677,2.162152321157473,0.9924514159136968,0.911329741739122,0.838049174272381,2.667454201429429,2.507979212013582,1.5995086714419102,1.259406525817441,1.1183722302865842,2.3161367442619767,2.089451293995181,2.0793709545117656,2.242932047611664,2.110935256605805,2.2041892608710327,2.1577475343576094,2.212060145577251,2.9213089432497465,3.526577257984918,4.323891110358425,8.348220477455275,4.538308844269715,4.49485141660588,8.121609282016882,2.519370953727034,3.688481222394511,3.8683114208631495,3.771913558118728,3.841338544412208,3.8971883047896143,3.813105590863449,3.701537399401706,3.686118457331263,0.1273664742367252,0.1792565879033255,0.2498880930995383,0.6420187341400354,0.3300541978873221,0.3820398389845236,0.5945609752402342,0.0917927157414561,3.2824366708450827,3.178696589568194,3.0126286835079483,2.9954097656762824,3.261680349326682,3.149142044134588,3.161056739616524,3.0408701210015874
3.6102427857898527,3.948262987234133,3.8268833578606714,6.263543393786843,5.386220115395599,4.912373794381413,4.731582907842143,3.736940323750208,4.724211176718173,4.73294774594082,4.410366807118224,4.520472187457053,4.213878388866755,4.506891921599972,4.6228821057710965,3.8742329247606726,0.3605298108549719,0.3819235035184855,0.31044055734668,0.3269755710720238,0.2958779461877588,0.3283382327751272,0.3307712234984374,0.2583707711829758,1.5287637646944392,1.567434772926399,1.706103471770937,1.649089462741707,1.814869144431148,1.616296462840791,1.6248681049156466,2.010605320668329,12.0,11.0,8.0,10.0,7.0,8.0,8.0,4.0,1.4773315792190171,2.5264715341150588,1.956867759880396,9.184412289662513,5.147782867539978,4.102337923729913,3.649851431222655,7.507844209672449,1.8857844479750687,1.8807743033963116,1.9480329762063429,1.512901854566781,1.7521724717702387,1.8609098171013323,1.9566793995958744,1.761680343587444,3.770210091201374,3.4396206827499105,5.3064810468673365,8.14165479880571,16.24164629338342,8.225996721805855,5.75715108797361,2.438486840548879,2.2854551871717037,2.238832227703821,2.217073837473614,2.1179595170135883,2.306726763539,2.2109251409191177,2.2970164708205485,1.65187997966066,2.7632215384415844,1.7150482599300936,2.457693962809205,8.282797663650689,5.211939531365029,2.746569186131941,3.0866906257007707,2.2262031751272278,2.2525560538968823,1.9908591426194,1.8596902411005969,2.187388109178521,1.920600899853192,1.993136610751434,2.2228172914225595,1.8358964668960067,6.43356654846416,6.76577640152421,4.508960464474419,13.784138636964808,7.376244492615477,7.960635565809632,6.0399835478664015,3.0259595465705007,3.875535012198113,3.879967457189247,3.7062867425589774,3.8652669857854622,3.949753833190528,3.936589843776133,3.842685832197367,3.916348563217427,0.3304325917721677,0.3781838227041382,0.2496988020752658,0.7679399666859414,0.4695327500787962,0.4516143639611409,0.5969133665348677,0.1477846620704735,3.0703885850590598,3.2032708893517423,2.952390709452214,2.965954419290995,2.893627576183688,3.086895396861284,3.0150361871789912,2.831180528213441
