eeg_se__C3,eeg_se__Cz,eeg_hm__C3,eeg_hm__Oz,eeg_hc__C3,eeg_hc__Cz,eeg_hc__Oz,eeg_hc__Pz,eeg_mf_hz__C3,eeg_bp_delta__C3,eeg_bp_delta__Cz,eeg_bp_delta__Oz,eeg_se_delta__C3,eeg_se_delta__PO7,eeg_se_theta__Cz,eeg_se_theta__Fz,eeg_bp_alpha__C4,eeg_se_alpha__C4,eeg_se_beta__C3,eeg_se_beta__Oz
4.385800647526783,4.217662714575356,0.2964083853633018,0.262727643049695,1.72547166376023,1.8832870933379924,2.043674496995878,1.8652174313019887,7.0,5.092460690312324,4.399411789105043,8.699980786842792,1.6795327336161558,1.805834650775388,2.0704574158510165,2.088143379748713,5.930426144775019,1.9358162968720007,3.721727516168688,3.722280123137369
4.704019192566289,4.487240436913971,0.3543429738835522,0.3704653513377242,1.6049952457360788,1.4758128703168731,1.479087056218246,1.3857716482616962,10.0,1.003754494350849,3.2016537367638587,2.328002857733691,1.974586828925508,1.774758803827343,2.1625786633083166,2.186243168994496,2.3896370018038144,2.056109244314947,3.931608190190613,3.7490251727499766
4.697804356320643,4.221281230259872,0.3422587041030781,0.2663000071456534,1.5939064085664172,1.9495811751604488,2.0465264240005365,1.70753149223301,12.0,1.4983907457761507,4.163385908894483,4.790004082225042,1.927082717949308,1.992235303344951,2.167249484521503,2.098352679565714,0.8954326301890821,2.004185704929792,3.746941831873429,3.5711181121857227
4.307139160081504,4.332028133805996,0.3476428455099811,0.2762042870942121,1.5263421265182768,1.5379636232549412,1.923600303666103,1.7103473509991525,6.0,3.3498287378993497,5.258054623377235,6.378515541552872,1.960028382138384,1.726840519673583,2.1344423265367385,2.277569163639849,1.4489050635946148,2.193881837453477,3.6155012435201592,3.716248652744446
4.6524943287526375,4.652586524725216,0.3450165203364542,0.2917434650644811,1.6249398830181114,1.6722811128910164,1.852568504713904,1.8752732297466488,11.0,1.9918411568835384,2.803689670447036,5.867526625246674,1.9682886527670584,1.6526323051668457,2.31596904523152,2.2388402526285223,1.762405716826439,2.075684078052308,3.8749928478969418,3.8713436338773946
4.450777613627435,4.455042452763314,0.3108206683036851,0.2836709297262592,1.7320992911444222,1.7798671720042114,2.0343974369844124,1.7725470283222988,8.0,3.351873496916593,2.111115536056809,4.48586029026569,1.897712864240812,1.9263041927517657,2.216701527099376,1.9850171602928224,0.7598961177662213,2.2852622354452428,3.717487360903176,3.875397990619115
4.589245916133318,4.4029438324271215,0.3278398230435915,0.2088810651340717,1.5857336785966425,1.6432674330078405,2.502407776295374,1.7483612672758877,10.0,1.0254355536907136,2.1536278668471227,4.728370150803484,1.8282446983905984,1.8029706992426295,2.219488407895827,2.04224280874334,4.618271521718257,2.2424821326464066,3.858096647523789,3.793060652324122
4.633169699478136,4.369242638547477,0.346859384614923,0.2918955824542075,1.5118410367926254,1.6892138683500997,1.7769425957028726,1.5101779055560685,11.0,1.719792369751212,3.332476724565112,5.352012769748619,1.9718299008159024,1.7693397014443295,2.3142307026110496,2.22519460985721,3.1309027439092847,2.285948580745381,3.629211460260904,3.8736967660420234
4.379032858247145,3.912401771657207,0.3096605972513462,0.2418068239681639,1.8534924924913592,2.1523772361905293,2.351123393287779,1.9372886241704756,6.0,3.023368159055616,7.297202899443121,5.908159496684489,1.9194490414201384,1.8613870347343535,2.0747242215115285,2.213699441320539,0.911329741739122,2.089451293995181,3.688481222394511,3.8971883047896143
4.724211176718173,4.410366807118224,0.3605298108549719,0.2958779461877588,1.5287637646944392,1.706103471770937,1.814869144431148,2.010605320668329,12.0,1.4773315792190171,1.956867759880396,5.147782867539978,1.8857844479750687,1.8609098171013323,2.217073837473614,2.1179595170135883,1.7150482599300936,1.9908591426194,3.875535012198113,3.949753833190528
4.522829886372738,4.233642732653435,0.3323972395417431,0.2648785966539067,1.6420276146754869,1.7892912853432568,1.9557484400426732,1.6310670189912049,12.0,1.7382372472565804,4.4265677281438025,9.958617408005964,1.493609334970907,1.9026389485645,2.134742592214553,2.0457109488545067,2.5802247237196587,2.292245058782268,3.811426788472767,3.7409519150431727
4.540390141051852,4.402384282202428,0.3262624501333235,0.2614679858094009,1.6696916329960023,1.7418468227440749,1.943026411011728,1.6498113454634895,8.0,3.70788875768934,4.0427819309584745,12.3528193384951,1.8807274267133625,1.8421708087506867,2.1478764684504066,2.1912482534711386,0.9314913528473706,1.8629324388141173,3.908070741626684,3.892607036713321
4.719313922159516,4.246171471395257,0.3576955417147026,0.2302870236952676,1.6935616677276704,2.084825068803552,2.239037010165862,1.641950749816927,9.0,2.54371759499201,2.0627860149865933,4.813796259479981,1.8209985047221944,1.75995972472273,2.168399810932496,2.1599894132812727,2.435729923732908,2.241423095585519,4.0494934237982,3.573098097127408
4.606529268371663,4.343785429927804,0.3646346365045098,0.2587014481237582,1.438730065660582,1.7516440411019671,2.013623944116234,1.5443794911898927,12.0,1.5033988233591389,5.610806571960453,7.813437466788821,1.8373276534914156,1.8681382169670828,2.1572907413541453,2.0288176483581357,3.478220459866551,2.2098749141718432,3.704829711808977,3.890340207490401
4.514825063472167,4.303134858421196,0.3399200994529048,0.3060547746243449,1.580995124388863,1.7678889491764327,1.8707128654021756,1.4772024024952028,10.0,2.191258076424696,3.987829893611597,2.501582543854684,1.9447100258646817,1.8299028460434,2.1279830630958028,1.928862762360377,4.615613142261885,1.972792473814243,3.612054608711853,3.8872810477343793
4.214126210567518,4.372776609284085,0.3008206092471198,0.2701997307032601,1.7856355698190518,1.6376531768898,1.9509258448756377,1.782303184946733,8.0,5.27401352039626,6.73487021595832,13.081138205480336,1.7170989382707174,1.9296561102659944,2.263724158933287,2.18818789133514,3.3246620611929965,2.0369487432083195,3.7078259159496754,3.783832962001605
4.51740055937219,3.9538239541156552,0.3283422066444546,0.2113184627703049,1.617698411292575,1.8485452439048689,2.4624007181564425,1.802818061288644,10.0,2.547427610571163,6.614875379415417,16.666751544638657,1.6839455556688612,1.9266600597031376,2.1027086416045084,2.098952580966284,2.0121890603126227,2.2456661581042505,3.8860490727548394,4.003307123820831
4.644424207040919,4.382309153508273,0.3586654994071658,0.2771626142885198,1.497404201380874,1.482849878086329,1.827277281670244,1.6822685791290213,11.0,1.6199249386542984,3.462770041481748,3.152059728739638,1.9445066106489304,1.9467205329048445,2.2545184118778376,2.249929344710004,1.192451207433889,2.1313099762732306,3.79748865412758,3.55682057393595
4.330397466025734,4.430661384592283,0.3155190423257331,0.246448449988268,1.520497395376111,1.6126231134860314,2.042949597692634,1.5496703452250131,10.0,3.292561291896597,4.12655225634607,10.894958105257146,1.911980388438627,1.8152941439565973,2.2285401816437096,2.1661428756033274,1.4949341718400695,2.1758174604631817,3.4798554420354373,3.627946679303636
4.375019818838177,4.140604421203516,0.312446495556048,0.2998761032446569,1.740986473063689,1.9153205303891208,1.8202237385029143,1.5826584587537706,8.0,3.1223339666325582,6.671343193161087,4.817504621703758,1.726029933362865,1.9483313988447613,1.9348271174936724,2.204820321406112,1.2344153761810803,2.240841005862446,3.8361102672982863,3.802957472986316
4.448754588310125,4.487846541274635,0.3261181138236301,0.2969987483007248,1.7910243743175762,1.646257062385284,1.8781394529089204,1.515565046385225,8.0,2.98563709003567,4.628580004821927,6.234742337801876,1.9689483629337312,1.9366806895932784,2.037647856821025,2.250916638808385,3.269946332404798,1.8338107802572068,3.54116175582542,3.767694837630117
4.670062567333341,3.680969753701648,0.3548669996252856,0.252914076607504,1.5350784157698822,2.103460598538085,2.150128547445504,1.833715926010992,12.0,1.4939044089021112,10.115606996518498,13.514272498707598,1.4901270877533854,1.9535388568563732,1.8889640496776725,1.6198184973104517,1.6610168670643084,2.244008211312152,3.9970940415698175,3.872862824279769
4.291471148366085,4.232354311365515,0.2934792185815453,0.2760573847157639,1.838374509310616,1.8426317107147672,1.89360384636319,1.634187849079341,6.0,3.4474825098059734,5.113500694139654,5.923005769341003,1.9423506298508,1.9982942000686652,1.9753370572195172,2.068448913206409,0.718464696260017,2.174866965362133,3.5873983619931438,3.875481050754351
4.4813207062620375,3.963963208861953,0.3475375546777471,0.2123753603702273,1.622217396283157,2.1671588397015737,2.459184090229019,2.053156886317961,6.0,2.0463549380913504,7.894321401095869,22.488903381802437,1.9733925464500364,1.853584056783984,1.8582379833765477,1.9229171345273144,1.6002028068314242,2.259154574396809,3.881924570652693,3.5307908104453043
3.570410518116419,3.102900505043422,0.2431295473187754,0.2432832588867893,2.398037549401583,2.5139071941806157,2.1409096922187683,4.849980917121377,3.0,15.274653460297124,22.42111868491461,7.749758449104409,1.7145848498970275,1.9486501446455449,2.1369206642183065,2.153507521534487,0.9065501656896044,2.2815451783058083,3.94329267378415,3.758403671337667
4.562270671452155,4.319101285118126,0.3626731256196965,0.2749444357234268,1.3795151252357234,1.8469919676586937,2.051755223544956,1.6097540220010311,13.0,1.4854009752630604,6.013562578184568,8.551454803859428,1.8641189689966629,1.6442678540927314,2.288115735258866,2.1797009744482025,5.8746322070927945,1.8577970890451283,3.516305355043616,3.860316914769237
4.452827423718221,4.302797633044404,0.330829766381605,0.3041838639476412,1.6719855038974083,1.8086401060964823,1.8801228984938805,1.4180857617392706,10.0,2.8615834293652105,5.673746912440167,6.426782651926687,1.5792124668177676,1.925702237039419,2.0603766627351527,1.903081423519856,1.7296689380129735,2.2631781158970723,3.915557486876919,3.971730595148274
4.468192639566807,4.295170178433327,0.3085609875550683,0.2664755951142878,1.75493670512021,1.893528300670519,1.8910645502708483,1.7235597656466854,8.0,3.058789842373643,4.714867905449231,6.699839363454741,1.9694485411745783,1.9050613805140824,2.2380068404766664,2.105869894256936,1.5921720966982618,2.149642795215738,3.736570866978506,3.526889194303015
4.503874840031744,4.074780789046047,0.33193007811926,0.2462492581903979,1.6247997410454946,1.9385904509701437,2.2935247543196517,1.8219052314277528,10.0,2.7988320319115982,5.85714936990529,11.116006095275496,1.6532625461273525,1.9416513908573405,2.168800892325908,1.5813072229286516,1.755811540683998,2.2870830289459327,3.656354753676585,3.822619035077465
4.699480269223542,3.937290747053885,0.356441872501992,0.2921274479371731,1.5015968941184197,2.0357624215005536,1.8342301842000308,1.55432092544419,12.0,1.5556600947954196,8.304329079653213,6.730360383990847,1.7055803454230736,1.3689449685042088,1.946794406750046,2.208522354880942,1.6429950239173654,2.0450749719340733,3.926394327708735,3.7598673861316
4.482173185200875,4.454903156981669,0.3190696879385707,0.294357621889887,1.6238728822994914,1.5625775531728388,1.7781173980120455,1.4548545319880075,9.0,3.5834210323093103,4.779319023640433,5.202252053841347,1.811441173953603,1.979693177879999,2.1802981632160106,2.2031949052896005,3.1592621172549213,1.9213179780158216,3.687050181619996,3.945797554121191
4.422791884126915,4.506461921986987,0.326545876385342,0.3254011261734093,1.4935893606825077,1.6124602311388974,1.7282366122603956,1.5401394580008472,12.0,1.1308827389039346,4.101181262573132,5.026237540119131,1.9105472336535143,1.9236794890562643,1.970750769400108,2.293813560417468,1.360253237300269,2.144062700110729,3.50850256488263,3.9311096203230367
4.328649807238922,4.160896346912885,0.2937338760909618,0.2937519914451971,1.708316224536197,1.977175323696409,1.95188244987046,1.5619550552168118,10.0,5.053893324065953,4.732360659722648,5.9794858466947325,1.695471609752594,1.756299456851646,2.0863072041291297,2.2429117995465986,1.3463307701965477,2.215165248694891,3.5598865026736752,3.808641840785105
4.348849522199886,4.423044354588853,0.3276582738734033,0.2952272079034749,1.485719211864068,1.7303409843943227,1.7809579942875389,1.4066531737965933,10.0,1.129499176625966,3.365836637609569,2.9656824017405725,1.8916657001332025,1.6972622365025811,2.235496288411776,2.182409064906857,4.519407290245297,2.1488131954673766,3.466153587909983,3.69124198476551
4.545928046009059,4.322731978325867,0.321796796723426,0.2479445181140638,1.766033248879965,1.99199371335742,2.281842592634685,1.8481534653667488,8.0,2.1340882090230804,3.892073701872213,11.15598927559504,1.7586737550881686,1.9283148073042435,2.087284163556165,2.204498797168182,2.666701446925373,2.212461206566448,3.905039431688533,3.892646816790441
4.434176679097704,4.344291556431933,0.2903559312598267,0.2663402652171274,1.7892823467364734,1.8373228716051009,1.9569435200358996,1.5369837630524903,9.0,2.770230848124688,3.867602102602473,4.674406947805789,1.8630096053010696,1.7638656292459127,2.1122430423700544,2.0208901476819863,5.8511872658216095,1.8054813630789752,3.7146695383550656,3.890117602310936
4.593865495199308,4.2765286602752,0.4087551860560421,0.3222175489431263,1.3135688177144824,1.752040705760036,1.6823371713091977,1.5022312944247462,15.0,1.0874087878451166,7.915068174414454,7.494349779722592,1.9531674104387644,1.9476381352866952,2.1281924624652766,2.294242443966405,2.263532572072557,2.1538944753336504,3.7672754905172767,3.7702012304316206
4.560605911915163,4.652849582194421,0.3485674898706273,0.3328223766306312,1.568985004709706,1.553409847855918,1.6609314396205226,1.4928892306575348,11.0,1.3093561221193672,1.451011007058025,3.1257326491284787,1.969337297915573,1.8677924400989216,2.025917264804484,2.1290033259358587,2.534335769830112,2.08118532830624,3.804607324968445,4.05584673039513
4.705333071096136,3.52447334964872,0.3354169945145711,0.2587920853780415,1.5955063253400033,2.093023154803762,2.1165075990594704,1.7813346837194812,10.0,1.953402859083198,17.366577211200383,16.467167624654973,1.841686058774382,1.9636588878082852,2.2289930323556755,2.0235494195114345,2.4745805274982366,2.1477366671850886,3.9514991607054326,3.993847481141176
4.31239373282914,4.50619365681376,0.3249082800255924,0.3433027113835601,1.5032617556002568,1.42285514383329,1.6105290862000936,1.3426917769146578,11.0,2.016941733283988,2.774328174790198,4.445606585757061,1.9405614219804048,1.8717422559624608,2.2042564432857787,2.246733685086512,2.538602234620344,2.1764670494132323,3.477564361284431,3.916441375277534
4.490563629549637,4.343093171398791,0.3548860586712083,0.258139577815966,1.534418672072387,1.7622330674946152,2.0193511891579634,1.7221752512381394,10.0,2.370129090392941,6.388842430415155,12.28736790752889,1.678901681142853,1.9481391582593357,2.2875352848513013,2.2979036268670123,1.0698592087790657,2.2182993712478147,3.8448036899884377,3.737804842473452
