eeg_sd__C3,eeg_se__Cz,eeg_bp_theta__C3,eeg_bp_alpha__C3,eeg_bp_beta__C3
4.287708485057946,4.220921721534901,4.483369426184927,1.5926207382482191,4.356387553620176
8.134950987980986,4.1248546544576765,8.549928663143957,7.566296106927442,7.82604128259218
15.761410170652264,4.18780400439339,43.42753595540368,11.34690433286561,19.49550996874364
3.4793466959539976,4.019545359736438,2.085064866052156,2.221107269945652,3.070756934756558
3.784402199731506,4.107062072493501,2.3042530837544715,2.23890338668579,2.7042593820166
4.948845771418207,4.012199567266896,8.143112506054244,3.6465873147761223,4.794939467034134
7.307217185248898,3.783816694509881,26.83030611367827,2.463387805239164,5.9537230020500544
5.609048819302205,3.973591496649069,3.662924319803647,2.255596518964411,5.148892599390468
8.098129121332287,4.313714481782014,12.650986020348066,2.9306464353654134,5.672524933607
13.839489255864148,3.964335327436672,8.636048055501385,3.912066926255729,4.91233326371513
5.348077117086039,4.09185471442853,3.969267850979181,4.433581034248522,7.084642813655018
5.370946875031565,4.133219150018535,6.349378215793259,4.539764178365283,6.324079693002892
6.171999515077729,4.22217175210696,12.26298293732792,4.728371513339915,14.96012417601422
7.226591590040385,4.066089193744737,8.103789893217128,5.372288149625329,3.4698935645989564
5.3931659437651405,4.130272658874468,3.810938608177428,17.230942703191083,6.656316888622373
5.101122002817074,4.063742677756594,8.460666681590485,4.001326070018385,4.592138759658198
2.875534209418276,4.1892262964082345,2.170741896530473,1.24162144306302,1.7810358861774476
3.4634365733908616,4.262924137402426,3.661273776961419,3.946716033867544,2.331800041773778
3.816468392750743,3.8747934808070994,2.037627641197113,2.669322346511997,2.373317399496276
3.761731432030251,3.9154085662325446,3.0103063117098325,1.862535180611279,6.020111565792659
4.422075391303666,4.010758161216521,2.451590693973672,0.9994542189232484,3.8760759328929466
7.362177694440112,3.942649936086863,4.371431464885403,20.11808772254757,7.582681575660425
3.757569249845037,4.229682215905382,3.3421188338195664,3.553965039522081,3.2803506189390568
5.630000043791651,4.2634853351324775,4.273490697361256,13.599151722029038,7.724853823481983
3.6922976057634216,4.257023426350881,1.2663541910761675,1.2318278460849514,5.27478922586201
6.236681181611243,4.264910648146042,3.101401742244965,2.046930766634194,3.341268618927378
5.5236667101482375,4.11871200879721,3.488454440400023,14.669352471944022,6.928950442267832
6.499649463017453,4.213374026477723,7.564347155673099,4.66629462160897,5.402058323569127
4.965408383598948,4.049973429806075,5.107197818972439,1.6628989558807383,4.982956468885146
5.693407991007012,3.998548871606916,7.064335890828015,11.626584433330873,6.023150606581784
5.75810881948699,4.06271556144408,2.044038879339003,13.891694070820272,7.164567156259153
6.598026234987867,4.024257433681361,8.697855806705505,3.203144009701363,4.2838915205648895
4.987697868914686,3.842494823186721,3.5382251922222525,6.643668476674083,5.695007435322035
9.484890749389226,3.883827807871573,6.623993620846243,1.643235755733096,2.830501169680588
9.311752436024706,4.014037585960783,8.186069415859983,9.14727261520763,3.937080170312087
4.528169162939588,4.29053816625809,4.288293723276848,3.1849239331937578,7.043234608221023
6.608376896585678,3.979118577175661,12.261850410485316,5.297234272585182,4.783995067087197
19.52157953613717,4.158014718156039,21.159196561591028,12.357101422332564,8.145946686449177
3.1878527382833752,4.342040379764309,2.995421696284644,0.9825085507688972,2.6734000100421618
3.1910228691889246,4.07015849456976,3.0719257542302647,1.958675254856331,2.030210690753463
3.236955562678544,4.168003424028971,3.399691317764194,1.4789692264649068,1.5979987648450968
3.000393381479736,4.118772301373427,0.6931883454058931,1.27253711417695,2.383911834259268
4.315624037446094,3.795432844884509,7.229690334235091,4.913450579470371,5.0476396151196665
3.4162698618272183,4.1752402631550645,3.214343527410572,2.1279347583281725,3.712209007154906
3.4630360685208017,4.01318915873098,1.1144697402080637,2.126128396805659,3.4495908738180074
3.168160428654132,3.832846748367804,1.8491301044426045,2.608199267740588,3.276566679957384
3.9767379485539514,4.247719457714597,4.264633830865441,6.360053594499479,3.6352715291104687
4.964913591820671,4.048076202280329,3.456312825961228,8.502927252039619,3.664804450699389
4.167358166445001,4.477969991820776,3.414327897422609,2.533917763602928,4.745037852808046
6.246867176525979,3.925914090706683,4.50479822295002,11.611655017016078,5.275957566202236
3.4881261378657777,3.969571339165952,1.6261279866358196,1.7063473046746735,3.044466843427134
3.767591603705115,4.143124442806234,3.48958846058248,1.7444373149950008,3.2011869673491185
5.973640053310064,3.9952321264037223,6.0938262714805225,2.7142367263908493,3.5354844432911388
11.07471209063184,4.0295708558347,26.819753109731884,5.511615661173511,12.527287733117568
5.049619495525968,4.4166189180249535,8.01504010771884,4.75645460544824,6.272168029342253
3.2000762934108917,3.6456464886273032,2.772887333033476,1.4833777244576642,2.0502665396798805
6.1691324181540725,3.718746919124974,2.4858210935754625,3.586064181709009,4.334809051758039
6.450239229343844,4.067741431515983,3.691391072076776,14.669133547563892,5.436744440877125
5.678183264072081,3.993081403509796,10.053680222229763,15.667852254887816,8.241710662571283
6.083963923696915,4.0006044974828265,13.571922368058924,6.644144255379538,14.666045433889607
3.857949325355895,4.277008223452813,2.2284286634548205,2.99621624711547,4.927373697962669
3.085650584643709,4.148517003915996,1.9589832035691752,1.5237187152002878,3.5167710241848247
3.030306273746577,4.025697444952608,2.1135553145530013,1.0474116533304898,2.6432697117616395
3.447716609520868,4.260053469297424,1.369301457516637,2.022836042699597,4.123932203194979
5.08033984213565,4.072550928506899,3.675411305001421,3.5939315228885698,5.093847874783754
4.341850703344392,3.8801832991591,2.1810424855950945,6.386019126501092,6.988328382852015
5.193143850211117,3.6401209673497648,7.540839032648068,2.601752457111969,2.8685541306576434
3.9120165322803087,4.114285438510672,2.2058565868952544,1.9659040274986896,2.2562382088360136
6.122610054738641,4.090500760146579,1.6095279058408338,25.980235185373186,7.834151575345072
3.495004559469598,4.003988992375099,4.442458984110713,1.7788982837949692,2.6946061300592707
5.966994691095844,3.952080633646928,5.55872746580327,20.41867615974696,7.627000094500739
4.300976502238412,3.949172992590592,2.610807653314505,2.494209162829816,3.765868293047249
2.923090252284975,4.0084753867888345,1.9402952474301352,1.7453453751755847,1.7583123337415942
6.377859849490228,4.159778118148052,4.98858547011681,21.56850224227104,4.80258443004715
4.587847057632159,3.964948703714476,1.860169587263908,7.963134393849092,6.679740767370499
4.260358679628327,3.9591127127214256,3.6132734504849258,3.485711442928301,6.315720801420321
5.656256069093196,4.173972755685121,4.549099709967596,20.95538915224008,6.678849631918638
3.777238364440639,4.163524229572257,5.54869793812852,3.5845269470600494,3.289820304309723
5.75750020933189,4.094198085569098,3.60020168206854,24.20944653551617,6.586688664484435
2.9568761861415065,4.24521524038943,3.2643858587269863,2.026992390420157,2.676993729946928
4.317142179730306,3.9963393938194662,4.9378625961787375,5.113214464330017,6.776475692997161
5.617802142754577,3.8681923683801305,6.36179417655386,6.70015451183134,5.63996797910682
3.3567368320831417,4.2811567574189455,3.447966982675166,1.1728184134861772,2.157457225580774
3.22033160228368,4.212055050572633,3.089517123443324,2.3110481417781545,2.588596595189351
4.725954385768558,4.257109499427287,2.2581551392998334,8.311375433734973,6.092846756758442
3.3660987906645894,4.226188814110222,3.447980616484644,1.5563848171113197,3.2364688182615047
4.133957911239824,3.7798930357884752,5.263947062405647,5.035786376349963,6.099244299812172
4.490462853140991,3.8833223095727223,6.302561112596876,3.141325022385641,4.4151433078041
3.5047400499001817,3.828038484676097,2.914450834472036,2.8348171699193587,2.7228570465866286
3.848946391108973,4.047722035897658,4.405125288979625,0.9737673748397634,3.40830323235576
2.765380334643571,4.2449232477967085,1.245603817310606,1.6592993167426853,1.8299762683005087
3.82329777759704,4.288324413181255,2.844462214020889,3.7480341360150256,3.1173554277231106
3.1405163938976868,4.06226997808683,1.9748468558135728,2.251923290594496,3.7119169120116537
3.133077615221477,4.087398619716059,1.0702512753545173,3.0526490604057765,3.5152645323303533
4.61511702418062,4.436321787664904,3.0697134105992747,10.020710685669089,5.570775012848031
5.351451046433811,4.262033938979163,3.797541954541552,17.79578815786352,6.314222013485434
3.928389258560762,4.064579360181761,2.8962799318012005,2.478481832781948,3.894427815232669
3.4108160941315924,4.115364710345881,2.7629809600780884,2.594737909541761,1.885904177103101
2.9377793892186665,4.051034842152061,2.167079599248327,1.9455656042300504,1.4447216785750767
4.093311744971059,3.87430152325186,6.351883955547832,2.5023896554161893,5.828378543515618
3.950601923509347,3.7874208241080343,5.775134710553527,2.0023043463427035,2.6084028495857545
2.994098576258391,4.076672196577674,1.3431696653018554,2.692762035324454,2.912456134996792
3.6400094623838335,3.951930457114833,5.419446340281791,1.414378427339814,4.071207831289756
3.787780283938271,4.293699562659066,4.058738069165376,2.02119585830168,4.240114488364126
3.719618928120969,4.0750659533960585,3.408881994172216,1.4076988385342757,6.909332816350075
