mode,participant,held_out_participant,target,modality,classifier,feature_count_request,feature_count_resolved,fold,training_participants,sample_size,train_size,test_size,low_count,high_count,balanced_accuracy,accuracy,precision,recall,f1,tn,fp,fn,tp
individual,P10,P10,valence,eeg,svm,20,20,3,P10,120,96,24,50,70,0.5428571428571428,0.5833333333333334,0.6111111111111112,0.7857142857142857,0.6875,3,7,3,11
individual,P10,P10,valence,eeg,svm,20,20,4,P10,120,96,24,50,70,0.5,0.5,0.5833333333333334,0.5,0.5384615384615384,5,5,7,7
individual,P10,P10,valence,eeg,svm,20,20,5,P10,120,96,24,50,70,0.7428571428571429,0.75,0.7857142857142857,0.7857142857142857,0.7857142857142857,7,3,3,11
individual,P10,P10,valence,eeg,gnb,all,all,1,P10,120,96,24,50,70,0.3357142857142857,0.375,0.47058823529411764,0.5714285714285714,0.5161290322580645,1,9,6,8
individual,P10,P10,valence,eeg,gnb,all,all,2,P10,120,96,24,50,70,0.39285714285714285,0.4583333333333333,0.5238095238095238,0.7857142857142857,0.6285714285714286,0,10,3,11
individual,P10,P10,valence,eeg,gnb,all,all,3,P10,120,96,24,50,70,0.5285714285714286,0.5833333333333334,0.6,0.8571428571428571,0.7058823529411765,2,8,2,12
individual,P10,P10,valence,eeg,gnb,all,all,4,P10,120,96,24,50,70,0.4285714285714286,0.4166666666666667,0.5,0.35714285714285715,0.4166666666666667,5,5,9,5
individual,P10,P10,valence,eeg,gnb,all,all,5,P10,120,96,24,50,70,0.5428571428571428,0.5833333333333334,0.6111111111111112,0.7857142857142857,0.6875,3,7,3,11
individual,P10,P10,valence,eeg,gnb,5,5,1,P10,120,96,24,50,70,0.5142857142857143,0.5833333333333334,0.5909090909090909,0.9285714285714286,0.7222222222222222,1,9,1,13
individual,P10,P10,valence,eeg,gnb,5,5,2,P10,120,96,24,50,70,0.4214285714285715,0.4583333333333333,0.5294117647058824,0.6428571428571429,0.5806451612903226,2,8,5,9
individual,P10,P10,valence,eeg,gnb,5,5,3,P10,120,96,24,50,70,0.5285714285714286,0.5833333333333334,0.6,0.8571428571428571,0.7058823529411765,2,8,2,12
individual,P10,P10,valence,eeg,gnb,5,5,4,P10,120,96,24,50,70,0.34285714285714286,0.3333333333333333,0.4,0.2857142857142857,0.3333333333333333,4,6,10,4
individual,P10,P10,valence,eeg,gnb,5,5,5,P10,120,96,24,50,70,0.6428571428571428,0.6666666666666666,0.6875,0.7857142857142857,0.7333333333333333,5,5,3,11
individual,P10,P10,valence,eeg,gnb,10,10,1,P10,120,96,24,50,70,0.3142857142857143,0.3333333333333333,0.42857142857142855,0.42857142857142855,0.42857142857142855,2,8,8,6
individual,P10,P10,valence,eeg,gnb,10,10,2,P10,120,96,24,50,70,0.3857142857142857,0.4166666666666667,0.5,0.5714285714285714,0.5333333333333333,2,8,6,8
individual,P10,P10,valence,eeg,gnb,10,10,3,P10,120,96,24,50,70,0.47857142857142854,0.5416666666666666,0.5714285714285714,0.8571428571428571,0.6857142857142857,1,9,2,12
individual,P10,P10,valence,eeg,gnb,10,10,4,P10,120,96,24,50,70,0.36428571428571427,0.375,0.46153846153846156,0.42857142857142855,0.4444444444444444,3,7,8,6
individual,P10,P10,valence,eeg,gnb,10,10,5,P10,120,96,24,50,70,0.6928571428571428,0.7083333333333334,0.7333333333333333,0.7857142857142857,0.7586206896551724,6,4,3,11
individual,P10,P10,valence,eeg,gnb,20,20,1,P10,120,96,24,50,70,0.24285714285714285,0.25,0.3333333333333333,0.2857142857142857,0.3076923076923077,2,8,10,4
individual,P10,P10,valence,eeg,gnb,20,20,2,P10,120,96,24,50,70,0.3857142857142857,0.4166666666666667,0.5,0.5714285714285714,0.5333333333333333,2,8,6,8
individual,P10,P10,valence,eeg,gnb,20,20,3,P10,120,96,24,50,70,0.42857142857142855,0.5,0.5454545454545454,0.8571428571428571,0.6666666666666666,0,10,2,12
individual,P10,P10,valence,eeg,gnb,20,20,4,P10,120,96,24,50,70,0.4642857142857143,0.4583333333333333,0.5454545454545454,0.42857142857142855,0.48,5,5,8,6
individual,P10,P10,valence,eeg,gnb,20,20,5,P10,120,96,24,50,70,0.6428571428571428,0.6666666666666666,0.6875,0.7857142857142857,0.7333333333333333,5,5,3,11
individual,P10,P10,valence,face,knn,all,all,1,P10,120,96,24,50,70,0.5285714285714286,0.5,0.625,0.35714285714285715,0.45454545454545453,7,3,9,5
individual,P10,P10,valence,face,knn,all,all,2,P10,120,96,24,50,70,0.55,0.5416666666666666,0.6363636363636364,0.5,0.56,6,4,7,7
individual,P10,P10,valence,face,knn,all,all,3,P10,120,96,24,50,70,0.5428571428571428,0.5833333333333334,0.6111111111111112,0.7857142857142857,0.6875,3,7,3,11
individual,P10,P10,valence,face,knn,all,all,4,P10,120,96,24,50,70,0.6071428571428572,0.625,0.6666666666666666,0.7142857142857143,0.6896551724137931,5,5,4,10
individual,P10,P10,valence,face,knn,all,all,5,P10,120,96,24,50,70,0.6285714285714286,0.6666666666666666,0.6666666666666666,0.8571428571428571,0.75,4,6,2,12
individual,P10,P10,valence,face,knn,5,5,1,P10,120,96,24,50,70,0.4214285714285715,0.4583333333333333,0.5294117647058824,0.6428571428571429,0.5806451612903226,2,8,5,9
individual,P10,P10,valence,face,knn,5,5,2,P10,120,96,24,50,70,0.6357142857142857,0.625,0.7272727272727273,0.5714285714285714,0.64,7,3,6,8
individual,P10,P10,valence,face,knn,5,5,3,P10,120,96,24,50,70,0.5571428571428572,0.5833333333333334,0.625,0.7142857142857143,0.6666666666666666,4,6,4,10
individual,P10,P10,valence,face,knn,5,5,4,P10,120,96,24,50,70,0.5,0.5,0.5833333333333334,0.5,0.5384615384615384,5,5,7,7
individual,P10,P10,valence,face,knn,5,5,5,P10,120,96,24,50,70,0.5071428571428571,0.5416666666666666,0.5882352941176471,0.7142857142857143,0.6451612903225806,3,7,4,10
individual,P10,P10,valence,face,knn,10,10,1,P10,120,96,24,50,70,0.5285714285714286,0.5,0.625,0.35714285714285715,0.45454545454545453,7,3,9,5
individual,P10,P10,valence,face,knn,10,10,2,P10,120,96,24,50,70,0.55,0.5416666666666666,0.6363636363636364,0.5,0.56,6,4,7,7
individual,P10,P10,valence,face,knn,10,10,3,P10,120,96,24,50,70,0.5428571428571428,0.5833333333333334,0.6111111111111112,0.7857142857142857,0.6875,3,7,3,11
individual,P10,P10,valence,face,knn,10,10,4,P10,120,96,24,50,70,0.6071428571428572,0.625,0.6666666666666666,0.7142857142857143,0.6896551724137931,5,5,4,10
