condition,target,task,n_all_three_windows,unanimous_agreement_rate,unanimous_high_rate,unanimous_low_rate,disagreement_rate,majority_vote_high_fraction,class_agreement_1_2,probability_correlation_1_2,class_agreement_1_3,probability_correlation_1_3,class_agreement_2_3,probability_correlation_2_3
ICA,arousal,pick_place,41,0.9024390243902439,0.7560975609756098,0.0,0.0975609756097561,0.8536585365853658,0.7560975609756098,0.3874686627650082,0.8536585365853658,0.6702104997325544,0.7560975609756098,0.041144001331062136
ICA,arousal,shape_sorter_alone,29,0.8275862068965517,0.20689655172413793,0.034482758620689655,0.1724137931034483,0.27586206896551724,0.2413793103448276,0.4975280897066533,0.3103448275862069,0.7223151185146153,0.3448275862068966,0.7143408830848669
ICA,arousal,shape_sorter_interaction,95,0.7473684210526316,0.6631578947368421,0.0,0.25263157894736843,0.8421052631578947,0.7052631578947368,0.4672769770606197,0.7894736842105263,0.5737407052099898,0.7473684210526316,0.5351174079992065
ICA,arousal,shape_sorter_observation,60,0.9333333333333333,0.8,0.016666666666666666,0.06666666666666667,0.8333333333333334,0.8166666666666667,0.533535298633429,0.8666666666666667,0.7222100534052354,0.8333333333333334,0.5978468074172226
ICA,arousal,sisyphus,127,0.6929133858267716,0.6141732283464567,0.023622047244094488,0.30708661417322836,0.8503937007874016,0.7165354330708661,0.45510785038083373,0.8110236220472441,0.6636475199963744,0.6929133858267716,0.42933703426629716
ICA,arousal,stack,70,0.9,0.8142857142857143,0.0,0.1,0.8857142857142857,0.8428571428571429,0.5047321242704983,0.8714285714285714,0.6400445145104744,0.8285714285714286,0.37396948003140157
ICA,valence,pick_place,41,0.5365853658536586,0.4146341463414634,0.07317073170731707,0.4634146341463415,0.7073170731707317,0.4878048780487805,0.6574205948416295,0.5853658536585366,0.21783190740393316,0.8048780487804879,0.7715424138403526
ICA,valence,shape_sorter_alone,29,0.5862068965517241,0.10344827586206896,0.10344827586206896,0.41379310344827586,0.6206896551724138,0.3448275862068966,0.8844621213721159,0.6206896551724138,0.15386249229221105,0.2413793103448276,0.652649802859983
ICA,valence,shape_sorter_interaction,95,0.4,0.17894736842105263,0.2,0.6,0.4631578947368421,0.4842105263157895,0.6575729588588285,0.6210526315789474,0.335799914338409,0.5894736842105263,0.646412932981248
ICA,valence,shape_sorter_observation,60,0.5833333333333334,0.4,0.13333333333333333,0.4166666666666667,0.6833333333333333,0.5666666666666667,0.39392195172539773,0.6666666666666666,0.13022374133702228,0.7666666666666667,0.7841951436013307
ICA,valence,sisyphus,127,0.4251968503937008,0.2992125984251969,0.09448818897637795,0.5748031496062992,0.6614173228346457,0.5984251968503937,0.26416107817537643,0.5118110236220472,-0.21240757788252165,0.6535433070866141,0.5071908920711894
ICA,valence,stack,70,0.42857142857142855,0.2571428571428571,0.11428571428571428,0.5714285714285714,0.7,0.45714285714285713,0.4575917966915281,0.5714285714285714,0.15481974224881664,0.6857142857142857,0.698854359215517
no-ICA,arousal,pick_place,41,0.9024390243902439,0.7560975609756098,0.0,0.0975609756097561,0.8536585365853658,0.7560975609756098,0.3874686627650506,0.8536585365853658,0.6702104997325544,0.7560975609756098,0.04114400133110237
no-ICA,arousal,shape_sorter_alone,29,0.8275862068965517,0.20689655172413793,0.034482758620689655,0.1724137931034483,0.27586206896551724,0.2413793103448276,0.49752808970655715,0.3103448275862069,0.7223151185146153,0.3448275862068966,0.7143408830849022
