mode,target,modality,regressor,feature_count_request,feature_count_resolved,feature,selected_folds,outer_folds,selection_frequency,mean_feature_score
general,arousal,eeg,knn,10,10,eeg_sd__Cz,0,46,0.0,0.7518987040607806
general,arousal,eeg,knn,10,10,eeg_sd__Fz,0,46,0.0,5.558836582993354
general,arousal,eeg,knn,10,10,eeg_sd__Oz,0,46,0.0,13.069104128393002
general,arousal,eeg,knn,10,10,eeg_sd__PO7,0,46,0.0,0.08526492588727028
general,arousal,eeg,knn,10,10,eeg_sd__PO8,0,46,0.0,2.8930006282194682
general,arousal,eeg,knn,10,10,eeg_sd__Pz,1,46,0.021739130434782608,22.179004384116624
general,arousal,eeg,knn,10,10,eeg_se__C3,0,46,0.0,0.5681354012448976
general,arousal,eeg,knn,10,10,eeg_se__C4,0,46,0.0,4.474809075196373
general,arousal,eeg,knn,10,10,eeg_se__Cz,0,46,0.0,11.442860254305831
general,arousal,eeg,knn,10,10,eeg_se__Fz,0,46,0.0,6.273832406186996
general,arousal,eeg,knn,10,10,eeg_se__Oz,0,46,0.0,5.6509064909541475
general,arousal,eeg,knn,10,10,eeg_se__PO7,0,46,0.0,3.1632179217646756
general,arousal,eeg,knn,10,10,eeg_se__PO8,0,46,0.0,13.472466887447652
general,arousal,eeg,knn,10,10,eeg_se__Pz,0,46,0.0,1.2747211770741629
general,arousal,eeg,knn,10,10,eeg_se_alpha__C3,0,46,0.0,0.15520151274426483
general,arousal,eeg,knn,10,10,eeg_se_alpha__C4,0,46,0.0,0.21466554533547552
general,arousal,eeg,knn,10,10,eeg_se_alpha__Cz,0,46,0.0,0.5770205857411955
general,arousal,eeg,knn,10,10,eeg_se_alpha__Fz,0,46,0.0,0.09948462457765438
general,arousal,eeg,knn,10,10,eeg_se_alpha__Oz,0,46,0.0,4.664364981672196
general,arousal,eeg,knn,10,10,eeg_se_alpha__PO7,0,46,0.0,0.29563901980972146
general,arousal,eeg,knn,10,10,eeg_se_alpha__PO8,0,46,0.0,4.569306786466883
general,arousal,eeg,knn,10,10,eeg_se_alpha__Pz,0,46,0.0,5.96417694310542
general,arousal,eeg,knn,10,10,eeg_se_beta__C3,0,46,0.0,0.9643117429458654
general,arousal,eeg,knn,10,10,eeg_se_beta__C4,0,46,0.0,11.09672112307085
general,arousal,eeg,knn,10,10,eeg_se_beta__Cz,0,46,0.0,0.8768599381096914
general,arousal,eeg,knn,10,10,eeg_se_beta__Fz,0,46,0.0,3.446626525962939
general,arousal,eeg,knn,10,10,eeg_se_beta__Oz,0,46,0.0,2.0796565964294342
general,arousal,eeg,knn,10,10,eeg_se_beta__PO7,0,46,0.0,9.794608614066792
general,arousal,eeg,knn,10,10,eeg_se_beta__PO8,0,46,0.0,5.7371445991559655
general,arousal,eeg,knn,10,10,eeg_se_beta__Pz,18,46,0.391304347826087,28.322706889658647
general,arousal,eeg,knn,10,10,eeg_se_delta__C3,0,46,0.0,1.3891642094602425
general,arousal,eeg,knn,10,10,eeg_se_delta__C4,0,46,0.0,0.17178922421493215
general,arousal,eeg,knn,10,10,eeg_se_delta__Cz,0,46,0.0,0.03057591015420627
