video_irisdo_norm_mean,video_irisdo_norm_std,video_eso_norm_mean,video_eso_norm_std,video_enso_norm_mean,video_enso_norm_std,video_mnso_norm_mean,video_mnso_norm_std,video_mwo_norm_mean,video_mwo_norm_std
0.0589578667158167,0.027051212344146,0.7083754827507039,0.013772903868904,0.4741783760310104,0.0244441240941341,0.1640197216049498,0.0113087592992895,0.5622126954768536,0.0231104063169515
0.0601844758395046,0.0299376533788967,0.709128675038547,0.0175511674644163,0.4868889383543786,0.0330780084622225,0.1715409281744569,0.0065174433075798,0.5763963345770314,0.018038371099715
0.0630722775451109,0.0301647724783106,0.7065655972242763,0.0139440635548948,0.4836846412399042,0.0296665113019908,0.1746900598267628,0.0054936626757232,0.5680995614469176,0.017768985782219
0.0850510244636332,0.0113925176808699,0.7135781928211167,0.004057663039827,0.5021934190084089,0.0073872722198098,0.1767292328936248,0.001852658512498,0.5729289948193009,0.0112813055182443
0.0630049254436149,0.0301660034668417,0.7075077668046467,0.0129265821786056,0.4868094353281572,0.0325739738300672,0.1728908441129171,0.0031684802809272,0.572750557214013,0.0211600530328355
0.0617265633446913,0.0223097343375723,0.7078043128868892,0.0095174326564049,0.4907567277554218,0.0198497785406973,0.1726068989028814,0.0051752925790506,0.5662580322881836,0.0098912529453833
0.0677913724875774,0.0175649127306964,0.7110248029329631,0.0090215621028509,0.4916209700978057,0.0192090602644211,0.1758764145015313,0.0030239415440733,0.5732388577473083,0.0128406462328227
0.0504327206506948,0.0281725175897466,0.6954321775513671,0.0140385731435921,0.464605205560175,0.0341740565969518,0.1645169054625402,0.0073921046625267,0.5697307078723041,0.0141120557729987
0.0599949829370714,0.0241638715974025,0.7063559993301383,0.0107352123516131,0.475913642977716,0.0229527233225158,0.1800954387965633,0.0053499012657824,0.5758821267094759,0.0167795285606334
0.0543745134017101,0.0221100543907978,0.7062936316486091,0.0136553384921884,0.4726838128531579,0.0225604817437964,0.1763383473407515,0.0059709412898856,0.5722995770472882,0.0122074027558799
0.039355972824906,0.0182725392074359,0.6961485317869669,0.0133861092799561,0.4595423715281439,0.0236557097670323,0.1727890024981097,0.0057137102909019,0.578494333801472,0.010807962728869
0.0453158290928484,0.0218474443408888,0.7010090766128587,0.0110883035137449,0.4614321546400043,0.027456854060102,0.170305713195968,0.0073958385394996,0.5668942302414318,0.015771182672747
0.0345976660684302,0.0183031246765711,0.6978386153490639,0.014106277080366,0.4524384233021992,0.0238088167263051,0.1692923635528009,0.0043653951015166,0.5655230572553538,0.0123218891794952
0.0582163160553431,0.0077301626805735,0.7159552885583219,0.0033368156673698,0.48417852997887,0.0080763302896034,0.1736507841696473,0.0019662813791341,0.5872334754461256,0.0104576328266081
0.0592466579228208,0.0137434762730671,0.7114501805215819,0.0092754460635275,0.4743656083876313,0.0189506815804433,0.1700804643872194,0.0032516737153185,0.5801705453978351,0.0070049165163785
0.0562230432125683,0.0134484296715541,0.7079206068530576,0.0113015792002516,0.4780141704912261,0.0143004385974413,0.1677397672994248,0.004271515784244,0.570819151862095,0.009016170228353
0.057573886546065,0.0179482701191246,0.7057631725000232,0.0137759583638741,0.4783057203698587,0.0202811684998115,0.1712232395779247,0.005208719587902,0.5728039495976296,0.0108688126830718
0.0602363405426302,0.0142974279301906,0.7049139306085295,0.0077487602714718,0.4686124830942526,0.011895977276448,0.170075992258617,0.0021705159729272,0.5614451555313307,0.0138126016819932
0.0628041826486053,0.0267693489977031,0.7003454315440845,0.0110398689812173,0.4762641606632322,0.0247238882688049,0.1694804689629186,0.0025559263698504,0.5663058145270966,0.0125029085994171
0.0486357099465505,0.0152345646260801,0.7030001504819551,0.0115848670934904,0.4636180870043312,0.0182237222400537,0.1658323895985855,0.0038021364686423,0.5576400595417639,0.0073846974193131
0.0686219482133997,0.0119168097678058,0.7075220649143817,0.0066351308288901,0.4832646207746688,0.012913960908215,0.1722744838964199,0.0027418805790541,0.5736831475564969,0.009445179055817
0.0512652942729266,0.0193065461602156,0.7017704916418289,0.0167700119103566,0.4679690344317421,0.0244221264773309,0.1715084439555416,0.0043700523215604,0.5704344833844217,0.0105389334165267
0.0451353558670446,0.0205774117769724,0.7054381037565959,0.0112010119670347,0.4571860518565159,0.0197992152513788,0.1683695879764049,0.0040181611004869,0.5529285474607986,0.0117624175869385
0.0432687048980563,0.0158687876124132,0.6976113399408977,0.0101593651851735,0.444620215209866,0.0227787251735002,0.1657018572788813,0.0047198900951425,0.553940211289415,0.0131294837375579
0.0310382834749602,0.021507260367824,0.6838041552585783,0.0236240697811372,0.442041019319719,0.0323231759307392,0.1663678200739042,0.0043757372231296,0.5547886743816786,0.0097208011538861
0.0527907027882749,0.0148330573340201,0.7077536898678893,0.012443582027658,0.4709289232325507,0.0160993176371019,0.1730955152431892,0.0064899745109708,0.5630914215413496,0.0095543342919923
0.0589316280798015,0.0056702968063944,0.7079910401178986,0.0061934376260314,0.4783226677965262,0.0098935789687001,0.1718218149499545,0.0024801265441763,0.5671316104137187,0.0070717028341833
