participant,target,transfer_rank,status,eligible_image_rows,low_count,high_count,calibration_cv_folds,hard_prediction_reproduction,original_model_path,original_model_sha256,image_source,message,calibrated_artifact_path,calibrated_artifact_sha256
P16,valence,2,calibrated,116,54,62,5,True,/home/sysgen/Projects/Yolanda/Thesis_EEG_Robots/outputs/image_classification/focused_personalized_binary_v1/final_transfer_models/P16_valence_rank2.joblib,94ee7bba0151dbff166b15e5c72be1b8351662fd0627a522ccc1284dc0e70278,/home/sysgen/Projects/Yolanda/Thesis_EEG_Robots/derived/P16/Image_Experiment/runs/p16_no_ica/merged/p16_image_trial_dataset.csv,,/home/sysgen/Projects/Yolanda/Thesis_EEG_Robots/outputs/image_classification/focused_personalized_binary_v1/final_transfer_probability_calibration_v1/artifacts/P16_valence_rank2_calibrated.joblib,163b28501e20c227b1702f7748ffb2f309ee763e45df2975c5e22948f3a6059a
P17,valence,1,calibrated,119,52,67,5,True,/home/sysgen/Projects/Yolanda/Thesis_EEG_Robots/outputs/image_classification/focused_personalized_binary_v1/final_transfer_models/P17_valence_rank1.joblib,447a85ab5cd0d8378e2da7341164b6c8172c3c1946006ba956d6e29b4d42e314,/home/sysgen/Projects/Yolanda/Thesis_EEG_Robots/derived/P17/Image_Experiment/runs/p17_no_ica/merged/p17_image_trial_dataset.csv,,/home/sysgen/Projects/Yolanda/Thesis_EEG_Robots/outputs/image_classification/focused_personalized_binary_v1/final_transfer_probability_calibration_v1/artifacts/P17_valence_rank1_calibrated.joblib,8df21f491fd4a47893074064b0e40885cc6cc8bce91577c0d1e7fc54d6bb52a6
P17,valence,2,calibrated,119,52,67,5,True,/home/sysgen/Projects/Yolanda/Thesis_EEG_Robots/outputs/image_classification/focused_personalized_binary_v1/final_transfer_models/P17_valence_rank2.joblib,3dc1b8beb5d7948ca9b7971860b90aa601122660f0ad25b5a694fe1bd1aad4b1,/home/sysgen/Projects/Yolanda/Thesis_EEG_Robots/derived/P17/Image_Experiment/runs/p17_no_ica/merged/p17_image_trial_dataset.csv,,/home/sysgen/Projects/Yolanda/Thesis_EEG_Robots/outputs/image_classification/focused_personalized_binary_v1/final_transfer_probability_calibration_v1/artifacts/P17_valence_rank2_calibrated.joblib,ecaf08b8fa81a1c104b4a2c5ac540406143f299f66759dd4f127ed15af81d601
P17,valence,3,calibrated,119,52,67,5,True,/home/sysgen/Projects/Yolanda/Thesis_EEG_Robots/outputs/image_classification/focused_personalized_binary_v1/final_transfer_models/P17_valence_rank3.joblib,91575215292bbd9d724172174e119d9cec097fdc8fc826838ed322537870d09f,/home/sysgen/Projects/Yolanda/Thesis_EEG_Robots/derived/P17/Image_Experiment/runs/p17_no_ica/merged/p17_image_trial_dataset.csv,,/home/sysgen/Projects/Yolanda/Thesis_EEG_Robots/outputs/image_classification/focused_personalized_binary_v1/final_transfer_probability_calibration_v1/artifacts/P17_valence_rank3_calibrated.joblib,e49774def7cc542fee8b51a8b025c6fd8739d84292ed16a43d23e4e39c54ebc8
P19,valence,1,calibrated,120,43,77,5,True,/home/sysgen/Projects/Yolanda/Thesis_EEG_Robots/outputs/image_classification/focused_personalized_binary_v1/final_transfer_models/P19_valence_rank1.joblib,dee503198a74d3b209bb1c5261cd947ea25d6b5368c1f482051c758e53722e8f,/home/sysgen/Projects/Yolanda/Thesis_EEG_Robots/derived/P19/Image_Experiment/runs/p19_no_ica/merged/p19_image_trial_dataset.csv,,/home/sysgen/Projects/Yolanda/Thesis_EEG_Robots/outputs/image_classification/focused_personalized_binary_v1/final_transfer_probability_calibration_v1/artifacts/P19_valence_rank1_calibrated.joblib,50533ae552b11c696dc2aff77046ed628006635063dddd73f5982f3a80413dcb
P20,arousal,2,calibrated,93,29,64,5,True,/home/sysgen/Projects/Yolanda/Thesis_EEG_Robots/outputs/image_classification/focused_personalized_binary_v1/final_transfer_models/P20_arousal_rank2.joblib,90eb27a99636bd86ea88c61a5cd973d4a0bba524f70061bee0a9855c0fa18e91,/home/sysgen/Projects/Yolanda/Thesis_EEG_Robots/derived/P20/Image_Experiment/runs/p20_no_ica/merged/p20_image_trial_dataset.csv,,/home/sysgen/Projects/Yolanda/Thesis_EEG_Robots/outputs/image_classification/focused_personalized_binary_v1/final_transfer_probability_calibration_v1/artifacts/P20_arousal_rank2_calibrated.joblib,4a7d6c2acc51390e3db59f477e73e38519c6f2192d568fbe5b762dc6f63ac31e
P20,arousal,3,calibrated,93,29,64,5,True,/home/sysgen/Projects/Yolanda/Thesis_EEG_Robots/outputs/image_classification/focused_personalized_binary_v1/final_transfer_models/P20_arousal_rank3.joblib,8145fa0ecd4308b4cca583f0efe693245808fda1fc56364399dbab60ba2649af,/home/sysgen/Projects/Yolanda/Thesis_EEG_Robots/derived/P20/Image_Experiment/runs/p20_no_ica/merged/p20_image_trial_dataset.csv,,/home/sysgen/Projects/Yolanda/Thesis_EEG_Robots/outputs/image_classification/focused_personalized_binary_v1/final_transfer_probability_calibration_v1/artifacts/P20_arousal_rank3_calibrated.joblib,119b304699ed9ad742e3fbaec3b4c1e319959c05bccba86ce28eb1eea2030350
P21,arousal,1,calibrated,108,65,43,5,True,/home/sysgen/Projects/Yolanda/Thesis_EEG_Robots/outputs/image_classification/focused_personalized_binary_v1/final_transfer_models/P21_arousal_rank1.joblib,1ec7747601a3f1e7159b84adcb96e6a6d71a643608ef4e65c002e89db7f2ea84,/home/sysgen/Projects/Yolanda/Thesis_EEG_Robots/derived/P21/Image_Experiment/runs/p21_no_ica/merged/p21_image_trial_dataset.csv,,/home/sysgen/Projects/Yolanda/Thesis_EEG_Robots/outputs/image_classification/focused_personalized_binary_v1/final_transfer_probability_calibration_v1/artifacts/P21_arousal_rank1_calibrated.joblib,05fb80ab548a3d796aed8216357d5db271aac1a0cfdc4612c50e424ac1ce9f1e
P22,valence,2,calibrated,117,68,49,5,True,/home/sysgen/Projects/Yolanda/Thesis_EEG_Robots/outputs/image_classification/focused_personalized_binary_v1/final_transfer_models/P22_valence_rank2.joblib,a29f8ea1347c741d2a25245f02e61d39642d1c86a7e2ab846933d129b654bfd0,/home/sysgen/Projects/Yolanda/Thesis_EEG_Robots/derived/P22/Image_Experiment/runs/p22_no_ica/merged/p22_image_trial_dataset.csv,,/home/sysgen/Projects/Yolanda/Thesis_EEG_Robots/outputs/image_classification/focused_personalized_binary_v1/final_transfer_probability_calibration_v1/artifacts/P22_valence_rank2_calibrated.joblib,3477c07e845081fdf3cf8f1d99daa8b0f52e69d7b0555d0e5e33abfd75f19806
P23,arousal,2,calibrated,118,36,82,5,True,/home/sysgen/Projects/Yolanda/Thesis_EEG_Robots/outputs/image_classification/focused_personalized_binary_v1/final_transfer_models/P23_arousal_rank2.joblib,eb0fcba20d35cba2f792e68436274f81f9410a6e50c601044a1e0a76553b22ad,/home/sysgen/Projects/Yolanda/Thesis_EEG_Robots/derived/P23/Image_Experiment/runs/p23_no_ica/merged/p23_image_trial_dataset.csv,,/home/sysgen/Projects/Yolanda/Thesis_EEG_Robots/outputs/image_classification/focused_personalized_binary_v1/final_transfer_probability_calibration_v1/artifacts/P23_arousal_rank2_calibrated.joblib,12783743cb15322c16805b2a215dbae9fdc80d4bcd4ffce0a72d4931c3f6a4a1
P23,valence,2,calibrated,118,69,49,5,True,/home/sysgen/Projects/Yolanda/Thesis_EEG_Robots/outputs/image_classification/focused_personalized_binary_v1/final_transfer_models/P23_valence_rank2.joblib,f5f25763ff37e906df7339df377f8d9a3bc7a2f54310cd28161698edc312ff52,/home/sysgen/Projects/Yolanda/Thesis_EEG_Robots/derived/P23/Image_Experiment/runs/p23_no_ica/merged/p23_image_trial_dataset.csv,,/home/sysgen/Projects/Yolanda/Thesis_EEG_Robots/outputs/image_classification/focused_personalized_binary_v1/final_transfer_probability_calibration_v1/artifacts/P23_valence_rank2_calibrated.joblib,fcbb60dc55b9f774e54f28f69f56ec4e60d7832bf89f98f6cba19148593dc141
P23,valence,3,calibrated,118,69,49,5,True,/home/sysgen/Projects/Yolanda/Thesis_EEG_Robots/outputs/image_classification/focused_personalized_binary_v1/final_transfer_models/P23_valence_rank3.joblib,239f88ef84a50a0d5a6cf90018be91a29bf4a665e2293ae7cfcc6f2aeff605d9,/home/sysgen/Projects/Yolanda/Thesis_EEG_Robots/derived/P23/Image_Experiment/runs/p23_no_ica/merged/p23_image_trial_dataset.csv,,/home/sysgen/Projects/Yolanda/Thesis_EEG_Robots/outputs/image_classification/focused_personalized_binary_v1/final_transfer_probability_calibration_v1/artifacts/P23_valence_rank3_calibrated.joblib,fd919636c42895ebbc6cdf29352ae546b49cc49e58167f3b258174525c106bd8
P24,arousal,1,calibrated,117,53,64,5,True,/home/sysgen/Projects/Yolanda/Thesis_EEG_Robots/outputs/image_classification/focused_personalized_binary_v1/final_transfer_models/P24_arousal_rank1.joblib,0e787ffae5028beec84735edc6fcf58f14107684545b24ffdfdc4bba47fb59f9,/home/sysgen/Projects/Yolanda/Thesis_EEG_Robots/derived/P24/Image_Experiment/runs/p24_no_ica/merged/p24_image_trial_dataset.csv,,/home/sysgen/Projects/Yolanda/Thesis_EEG_Robots/outputs/image_classification/focused_personalized_binary_v1/final_transfer_probability_calibration_v1/artifacts/P24_arousal_rank1_calibrated.joblib,ebe1f738b2179b2e77a72069315eee5d26702bc3e88d9ab2b422b7ae9464ee9b
P24,arousal,2,calibrated,117,53,64,5,True,/home/sysgen/Projects/Yolanda/Thesis_EEG_Robots/outputs/image_classification/focused_personalized_binary_v1/final_transfer_models/P24_arousal_rank2.joblib,3444311360684be04a255ba6a9c24bfcde3d76c4492126da0210a8c93020eb60,/home/sysgen/Projects/Yolanda/Thesis_EEG_Robots/derived/P24/Image_Experiment/runs/p24_no_ica/merged/p24_image_trial_dataset.csv,,/home/sysgen/Projects/Yolanda/Thesis_EEG_Robots/outputs/image_classification/focused_personalized_binary_v1/final_transfer_probability_calibration_v1/artifacts/P24_arousal_rank2_calibrated.joblib,c502272a809c7a8173effbcb024be18f54bb264761de59919a5c2537236b97c0
P27,arousal,3,calibrated,89,21,68,5,True,/home/sysgen/Projects/Yolanda/Thesis_EEG_Robots/outputs/image_classification/focused_personalized_binary_v1/final_transfer_models/P27_arousal_rank3.joblib,bfef7c93d346fa97b5dc52dda28dc7780f5f4ed0c3673c96c09a17be854952ac,/home/sysgen/Projects/Yolanda/Thesis_EEG_Robots/derived/P27/Image_Experiment/runs/p27_no_ica/merged/p27_image_trial_dataset.csv,,/home/sysgen/Projects/Yolanda/Thesis_EEG_Robots/outputs/image_classification/focused_personalized_binary_v1/final_transfer_probability_calibration_v1/artifacts/P27_arousal_rank3_calibrated.joblib,ea8746a46161e29ff5df61616ef0dc2ad408c738bde2d67bc6f32e67297947e6
P29,valence,1,calibrated,109,45,64,5,True,/home/sysgen/Projects/Yolanda/Thesis_EEG_Robots/outputs/image_classification/focused_personalized_binary_v1/final_transfer_models/P29_valence_rank1.joblib,64a3784366df0877edaaba3bc2278dc4751b42c864acafd61e52ba882b26b238,/home/sysgen/Projects/Yolanda/Thesis_EEG_Robots/derived/P29/Image_Experiment/runs/p29_no_ica/merged/p29_image_trial_dataset.csv,,/home/sysgen/Projects/Yolanda/Thesis_EEG_Robots/outputs/image_classification/focused_personalized_binary_v1/final_transfer_probability_calibration_v1/artifacts/P29_valence_rank1_calibrated.joblib,7fa29e5950fc40daf5f462faaddfa8067bcf2b75912397032eae61660f9a3b7e
P29,valence,3,calibrated,109,45,64,5,True,/home/sysgen/Projects/Yolanda/Thesis_EEG_Robots/outputs/image_classification/focused_personalized_binary_v1/final_transfer_models/P29_valence_rank3.joblib,7407583f059133f9c2ac77ba2703a56754a44378237a23b243d704328f8c16f8,/home/sysgen/Projects/Yolanda/Thesis_EEG_Robots/derived/P29/Image_Experiment/runs/p29_no_ica/merged/p29_image_trial_dataset.csv,,/home/sysgen/Projects/Yolanda/Thesis_EEG_Robots/outputs/image_classification/focused_personalized_binary_v1/final_transfer_probability_calibration_v1/artifacts/P29_valence_rank3_calibrated.joblib,31fdd041e9517276ffb7ef9d9a323438ffd4624f5ede47fd6c211565e2c5afb2
P30,arousal,1,calibrated,120,44,76,5,True,/home/sysgen/Projects/Yolanda/Thesis_EEG_Robots/outputs/image_classification/focused_personalized_binary_v1/final_transfer_models/P30_arousal_rank1.joblib,88b7af55d2256b861c39f2c5de9c0a956be5c012961fde3a44fbd13b6df7170e,/home/sysgen/Projects/Yolanda/Thesis_EEG_Robots/derived/P30/Image_Experiment/runs/p30_no_ica/merged/p30_image_trial_dataset.csv,,/home/sysgen/Projects/Yolanda/Thesis_EEG_Robots/outputs/image_classification/focused_personalized_binary_v1/final_transfer_probability_calibration_v1/artifacts/P30_arousal_rank1_calibrated.joblib,0bac46096ec806a62cc31700fa76e9b81bda508b5ff7e0a8429caedceb0f4b85
P30,arousal,3,calibrated,120,44,76,5,True,/home/sysgen/Projects/Yolanda/Thesis_EEG_Robots/outputs/image_classification/focused_personalized_binary_v1/final_transfer_models/P30_arousal_rank3.joblib,322ee5f2a948980771b1cee6fbdb2e45c25713781568fab3ceeaf13bbc84a5f0,/home/sysgen/Projects/Yolanda/Thesis_EEG_Robots/derived/P30/Image_Experiment/runs/p30_no_ica/merged/p30_image_trial_dataset.csv,,/home/sysgen/Projects/Yolanda/Thesis_EEG_Robots/outputs/image_classification/focused_personalized_binary_v1/final_transfer_probability_calibration_v1/artifacts/P30_arousal_rank3_calibrated.joblib,ecb17b589afb40a4f1da555d042ca0204434c217e0ebbec1a02de96d4d8cc7e4
