participant,candidate,target,task,task_label,window_count,high_probability_mean,high_probability_median,pct_score_lt_0_05,pct_score_gt_0_95,nearest_image_distance_median,pct_above_image_reference_p95,pct_beyond_image_reference_max
P19,V0_original_strict_transfer,valence,pick_place,Pick and Place,42,9.738094940818702e-10,3.794167070993445e-76,100.0,0.0,19.014741914867088,100.0,97.61904761904762
P19,V0_original_strict_transfer,valence,shape_sorter_observation,Shape Sorter Observation,59,0.0005125361420520607,1.3413677093104348e-85,100.0,0.0,20.08870131203859,98.30508474576271,93.22033898305084
P19,V0_original_strict_transfer,valence,stack,Stack,68,1.3726981346458067e-11,2.4253016219093443e-153,100.0,0.0,29.31210719998345,100.0,100.0
P19,V0_original_strict_transfer,valence,sisyphus,Sisyphus,91,0.00022666975197427894,9.058187304593453e-172,100.0,0.0,30.43800390085436,100.0,98.9010989010989
P19,V0_original_strict_transfer,valence,shape_sorter_interaction,Shape Sorter Interaction,77,0.6221646281953592,0.859788725554845,24.675324675324674,25.97402597402597,1.1989392555901257,45.45454545454545,16.883116883116884
P19,A0_original_strict_transfer,arousal,pick_place,Pick and Place,42,0.8900430559627058,0.9143709941602203,0.0,0.0,9.51353882885136,100.0,100.0
P19,A0_original_strict_transfer,arousal,shape_sorter_observation,Shape Sorter Observation,59,0.8883000976008921,0.9141151456153508,0.0,0.0,12.758223167571916,98.30508474576271,94.91525423728814
P19,A0_original_strict_transfer,arousal,stack,Stack,68,0.8739073411219543,0.9129597019136828,0.0,0.0,14.188659151662932,100.0,100.0
P19,A0_original_strict_transfer,arousal,sisyphus,Sisyphus,91,0.8516904366013022,0.911523735865244,0.0,0.0,14.494705174726208,100.0,100.0
P19,A0_original_strict_transfer,arousal,shape_sorter_interaction,Shape Sorter Interaction,77,0.35904815362250303,0.2637861853604502,0.0,0.0,5.44992282420599,97.40259740259741,89.6103896103896
P19,V1_remove_delta_Fz,valence,pick_place,Pick and Place,42,0.006468876300895329,1.6534293144346946e-08,97.61904761904762,0.0,2.241970492325355,90.47619047619048,64.28571428571429
P19,V1_remove_delta_Fz,valence,shape_sorter_observation,Shape Sorter Observation,59,0.059767092511990826,2.809350483841562e-10,88.13559322033898,0.0,2.4625372685704483,83.05084745762711,64.40677966101694
P19,V1_remove_delta_Fz,valence,stack,Stack,68,0.05545006879758663,3.305918884233317e-06,82.35294117647058,0.0,1.4161631353559234,72.05882352941177,47.05882352941176
P19,V1_remove_delta_Fz,valence,sisyphus,Sisyphus,91,0.1404112199819845,0.0024067832390236702,68.13186813186813,0.0,1.1888080068083764,72.52747252747253,26.373626373626376
P19,V1_remove_delta_Fz,valence,shape_sorter_interaction,Shape Sorter Interaction,77,0.8301670845131701,0.9127951442793265,3.896103896103896,31.16883116883117,0.772723117225874,28.57142857142857,12.987012987012985
P19,A1_remove_hc_Fz,arousal,pick_place,Pick and Place,42,0.8268398268398267,0.9090909090909091,0.0,0.0,6.8938842746445905,100.0,95.23809523809523
P19,A1_remove_hc_Fz,arousal,shape_sorter_observation,Shape Sorter Observation,59,0.8382126348228042,0.9090909090909091,0.0,0.0,7.626361593691762,96.61016949152543,91.52542372881356
P19,A1_remove_hc_Fz,arousal,stack,Stack,68,0.7887700534759357,0.8181818181818182,0.0,0.0,8.120947313937467,100.0,100.0
P19,A1_remove_hc_Fz,arousal,sisyphus,Sisyphus,91,0.7032967032967034,0.7272727272727273,0.0,0.0,9.265033891648145,100.0,98.9010989010989
P19,A1_remove_hc_Fz,arousal,shape_sorter_interaction,Shape Sorter Interaction,77,0.3057851239669421,0.2727272727272727,0.0,0.0,5.206434089497515,93.5064935064935,88.31168831168831
P19,A2_remove_hc_and_se_Fz,arousal,pick_place,Pick and Place,42,0.8253214971604352,0.9079546573725487,0.0,2.380952380952381,4.421475449062494,97.61904761904762,80.95238095238095
P19,A2_remove_hc_and_se_Fz,arousal,shape_sorter_observation,Shape Sorter Observation,59,0.8460281541749441,0.9148799598217326,0.0,5.084745762711865,4.586700839899721,94.91525423728814,81.35593220338984
P19,A2_remove_hc_and_se_Fz,arousal,stack,Stack,68,0.7715713644714848,0.8244017547316645,0.0,1.4705882352941175,5.076313551565152,100.0,92.64705882352942
P19,A2_remove_hc_and_se_Fz,arousal,sisyphus,Sisyphus,91,0.6215900353264815,0.6412291198477084,0.0,0.0,6.701940510251215,100.0,98.9010989010989
P19,A2_remove_hc_and_se_Fz,arousal,shape_sorter_interaction,Shape Sorter Interaction,77,0.2487280078120513,0.18745718407046721,0.0,0.0,4.76345266278694,98.7012987012987,88.31168831168831
