participant,representation,calibration,target,task,task_label,window_count,nearest_image_distance_median,pct_above_image_reference_p95,pct_beyond_image_reference_max,selected_feature_abs_z_median,selected_feature_abs_z_p95,high_score_mean,high_score_median,pct_predicted_high
P19,C0_reproducible_harmonized_no_ICA,P19_Image_no_ICA,valence,pick_place,Pick and Place,42,2.058465504099897,38.095238095238095,16.666666666666664,0.7910131096628382,14.27479878160135,0.6644623122868163,0.9390668900398162,69.04761904761905
P19,C0_reproducible_harmonized_no_ICA,P19_Image_no_ICA,valence,shape_sorter_interaction,Shape Sorter Interaction,77,5.867675682969296,96.1038961038961,72.72727272727273,1.2905865185134116,13.865790094092228,0.08410751372552203,2.0996990452038618e-14,7.792207792207792
P19,C0_reproducible_harmonized_no_ICA,P19_Image_no_ICA,valence,shape_sorter_observation,Shape Sorter Observation,59,1.95364608422447,35.59322033898305,6.779661016949152,0.8947724759164517,5.5510697279606465,0.49837925975451164,0.5548378124164233,50.847457627118644
P19,C0_reproducible_harmonized_no_ICA,P19_Image_no_ICA,valence,sisyphus,Sisyphus,91,5.373593034909048,87.91208791208791,63.73626373626373,1.1148064592206175,24.057638913922155,0.20218546407338625,6.945428184090861e-10,19.78021978021978
P19,C0_reproducible_harmonized_no_ICA,P19_Image_no_ICA,valence,stack,Stack,68,2.7571964979171932,69.11764705882352,25.0,0.9786448008508883,8.49747233039332,0.33091184683500224,0.009934092105283227,32.35294117647059
P19,C0_reproducible_harmonized_no_ICA,P19_Image_no_ICA,arousal,pick_place,Pick and Place,42,2.1505615007850056,38.095238095238095,21.428571428571427,0.7417793104656977,11.788027931982054,0.32857142857142857,0.2,16.666666666666664
P19,C0_reproducible_harmonized_no_ICA,P19_Image_no_ICA,arousal,shape_sorter_interaction,Shape Sorter Interaction,77,5.484181856815651,98.7012987012987,85.71428571428571,1.0953334343599752,8.809851252281506,0.30389610389610394,0.2,22.07792207792208
P19,C0_reproducible_harmonized_no_ICA,P19_Image_no_ICA,arousal,shape_sorter_observation,Shape Sorter Observation,59,2.202688053072095,38.983050847457626,11.864406779661017,0.8234337915172127,4.986547592610541,0.40338983050847455,0.4,35.59322033898305
P19,C0_reproducible_harmonized_no_ICA,P19_Image_no_ICA,arousal,sisyphus,Sisyphus,91,5.143376892729449,95.6043956043956,78.02197802197803,0.9986646870147167,9.662729519116162,0.24175824175824176,0.2,10.989010989010989
P19,C0_reproducible_harmonized_no_ICA,P19_Image_no_ICA,arousal,stack,Stack,68,2.9447969983650832,66.17647058823529,26.47058823529412,0.9595758460204551,4.450217259051608,0.2617647058823529,0.2,11.76470588235294
