summary_type,count,mean_standard_BA,mean_exclude_midpoint_BA,mean_BA_delta,median_BA_delta,improved,tied,worsened,mean_retained_fraction
overall,10,0.6698024655083479,0.6633683399933401,-0.0064341255150078824,-0.0027339327339326314,4,0,6,0.8791666666666667
arousal,5,0.6773757157874806,0.6543585026085026,-0.023017213178977935,-0.029583333333333406,1,0,4,0.8833333333333334
valence,5,0.6622292152292153,0.6723781773781774,0.01014896214896217,0.0006510156510156628,3,0,2,0.875
