participant,target,label_condition,total_original_trials,n_trials,n_low,n_high,n_dropped_midpoint,retained_fraction,class_balance_high_fraction,status,modality,classifier,feature_count,feature_count_request,outer_folds,mean_balanced_accuracy,std_balanced_accuracy,mean_accuracy,std_accuracy,best_hyperparameters,seed,gridsearch_n_jobs
P22,valence,exclude_midpoint,120,108,68,40,12,0.9,0.37037037037037035,complete,multimodal,logreg,all,all,5,0.6502747252747253,0.08184485066124135,0.6696969696969697,0.07991205975963954,"[{""fold"": 1, ""inner_best_balanced_accuracy"": 0.6259259259259259, ""parameters"": {""classifier__C"": 0.01, ""classifier__class_weight"": ""balanced""}}, {""fold"": 2, ""inner_best_balanced_accuracy"": 0.6260942760942761, ""parameters"": {""classifier__C"": 0.1, ""classifier__class_weight"": null}}, {""fold"": 3, ""inner_best_balanced_accuracy"": 0.6823232323232323, ""parameters"": {""classifier__C"": 0.01, ""classifier__class_weight"": null}}, {""fold"": 4, ""inner_best_balanced_accuracy"": 0.5941520467836257, ""parameters"": {""classifier__C"": 0.01, ""classifier__class_weight"": null}}, {""fold"": 5, ""inner_best_balanced_accuracy"": 0.567738791423002, ""parameters"": {""classifier__C"": 0.1, ""classifier__class_weight"": null}}]",42,4
P22,valence,standard,120,120,68,52,0,1.0,0.43333333333333335,complete,face,svm,8,8,5,0.6504395604395604,0.0334161638036638,0.6583333333333333,0.031180478223116186,"[{""fold"": 1, ""inner_best_balanced_accuracy"": 0.6283068783068783, ""parameters"": {""classifier__C"": 1, ""classifier__class_weight"": ""balanced"", ""classifier__gamma"": 0.1, ""classifier__kernel"": ""rbf""}}, {""fold"": 2, ""inner_best_balanced_accuracy"": 0.648148148148148, ""parameters"": {""classifier__C"": 1, ""classifier__class_weight"": ""balanced"", ""classifier__gamma"": 0.01, ""classifier__kernel"": ""rbf""}}, {""fold"": 3, ""inner_best_balanced_accuracy"": 0.5701058201058201, ""parameters"": {""classifier__C"": 0.01, ""classifier__class_weight"": ""balanced"", ""classifier__gamma"": 0.01, ""classifier__kernel"": ""rbf""}}, {""fold"": 4, ""inner_best_balanced_accuracy"": 0.667068311805154, ""parameters"": {""classifier__C"": 10, ""classifier__class_weight"": null, ""classifier__gamma"": 0.1, ""classifier__kernel"": ""rbf""}}, {""fold"": 5, ""inner_best_balanced_accuracy"": 0.6156416682732473, ""parameters"": {""classifier__C"": 10, ""classifier__class_weight"": ""balanced"", ""classifier__gamma"": 0.01, ""classifier__kernel"": ""rbf""}}]",42,4
P36,arousal,exclude_midpoint,120,114,31,83,6,0.95,0.7280701754385965,complete,eeg,svm,15,15,5,0.6654166666666667,0.06373229601666293,0.7357894736842105,0.05404932598922208,"[{""fold"": 1, ""inner_best_balanced_accuracy"": 0.7444444444444445, ""parameters"": {""classifier__C"": 1, ""classifier__class_weight"": ""balanced"", ""classifier__gamma"": ""scale"", ""classifier__kernel"": ""rbf""}}, {""fold"": 2, ""inner_best_balanced_accuracy"": 0.5920634920634921, ""parameters"": {""classifier__C"": 0.01, ""classifier__class_weight"": ""balanced"", ""classifier__kernel"": ""linear""}}, {""fold"": 3, ""inner_best_balanced_accuracy"": 0.5992063492063493, ""parameters"": {""classifier__C"": 0.1, ""classifier__class_weight"": ""balanced"", ""classifier__kernel"": ""linear""}}, {""fold"": 4, ""inner_best_balanced_accuracy"": 0.5805555555555556, ""parameters"": {""classifier__C"": 100, ""classifier__class_weight"": ""balanced"", ""classifier__kernel"": ""linear""}}, {""fold"": 5, ""inner_best_balanced_accuracy"": 0.7190476190476192, ""parameters"": {""classifier__C"": 1, ""classifier__class_weight"": ""balanced"", ""classifier__kernel"": ""linear""}}]",42,4
P36,arousal,standard,120,120,31,89,0,1.0,0.7416666666666667,complete,eeg,knn,all,all,5,0.6950000000000001,0.07185053931599958,0.7247619047619047,0.10405170527009401,"[{""fold"": 1, ""inner_best_balanced_accuracy"": 0.6282828282828282, ""parameters"": {""classifier__metric"": ""manhattan"", ""classifier__n_neighbors"": 3, ""classifier__weights"": ""uniform""}}, {""fold"": 2, ""inner_best_balanced_accuracy"": 0.5979076479076479, ""parameters"": {""classifier__metric"": ""manhattan"", ""classifier__n_neighbors"": 7, ""classifier__weights"": ""uniform""}}, {""fold"": 3, ""inner_best_balanced_accuracy"": 0.6731601731601732, ""parameters"": {""classifier__metric"": ""manhattan"", ""classifier__n_neighbors"": 3, ""classifier__weights"": ""uniform""}}, {""fold"": 4, ""inner_best_balanced_accuracy"": 0.5808080808080808, ""parameters"": {""classifier__metric"": ""manhattan"", ""classifier__n_neighbors"": 5, ""classifier__weights"": ""uniform""}}, {""fold"": 5, ""inner_best_balanced_accuracy"": 0.6222943722943722, ""parameters"": {""classifier__metric"": ""manhattan"", ""classifier__n_neighbors"": 3, ""classifier__weights"": ""uniform""}}]",42,4
P36,valence,exclude_midpoint,120,110,51,59,10,0.9166666666666666,0.5363636363636364,complete,multimodal,gnb,3,3,5,0.7022222222222223,0.038586123009300775,0.6947368421052632,0.03938586722919937,"[{""fold"": 1, ""inner_best_balanced_accuracy"": 0.5445665445665445, ""parameters"": {""classifier__var_smoothing"": 1e-11}}, {""fold"": 2, ""inner_best_balanced_accuracy"": 0.5662393162393162, ""parameters"": {""classifier__var_smoothing"": 1e-11}}, {""fold"": 3, ""inner_best_balanced_accuracy"": 0.6196581196581196, ""parameters"": {""classifier__var_smoothing"": 1e-11}}, {""fold"": 4, ""inner_best_balanced_accuracy"": 0.6442307692307693, ""parameters"": {""classifier__var_smoothing"": 1e-11}}, {""fold"": 5, ""inner_best_balanced_accuracy"": 0.69017094017094, ""parameters"": {""classifier__var_smoothing"": 1e-11}}]",42,4
P36,valence,standard,120,120,51,69,0,1.0,0.575,complete,multimodal,logreg,5,5,5,0.7075252525252524,0.11578026995620416,0.7066666666666668,0.11961199554584001,"[{""fold"": 1, ""inner_best_balanced_accuracy"": 0.7194444444444444, ""parameters"": {""classifier__C"": 1, ""classifier__class_weight"": ""balanced""}}, {""fold"": 2, ""inner_best_balanced_accuracy"": 0.5215201465201466, ""parameters"": {""classifier__C"": 10, ""classifier__class_weight"": null}}, {""fold"": 3, ""inner_best_balanced_accuracy"": 0.6008547008547008, ""parameters"": {""classifier__C"": 100, ""classifier__class_weight"": ""balanced""}}, {""fold"": 4, ""inner_best_balanced_accuracy"": 0.632051282051282, ""parameters"": {""classifier__C"": 0.01, ""classifier__class_weight"": ""balanced""}}, {""fold"": 5, ""inner_best_balanced_accuracy"": 0.5948717948717949, ""parameters"": {""classifier__C"": 10, ""classifier__class_weight"": ""balanced""}}]",42,4
P40,arousal,exclude_midpoint,120,110,46,64,10,0.9166666666666666,0.5818181818181818,complete,face,knn,8,8,5,0.6512820512820513,0.0742459107025094,0.6636363636363636,0.07385489458759964,"[{""fold"": 1, ""inner_best_balanced_accuracy"": 0.649069884364002, ""parameters"": {""classifier__metric"": ""manhattan"", ""classifier__n_neighbors"": 3, ""classifier__weights"": ""uniform""}}, {""fold"": 2, ""inner_best_balanced_accuracy"": 0.5918803418803419, ""parameters"": {""classifier__metric"": ""manhattan"", ""classifier__n_neighbors"": 5, ""classifier__weights"": ""uniform""}}, {""fold"": 3, ""inner_best_balanced_accuracy"": 0.678795877325289, ""parameters"": {""classifier__metric"": ""manhattan"", ""classifier__n_neighbors"": 3, ""classifier__weights"": ""distance""}}, {""fold"": 4, ""inner_best_balanced_accuracy"": 0.6510180995475113, ""parameters"": {""classifier__metric"": ""manhattan"", ""classifier__n_neighbors"": 3, ""classifier__weights"": ""uniform""}}, {""fold"": 5, ""inner_best_balanced_accuracy"": 0.6489651416122003, ""parameters"": {""classifier__metric"": ""euclidean"", ""classifier__n_neighbors"": 9, ""classifier__weights"": ""distance""}}]",42,4
P40,arousal,standard,120,120,46,74,0,1.0,0.6166666666666667,complete,face,knn,10,10,5,0.7028571428571428,0.08596905113226802,0.7166666666666667,0.07168604389202186,"[{""fold"": 1, ""inner_best_balanced_accuracy"": 0.6307242465137202, ""parameters"": {""classifier__metric"": ""euclidean"", ""classifier__n_neighbors"": 9, ""classifier__weights"": ""distance""}}, {""fold"": 2, ""inner_best_balanced_accuracy"": 0.6599752586594693, ""parameters"": {""classifier__metric"": ""euclidean"", ""classifier__n_neighbors"": 3, ""classifier__weights"": ""uniform""}}, {""fold"": 3, ""inner_best_balanced_accuracy"": 0.569174538911381, ""parameters"": {""classifier__metric"": ""manhattan"", ""classifier__n_neighbors"": 3, ""classifier__weights"": ""uniform""}}, {""fold"": 4, ""inner_best_balanced_accuracy"": 0.598897885739991, ""parameters"": {""classifier__metric"": ""manhattan"", ""classifier__n_neighbors"": 3, ""classifier__weights"": ""uniform""}}, {""fold"": 5, ""inner_best_balanced_accuracy"": 0.5777777777777777, ""parameters"": {""classifier__metric"": ""manhattan"", ""classifier__n_neighbors"": 5, ""classifier__weights"": ""distance""}}]",42,4
P40,valence,exclude_midpoint,120,104,54,50,16,0.8666666666666667,0.4807692307692308,complete,eeg,svm,20,20,5,0.6627272727272727,0.12449567684750748,0.6657142857142857,0.12235037602096555,"[{""fold"": 1, ""inner_best_balanced_accuracy"": 0.6641025641025641, ""parameters"": {""classifier__C"": 100, ""classifier__class_weight"": ""balanced"", ""classifier__kernel"": ""linear""}}, {""fold"": 2, ""inner_best_balanced_accuracy"": 0.5507936507936507, ""parameters"": {""classifier__C"": 1, ""classifier__class_weight"": ""balanced"", ""classifier__gamma"": 0.1, ""classifier__kernel"": ""rbf""}}, {""fold"": 3, ""inner_best_balanced_accuracy"": 0.6388278388278389, ""parameters"": {""classifier__C"": 100, ""classifier__class_weight"": null, ""classifier__gamma"": 0.001, ""classifier__kernel"": ""rbf""}}, {""fold"": 4, ""inner_best_balanced_accuracy"": 0.5667887667887669, ""parameters"": {""classifier__C"": 10, ""classifier__class_weight"": ""balanced"", ""classifier__kernel"": ""linear""}}, {""fold"": 5, ""inner_best_balanced_accuracy"": 0.5783272283272284, ""parameters"": {""classifier__C"": 1, ""classifier__class_weight"": ""balanced"", ""classifier__gamma"": ""scale"", ""classifier__kernel"": ""rbf""}}]",42,4
P40,valence,standard,120,120,54,66,0,1.0,0.55,complete,multimodal,svm,30,30,5,0.6418481518481519,0.09929482170437576,0.65,0.08975274678557507,"[{""fold"": 1, ""inner_best_balanced_accuracy"": 0.6404295051353874, ""parameters"": {""classifier__C"": 10, ""classifier__class_weight"": null, ""classifier__gamma"": ""scale"", ""classifier__kernel"": ""rbf""}}, {""fold"": 2, ""inner_best_balanced_accuracy"": 0.6263305322128851, ""parameters"": {""classifier__C"": 100, ""classifier__class_weight"": null, ""classifier__gamma"": 0.01, ""classifier__kernel"": ""rbf""}}, {""fold"": 3, ""inner_best_balanced_accuracy"": 0.6338624338624339, ""parameters"": {""classifier__C"": 1, ""classifier__class_weight"": null, ""classifier__gamma"": 0.1, ""classifier__kernel"": ""rbf""}}, {""fold"": 4, ""inner_best_balanced_accuracy"": 0.6727046374105198, ""parameters"": {""classifier__C"": 100, ""classifier__class_weight"": ""balanced"", ""classifier__gamma"": 0.001, ""classifier__kernel"": ""rbf""}}, {""fold"": 5, ""inner_best_balanced_accuracy"": 0.5969810146280734, ""parameters"": {""classifier__C"": 10, ""classifier__class_weight"": null, ""classifier__kernel"": ""linear""}}]",42,4
