target,modality,participants,mean_participant_best_ba,median_participant_best_ba,median_candidate_ba,best_ba_ge_060_count,best_ba_ge_060_fraction,best_ba_ge_065_count,best_ba_ge_065_fraction,maximum_ba,median_best_fold_sd,frozen_baseline_mean_best_ba,frozen_baseline_median_best_ba,frozen_baseline_ge_060_count,frozen_baseline_ge_065_count
arousal,face,46,0.5632234524684719,0.5673526473526473,0.5227029914529915,12,0.2608695652173913,1,0.021739130434782608,0.6777777777777778,0.09857234274327764,,,,
arousal,multimodal,46,0.573463134265564,0.5739316239316239,0.520643833290892,13,0.2826086956521739,5,0.10869565217391304,0.7041958041958042,0.0946344756583106,,,,
valence,face,46,0.577142627940851,0.5817991730491731,0.5359018187694657,15,0.32608695652173914,1,0.021739130434782608,0.6583333333333334,0.08670141857133873,,,,
valence,multimodal,46,0.5749385110428824,0.5815834165834166,0.5204112554112554,16,0.34782608695652173,4,0.08695652173913043,0.7075252525252524,0.08337097313417932,,,,
