participant,target,classifier,modality,feature_family,channel_subset,feature_count_request,analysis_tier,available_feature_count,fold,feature_count_resolved,outer_folds,best_parameters,inner_best_balanced_accuracy,selected_feature_names
P01,valence,logreg,face,face_geometry,all_face,all,primary,10,4,all,5,"{""classifier__C"": 0.01, ""classifier__class_weight"": null}",0.5599284158107688,"[""video_irisdo_norm_mean"", ""video_irisdo_norm_std"", ""video_eso_norm_mean"", ""video_eso_norm_std"", ""video_enso_norm_mean"", ""video_enso_norm_std"", ""video_mnso_norm_mean"", ""video_mnso_norm_std"", ""video_mwo_norm_mean"", ""video_mwo_norm_std""]"
P01,valence,logreg,face,face_geometry,all_face,all,primary,10,5,all,5,"{""classifier__C"": 0.01, ""classifier__class_weight"": null}",0.5903516962340492,"[""video_irisdo_norm_mean"", ""video_irisdo_norm_std"", ""video_eso_norm_mean"", ""video_eso_norm_std"", ""video_enso_norm_mean"", ""video_enso_norm_std"", ""video_mnso_norm_mean"", ""video_mnso_norm_std"", ""video_mwo_norm_mean"", ""video_mwo_norm_std""]"
P01,valence,svm,face,face_geometry,all_face,all,primary,10,1,all,5,"{""classifier__C"": 1, ""classifier__class_weight"": ""balanced"", ""classifier__gamma"": 0.01, ""classifier__kernel"": ""rbf""}",0.49861500155617805,"[""video_irisdo_norm_mean"", ""video_irisdo_norm_std"", ""video_eso_norm_mean"", ""video_eso_norm_std"", ""video_enso_norm_mean"", ""video_enso_norm_std"", ""video_mnso_norm_mean"", ""video_mnso_norm_std"", ""video_mwo_norm_mean"", ""video_mwo_norm_std""]"
P01,valence,svm,face,face_geometry,all_face,all,primary,10,2,all,5,"{""classifier__C"": 1, ""classifier__class_weight"": ""balanced"", ""classifier__gamma"": 0.01, ""classifier__kernel"": ""rbf""}",0.5532679738562093,"[""video_irisdo_norm_mean"", ""video_irisdo_norm_std"", ""video_eso_norm_mean"", ""video_eso_norm_std"", ""video_enso_norm_mean"", ""video_enso_norm_std"", ""video_mnso_norm_mean"", ""video_mnso_norm_std"", ""video_mwo_norm_mean"", ""video_mwo_norm_std""]"
P01,valence,svm,face,face_geometry,all_face,all,primary,10,3,all,5,"{""classifier__C"": 1, ""classifier__class_weight"": ""balanced"", ""classifier__gamma"": 0.01, ""classifier__kernel"": ""rbf""}",0.5051042639277933,"[""video_irisdo_norm_mean"", ""video_irisdo_norm_std"", ""video_eso_norm_mean"", ""video_eso_norm_std"", ""video_enso_norm_mean"", ""video_enso_norm_std"", ""video_mnso_norm_mean"", ""video_mnso_norm_std"", ""video_mwo_norm_mean"", ""video_mwo_norm_std""]"
P01,valence,svm,face,face_geometry,all_face,all,primary,10,4,all,5,"{""classifier__C"": 1, ""classifier__class_weight"": ""balanced"", ""classifier__gamma"": 0.01, ""classifier__kernel"": ""rbf""}",0.5387332710862123,"[""video_irisdo_norm_mean"", ""video_irisdo_norm_std"", ""video_eso_norm_mean"", ""video_eso_norm_std"", ""video_enso_norm_mean"", ""video_enso_norm_std"", ""video_mnso_norm_mean"", ""video_mnso_norm_std"", ""video_mwo_norm_mean"", ""video_mwo_norm_std""]"
P01,valence,svm,face,face_geometry,all_face,all,primary,10,5,all,5,"{""classifier__C"": 1, ""classifier__class_weight"": ""balanced"", ""classifier__gamma"": 0.01, ""classifier__kernel"": ""rbf""}",0.5746809835045129,"[""video_irisdo_norm_mean"", ""video_irisdo_norm_std"", ""video_eso_norm_mean"", ""video_eso_norm_std"", ""video_enso_norm_mean"", ""video_enso_norm_std"", ""video_mnso_norm_mean"", ""video_mnso_norm_std"", ""video_mwo_norm_mean"", ""video_mwo_norm_std""]"
P01,valence,gnb,face,face_geometry,all_face,all,primary,10,1,all,5,"{""classifier__var_smoothing"": 1e-11}",0.4798941798941798,"[""video_irisdo_norm_mean"", ""video_irisdo_norm_std"", ""video_eso_norm_mean"", ""video_eso_norm_std"", ""video_enso_norm_mean"", ""video_enso_norm_std"", ""video_mnso_norm_mean"", ""video_mnso_norm_std"", ""video_mwo_norm_mean"", ""video_mwo_norm_std""]"
P01,valence,gnb,face,face_geometry,all_face,all,primary,10,2,all,5,"{""classifier__var_smoothing"": 1e-11}",0.5588390911920323,"[""video_irisdo_norm_mean"", ""video_irisdo_norm_std"", ""video_eso_norm_mean"", ""video_eso_norm_std"", ""video_enso_norm_mean"", ""video_enso_norm_std"", ""video_mnso_norm_mean"", ""video_mnso_norm_std"", ""video_mwo_norm_mean"", ""video_mwo_norm_std""]"
P01,valence,gnb,face,face_geometry,all_face,all,primary,10,3,all,5,"{""classifier__var_smoothing"": 1e-11}",0.4736227824463118,"[""video_irisdo_norm_mean"", ""video_irisdo_norm_std"", ""video_eso_norm_mean"", ""video_eso_norm_std"", ""video_enso_norm_mean"", ""video_enso_norm_std"", ""video_mnso_norm_mean"", ""video_mnso_norm_std"", ""video_mwo_norm_mean"", ""video_mwo_norm_std""]"
P01,valence,gnb,face,face_geometry,all_face,all,primary,10,4,all,5,"{""classifier__var_smoothing"": 1e-11}",0.5445689386865857,"[""video_irisdo_norm_mean"", ""video_irisdo_norm_std"", ""video_eso_norm_mean"", ""video_eso_norm_std"", ""video_enso_norm_mean"", ""video_enso_norm_std"", ""video_mnso_norm_mean"", ""video_mnso_norm_std"", ""video_mwo_norm_mean"", ""video_mwo_norm_std""]"
P01,valence,gnb,face,face_geometry,all_face,all,primary,10,5,all,5,"{""classifier__var_smoothing"": 1e-11}",0.5720510426392779,"[""video_irisdo_norm_mean"", ""video_irisdo_norm_std"", ""video_eso_norm_mean"", ""video_eso_norm_std"", ""video_enso_norm_mean"", ""video_enso_norm_std"", ""video_mnso_norm_mean"", ""video_mnso_norm_std"", ""video_mwo_norm_mean"", ""video_mwo_norm_std""]"
P01,valence,logreg,multimodal,all_eeg_plus_face,all_channels,5,primary,130,1,5,5,"{""classifier__C"": 0.1, ""classifier__class_weight"": null}",0.4662114845938375,"[""eeg_sd__C3"", ""eeg_bp_theta__C3"", ""eeg_bp_beta__C3"", ""video_eso_norm_std"", ""video_mwo_norm_std""]"
P01,valence,logreg,multimodal,all_eeg_plus_face,all_channels,5,primary,130,2,5,5,"{""classifier__C"": 1, ""classifier__class_weight"": ""balanced""}",0.5486694677871148,"[""eeg_hc__Oz"", ""eeg_se_theta__Cz"", ""eeg_bp_alpha__C3"", ""eeg_bp_beta__C3"", ""video_irisdo_norm_mean""]"
P01,valence,logreg,multimodal,all_eeg_plus_face,all_channels,5,primary,130,3,5,5,"{""classifier__C"": 0.1, ""classifier__class_weight"": null}",0.49231711915535437,"[""eeg_mf_hz__PO7"", ""eeg_bp_theta__C3"", ""eeg_bp_beta__C3"", ""video_eso_norm_std"", ""video_mwo_norm_std""]"
P01,valence,logreg,multimodal,all_eeg_plus_face,all_channels,5,primary,130,4,5,5,"{""classifier__C"": 0.1, ""classifier__class_weight"": null}",0.46557853910795083,"[""eeg_sd__C3"", ""eeg_hm__Oz"", ""eeg_hc__Oz"", ""eeg_bp_theta__C3"", ""eeg_bp_beta__C3""]"
