condition,model_id,task,feature_group,window_count,median_nearest_image_distance,iqr_nearest_image_distance,fraction_windows_with_outside,fraction_feature_values_outside,median_abs_image_z,maximum_abs_image_z
no-ICA,valence__eeg__svm__all,pick_place,all_selected,41,12.113933215773969,2.4181212280184248,1.0,0.07540650406504065,0.8158028459325082,41000.32438572155
no-ICA,valence__eeg__svm__all,shape_sorter_alone,all_selected,29,15.903072378183525,30.537909868689212,0.9655172413793104,0.10373563218390805,0.7931264152464963,37061.36667455041
no-ICA,valence__eeg__svm__all,shape_sorter_interaction,all_selected,95,13.222404238729938,4.6539825582834595,0.9894736842105263,0.07447368421052632,0.8122133420571725,44984.095206517675
no-ICA,valence__eeg__svm__all,shape_sorter_observation,all_selected,60,12.19830576432615,2.145156309297235,0.9833333333333333,0.06624999999999999,0.8188470304096244,40013.991027555756
no-ICA,valence__eeg__svm__all,sisyphus,all_selected,127,15.972613408783255,45.44338356625721,1.0,0.13713910761154857,0.9207863556101091,44400.318170543935
no-ICA,valence__eeg__svm__all,stack,all_selected,70,12.01583211891062,2.2983228041918338,0.9714285714285714,0.07642857142857144,0.8586585832765934,62120.094648971746
no-ICA,valence__multimodal__svm__10,pick_place,all_selected,35,2.243154978082672,0.8561883155576362,0.2857142857142857,0.03428571428571429,0.7562670146822987,4.069220439056391
no-ICA,valence__multimodal__svm__10,shape_sorter_alone,all_selected,12,2.3082299100145387,1.4640532009636256,0.5833333333333334,0.05833333333333333,0.941125234973069,18.99317353020652
no-ICA,valence__multimodal__svm__10,shape_sorter_interaction,all_selected,87,2.557878378932879,1.049677310785885,0.367816091954023,0.055172413793103434,0.874925857301285,14.011776213807668
no-ICA,valence__multimodal__svm__10,shape_sorter_observation,all_selected,53,2.338801820643034,0.7693320642085633,0.33962264150943394,0.041509433962264156,0.7585543899099367,6.980738685949074
no-ICA,valence__multimodal__svm__10,sisyphus,all_selected,120,3.0862197641019478,3.649421517156027,0.6333333333333333,0.16916666666666672,0.9704045593895108,368.44617878644476
no-ICA,valence__multimodal__svm__10,stack,all_selected,64,2.2455086999659644,0.6824518553478898,0.25,0.028125000000000004,0.8474634133942196,8.238729579243579
no-ICA,valence__multimodal__svm__10,pick_place,eeg_selected,35,2.243154978082672,0.8561883155576362,0.2857142857142857,0.03428571428571429,0.7562670146822987,4.069220439056391
no-ICA,valence__multimodal__svm__10,shape_sorter_alone,eeg_selected,12,2.3082299100145387,1.4640532009636256,0.5833333333333334,0.05833333333333333,0.941125234973069,18.99317353020652
no-ICA,valence__multimodal__svm__10,shape_sorter_interaction,eeg_selected,87,2.557878378932879,1.049677310785885,0.367816091954023,0.055172413793103434,0.874925857301285,14.011776213807668
no-ICA,valence__multimodal__svm__10,shape_sorter_observation,eeg_selected,53,2.338801820643034,0.7693320642085633,0.33962264150943394,0.041509433962264156,0.7585543899099367,6.980738685949074
no-ICA,valence__multimodal__svm__10,sisyphus,eeg_selected,120,3.0862197641019478,3.649421517156027,0.6333333333333333,0.16916666666666672,0.9704045593895108,368.44617878644476
no-ICA,valence__multimodal__svm__10,stack,eeg_selected,64,2.2455086999659644,0.6824518553478898,0.25,0.028125000000000004,0.8474634133942196,8.238729579243579
no-ICA,valence__eeg__svm__20,pick_place,all_selected,41,3.6985588514019447,1.7655567492341717,0.4634146341463415,0.06951219512195123,0.8238136911913103,41000.32438572155
no-ICA,valence__eeg__svm__20,shape_sorter_alone,all_selected,29,4.208615635197467,3.8426396418601763,0.5517241379310345,0.08448275862068964,0.8094576780887708,37061.36667455041
no-ICA,valence__eeg__svm__20,shape_sorter_interaction,all_selected,95,4.231234831539147,2.0349102703691604,0.5894736842105263,0.07894736842105263,0.804214511686334,44984.095206517675
no-ICA,valence__eeg__svm__20,shape_sorter_observation,all_selected,60,3.7486615294718795,1.055074488625272,0.48333333333333334,0.05666666666666666,0.7480722921318057,40013.991027555756
no-ICA,valence__eeg__svm__20,sisyphus,all_selected,127,5.000428410388915,11.36376716936578,0.8267716535433071,0.17204724409448824,0.9435487242329927,44400.318170543935
no-ICA,valence__eeg__svm__20,stack,all_selected,70,4.083373614281938,1.1624574608346454,0.6142857142857143,0.0735714285714286,0.8860945868618106,62120.094648971746
no-ICA,arousal__multimodal__knn__5,pick_place,all_selected,35,0.834833751316019,0.6234220711378258,0.08571428571428572,0.017142857142857144,0.6233862076712421,5.907431658229543
no-ICA,arousal__multimodal__knn__5,shape_sorter_alone,all_selected,12,2.9332741799020647,18.798218756206133,0.5833333333333334,0.1666666666666667,0.8736221222944968,65.98690734696649
no-ICA,arousal__multimodal__knn__5,shape_sorter_interaction,all_selected,87,1.1093912636406356,0.7565118483166053,0.26436781609195403,0.055172413793103454,0.5886830198025913,15.17873410446617
no-ICA,arousal__multimodal__knn__5,shape_sorter_observation,all_selected,53,0.7204041788974874,0.31288786450949013,0.03773584905660377,0.011320754716981133,0.710937481266725,6.697547930713108
no-ICA,arousal__multimodal__knn__5,sisyphus,all_selected,120,1.6509837822216717,7.691104638627066,0.4583333333333333,0.155,0.7215106858880604,918.112034870664
no-ICA,arousal__multimodal__knn__5,stack,all_selected,64,0.8394425980939376,0.5158410704363794,0.046875,0.009375000000000001,0.7362278405555394,4.819295247110673
no-ICA,arousal__multimodal__knn__5,pick_place,eeg_selected,35,0.834833751316019,0.6234220711378258,0.08571428571428572,0.02142857142857143,0.6442721233943696,5.907431658229543
no-ICA,arousal__multimodal__knn__5,shape_sorter_alone,eeg_selected,12,2.9332741799020647,18.798218756206133,0.5833333333333334,0.20833333333333334,0.9902599960111425,65.98690734696649
no-ICA,arousal__multimodal__knn__5,shape_sorter_interaction,eeg_selected,87,1.1093912636406356,0.7565118483166053,0.26436781609195403,0.06896551724137931,0.6691383260222186,15.17873410446617
no-ICA,arousal__multimodal__knn__5,shape_sorter_observation,eeg_selected,53,0.7204041788974874,0.31288786450949013,0.03773584905660377,0.014150943396226415,0.7071086067360848,6.697547930713108
no-ICA,arousal__multimodal__knn__5,sisyphus,eeg_selected,120,1.6509837822216717,7.691104638627066,0.4583333333333333,0.19375,0.9913456233562677,918.112034870664
no-ICA,arousal__multimodal__knn__5,stack,eeg_selected,64,0.8394425980939376,0.5158410704363794,0.046875,0.01171875,0.7886447934805996,4.819295247110673
no-ICA,arousal__multimodal__knn__5,pick_place,face_selected,35,0.834833751316019,0.6234220711378258,0.0,0.0,0.4459147798453216,1.337966238900277
no-ICA,arousal__multimodal__knn__5,shape_sorter_alone,face_selected,12,2.9332741799020647,18.798218756206133,0.0,0.0,0.38950145505930034,1.0393006278818995
no-ICA,arousal__multimodal__knn__5,shape_sorter_interaction,face_selected,87,1.1093912636406356,0.7565118483166053,0.0,0.0,0.3819727122047537,1.544454981200337
no-ICA,arousal__multimodal__knn__5,shape_sorter_observation,face_selected,53,0.7204041788974874,0.31288786450949013,0.0,0.0,0.3905142783050983,1.6682431482934488
no-ICA,arousal__multimodal__knn__5,sisyphus,face_selected,120,1.6509837822216717,7.691104638627066,0.0,0.0,0.37114539628269017,2.2313897950465207
no-ICA,arousal__multimodal__knn__5,stack,face_selected,64,0.8394425980939376,0.5158410704363794,0.0,0.0,0.4183420041753332,2.282218874965917
no-ICA,arousal__multimodal__gnb__10,pick_place,all_selected,35,2.215696728393886,0.6504333466178656,0.22857142857142856,0.022857142857142857,0.6654360338594313,5.907431658229543
no-ICA,arousal__multimodal__gnb__10,shape_sorter_alone,all_selected,12,5.597665271394172,17.075936074202133,0.75,0.15,0.9064447794048411,65.98690734696649
