participant,target,outer_fold,outer_folds,outer_train_size,outer_test_size,low_count,high_count,selected_classifier,selected_feature_family,selected_channel_subset,selected_feature_count_request,selected_threshold,source_trial_index,true_label,probability_high,fixed_threshold_prediction,optimized_threshold_prediction
P31,arousal,1,5,95,24,61,58,logreg,paper_compact,frontal_central,10,0.5,0,1,0.5434582928350943,1,1
P31,arousal,1,5,95,24,61,58,logreg,paper_compact,frontal_central,10,0.5,1,1,0.47761059842429987,0,0
P31,arousal,1,5,95,24,61,58,logreg,paper_compact,frontal_central,10,0.5,8,0,0.37624604483165275,0,0
P31,arousal,1,5,95,24,61,58,logreg,paper_compact,frontal_central,10,0.5,22,0,0.5659769474507229,1,1
P31,arousal,1,5,95,24,61,58,logreg,paper_compact,frontal_central,10,0.5,24,1,0.30397202475952184,0,0
P31,arousal,1,5,95,24,61,58,logreg,paper_compact,frontal_central,10,0.5,26,0,0.5884181044414217,1,1
P31,arousal,1,5,95,24,61,58,logreg,paper_compact,frontal_central,10,0.5,30,0,0.7182361463130499,1,1
P31,arousal,1,5,95,24,61,58,logreg,paper_compact,frontal_central,10,0.5,33,1,0.43638703447266813,0,0
P31,arousal,1,5,95,24,61,58,logreg,paper_compact,frontal_central,10,0.5,36,1,0.4499429714502874,0,0
P31,arousal,1,5,95,24,61,58,logreg,paper_compact,frontal_central,10,0.5,37,0,0.4391107824782165,0,0
P31,arousal,1,5,95,24,61,58,logreg,paper_compact,frontal_central,10,0.5,38,1,0.379832908755057,0,0
P31,arousal,1,5,95,24,61,58,logreg,paper_compact,frontal_central,10,0.5,45,0,0.5708119779133908,1,1
P31,arousal,1,5,95,24,61,58,logreg,paper_compact,frontal_central,10,0.5,51,1,0.7220288254266777,1,1
P31,arousal,1,5,95,24,61,58,logreg,paper_compact,frontal_central,10,0.5,67,1,0.44958063012369875,0,0
P31,arousal,1,5,95,24,61,58,logreg,paper_compact,frontal_central,10,0.5,80,1,0.3451199537184875,0,0
P31,arousal,1,5,95,24,61,58,logreg,paper_compact,frontal_central,10,0.5,82,1,0.634765762637085,1,1
P31,arousal,1,5,95,24,61,58,logreg,paper_compact,frontal_central,10,0.5,83,0,0.5848615401237915,1,1
P31,arousal,1,5,95,24,61,58,logreg,paper_compact,frontal_central,10,0.5,93,1,0.4392298663368715,0,0
P31,arousal,1,5,95,24,61,58,logreg,paper_compact,frontal_central,10,0.5,98,0,0.5488716543861626,1,1
P31,arousal,1,5,95,24,61,58,logreg,paper_compact,frontal_central,10,0.5,99,0,0.5444318857475163,1,1
P31,arousal,1,5,95,24,61,58,logreg,paper_compact,frontal_central,10,0.5,101,0,0.4981754560015187,0,0
P31,arousal,1,5,95,24,61,58,logreg,paper_compact,frontal_central,10,0.5,104,1,0.5679650632591278,1,1
P31,arousal,1,5,95,24,61,58,logreg,paper_compact,frontal_central,10,0.5,114,0,0.29823481491648635,0,0
P31,arousal,1,5,95,24,61,58,logreg,paper_compact,frontal_central,10,0.5,116,0,0.46907103933232924,0,0
P31,arousal,2,5,95,24,61,58,svm,paper_compact,all_channels,10,0.5,5,0,0.5833300487325033,1,1
P31,arousal,2,5,95,24,61,58,svm,paper_compact,all_channels,10,0.5,9,1,0.5868894089450984,1,1
P31,arousal,2,5,95,24,61,58,svm,paper_compact,all_channels,10,0.5,10,0,0.583931390197156,1,1
P31,arousal,2,5,95,24,61,58,svm,paper_compact,all_channels,10,0.5,14,0,0.5896781621890637,1,1
P31,arousal,2,5,95,24,61,58,svm,paper_compact,all_channels,10,0.5,19,1,0.5993349422065186,1,1
P31,arousal,2,5,95,24,61,58,svm,paper_compact,all_channels,10,0.5,35,1,0.5996346610561871,1,1
P31,arousal,2,5,95,24,61,58,svm,paper_compact,all_channels,10,0.5,40,1,0.6128922737228245,1,1
P31,arousal,2,5,95,24,61,58,svm,paper_compact,all_channels,10,0.5,50,1,0.5985702131338833,1,1
P31,arousal,2,5,95,24,61,58,svm,paper_compact,all_channels,10,0.5,53,0,0.5934879518375566,1,1
P31,arousal,2,5,95,24,61,58,svm,paper_compact,all_channels,10,0.5,59,1,0.5884019682994769,1,1
P31,arousal,2,5,95,24,61,58,svm,paper_compact,all_channels,10,0.5,60,0,0.6113206033134475,1,1
P31,arousal,2,5,95,24,61,58,svm,paper_compact,all_channels,10,0.5,64,0,0.6273876674105998,1,1
P31,arousal,2,5,95,24,61,58,svm,paper_compact,all_channels,10,0.5,66,0,0.587331113977729,1,1
P31,arousal,2,5,95,24,61,58,svm,paper_compact,all_channels,10,0.5,68,0,0.6018212587906274,1,1
