analysis_type,branch,outcome,predictor,n_task_cases,n_participants,coefficient_per_1sd,odds_ratio_per_1sd,coefficient_ci_95_low,coefficient_ci_95_high,p_value_bootstrap_sign,spearman_rho,p_value_raw,target,task,p_value_fdr_bh
within_task_target_spearman_descriptive,eeg_only,correct,median_abs_image_z,42.0,42,,,,,,-0.29661432657235587,0.05646338194001061,arousal,sisyphus,
within_task_target_spearman_descriptive,eeg_only,correct,nearest_image_distance,44.0,44,,,,,,-0.1952868837222659,0.20395376501838408,arousal,shape_sorter_interaction,
within_task_target_spearman_descriptive,eeg_only,correct,outside_selected_fraction,44.0,44,,,,,,-0.20961986601380836,0.17204575889879592,arousal,shape_sorter_interaction,
within_task_target_spearman_descriptive,eeg_only,correct,median_abs_image_z,44.0,44,,,,,,-0.2454523217426645,0.10828482598238373,arousal,shape_sorter_interaction,
within_task_target_spearman_descriptive,eeg_only,correct,nearest_image_distance,44.0,44,,,,,,-0.0644317552602129,0.6777610952985555,arousal,shape_sorter_alone,
within_task_target_spearman_descriptive,eeg_only,correct,outside_selected_fraction,44.0,44,,,,,,-0.060852213301312186,0.6947689198946059,arousal,shape_sorter_alone,
within_task_target_spearman_descriptive,eeg_only,correct,median_abs_image_z,44.0,44,,,,,,-0.10738625876702151,0.4877927570329037,arousal,shape_sorter_alone,
participant_cluster_bootstrap_logistic_adjusted_task_target,modality_agnostic,correct,nearest_image_distance,536.0,46,-0.1137867007456654,0.8924482941378545,-0.35093515031209416,0.09240768141757921,0.19801980198019803,,,,,0.5940594059405941
participant_cluster_bootstrap_logistic_adjusted_task_target,modality_agnostic,correct,outside_selected_fraction,536.0,46,-0.019299615700347834,0.9808854295366465,-0.2622966951208652,0.15947005537576728,0.7128712871287128,,,,,0.712871287128713
participant_cluster_bootstrap_logistic_adjusted_task_target,modality_agnostic,correct,median_abs_image_z,536.0,46,-0.13750562055081275,0.8715294515078248,-0.4803395928690351,0.12173998325612144,0.39603960396039606,,,,,0.5940594059405941
participant_mean_spearman,modality_agnostic,absolute_margin,nearest_image_distance,,46,,,,,,0.3707061362935553,0.011208362319660657,,,
participant_mean_spearman,modality_agnostic,unanimous_agreement,nearest_image_distance,,46,,,,,,-0.19617637989515882,0.1913299309845883,,,
participant_mean_spearman,modality_agnostic,probability_range,nearest_image_distance,,46,,,,,,0.2844896700585877,0.05533902308719518,,,
participant_mean_spearman,modality_agnostic,absolute_margin,outside_selected_fraction,,46,,,,,,0.23564600678384212,0.1149020312909497,,,
participant_mean_spearman,modality_agnostic,unanimous_agreement,outside_selected_fraction,,46,,,,,,-0.23293246993524513,0.11926576407189449,,,
participant_mean_spearman,modality_agnostic,probability_range,outside_selected_fraction,,46,,,,,,0.31063829787234043,0.03562680634675094,,,
