target,model_rank,participant,task,segment_id,window_id,window_start_s,window_end_s,nearest_image_distance,outside_selected_count,outside_selected_fraction,median_abs_image_z,max_abs_image_z
arousal,1,P27,pick_place,1,pick_place_s1_40.000,40.0,42.0,4.879580424271271,3,0.3,1.1361297199358924,4.467999799673382
arousal,1,P27,shape_sorter_alone,1,shape_sorter_alone_s1_0.000,0.0,2.0,1769.6868080943796,6,0.6,5.866288170362392,1773.0300220084441
arousal,1,P27,shape_sorter_alone,1,shape_sorter_alone_s1_1.000,1.0,3.0,85.14326929684213,6,0.6,5.447382801578534,85.53538502785811
arousal,1,P27,shape_sorter_alone,1,shape_sorter_alone_s1_2.000,2.0,4.0,7.644188404403066,4,0.4,2.117358041289307,6.833216724667799
arousal,1,P27,shape_sorter_alone,1,shape_sorter_alone_s1_3.000,3.0,5.0,6.01798979053837,2,0.2,1.4987884281735564,4.604673338203443
arousal,1,P27,shape_sorter_alone,1,shape_sorter_alone_s1_4.000,4.0,6.0,2.8103235661302595,0,0.0,0.9696138261136888,2.7444466139533326
arousal,1,P27,shape_sorter_alone,1,shape_sorter_alone_s1_5.000,5.0,7.0,4.678493579154099,2,0.2,0.607376671246282,5.707152571565773
arousal,1,P27,shape_sorter_alone,1,shape_sorter_alone_s1_6.000,6.0,8.0,3.7687610009176797,1,0.1,0.8615371235624593,5.464196016648662
arousal,1,P27,shape_sorter_alone,1,shape_sorter_alone_s1_7.000,7.0,9.0,4.350577508414041,1,0.1,0.9235745563520557,5.907122843893545
arousal,1,P27,shape_sorter_alone,1,shape_sorter_alone_s1_8.000,8.0,10.0,3.2431379211299793,1,0.1,0.5869048622363479,4.030704636362984
arousal,1,P27,shape_sorter_alone,1,shape_sorter_alone_s1_9.000,9.0,11.0,4.823404714760586,1,0.1,0.8835676838227051,6.990195894395927
arousal,1,P27,shape_sorter_alone,1,shape_sorter_alone_s1_10.000,10.0,12.0,41.53351220312883,6,0.6,3.712908332987221,38.9311239249542
arousal,1,P27,shape_sorter_alone,1,shape_sorter_alone_s1_11.000,11.0,13.0,101.94754858482491,7,0.7,10.891621674568427,74.41304391823738
arousal,1,P27,shape_sorter_alone,1,shape_sorter_alone_s1_12.000,12.0,14.0,11.712176181897444,3,0.3,1.5218294304961502,9.616082928314952
arousal,1,P27,shape_sorter_alone,1,shape_sorter_alone_s1_13.000,13.0,15.0,2.537569393792968,0,0.0,0.883518179200788,2.326668524825785
arousal,1,P27,shape_sorter_alone,1,shape_sorter_alone_s1_14.000,14.0,16.0,5.968177462586677,3,0.3,0.5838204903083175,6.116554600568284
arousal,1,P27,shape_sorter_alone,1,shape_sorter_alone_s1_15.000,15.0,17.0,5.931216740120675,3,0.3,0.48908720786165927,6.951307534473205
arousal,1,P27,shape_sorter_alone,1,shape_sorter_alone_s1_16.000,16.0,18.0,7.436466080347208,3,0.3,1.6804792134147521,6.81969106094721
arousal,1,P27,shape_sorter_alone,1,shape_sorter_alone_s1_17.000,17.0,19.0,64.61649812437132,8,0.8,6.921916547850441,44.92788680730701
arousal,1,P27,shape_sorter_alone,1,shape_sorter_alone_s1_18.000,18.0,20.0,63.63514478329948,6,0.6,5.748886733905906,46.66026312520741
arousal,1,P27,shape_sorter_alone,1,shape_sorter_alone_s1_19.000,19.0,21.0,14.53504835262175,2,0.2,0.8971108754001775,16.29273992266331
arousal,1,P27,shape_sorter_alone,1,shape_sorter_alone_s1_20.000,20.0,22.0,5.42357289441046,3,0.3,0.8848876415185737,7.594159744507685
arousal,1,P27,shape_sorter_alone,1,shape_sorter_alone_s1_21.000,21.0,23.0,6.956817460425635,3,0.3,0.885920511212084,7.071840170578716
arousal,1,P27,shape_sorter_alone,1,shape_sorter_alone_s1_22.000,22.0,24.0,12.961519048123632,3,0.3,1.8055378683350782,11.05566745173581
arousal,1,P27,shape_sorter_alone,1,shape_sorter_alone_s1_23.000,23.0,25.0,6.552796292553415,2,0.2,1.004009120451773,7.721294651848666
arousal,1,P27,shape_sorter_alone,1,shape_sorter_alone_s1_24.000,24.0,26.0,7.305861896775233,2,0.2,0.9141222164662057,8.384504611663855
arousal,1,P27,shape_sorter_alone,1,shape_sorter_alone_s1_25.000,25.0,27.0,38.44892640623576,5,0.5,3.3951416956135856,33.16590610539665
arousal,1,P27,shape_sorter_alone,1,shape_sorter_alone_s1_26.000,26.0,28.0,55.98826697880472,6,0.6,5.8753525816024155,50.25852967433491
arousal,1,P27,shape_sorter_alone,1,shape_sorter_alone_s1_27.000,27.0,29.0,17.593778146452586,4,0.4,2.7034998318230077,15.023730607676358
arousal,1,P27,shape_sorter_alone,1,shape_sorter_alone_s1_28.000,28.0,30.0,14.865713037780798,5,0.5,3.154464788560295,13.780778609829243
arousal,1,P27,shape_sorter_interaction,1,shape_sorter_interaction_s1_0.000,0.0,2.0,1839.6083396557506,5,0.5,2.3587266265021203,1842.9386163053705
arousal,1,P27,shape_sorter_interaction,1,shape_sorter_interaction_s1_1.000,1.0,3.0,94.98614082530898,5,0.5,4.642593111696176,95.21437519862198
arousal,1,P27,shape_sorter_interaction,1,shape_sorter_interaction_s1_2.000,2.0,4.0,14.48321799361361,5,0.5,2.526002643413946,12.256385529301461
arousal,1,P27,shape_sorter_interaction,1,shape_sorter_interaction_s1_3.000,3.0,5.0,12.537409032236335,2,0.2,0.8163795318590701,13.842224622259264
arousal,1,P27,shape_sorter_interaction,1,shape_sorter_interaction_s1_4.000,4.0,6.0,11.919666328327697,4,0.4,2.534854024475216,9.379998200768195
arousal,1,P27,shape_sorter_interaction,1,shape_sorter_interaction_s1_5.000,5.0,7.0,14.24500057948297,5,0.5,3.021454725027424,10.581759115229175
arousal,1,P27,shape_sorter_interaction,1,shape_sorter_interaction_s1_6.000,6.0,8.0,22.105574275998162,3,0.3,1.5768751060414752,22.084134239399123
arousal,1,P27,shape_sorter_interaction,1,shape_sorter_interaction_s1_7.000,7.0,9.0,5.173413022774128,2,0.2,0.8690847001359363,5.95386846258562
arousal,1,P27,shape_sorter_interaction,1,shape_sorter_interaction_s1_8.000,8.0,10.0,3.068023700763474,1,0.1,0.6997428181059708,2.5992138068120756
arousal,1,P27,shape_sorter_interaction,1,shape_sorter_interaction_s1_9.000,9.0,11.0,4.179766848364069,1,0.1,0.7668486134354946,3.6212284897972324
arousal,1,P27,shape_sorter_interaction,1,shape_sorter_interaction_s1_10.000,10.0,12.0,4.339315262226801,1,0.1,0.4882447054925599,5.257890611683049
arousal,1,P27,shape_sorter_interaction,1,shape_sorter_interaction_s1_11.000,11.0,13.0,5.114138201081366,1,0.1,0.807538613110087,5.770659563462748
arousal,1,P27,shape_sorter_interaction,1,shape_sorter_interaction_s1_12.000,12.0,14.0,4.703730942066685,1,0.1,1.0093130854786692,5.433782300916845
arousal,1,P27,shape_sorter_interaction,1,shape_sorter_interaction_s1_13.000,13.0,15.0,7.312437627124548,1,0.1,0.7415021032659477,8.972603778936277
arousal,1,P27,shape_sorter_interaction,1,shape_sorter_interaction_s1_14.000,14.0,16.0,6.187797157742626,2,0.2,0.8434669263446831,7.027158793789391
arousal,1,P27,shape_sorter_interaction,1,shape_sorter_interaction_s1_15.000,15.0,17.0,11.179359851834866,2,0.2,0.9313467941991618,12.583352660494524
arousal,1,P27,shape_sorter_interaction,1,shape_sorter_interaction_s1_16.000,16.0,18.0,7.2629944392876356,1,0.1,1.065391452356971,8.360811756964798
arousal,1,P27,shape_sorter_interaction,1,shape_sorter_interaction_s1_17.000,17.0,19.0,3.822930688043511,1,0.1,1.2020917652352838,4.350120551819983
arousal,1,P27,shape_sorter_interaction,1,shape_sorter_interaction_s1_18.000,18.0,20.0,3.5725032553072595,0,0.0,0.8968573729095037,3.5107521670940707
arousal,1,P27,shape_sorter_interaction,1,shape_sorter_interaction_s1_19.000,19.0,21.0,3.469424439298009,0,0.0,1.1102972595248162,2.6700607336518285
arousal,1,P27,shape_sorter_interaction,1,shape_sorter_interaction_s1_20.000,20.0,22.0,2.6007527388328704,0,0.0,0.9091528837780147,2.037629860595976
arousal,1,P27,shape_sorter_interaction,1,shape_sorter_interaction_s1_21.000,21.0,23.0,4.061209116430678,0,0.0,1.5186262655726706,3.799785979654284
arousal,1,P27,shape_sorter_interaction,1,shape_sorter_interaction_s1_22.000,22.0,24.0,5.3279845259859835,2,0.2,0.9352457141298192,5.569035095207799
arousal,1,P27,shape_sorter_interaction,1,shape_sorter_interaction_s1_23.000,23.0,25.0,3.4372269624638028,0,0.0,0.728367661048712,3.927436829487883
arousal,1,P27,shape_sorter_interaction,1,shape_sorter_interaction_s1_24.000,24.0,26.0,1.8583134959305723,0,0.0,0.5522664251266615,2.072343991885888
arousal,1,P27,shape_sorter_interaction,1,shape_sorter_interaction_s1_25.000,25.0,27.0,3.3561969218493495,0,0.0,0.6427143568117295,3.4391023355636703
arousal,1,P27,shape_sorter_interaction,1,shape_sorter_interaction_s1_26.000,26.0,28.0,3.831778298180239,2,0.2,0.8878930000897373,4.006643024481046
arousal,1,P27,shape_sorter_interaction,1,shape_sorter_interaction_s1_27.000,27.0,29.0,10.495707227795895,3,0.3,0.9993989842806428,8.824932332334274
arousal,1,P27,shape_sorter_interaction,1,shape_sorter_interaction_s1_28.000,28.0,30.0,28.025281242818366,5,0.5,3.6509118661548055,24.420267884227137
arousal,1,P27,shape_sorter_interaction,1,shape_sorter_interaction_s1_29.000,29.0,31.0,9.207541800545975,2,0.2,1.7427246513046568,10.087292212854418
arousal,1,P27,shape_sorter_interaction,1,shape_sorter_interaction_s1_30.000,30.0,32.0,14.221636690631776,3,0.3,1.7139458399624878,10.59731383874442
arousal,1,P27,shape_sorter_interaction,1,shape_sorter_interaction_s1_31.000,31.0,33.0,6.199862847018471,2,0.2,1.3741390233430215,6.218021807767855
arousal,1,P27,shape_sorter_interaction,1,shape_sorter_interaction_s1_32.000,32.0,34.0,5.051840681847343,1,0.1,0.5018425847819994,6.63586253376782
arousal,1,P27,shape_sorter_interaction,1,shape_sorter_interaction_s1_33.000,33.0,35.0,4.242354068988989,1,0.1,0.8327352429198304,5.3181833669871
arousal,1,P27,shape_sorter_interaction,1,shape_sorter_interaction_s1_34.000,34.0,36.0,4.773628351127127,2,0.2,0.6434477584706128,4.843315576938075
arousal,1,P27,shape_sorter_interaction,1,shape_sorter_interaction_s1_35.000,35.0,37.0,3.463907783222721,1,0.1,1.0527695152208805,3.226031531304768
arousal,1,P27,shape_sorter_interaction,1,shape_sorter_interaction_s1_36.000,36.0,38.0,4.329168173591009,1,0.1,0.8332979626334679,4.335237930807554
arousal,1,P27,shape_sorter_interaction,1,shape_sorter_interaction_s1_37.000,37.0,39.0,5.421963950198355,1,0.1,0.8188753089857917,5.747601140626238
arousal,1,P27,shape_sorter_interaction,1,shape_sorter_interaction_s1_38.000,38.0,40.0,3.664485085556918,0,0.0,1.0791128273569308,3.894677498188996
arousal,1,P27,shape_sorter_interaction,1,shape_sorter_interaction_s1_39.000,39.0,41.0,5.040662948375129,1,0.1,0.9666060836442889,6.152101900480753
arousal,1,P27,shape_sorter_interaction,1,shape_sorter_interaction_s1_40.000,40.0,42.0,8.110532109464076,1,0.1,0.8182713453558674,10.823316213924523
arousal,1,P27,shape_sorter_interaction,1,shape_sorter_interaction_s1_41.000,41.0,43.0,9.093903837194247,2,0.2,1.396135254168112,9.535340694246695
arousal,1,P27,shape_sorter_interaction,1,shape_sorter_interaction_s1_42.000,42.0,44.0,10.329220887201158,2,0.2,1.1357499482166178,12.525411789162211
arousal,1,P27,shape_sorter_interaction,1,shape_sorter_interaction_s1_43.000,43.0,45.0,4.387220192222066,1,0.1,1.0914984213831236,5.0671437998305
arousal,1,P27,shape_sorter_interaction,1,shape_sorter_interaction_s1_44.000,44.0,46.0,3.142462325266025,0,0.0,0.8036752510489755,3.6809551428200176
arousal,1,P27,shape_sorter_interaction,1,shape_sorter_interaction_s1_45.000,45.0,47.0,1.9941710056117947,0,0.0,0.7916597245061363,2.029888072129359
arousal,1,P27,shape_sorter_interaction,1,shape_sorter_interaction_s1_46.000,46.0,48.0,14.435150054003246,2,0.2,1.3377862260159423,15.018268827804388
arousal,1,P27,shape_sorter_interaction,1,shape_sorter_interaction_s1_47.000,47.0,49.0,17.46219019616413,2,0.2,0.95989806972622,18.93899219765976
arousal,1,P27,shape_sorter_interaction,1,shape_sorter_interaction_s1_48.000,48.0,50.0,13.647072378054368,2,0.2,1.5921188421188284,14.010321868031518
arousal,1,P27,shape_sorter_interaction,1,shape_sorter_interaction_s1_49.000,49.0,51.0,9.723448601250304,5,0.5,3.0930983193216686,9.06198254480701
arousal,1,P27,shape_sorter_interaction,1,shape_sorter_interaction_s1_50.000,50.0,52.0,4.31983649447806,2,0.2,1.732204189631743,4.737240576426046
arousal,1,P27,shape_sorter_interaction,1,shape_sorter_interaction_s1_51.000,51.0,53.0,1.5264074528973415,0,0.0,0.5960937201988998,1.8574109495182618
arousal,1,P27,shape_sorter_interaction,1,shape_sorter_interaction_s1_52.000,52.0,54.0,5.147120433587232,2,0.2,0.6477740803012524,6.550803623644572
arousal,1,P27,shape_sorter_interaction,1,shape_sorter_interaction_s1_53.000,53.0,55.0,5.362409197151013,1,0.1,0.8502061181504567,6.346653659963076
arousal,1,P27,shape_sorter_interaction,1,shape_sorter_interaction_s1_54.000,54.0,56.0,5.572383174317033,1,0.1,0.5700161843917948,7.19382498700088
arousal,1,P27,shape_sorter_interaction,1,shape_sorter_interaction_s1_55.000,55.0,57.0,8.978073953411636,4,0.4,1.5520288941467908,7.426628448248306
arousal,1,P27,shape_sorter_interaction,1,shape_sorter_interaction_s1_56.000,56.0,58.0,9.942948343828832,5,0.5,1.8479085042798347,8.674456263583627
arousal,1,P27,shape_sorter_interaction,1,shape_sorter_interaction_s1_57.000,57.0,59.0,6.53931385140656,3,0.3,1.0084330990479153,7.915985861788157
arousal,1,P27,shape_sorter_interaction,1,shape_sorter_interaction_s1_58.000,58.0,60.0,6.7857323136960135,2,0.2,0.8347559059149918,7.187430085241216
arousal,1,P27,shape_sorter_interaction,1,shape_sorter_interaction_s1_59.000,59.0,61.0,6.7522653064667475,3,0.3,1.160546030999043,7.542321106823006
arousal,1,P27,shape_sorter_interaction,1,shape_sorter_interaction_s1_60.000,60.0,62.0,5.638439562812765,3,0.3,1.5232998210673308,4.631048755173018
arousal,1,P27,shape_sorter_interaction,1,shape_sorter_interaction_s1_61.000,61.0,63.0,5.372603273603595,2,0.2,1.2708612960608494,5.391231905748147
arousal,1,P27,shape_sorter_interaction,1,shape_sorter_interaction_s1_62.000,62.0,64.0,3.624161992484882,1,0.1,0.9608212655381219,3.7366607268791063
arousal,1,P27,shape_sorter_interaction,1,shape_sorter_interaction_s1_63.000,63.0,65.0,3.7556468983769653,0,0.0,1.3200200154493973,2.815017456487489
arousal,1,P27,shape_sorter_interaction,1,shape_sorter_interaction_s1_64.000,64.0,66.0,2.729364794629454,1,0.1,0.8770641509630983,1.7988221019665847
arousal,1,P27,shape_sorter_interaction,1,shape_sorter_interaction_s1_65.000,65.0,67.0,2.9634297869499084,1,0.1,0.8834572593190765,2.292261654558391
arousal,1,P27,shape_sorter_interaction,1,shape_sorter_interaction_s1_66.000,66.0,68.0,2.7912887422882626,1,0.1,0.9267036669169372,2.5682695342693003
arousal,1,P27,shape_sorter_interaction,1,shape_sorter_interaction_s1_67.000,67.0,69.0,7.405746635105773,3,0.3,1.4556843410116302,7.474094377793587
arousal,1,P27,shape_sorter_interaction,1,shape_sorter_interaction_s1_68.000,68.0,70.0,7.3137336759794245,2,0.2,1.394493787460733,9.21083687068482
arousal,1,P27,shape_sorter_interaction,1,shape_sorter_interaction_s1_69.000,69.0,71.0,16.3331592486701,5,0.5,3.4624798936691104,14.60587603497674
arousal,1,P27,shape_sorter_interaction,1,shape_sorter_interaction_s1_70.000,70.0,72.0,11.855704831114611,4,0.4,2.0159680995445655,9.742949457422826
arousal,1,P27,shape_sorter_interaction,1,shape_sorter_interaction_s1_71.000,71.0,73.0,4.995543161481752,2,0.2,1.3726016658395748,6.17580621600232
arousal,1,P27,shape_sorter_interaction,1,shape_sorter_interaction_s1_72.000,72.0,74.0,5.448580153529829,2,0.2,0.8227505863943794,6.507633210321188
arousal,1,P27,shape_sorter_interaction,1,shape_sorter_interaction_s1_73.000,73.0,75.0,6.149439705786457,2,0.2,0.9018564091940684,7.054413015510399
arousal,1,P27,shape_sorter_interaction,1,shape_sorter_interaction_s1_74.000,74.0,76.0,9.775616130710656,1,0.1,0.9727658599711009,12.739908036084254
arousal,1,P27,shape_sorter_interaction,1,shape_sorter_interaction_s1_75.000,75.0,77.0,7.469924929095677,1,0.1,0.5684342249324161,9.753217086877541
arousal,1,P27,shape_sorter_interaction,1,shape_sorter_interaction_s1_76.000,76.0,78.0,5.669835280741973,1,0.1,0.6151810351519063,8.370149829298587
arousal,1,P27,shape_sorter_interaction,1,shape_sorter_interaction_s1_77.000,77.0,79.0,3.650520263920793,0,0.0,0.8892711811339287,3.9072753295110485
arousal,1,P27,shape_sorter_interaction,1,shape_sorter_interaction_s1_78.000,78.0,80.0,7.3878339605531576,2,0.2,0.6261419134096251,8.427540713586872
arousal,1,P27,shape_sorter_interaction,1,shape_sorter_interaction_s1_79.000,79.0,81.0,8.083660766976374,1,0.1,1.020693851845535,10.161961359558981
arousal,1,P27,shape_sorter_interaction,1,shape_sorter_interaction_s1_80.000,80.0,82.0,5.67182210037449,2,0.2,0.9333382178642877,4.703160358419185
arousal,1,P27,shape_sorter_interaction,1,shape_sorter_interaction_s1_81.000,81.0,83.0,2.968119384159321,0,0.0,0.9011728228483716,2.6662438759933136
arousal,1,P27,shape_sorter_interaction,1,shape_sorter_interaction_s1_82.000,82.0,84.0,3.27995375589884,1,0.1,0.9086489264926931,3.347237078338283
arousal,1,P27,shape_sorter_interaction,1,shape_sorter_interaction_s1_83.000,83.0,85.0,2.6801539348721506,1,0.1,0.8090661324449546,3.094332496375086
arousal,1,P27,shape_sorter_interaction,1,shape_sorter_interaction_s1_84.000,84.0,86.0,2.4016214268848852,0,0.0,0.7995391070565981,2.6758644776502636
arousal,1,P27,shape_sorter_interaction,1,shape_sorter_interaction_s1_85.000,85.0,87.0,6.435917473051595,2,0.2,0.869441886150948,6.739774401092395
arousal,1,P27,shape_sorter_interaction,1,shape_sorter_interaction_s1_86.000,86.0,88.0,7.898812315390429,2,0.2,1.3218291664568969,8.472760819373207
arousal,1,P27,shape_sorter_interaction,1,shape_sorter_interaction_s1_87.000,87.0,89.0,12.303246759796723,4,0.4,1.6595036757841384,12.133118907802752
arousal,1,P27,shape_sorter_interaction,1,shape_sorter_interaction_s1_88.000,88.0,90.0,19.481455150035142,5,0.5,2.792547415456056,18.242905652816525
arousal,1,P27,shape_sorter_interaction,1,shape_sorter_interaction_s1_89.000,89.0,91.0,11.04106583276978,4,0.4,2.4139253893518537,8.249689107042677
