eeg_se__C3,eeg_hm__C4,eeg_bp_gamma__C4,eeg_bp_gamma__Oz,eeg_se_gamma__C4
4.385800647526783,0.1861339010435075,0.304237029719542,0.4545131940815019,3.047278633901769
4.704019192566289,0.3411400857805768,0.1125183796621944,0.3505772098517459,3.0389950006560484
4.697804356320643,0.3767007536300212,0.2647624183680115,0.5095097069479407,3.098960317333833
4.307139160081504,0.3804071559196839,0.1198224084975766,0.2264181316653698,3.2983692816498795
4.6524943287526375,0.3397252101639649,0.2371533890147331,0.5259608445990098,3.0358580167882216
4.450777613627435,0.3732827633534483,0.2138164007653585,0.4393811046918915,3.3435159212760097
4.589245916133318,0.3417126596429335,0.5661077071042977,0.4011781351297421,3.2816994184613617
4.633169699478136,0.3870037838917046,0.3948597785476322,0.3031296586027799,3.0616767630820743
4.379032858247145,0.3676347933906199,0.1792565879033255,0.3300541978873221,3.178696589568194
4.724211176718173,0.3819235035184855,0.3781838227041382,0.4695327500787962,3.2032708893517423
4.522829886372738,0.3253754891439774,0.144760577523612,0.2345012350477185,3.156638489550774
4.540390141051852,0.3719660917316397,0.3695064456570375,0.2071118204296563,3.1788168804400763
4.719313922159516,0.3623250768561403,0.3617926774918203,0.5321179452686867,3.2504742877395114
4.606529268371663,0.3552072192263479,0.1030855303879083,0.1454531547771297,3.094235919276619
4.514825063472167,0.3154701568334379,0.1727881533733275,0.3008656428435707,2.954463991536759
4.214126210567518,0.3294975952390184,0.1254003691173682,0.5708620787315845,3.180315499456448
4.51740055937219,0.3441420577500151,0.113240651790956,0.2083288106273527,3.01117532038225
4.644424207040919,0.3480935423524534,0.1373229605746588,0.3747512301941037,2.927685754994558
4.330397466025734,0.2971313780290736,0.1275867922642626,0.2229746536096548,2.875815463145836
4.375019818838177,0.3206820992384608,0.2037731185415675,0.2635882197315324,3.396279660659735
4.448754588310125,0.4308075112956777,0.6462585328436187,0.3753440624055447,3.2520939476288584
4.670062567333341,0.3739962853784568,0.6161067334213804,0.3777130426886297,3.3542718068913024
4.291471148366085,0.3377930631278065,0.4977871139869954,0.2245160242826374,3.1081949452820044
4.4813207062620375,0.2924194988369811,0.4404447735407319,0.523050713321579,3.216177407133845
3.570410518116419,0.2362191982064044,0.1839515631684609,0.3240725814974008,3.0998441519696294
4.562270671452155,0.3354892042485499,0.3997364457417346,0.4809920910581242,3.291175141096117
4.452827423718221,0.3796186960595805,0.3167172368703216,0.4110027235905107,2.9070298763444664
4.468192639566807,0.3608912940602563,0.4695108834410287,0.3197761338669501,3.055562417572101
4.503874840031744,0.3738184575244105,0.5351944406856483,0.4954834531418587,3.0469235493600326
4.699480269223542,0.3901044904124446,0.3217988678158128,0.2594123754868642,3.203606430957737
4.482173185200875,0.3665276653350152,0.3340833552412441,0.2962524016933088,3.388114393391455
4.422791884126915,0.3888232282364495,0.6207717024612205,0.4490967231669049,3.193695303104927
4.328649807238922,0.3273645725785956,0.3333507700848399,0.4580744882733275,3.335192157818762
4.348849522199886,0.3321441554022328,0.5797843067791941,0.6362960023630504,3.1958112271071544
4.545928046009059,0.3237654811368871,0.5156594210207818,0.355450781410506,3.0828788525196265
4.434176679097704,0.3318813076381858,0.2699367261374887,0.314836825318307,3.2628297458723456
4.593865495199308,0.4237942450743414,0.548432685631134,0.3316217038920686,3.0629583601897603
4.560605911915163,0.368714111596596,0.2063579900958702,0.3210725168491389,3.1436925377302534
4.705333071096136,0.349104019733111,0.3679033408389798,0.4629792213935712,3.1165169714716416
4.31239373282914,0.3818980582319977,0.2381115025759953,0.2384006666478748,2.850114112308128
4.490563629549637,0.3404873710772003,0.2531523875199157,0.366045722249396,3.1048599334476465
4.527214110931131,0.3587046076808575,0.4386563197588511,0.3728117559193702,3.0700029880294424
3.9772515638524975,0.3722151307540348,0.2476266315798774,0.2163139805521468,3.2782073878575253
4.428337891510525,0.3735234190014039,0.5670265872555312,0.5669021889122636,3.0538928742120053
4.475228618579822,0.303832847313401,0.1087809238506502,0.5504961611640746,3.193093715899185
4.529197100454775,0.3842501609680598,0.2619219959223403,0.2855254807038546,3.036909030204023
4.549405082124157,0.3524608979163507,0.1598628198134076,0.3959710887395502,2.9027128886497677
4.483765575631933,0.3745630169564219,0.3215876641714952,0.3906623751064362,2.839271893532864
4.398428372990904,0.369925743064189,0.3289270255298322,0.3282231115845202,3.2040774423874416
4.655635153768191,0.3554064172773803,0.5028202082797292,0.3632320819481857,3.2124440167051524
4.478426305135779,0.3932354253841148,0.4381334848399085,0.3426769646015282,3.2597765535492105
4.374175074541312,0.3553996637153378,0.4574682394807692,0.2367849178563536,2.9819248962021336
4.683186679015446,0.3334220415755385,0.2189783561184829,0.2609313873563668,3.2737692780844894
4.260074818933539,0.3280299838130207,0.1636605835285298,0.2696480009501483,3.28400368618492
4.137641799614673,0.2955114895559922,0.141593237587486,0.2407118342176385,3.014937382420852
4.437457240201473,0.3168878903086878,0.1046173478707391,0.2698290542561243,3.0197446059076096
4.151517974444968,0.3114615718439645,0.2051363291720668,0.3450967906851572,3.023386686529764
4.770928045658503,0.3385625502785214,0.2117754465271172,0.3168853921462179,2.987501677847611
4.546622165345266,0.3422826950328721,0.2012043666642656,0.3450761184088514,2.927077749227364
4.668189995092652,0.3008090179287493,0.1661049854981471,0.3259314604836503,2.8400866320965346
4.598152977500213,0.3706395656547829,0.156196771689299,0.3394728383083676,2.784733511222764
4.470559282408434,0.2218081954173137,0.3366096360881271,0.2400757481772769,3.1576492512993077
4.435580206311494,0.3366158846321256,0.1311816319475185,0.2772645773621945,2.94157391536235
4.465220321798016,0.3580150929528256,0.1739769095636979,0.2314020363168592,3.144095464797566
4.481071321804378,0.3404249438464139,0.2571975314622796,0.277130569880511,2.8763435220245146
4.284449481363182,0.2730956132090877,0.1428974170807421,0.1649091603207368,2.901213417977856
4.578910519356193,0.2776452954409459,0.1461058678530041,0.1898486796053672,3.105222722824199
4.727032564644001,0.3342738680834776,0.1260399104370545,0.2387423117359986,2.627462235209964
4.442555107134212,0.2765723916550198,0.143931153148542,0.1532829362401512,3.3094439206318254
4.809398667725131,0.3278521594423149,0.1809969192578976,0.3641406055095725,2.9532615931881363
4.50884200815348,0.2807074056608616,0.1738575566171182,0.2452033104182386,3.1253492193920285
4.482688309088615,0.3482315984140748,0.2013141296293923,0.1667420825331256,2.9662526270417384
4.071268789048005,0.301789670131427,0.158591728925731,0.1879746249060649,3.114533895780446
4.541861202775286,0.3215336215363024,0.1027172113998329,0.2432188335910984,3.1043081283752967
4.295930614613099,0.3421664425986918,0.1551606458872972,0.1648881507284312,2.989729336791395
4.595007187192838,0.3810301702880319,0.2452709313227423,0.2211051515632991,3.039798892287945
4.462398291601612,0.3075991724770664,0.1412294256197047,0.2557572006486049,3.0767576366055165
4.609233800110817,0.3502341409802212,0.135017753918263,0.2336914102114225,3.256509710644337
4.24808146228849,0.2615092109598775,0.1490554109134474,0.1888720501973446,3.069453392382108
4.535835902373108,0.2791885348741197,0.1797519363182639,0.1782320535245715,2.9184784223485334
4.473045708894685,0.3337686603067619,0.1817081512633585,0.1885660551095215,2.9997794857374886
4.417165835903499,0.3268577550203389,0.152478561750156,0.2411170509367795,3.146979520217309
