mode,participant,target,modality,classifier,feature_count_request,feature_count_resolved,fold,best_parameters,inner_best_balanced_accuracy
individual,P19,valence,eeg,svm,20,20,4,"{""classifier__C"": 10, ""classifier__kernel"": ""linear""}",0.3439153439153439
individual,P19,valence,eeg,svm,20,20,5,"{""classifier__C"": 1, ""classifier__gamma"": 0.1, ""classifier__kernel"": ""rbf""}",0.3518518518518518
individual,P19,valence,eeg,gnb,all,all,1,"{""classifier__var_smoothing"": 1e-11}",0.3555555555555555
individual,P19,valence,eeg,gnb,all,all,2,"{""classifier__var_smoothing"": 1e-11}",0.3277777777777778
individual,P19,valence,eeg,gnb,all,all,3,"{""classifier__var_smoothing"": 1e-11}",0.3407407407407407
individual,P19,valence,eeg,gnb,all,all,4,"{""classifier__var_smoothing"": 1e-11}",0.3817460317460317
individual,P19,valence,eeg,gnb,all,all,5,"{""classifier__var_smoothing"": 1e-11}",0.2806878306878306
individual,P19,valence,eeg,gnb,5,5,1,"{""classifier__var_smoothing"": 1e-11}",0.3148148148148147
individual,P19,valence,eeg,gnb,5,5,2,"{""classifier__var_smoothing"": 1e-11}",0.2888888888888889
individual,P19,valence,eeg,gnb,5,5,3,"{""classifier__var_smoothing"": 1e-11}",0.3074074074074074
individual,P19,valence,eeg,gnb,5,5,4,"{""classifier__var_smoothing"": 1e-11}",0.2518518518518518
individual,P19,valence,eeg,gnb,5,5,5,"{""classifier__var_smoothing"": 1e-11}",0.287037037037037
individual,P19,valence,eeg,gnb,10,10,1,"{""classifier__var_smoothing"": 1e-11}",0.337037037037037
individual,P19,valence,eeg,gnb,10,10,2,"{""classifier__var_smoothing"": 1e-11}",0.337037037037037
individual,P19,valence,eeg,gnb,10,10,3,"{""classifier__var_smoothing"": 1e-11}",0.3203703703703703
individual,P19,valence,eeg,gnb,10,10,4,"{""classifier__var_smoothing"": 1e-11}",0.2740740740740741
individual,P19,valence,eeg,gnb,10,10,5,"{""classifier__var_smoothing"": 1e-11}",0.3555555555555555
individual,P19,valence,eeg,gnb,20,20,1,"{""classifier__var_smoothing"": 1e-11}",0.374074074074074
individual,P19,valence,eeg,gnb,20,20,2,"{""classifier__var_smoothing"": 1e-11}",0.3351851851851852
individual,P19,valence,eeg,gnb,20,20,3,"{""classifier__var_smoothing"": 1e-11}",0.2574074074074073
individual,P19,valence,eeg,gnb,20,20,4,"{""classifier__var_smoothing"": 1e-11}",0.3177248677248677
individual,P19,valence,eeg,gnb,20,20,5,"{""classifier__var_smoothing"": 1e-11}",0.3351851851851852
individual,P19,valence,face,knn,all,all,1,"{""classifier__n_neighbors"": 7, ""classifier__weights"": ""uniform""}",0.3722222222222222
individual,P19,valence,face,knn,all,all,2,"{""classifier__n_neighbors"": 3, ""classifier__weights"": ""distance""}",0.4518518518518518
individual,P19,valence,face,knn,all,all,3,"{""classifier__n_neighbors"": 3, ""classifier__weights"": ""distance""}",0.3925925925925926
