mode,participant,target,modality,classifier,feature_count_request,feature_count_resolved,fold,sample_size,train_size,test_size,low_count,neutral_count,high_count,balanced_accuracy,accuracy,macro_precision,macro_recall,macro_f1,recall_low,recall_neutral,recall_high,cm_0_0,cm_0_1,cm_0_2,cm_1_0,cm_1_1,cm_1_2,cm_2_0,cm_2_1,cm_2_2
individual,P19,valence,eeg,svm,all,all,5,120,96,24,22,75,23,0.3333333333333333,0.625,0.2083333333333333,0.3333333333333333,0.2564102564102564,0.0,1.0,0.0,0,5,0,0,15,0,0,4,0
individual,P19,valence,eeg,svm,5,5,1,120,96,24,22,75,23,0.2666666666666666,0.5,0.2352941176470588,0.2666666666666666,0.25,0.0,0.8,0.0,0,3,1,2,12,1,3,2,0
individual,P19,valence,eeg,svm,5,5,2,120,96,24,22,75,23,0.4222222222222222,0.625,0.374074074074074,0.4222222222222222,0.395959595959596,0.0,0.8666666666666667,0.4,0,2,2,1,13,1,0,3,2
individual,P19,valence,eeg,svm,5,5,3,120,96,24,22,75,23,0.3333333333333333,0.625,0.2083333333333333,0.3333333333333333,0.2564102564102564,0.0,1.0,0.0,0,4,0,0,15,0,0,5,0
individual,P19,valence,eeg,svm,5,5,4,120,96,24,22,75,23,0.3333333333333333,0.625,0.2083333333333333,0.3333333333333333,0.2564102564102564,0.0,1.0,0.0,0,5,0,0,15,0,0,4,0
individual,P19,valence,eeg,svm,5,5,5,120,96,24,22,75,23,0.2888888888888889,0.5416666666666666,0.196969696969697,0.2888888888888889,0.2342342342342342,0.0,0.8666666666666667,0.0,0,5,0,2,13,0,0,4,0
individual,P19,valence,eeg,svm,10,10,1,120,96,24,22,75,23,0.2666666666666666,0.5,0.1904761904761904,0.2666666666666666,0.2222222222222222,0.0,0.8,0.0,0,4,0,2,12,1,0,5,0
individual,P19,valence,eeg,svm,10,10,2,120,96,24,22,75,23,0.3333333333333333,0.625,0.2083333333333333,0.3333333333333333,0.2564102564102564,0.0,1.0,0.0,0,4,0,0,15,0,0,5,0
individual,P19,valence,eeg,svm,10,10,3,120,96,24,22,75,23,0.2888888888888889,0.5416666666666666,0.196969696969697,0.2888888888888889,0.2342342342342342,0.0,0.8666666666666667,0.0,0,4,0,2,13,0,0,5,0
individual,P19,valence,eeg,svm,10,10,4,120,96,24,22,75,23,0.3333333333333333,0.625,0.2083333333333333,0.3333333333333333,0.2564102564102564,0.0,1.0,0.0,0,5,0,0,15,0,0,4,0
individual,P19,valence,eeg,svm,10,10,5,120,96,24,22,75,23,0.3111111111111111,0.5,0.2990196078431372,0.3111111111111111,0.3032407407407407,0.2,0.7333333333333333,0.0,1,2,2,3,11,1,0,4,0
individual,P19,valence,eeg,svm,20,20,1,120,96,24,22,75,23,0.3,0.3333333333333333,0.2558922558922559,0.3,0.2564102564102564,0.5,0.4,0.0,2,2,0,5,6,4,2,3,0
individual,P19,valence,eeg,svm,20,20,2,120,96,24,22,75,23,0.3111111111111111,0.5,0.2823529411764706,0.3111111111111111,0.2958333333333333,0.0,0.7333333333333333,0.2,0,2,2,2,11,2,0,4,1
