mode,target,modality,classifier,feature_count_request,feature_count_resolved,feature,selected_folds,outer_folds,selection_frequency,mean_feature_score
general,arousal,eeg,gnb,10,10,eeg_bp_theta__Pz,0,46,0.0,6.420814814417443
general,arousal,eeg,gnb,10,10,eeg_hc__C4,0,46,0.0,17.034128902579752
general,arousal,eeg,gnb,10,10,eeg_hc__Cz,0,46,0.0,14.579092059824362
general,arousal,eeg,gnb,10,10,eeg_hc__Pz,0,46,0.0,19.423823189828532
general,arousal,eeg,gnb,10,10,eeg_hm__C4,0,46,0.0,3.9816060464211223
general,arousal,eeg,gnb,10,10,eeg_hm__Pz,0,46,0.0,16.88746217924221
general,arousal,eeg,gnb,10,10,eeg_mf_hz__C4,0,46,0.0,13.351955058879344
general,arousal,eeg,gnb,10,10,eeg_mf_hz__Cz,0,46,0.0,20.640829062442787
general,arousal,eeg,gnb,10,10,eeg_mf_hz__Fz,0,46,0.0,12.800213281114958
general,arousal,eeg,gnb,10,10,eeg_mf_hz__Oz,0,46,0.0,12.271959163032598
general,arousal,eeg,gnb,10,10,eeg_mf_hz__PO8,0,46,0.0,16.491583459639454
general,arousal,eeg,gnb,10,10,eeg_mf_hz__Pz,0,46,0.0,14.054578875433643
general,arousal,eeg,gnb,10,10,eeg_sd__C3,0,46,0.0,0.7493624538394591
general,arousal,eeg,gnb,10,10,eeg_sd__C4,0,46,0.0,2.140972157953932
general,arousal,eeg,gnb,10,10,eeg_sd__Cz,0,46,0.0,0.9693554215448877
general,arousal,eeg,gnb,10,10,eeg_sd__Fz,0,46,0.0,9.198551686868296
general,arousal,eeg,gnb,10,10,eeg_sd__Oz,0,46,0.0,8.259545739207178
general,arousal,eeg,gnb,10,10,eeg_sd__PO7,0,46,0.0,3.3607948383454813
general,arousal,eeg,gnb,10,10,eeg_sd__PO8,0,46,0.0,4.329148314542897
general,arousal,eeg,gnb,10,10,eeg_se__C3,0,46,0.0,1.8533273778988626
general,arousal,eeg,gnb,10,10,eeg_se__C4,0,46,0.0,0.42066057985955074
general,arousal,eeg,gnb,10,10,eeg_se__Cz,0,46,0.0,11.310185383126248
general,arousal,eeg,gnb,10,10,eeg_se__Fz,0,46,0.0,14.867766996872557
general,arousal,eeg,gnb,10,10,eeg_se__Oz,0,46,0.0,15.917922289598936
general,arousal,eeg,gnb,10,10,eeg_se__PO7,0,46,0.0,14.555996900172149
general,arousal,eeg,gnb,10,10,eeg_se__PO8,0,46,0.0,12.212756242369284
general,arousal,eeg,gnb,10,10,eeg_se__Pz,0,46,0.0,2.3977477152082183
general,arousal,eeg,gnb,10,10,eeg_se_alpha__C3,0,46,0.0,0.03727107858552314
general,arousal,eeg,gnb,10,10,eeg_se_alpha__C4,0,46,0.0,0.23979429347122802
general,arousal,eeg,gnb,10,10,eeg_se_alpha__Cz,0,46,0.0,0.2701639237009959
general,arousal,eeg,gnb,10,10,eeg_se_alpha__Fz,0,46,0.0,0.5621727456339177
general,arousal,eeg,gnb,10,10,eeg_se_alpha__Oz,0,46,0.0,4.272084272587087
general,arousal,eeg,gnb,10,10,eeg_se_alpha__PO7,0,46,0.0,0.1875595566621741
general,arousal,eeg,gnb,10,10,eeg_se_alpha__PO8,0,46,0.0,2.747281400582565
general,arousal,eeg,gnb,10,10,eeg_se_alpha__Pz,0,46,0.0,3.2721731086507133
general,arousal,eeg,gnb,10,10,eeg_se_beta__C3,0,46,0.0,0.5910959309468249
general,arousal,eeg,gnb,10,10,eeg_se_beta__C4,0,46,0.0,1.8273178568743678
general,arousal,eeg,gnb,10,10,eeg_se_beta__Cz,0,46,0.0,0.23516103138587569
general,arousal,eeg,gnb,10,10,eeg_se_beta__Fz,0,46,0.0,1.2783515057279202
general,arousal,eeg,gnb,10,10,eeg_se_beta__Oz,0,46,0.0,0.14116241656542725
general,arousal,eeg,gnb,10,10,eeg_se_beta__PO7,0,46,0.0,3.0052895322601643
general,arousal,eeg,gnb,10,10,eeg_se_beta__PO8,0,46,0.0,0.20541326430019494
general,arousal,eeg,gnb,10,10,eeg_se_beta__Pz,0,46,0.0,9.168002254182486
general,arousal,eeg,gnb,10,10,eeg_se_delta__C3,0,46,0.0,2.1843895187216846
general,arousal,eeg,gnb,10,10,eeg_se_delta__C4,0,46,0.0,0.261004123486325
general,arousal,eeg,gnb,10,10,eeg_se_delta__Cz,0,46,0.0,0.6426813258800543
general,arousal,eeg,gnb,10,10,eeg_se_delta__Fz,0,46,0.0,0.0312551801708383
general,arousal,eeg,gnb,10,10,eeg_se_delta__Oz,0,46,0.0,0.03259074074704534
general,arousal,eeg,gnb,10,10,eeg_se_delta__PO7,0,46,0.0,0.3677052676577393
general,arousal,eeg,gnb,10,10,eeg_se_delta__PO8,0,46,0.0,1.371810660613364
general,arousal,eeg,gnb,10,10,eeg_se_delta__Pz,0,46,0.0,0.03377300931537239
