participant,target,modality,classifier,feature_family,channel_subset,feature_count_request,analysis_tier,available_feature_count,feature_count_resolved,outer_folds,mean_outer_cv_balanced_accuracy,fold_ba_sd,outer_fold_ba_values,mean_accuracy,low_count,high_count,sample_size
P05,arousal,multimodal,logreg,all_eeg_plus_face,all_channels,5,primary,130,5,5,0.6238095238095238,0.1059754151288919,"[0.5436507936507937, 0.503968253968254, 0.6190476190476191, 0.7658730158730158, 0.6865079365079365]",0.6434782608695653,45,70,115
P05,valence,eeg,svm,paper_compact,all_channels,10,secondary,64,10,5,0.6117132867132867,0.1271552891394707,"[0.44405594405594406, 0.7167832167832169, 0.5189393939393939, 0.6401515151515151, 0.7386363636363636]",0.6159420289855072,62,55,117
P05,valence,face,svm,face_geometry,all_face,all,primary,10,all,5,0.6117132867132866,0.0497576526895476,"[0.6573426573426573, 0.5664335664335665, 0.6573426573426573, 0.5524475524475525, 0.625]",0.625,64,56,120
P05,valence,multimodal,svm,all_eeg_plus_face,all_channels,20,primary,130,20,5,0.5358391608391608,0.1269025532390648,"[0.44405594405594406, 0.7237762237762237, 0.4318181818181818, 0.46969696969696967, 0.6098484848484849]",0.5376811594202898,62,55,117
P06,arousal,eeg,logreg,all_eeg,all_channels,10,primary,120,10,5,0.6549950049950051,0.0973616553722993,"[0.7714285714285715, 0.6357142857142857, 0.6573426573426573, 0.7027972027972028, 0.5076923076923077]",0.6543478260869565,52,67,119
P06,arousal,face,gnb,face_geometry,all_face,5,primary,10,5,5,0.5706793206793207,0.0448607068766647,"[0.6142857142857143, 0.5142857142857142, 0.55, 0.6188811188811189, 0.5559440559440559]",0.5583333333333333,52,68,120
P06,arousal,multimodal,svm,all_eeg_plus_face,all_channels,10,primary,130,10,5,0.6821378621378621,0.0451190343397688,"[0.7357142857142858, 0.7071428571428571, 0.6958041958041958, 0.6258741258741258, 0.6461538461538461]",0.6804347826086957,52,67,119
P06,valence,eeg,gnb,paper_compact,all_channels,8,secondary,64,8,5,0.6123809523809524,0.0357477797085949,"[0.6, 0.6285714285714286, 0.5888888888888888, 0.5777777777777777, 0.6666666666666666]",0.6728260869565217,47,72,119
P06,valence,face,gnb,face_geometry,all_face,all,primary,10,all,5,0.6336507936507937,0.141900012349052,"[0.6071428571428572, 0.5642857142857143, 0.6857142857142857, 0.4666666666666667, 0.8444444444444444]",0.6333333333333333,48,72,120
P06,valence,multimodal,gnb,all_eeg_plus_face,all_channels,10,primary,130,10,5,0.611904761904762,0.0440672771806404,"[0.6142857142857143, 0.6785714285714286, 0.5555555555555556, 0.6, 0.6111111111111112]",0.6641304347826087,47,72,119
P07,arousal,eeg,gnb,paper_compact,frontal_central,10,secondary,32,10,5,0.5566666666666666,0.0977880360780397,"[0.7, 0.55, 0.5416666666666666, 0.425, 0.5666666666666667]",0.7181159420289854,100,17,117
P07,arousal,face,gnb,face_geometry,all_face,5,primary,10,5,5,0.5390476190476191,0.0764291277238321,"[0.6190476190476191, 0.5, 0.47619047619047616, 0.475, 0.625]",0.8416666666666666,103,17,120
P07,arousal,multimodal,logreg,all_eeg_plus_face,all_channels,20,primary,130,20,5,0.5900000000000001,0.1113989327696734,"[0.65, 0.425, 0.725, 0.5666666666666667, 0.5833333333333333]",0.5481884057971015,100,17,117
P07,valence,eeg,logreg,time_statistical,all_channels,all,primary,8,all,5,0.5411111111111111,0.0919272390749913,"[0.5, 0.5, 0.5, 0.5, 0.7055555555555556]",0.7670289855072464,24,92,116
P07,valence,face,gnb,face_geometry,all_face,5,primary,10,5,5,0.5335672514619884,0.1373743833957583,"[0.7210526315789474, 0.5736842105263158, 0.5421052631578948, 0.34210526315789475, 0.48888888888888893]",0.6804347826086956,25,94,119
P07,valence,multimodal,logreg,all_eeg_plus_face,all_channels,10,primary,130,10,5,0.4870760233918128,0.0967037355118927,"[0.48947368421052634, 0.47368421052631576, 0.6222222222222222, 0.5, 0.35]",0.6126811594202899,24,92,116
P08,arousal,eeg,gnb,paper_compact,frontal_central,10,secondary,32,10,5,0.5687878787878787,0.1161914761797214,"[0.6166666666666667, 0.6363636363636364, 0.36363636363636365, 0.5909090909090908, 0.6363636363636364]",0.5636363636363637,56,54,110
