participant,target,classifier,feature_family,channel_subset,feature_count_request,analysis_tier,available_feature_count,feature_count_resolved,outer_folds,mean_outer_cv_balanced_accuracy,fold_ba_sd,outer_fold_ba_values,mean_accuracy,low_count,high_count,sample_size
P01,valence,gnb,paper_compact,frontal_central,8,secondary,32,8,5,0.5632051282051282,0.08927063337532669,"[0.5230769230769231, 0.4346153846153846, 0.6515151515151515, 0.6401515151515151, 0.5666666666666667]",0.5877470355731226,52,62,114
P01,valence,gnb,time_statistical,all_channels,all,primary,8,all,5,0.4787412587412588,0.059561021042164465,"[0.46923076923076923, 0.5153846153846154, 0.5606060606060606, 0.4318181818181818, 0.41666666666666663]",0.47312252964426876,52,62,114
P01,valence,logreg,all_eeg,all_channels,10,primary,120,10,5,0.44909090909090904,0.08065850794799208,"[0.4192307692307692, 0.4307692307692308, 0.5681818181818181, 0.4772727272727273, 0.35]",0.4553359683794467,52,62,114
P01,valence,logreg,all_eeg,all_channels,8,primary,120,8,5,0.5124358974358975,0.0702304228754167,"[0.45769230769230773, 0.49615384615384617, 0.6098484848484849, 0.5568181818181819, 0.44166666666666665]",0.525691699604743,52,62,114
P01,valence,logreg,hjorth,all_channels,10,primary,16,10,5,0.5536130536130537,0.09647520819187222,"[0.6846153846153846, 0.45769230769230773, 0.6098484848484849, 0.46590909090909094, 0.55]",0.5612648221343873,52,62,114
P01,valence,logreg,hjorth,all_channels,8,primary,16,8,5,0.545011655011655,0.10474676768648504,"[0.6730769230769231, 0.38076923076923075, 0.5606060606060606, 0.5606060606060606, 0.55]",0.5525691699604743,52,62,114
P01,valence,logreg,paper_compact,all_channels,10,secondary,64,10,5,0.4998484848484848,0.12785510998368282,"[0.46923076923076923, 0.4307692307692308, 0.6553030303030303, 0.6022727272727273, 0.3416666666666667]",0.5075098814229249,52,62,114
P01,valence,logreg,paper_compact,all_channels,8,secondary,64,8,5,0.48447552447552444,0.11704462836266098,"[0.4076923076923077, 0.4192307692307692, 0.6553030303030303, 0.5568181818181819, 0.3833333333333333]",0.4992094861660079,52,62,114
P01,valence,logreg,paper_compact,frontal_central,10,secondary,32,10,5,0.42844988344988344,0.10469324983589456,"[0.36923076923076925, 0.4192307692307692, 0.6098484848484849, 0.3939393939393939, 0.35]",0.4379446640316206,52,62,114
P01,valence,logreg,paper_compact,frontal_central,8,secondary,32,8,5,0.5175524475524476,0.09152564406076165,"[0.4461538461538461, 0.39615384615384613, 0.6098484848484849, 0.5606060606060606, 0.575]",0.5355731225296443,52,62,114
P01,valence,logreg,time_statistical,all_channels,all,primary,8,all,5,0.49386946386946384,0.03783194611341283,"[0.5076923076923077, 0.46923076923076923, 0.4810606060606061, 0.553030303030303, 0.45833333333333337]",0.4996047430830039,52,62,114
P01,valence,svm,all_eeg,all_channels,10,primary,120,10,5,0.49948717948717947,0.0657893456519741,"[0.6, 0.4807692307692308, 0.5, 0.5, 0.4166666666666667]",0.525691699604743,52,62,114
P01,valence,svm,all_eeg,all_channels,8,primary,120,8,5,0.5005128205128205,0.01435095930149305,"[0.5230769230769231, 0.49615384615384617, 0.5, 0.5, 0.4833333333333333]",0.5260869565217391,52,62,114
P01,valence,svm,hjorth,all_channels,10,primary,16,10,5,0.5419230769230768,0.06268285881547403,"[0.6230769230769231, 0.46153846153846156, 0.5265151515151515, 0.5151515151515151, 0.5833333333333333]",0.5616600790513834,52,62,114
P01,valence,svm,hjorth,all_channels,8,primary,16,8,5,0.5365850815850817,0.09295179971654166,"[0.6615384615384616, 0.5115384615384616, 0.6022727272727273, 0.46590909090909094, 0.44166666666666665]",0.5604743083003952,52,62,114
P01,valence,svm,paper_compact,all_channels,10,secondary,64,10,5,0.49311188811188805,0.09570769914992247,"[0.45769230769230773, 0.4192307692307692, 0.6553030303030303, 0.5, 0.43333333333333335]",0.508300395256917,52,62,114
P01,valence,svm,paper_compact,all_channels,8,secondary,64,8,5,0.5052797202797203,0.10109403862594445,"[0.48461538461538467, 0.45769230769230773, 0.6515151515151515, 0.5492424242424242, 0.3833333333333333]",0.5252964426877471,52,62,114
P01,valence,svm,paper_compact,frontal_central,10,secondary,32,10,5,0.4994055944055944,0.11317858303271756,"[0.4461538461538461, 0.4076923076923077, 0.6931818181818181, 0.5, 0.45]",0.51699604743083,52,62,114
P01,valence,svm,paper_compact,frontal_central,8,secondary,32,8,5,0.541083916083916,0.07511707002411487,"[0.5615384615384615, 0.4461538461538461, 0.6477272727272727, 0.5, 0.55]",0.5703557312252965,52,62,114
P01,valence,svm,time_statistical,all_channels,all,primary,8,all,5,0.5023426573426574,0.0413297214496289,"[0.5230769230769231, 0.5, 0.5606060606060606, 0.46969696969696967, 0.4583333333333333]",0.5347826086956522,52,62,114
P02,arousal,gnb,all_eeg,all_channels,10,primary,120,10,5,0.44752747252747255,0.0777799551116255,"[0.375, 0.5, 0.4583333333333333, 0.5416666666666667, 0.3626373626373626]",0.48,39,61,100
P02,arousal,gnb,all_eeg,all_channels,8,primary,120,8,5,0.4593864468864469,0.09348029574487456,"[0.375, 0.5, 0.4166666666666667, 0.6041666666666667, 0.4010989010989011]",0.49000000000000005,39,61,100
P02,arousal,gnb,paper_compact,all_channels,10,secondary,64,10,5,0.4356684981684982,0.1134174469092575,"[0.3125, 0.4583333333333333, 0.5208333333333333, 0.5625, 0.32417582417582413]",0.45,39,61,100
P02,arousal,gnb,paper_compact,all_channels,8,secondary,64,8,5,0.4148351648351648,0.09973437715987386,"[0.375, 0.5, 0.3333333333333333, 0.5416666666666667, 0.32417582417582413]",0.43000000000000005,39,61,100
P02,arousal,gnb,paper_compact,frontal_central,10,secondary,32,10,5,0.3766941391941392,0.10169946306815411,"[0.25, 0.4791666666666667, 0.3125, 0.4791666666666667, 0.3626373626373626]",0.4,39,61,100
P02,arousal,gnb,paper_compact,frontal_central,8,secondary,32,8,5,0.38502747252747255,0.09892751330379708,"[0.22916666666666666, 0.4791666666666667, 0.4583333333333333, 0.3958333333333333, 0.3626373626373626]",0.41,39,61,100
P02,arousal,logreg,all_eeg,all_channels,10,primary,120,10,5,0.42651098901098905,0.09301819093892363,"[0.375, 0.4375, 0.3125, 0.5625, 0.44505494505494503]",0.47000000000000003,39,61,100
P02,arousal,logreg,all_eeg,all_channels,8,primary,120,8,5,0.40984432234432233,0.07534684649382135,"[0.3541666666666667, 0.3958333333333333, 0.33333333333333337, 0.5208333333333333, 0.44505494505494503]",0.44000000000000006,39,61,100
P02,arousal,logreg,paper_compact,all_channels,10,secondary,64,10,5,0.45393772893772893,0.10451532640890546,"[0.3541666666666667, 0.6041666666666667, 0.35416666666666663, 0.4791666666666667, 0.478021978021978]",0.45999999999999996,39,61,100
P02,arousal,logreg,paper_compact,all_channels,8,secondary,64,8,5,0.40274725274725276,0.1070706048842953,"[0.3125, 0.5, 0.4791666666666667, 0.4583333333333333, 0.26373626373626374]",0.44000000000000006,39,61,100
P02,arousal,logreg,paper_compact,frontal_central,10,secondary,32,10,5,0.4563186813186813,0.06260503022658324,"[0.375, 0.5208333333333333, 0.4791666666666667, 0.5, 0.4065934065934066]",0.4800000000000001,39,61,100
P02,arousal,logreg,paper_compact,frontal_central,8,secondary,32,8,5,0.4586996336996337,0.08897030911608535,"[0.4791666666666667, 0.4375, 0.45833333333333337, 0.5833333333333333, 0.3351648351648352]",0.49000000000000005,39,61,100
P02,arousal,svm,all_eeg,all_channels,10,primary,120,10,5,0.43484432234432235,0.045465211572989196,"[0.4583333333333333, 0.3541666666666667, 0.4583333333333333, 0.4583333333333333, 0.44505494505494503]",0.49000000000000005,39,61,100
P02,arousal,svm,all_eeg,all_channels,8,primary,120,8,5,0.4407967032967033,0.13145159032011294,"[0.4583333333333333, 0.3541666666666667, 0.27083333333333337, 0.6041666666666667, 0.5164835164835164]",0.4800000000000001,39,61,100
P02,arousal,svm,paper_compact,all_channels,10,secondary,64,10,5,0.40805860805860805,0.09627077858542175,"[0.3125, 0.5208333333333333, 0.3333333333333333, 0.5, 0.37362637362637363]",0.45999999999999996,39,61,100
P02,arousal,svm,paper_compact,all_channels,8,secondary,64,8,5,0.4521062271062271,0.16060625406464688,"[0.27083333333333337, 0.6458333333333333, 0.5, 0.5416666666666667, 0.30219780219780223]",0.49000000000000005,39,61,100
P02,arousal,svm,paper_compact,frontal_central,10,secondary,32,10,5,0.4956043956043955,0.03739906447154279,"[0.4375, 0.5208333333333333, 0.5208333333333333, 0.5208333333333333, 0.478021978021978]",0.52,39,61,100
P02,arousal,svm,paper_compact,frontal_central,8,secondary,32,8,5,0.4967032967032967,0.06790900477697441,"[0.5208333333333333, 0.5, 0.39583333333333337, 0.5833333333333333, 0.48351648351648346]",0.54,39,61,100
P02,valence,gnb,all_eeg,all_channels,10,primary,120,10,5,0.6418181818181818,0.1182393507980105,"[0.775, 0.5333333333333333, 0.5333333333333333, 0.7583333333333333, 0.6090909090909091]",0.6904411764705882,25,59,84
P02,valence,gnb,all_eeg,all_channels,8,primary,120,8,5,0.6036363636363636,0.09066159491972568,"[0.7333333333333334, 0.5333333333333333, 0.575, 0.6583333333333333, 0.5181818181818182]",0.6536764705882353,25,59,84
P02,valence,gnb,hjorth,all_channels,10,primary,16,10,5,0.6310606060606061,0.1447326625817343,"[0.8166666666666667, 0.45, 0.5916666666666667, 0.7333333333333334, 0.5636363636363637]",0.6426470588235295,25,59,84
P02,valence,gnb,hjorth,all_channels,8,primary,16,8,5,0.6277272727272727,0.13570083026706165,"[0.8166666666666667, 0.45, 0.6333333333333333, 0.675, 0.5636363636363637]",0.6544117647058824,25,59,84
P02,valence,gnb,paper_compact,all_channels,10,secondary,64,10,5,0.6842424242424243,0.06638931632660525,"[0.8, 0.675, 0.6333333333333333, 0.6583333333333333, 0.6545454545454545]",0.75,25,59,84
P02,valence,gnb,paper_compact,all_channels,8,secondary,64,8,5,0.6268181818181818,0.10393514215175094,"[0.7583333333333333, 0.5333333333333333, 0.675, 0.6583333333333333, 0.5090909090909091]",0.7014705882352941,25,59,84
P02,valence,gnb,paper_compact,frontal_central,10,secondary,32,10,5,0.5551515151515152,0.05406565066828929,"[0.6166666666666667, 0.5333333333333333, 0.5166666666666667, 0.5, 0.6090909090909091]",0.6669117647058824,25,59,84
P02,valence,gnb,paper_compact,frontal_central,8,secondary,32,8,5,0.5842424242424242,0.07716384188226513,"[0.6583333333333333, 0.4916666666666667, 0.5166666666666667, 0.6, 0.6545454545454545]",0.6911764705882353,25,59,84
P02,valence,gnb,time_statistical,all_channels,all,primary,8,all,5,0.5168181818181818,0.19417850435071965,"[0.8166666666666667, 0.30833333333333335, 0.3916666666666667, 0.5583333333333333, 0.5090909090909091]",0.5955882352941176,25,59,84
P02,valence,logreg,all_eeg,all_channels,10,primary,120,10,5,0.5886363636363636,0.12177072986549063,"[0.675, 0.5166666666666667, 0.475, 0.7583333333333333, 0.5181818181818182]",0.6654411764705882,25,59,84
P02,valence,logreg,all_eeg,all_channels,8,primary,120,8,5,0.5553030303030303,0.12893485374622393,"[0.775, 0.5333333333333333, 0.5166666666666667, 0.43333333333333335, 0.5181818181818182]",0.6183823529411765,25,59,84
P02,valence,logreg,hjorth,all_channels,10,primary,16,10,5,0.5586363636363636,0.18096041351089717,"[0.875, 0.43333333333333335, 0.5166666666666667, 0.45, 0.5181818181818182]",0.6066176470588236,25,59,84
P02,valence,logreg,hjorth,all_channels,8,primary,16,8,5,0.6436363636363637,0.15686264191882038,"[0.875, 0.4916666666666667, 0.6166666666666667, 0.7166666666666667, 0.5181818181818182]",0.6772058823529411,25,59,84
P02,valence,logreg,paper_compact,all_channels,10,secondary,64,10,5,0.6586363636363636,0.16800734876139461,"[0.9166666666666667, 0.6333333333333333, 0.5083333333333333, 0.7166666666666667, 0.5181818181818182]",0.6654411764705882,25,59,84
P02,valence,logreg,paper_compact,all_channels,8,secondary,64,8,5,0.6486363636363637,0.11358129979039372,"[0.7583333333333333, 0.5333333333333333, 0.7166666666666667, 0.7166666666666667, 0.5181818181818182]",0.700735294117647,25,59,84
P02,valence,logreg,paper_compact,frontal_central,10,secondary,32,10,5,0.5387878787878788,0.10356839211714175,"[0.5583333333333333, 0.5333333333333333, 0.475, 0.7, 0.42727272727272725]",0.6286764705882353,25,59,84
P02,valence,logreg,paper_compact,frontal_central,8,secondary,32,8,5,0.5312121212121212,0.060462424488461924,"[0.5583333333333333, 0.5333333333333333, 0.475, 0.6166666666666667, 0.4727272727272727]",0.6176470588235294,25,59,84
P02,valence,logreg,time_statistical,all_channels,all,primary,8,all,5,0.5569696969696969,0.19830361260750248,"[0.875, 0.4166666666666667, 0.375, 0.6, 0.5181818181818182]",0.6536764705882353,25,59,84
P02,valence,svm,all_eeg,all_channels,10,primary,120,10,5,0.4625757575757576,0.09573461798059162,"[0.6166666666666667, 0.475, 0.3916666666666667, 0.375, 0.45454545454545453]",0.5838235294117646,25,59,84
P02,valence,svm,all_eeg,all_channels,8,primary,120,8,5,0.5186363636363637,0.027874258525347816,"[0.5166666666666667, 0.5333333333333333, 0.475, 0.55, 0.5181818181818182]",0.5830882352941177,25,59,84
P02,valence,svm,hjorth,all_channels,10,primary,16,10,5,0.5833333333333333,0.1720989702338615,"[0.875, 0.45, 0.4916666666666667, 0.5, 0.6]",0.6558823529411765,25,59,84
P02,valence,svm,hjorth,all_channels,8,primary,16,8,5,0.5903030303030303,0.13665310185990612,"[0.6916666666666667, 0.45, 0.5166666666666667, 0.775, 0.5181818181818182]",0.6183823529411765,25,59,84
P02,valence,svm,paper_compact,all_channels,10,secondary,64,10,5,0.6293939393939394,0.08588116161899803,"[0.5583333333333333, 0.675, 0.5916666666666667, 0.7583333333333333, 0.5636363636363637]",0.6897058823529412,25,59,84
P02,valence,svm,paper_compact,all_channels,8,secondary,64,8,5,0.6436363636363637,0.08673266452968416,"[0.675, 0.6333333333333333, 0.6333333333333333, 0.7583333333333333, 0.5181818181818182]",0.6772058823529412,25,59,84
P02,valence,svm,paper_compact,frontal_central,10,secondary,32,10,5,0.4587878787878788,0.04784917093180757,"[0.475, 0.5, 0.3916666666666667, 0.5, 0.42727272727272725]",0.5816176470588236,25,59,84
P02,valence,svm,paper_compact,frontal_central,8,secondary,32,8,5,0.5071212121212121,0.10635322188502794,"[0.5583333333333333, 0.5, 0.3916666666666667, 0.6583333333333333, 0.42727272727272725]",0.6169117647058824,25,59,84
P02,valence,svm,time_statistical,all_channels,all,primary,8,all,5,0.5480303030303031,0.1178262911849411,"[0.7583333333333333, 0.5, 0.5, 0.5, 0.4818181818181818]",0.5933823529411765,25,59,84
P03,arousal,gnb,all_eeg,all_channels,10,primary,120,10,5,0.53,0.24562844569254055,"[0.5166666666666667, 0.4166666666666667, 0.55, 0.9166666666666667, 0.25]",0.5490909090909091,30,23,53
P03,arousal,gnb,all_eeg,all_channels,8,primary,120,8,5,0.5833333333333334,0.21376258897301104,"[0.6166666666666667, 0.5, 0.55, 0.9166666666666667, 0.3333333333333333]",0.6054545454545455,30,23,53
P03,arousal,gnb,paper_compact,all_channels,10,secondary,64,10,5,0.45999999999999996,0.0802340326794061,"[0.3333333333333333, 0.5, 0.55, 0.4583333333333333, 0.4583333333333333]",0.4909090909090909,30,23,53
P03,arousal,gnb,paper_compact,all_channels,8,secondary,64,8,5,0.4883333333333333,0.09082951062292476,"[0.35, 0.5, 0.55, 0.5833333333333333, 0.4583333333333333]",0.510909090909091,30,23,53
P03,arousal,gnb,paper_compact,frontal_central,10,secondary,32,10,5,0.5083333333333334,0.1424000624219589,"[0.35, 0.4166666666666667, 0.65, 0.6666666666666667, 0.4583333333333333]",0.5309090909090909,30,23,53
P03,arousal,gnb,paper_compact,frontal_central,8,secondary,32,8,5,0.47833333333333333,0.11420011675417266,"[0.3666666666666667, 0.4166666666666667, 0.48333333333333334, 0.6666666666666667, 0.4583333333333333]",0.4945454545454545,30,23,53
P03,arousal,logreg,all_eeg,all_channels,10,primary,120,10,5,0.5033333333333333,0.19769505136278281,"[0.43333333333333335, 0.43333333333333335, 0.65, 0.75, 0.25]",0.509090909090909,30,23,53
P03,arousal,logreg,all_eeg,all_channels,8,primary,120,8,5,0.53,0.18980984636677248,"[0.5166666666666667, 0.4166666666666667, 0.55, 0.8333333333333333, 0.3333333333333333]",0.5490909090909091,30,23,53
P03,arousal,logreg,paper_compact,all_channels,10,secondary,64,10,5,0.3883333333333333,0.08407998837086295,"[0.3333333333333333, 0.5166666666666667, 0.3, 0.41666666666666663, 0.375]",0.39636363636363636,30,23,53
P03,arousal,logreg,paper_compact,all_channels,8,secondary,64,8,5,0.42833333333333334,0.0655108133567785,"[0.35, 0.43333333333333335, 0.48333333333333334, 0.5, 0.375]",0.43454545454545457,30,23,53
P03,arousal,logreg,paper_compact,frontal_central,10,secondary,32,10,5,0.37,0.14124938544605742,"[0.18333333333333335, 0.3666666666666667, 0.4666666666666667, 0.5416666666666667, 0.29166666666666663]",0.38,30,23,53
P03,arousal,logreg,paper_compact,frontal_central,8,secondary,32,8,5,0.35,0.13604023097762094,"[0.2833333333333333, 0.43333333333333335, 0.2, 0.5416666666666667, 0.29166666666666663]",0.3618181818181818,30,23,53
P03,arousal,svm,all_eeg,all_channels,10,primary,120,10,5,0.47333333333333333,0.15119891240055633,"[0.5166666666666667, 0.43333333333333335, 0.6666666666666666, 0.5, 0.25]",0.5072727272727272,30,23,53
P03,arousal,svm,all_eeg,all_channels,8,primary,120,8,5,0.47333333333333333,0.13155058173780743,"[0.6, 0.5166666666666667, 0.5, 0.5, 0.25]",0.5254545454545454,30,23,53
P03,arousal,svm,paper_compact,all_channels,10,secondary,64,10,5,0.4616666666666667,0.03800584750330458,"[0.43333333333333335, 0.4166666666666667, 0.5, 0.5, 0.4583333333333333]",0.510909090909091,30,23,53
P03,arousal,svm,paper_compact,all_channels,8,secondary,64,8,5,0.47333333333333333,0.06932211447695143,"[0.35, 0.5166666666666667, 0.5, 0.5, 0.5]",0.5309090909090909,30,23,53
P03,arousal,svm,paper_compact,frontal_central,10,secondary,32,10,5,0.395,0.1487914274711043,"[0.18333333333333335, 0.5, 0.5, 0.5, 0.29166666666666663]",0.43454545454545457,30,23,53
P03,arousal,svm,paper_compact,frontal_central,8,secondary,32,8,5,0.42833333333333334,0.13814243856734734,"[0.18333333333333335, 0.5, 0.5, 0.5, 0.4583333333333333]",0.4745454545454545,30,23,53
P03,valence,gnb,all_eeg,all_channels,10,primary,120,10,5,0.5638095238095239,0.07355274073026946,"[0.48214285714285715, 0.6785714285714286, 0.5333333333333333, 0.5416666666666667, 0.5833333333333333]",0.6036363636363636,21,32,53
P03,valence,gnb,all_eeg,all_channels,8,primary,120,8,5,0.5578571428571428,0.15262861198765754,"[0.4107142857142857, 0.8035714285714286, 0.5333333333333333, 0.4583333333333333, 0.5833333333333333]",0.5836363636363636,21,32,53
P03,valence,gnb,hjorth,all_channels,10,primary,16,10,5,0.4830952380952381,0.05241070583542833,"[0.42857142857142855, 0.5535714285714286, 0.43333333333333335, 0.5, 0.5]",0.5472727272727272,21,32,53
P03,valence,gnb,hjorth,all_channels,8,primary,16,8,5,0.4714285714285714,0.11644475980553098,"[0.42857142857142855, 0.5535714285714286, 0.3333333333333333, 0.4166666666666667, 0.625]",0.5290909090909091,21,32,53
P03,valence,gnb,paper_compact,all_channels,10,secondary,64,10,5,0.46976190476190477,0.1246497360179411,"[0.42857142857142855, 0.5535714285714286, 0.6166666666666667, 0.4583333333333333, 0.29166666666666663]",0.5236363636363637,21,32,53
P03,valence,gnb,paper_compact,all_channels,8,secondary,64,8,5,0.5007142857142857,0.04315866156436284,"[0.5, 0.5535714285714286, 0.5333333333333333, 0.4583333333333333, 0.4583333333333333]",0.5436363636363637,21,32,53
P03,valence,gnb,paper_compact,frontal_central,10,secondary,32,10,5,0.4730952380952381,0.07553944322665611,"[0.42857142857142855, 0.5535714285714286, 0.4666666666666667, 0.375, 0.5416666666666667]",0.5272727272727272,21,32,53
P03,valence,gnb,paper_compact,frontal_central,8,secondary,32,8,5,0.46976190476190477,0.07625834031186482,"[0.42857142857142855, 0.5535714285714286, 0.45, 0.375, 0.5416666666666667]",0.5272727272727272,21,32,53
P03,valence,gnb,time_statistical,all_channels,all,primary,8,all,5,0.5714285714285714,0.24160361598336194,"[0.5, 0.48214285714285715, 0.4166666666666667, 0.4583333333333333, 1.0]",0.6272727272727272,21,32,53
P03,valence,logreg,all_eeg,all_channels,10,primary,120,10,5,0.565952380952381,0.1218032268747323,"[0.4107142857142857, 0.6607142857142857, 0.6333333333333333, 0.4583333333333333, 0.6666666666666667]",0.5854545454545454,21,32,53
P03,valence,logreg,all_eeg,all_channels,8,primary,120,8,5,0.5042857142857142,0.09960096120983424,"[0.4107142857142857, 0.6607142857142857, 0.45, 0.4583333333333333, 0.5416666666666667]",0.5290909090909091,21,32,53
P03,valence,logreg,hjorth,all_channels,10,primary,16,10,5,0.5278571428571428,0.12107090181090635,"[0.35714285714285715, 0.6071428571428572, 0.4666666666666667, 0.6666666666666667, 0.5416666666666666]",0.5490909090909091,21,32,53
P03,valence,logreg,hjorth,all_channels,8,primary,16,8,5,0.49214285714285716,0.049233063664808945,"[0.42857142857142855, 0.48214285714285715, 0.4666666666666667, 0.5416666666666667, 0.5416666666666666]",0.5290909090909091,21,32,53
P03,valence,logreg,paper_compact,all_channels,10,secondary,64,10,5,0.4269047619047619,0.07994648153169127,"[0.42857142857142855, 0.4642857142857143, 0.45, 0.29166666666666663, 0.5]",0.45090909090909087,21,32,53
P03,valence,logreg,paper_compact,all_channels,8,secondary,64,8,5,0.4269047619047619,0.07774456692962427,"[0.42857142857142855, 0.4642857142857143, 0.5333333333333333, 0.375, 0.3333333333333333]",0.4490909090909091,21,32,53
