participant,target,classifier,feature_family,channel_subset,feature_count_request,analysis_tier,available_feature_count,fold,feature_count_resolved,outer_folds,best_parameters,inner_best_balanced_accuracy,selected_feature_names,modality
P29,valence,svm,all_eeg_plus_face,all_channels,10,primary,130,1,10,5,"{""classifier__C"": 10, ""classifier__class_weight"": null, ""classifier__gamma"": ""scale"", ""classifier__kernel"": ""rbf""}",0.5931372549019608,"[""eeg_se__Oz"", ""eeg_hm__Oz"", ""eeg_hc__Oz"", ""eeg_mf_hz__C4"", ""eeg_bp_delta__Oz"", ""eeg_se_delta__C4"", ""eeg_se_delta__PO8"", ""eeg_se_beta__C3"", ""eeg_se_beta__Cz"", ""eeg_se_gamma__C3""]",multimodal
P29,valence,svm,all_eeg_plus_face,all_channels,10,primary,130,2,10,5,"{""classifier__C"": 1, ""classifier__class_weight"": null, ""classifier__kernel"": ""linear""}",0.5236928104575164,"[""eeg_se__PO8"", ""eeg_bp_delta__Oz"", ""eeg_se_delta__PO8"", ""eeg_se_alpha__C3"", ""eeg_se_alpha__Cz"", ""eeg_bp_beta__PO7"", ""eeg_se_beta__C3"", ""eeg_se_gamma__C3"", ""eeg_se_gamma__C4"", ""video_mwo_norm_std""]",multimodal
P29,valence,svm,all_eeg_plus_face,all_channels,10,primary,130,3,10,5,"{""classifier__C"": 1, ""classifier__class_weight"": ""balanced"", ""classifier__kernel"": ""linear""}",0.5915032679738562,"[""eeg_se__Cz"", ""eeg_se__PO8"", ""eeg_se_delta__PO8"", ""eeg_bp_alpha__Oz"", ""eeg_bp_beta__PO7"", ""eeg_se_beta__C3"", ""eeg_se_beta__Cz"", ""eeg_bp_gamma__Pz"", ""eeg_se_gamma__C3"", ""eeg_se_gamma__C4""]",multimodal
P29,valence,svm,all_eeg_plus_face,all_channels,10,primary,130,4,10,5,"{""classifier__C"": 10, ""classifier__class_weight"": ""balanced"", ""classifier__kernel"": ""linear""}",0.6862745098039215,"[""eeg_se__C3"", ""eeg_se__Fz"", ""eeg_se__Oz"", ""eeg_hc__Oz"", ""eeg_mf_hz__Oz"", ""eeg_bp_delta__C3"", ""eeg_bp_delta__Oz"", ""eeg_se_alpha__C3"", ""eeg_se_beta__C3"", ""eeg_se_gamma__C3""]",multimodal
P29,valence,svm,all_eeg_plus_face,all_channels,10,primary,130,5,10,5,"{""classifier__C"": 10, ""classifier__class_weight"": ""balanced"", ""classifier__gamma"": ""scale"", ""classifier__kernel"": ""rbf""}",0.5506535947712418,"[""eeg_mf_hz__C4"", ""eeg_bp_delta__Oz"", ""eeg_se_delta__PO8"", ""eeg_bp_alpha__Cz"", ""eeg_se_alpha__C3"", ""eeg_bp_beta__PO7"", ""eeg_se_beta__C3"", ""eeg_se_beta__Cz"", ""eeg_se_gamma__C3"", ""eeg_se_gamma__Pz""]",multimodal
P29,valence,gnb,all_eeg_plus_face,all_channels,10,primary,130,1,10,5,"{""classifier__var_smoothing"": 1e-11}",0.4526143790849673,"[""eeg_se__Oz"", ""eeg_hm__Oz"", ""eeg_hc__Oz"", ""eeg_mf_hz__C4"", ""eeg_bp_delta__Oz"", ""eeg_se_delta__C4"", ""eeg_se_delta__PO8"", ""eeg_se_beta__C3"", ""eeg_se_beta__Cz"", ""eeg_se_gamma__C3""]",multimodal
P29,valence,gnb,all_eeg_plus_face,all_channels,10,primary,130,2,10,5,"{""classifier__var_smoothing"": 1e-11}",0.511437908496732,"[""eeg_se__PO8"", ""eeg_bp_delta__Oz"", ""eeg_se_delta__PO8"", ""eeg_se_alpha__C3"", ""eeg_se_alpha__Cz"", ""eeg_bp_beta__PO7"", ""eeg_se_beta__C3"", ""eeg_se_gamma__C3"", ""eeg_se_gamma__C4"", ""video_mwo_norm_std""]",multimodal
P29,valence,gnb,all_eeg_plus_face,all_channels,10,primary,130,3,10,5,"{""classifier__var_smoothing"": 1e-11}",0.5416666666666666,"[""eeg_se__Cz"", ""eeg_se__PO8"", ""eeg_se_delta__PO8"", ""eeg_bp_alpha__Oz"", ""eeg_bp_beta__PO7"", ""eeg_se_beta__C3"", ""eeg_se_beta__Cz"", ""eeg_bp_gamma__Pz"", ""eeg_se_gamma__C3"", ""eeg_se_gamma__C4""]",multimodal
P29,valence,gnb,all_eeg_plus_face,all_channels,10,primary,130,4,10,5,"{""classifier__var_smoothing"": 1e-11}",0.5277777777777778,"[""eeg_se__C3"", ""eeg_se__Fz"", ""eeg_se__Oz"", ""eeg_hc__Oz"", ""eeg_mf_hz__Oz"", ""eeg_bp_delta__C3"", ""eeg_bp_delta__Oz"", ""eeg_se_alpha__C3"", ""eeg_se_beta__C3"", ""eeg_se_gamma__C3""]",multimodal
P29,valence,gnb,all_eeg_plus_face,all_channels,10,primary,130,5,10,5,"{""classifier__var_smoothing"": 1e-11}",0.4991830065359477,"[""eeg_mf_hz__C4"", ""eeg_bp_delta__Oz"", ""eeg_se_delta__PO8"", ""eeg_bp_alpha__Cz"", ""eeg_se_alpha__C3"", ""eeg_bp_beta__PO7"", ""eeg_se_beta__C3"", ""eeg_se_beta__Cz"", ""eeg_se_gamma__C3"", ""eeg_se_gamma__Pz""]",multimodal
