participant,target,classifier,feature_family,channel_subset,feature_count_request,analysis_tier,available_feature_count,feature_count_resolved,outer_folds,mean_outer_cv_balanced_accuracy,fold_ba_sd,outer_fold_ba_values,mean_accuracy,low_count,high_count,sample_size,modality
P01,valence,gnb,paper_compact,frontal_central,8,secondary,32,8,5,0.5632051282051282,0.0892706333753266,"[0.5230769230769231, 0.4346153846153846, 0.6515151515151515, 0.6401515151515151, 0.5666666666666667]",0.5877470355731226,52,62,114,eeg
P01,valence,gnb,time_statistical,all_channels,all,primary,8,all,5,0.4787412587412588,0.0595610210421644,"[0.46923076923076923, 0.5153846153846154, 0.5606060606060606, 0.4318181818181818, 0.41666666666666663]",0.4731225296442687,52,62,114,eeg
P01,valence,logreg,all_eeg,all_channels,10,primary,120,10,5,0.449090909090909,0.080658507947992,"[0.4192307692307692, 0.4307692307692308, 0.5681818181818181, 0.4772727272727273, 0.35]",0.4553359683794467,52,62,114,eeg
P01,valence,logreg,all_eeg,all_channels,8,primary,120,8,5,0.5124358974358975,0.0702304228754167,"[0.45769230769230773, 0.49615384615384617, 0.6098484848484849, 0.5568181818181819, 0.44166666666666665]",0.525691699604743,52,62,114,eeg
P01,valence,logreg,hjorth,all_channels,10,primary,16,10,5,0.5536130536130537,0.0964752081918722,"[0.6846153846153846, 0.45769230769230773, 0.6098484848484849, 0.46590909090909094, 0.55]",0.5612648221343873,52,62,114,eeg
P01,valence,logreg,hjorth,all_channels,8,primary,16,8,5,0.545011655011655,0.104746767686485,"[0.6730769230769231, 0.38076923076923075, 0.5606060606060606, 0.5606060606060606, 0.55]",0.5525691699604743,52,62,114,eeg
P01,valence,logreg,paper_compact,all_channels,10,secondary,64,10,5,0.4998484848484848,0.1278551099836828,"[0.46923076923076923, 0.4307692307692308, 0.6553030303030303, 0.6022727272727273, 0.3416666666666667]",0.5075098814229249,52,62,114,eeg
P01,valence,logreg,paper_compact,all_channels,8,secondary,64,8,5,0.4844755244755244,0.1170446283626609,"[0.4076923076923077, 0.4192307692307692, 0.6553030303030303, 0.5568181818181819, 0.3833333333333333]",0.4992094861660079,52,62,114,eeg
P01,valence,logreg,paper_compact,frontal_central,10,secondary,32,10,5,0.4284498834498834,0.1046932498358945,"[0.36923076923076925, 0.4192307692307692, 0.6098484848484849, 0.3939393939393939, 0.35]",0.4379446640316206,52,62,114,eeg
P01,valence,logreg,paper_compact,frontal_central,8,secondary,32,8,5,0.5175524475524476,0.0915256440607616,"[0.4461538461538461, 0.39615384615384613, 0.6098484848484849, 0.5606060606060606, 0.575]",0.5355731225296443,52,62,114,eeg
P01,valence,logreg,time_statistical,all_channels,all,primary,8,all,5,0.4938694638694638,0.0378319461134128,"[0.5076923076923077, 0.46923076923076923, 0.4810606060606061, 0.553030303030303, 0.45833333333333337]",0.4996047430830039,52,62,114,eeg
P01,valence,svm,all_eeg,all_channels,10,primary,120,10,5,0.4994871794871794,0.0657893456519741,"[0.6, 0.4807692307692308, 0.5, 0.5, 0.4166666666666667]",0.525691699604743,52,62,114,eeg
P01,valence,svm,all_eeg,all_channels,8,primary,120,8,5,0.5005128205128205,0.014350959301493,"[0.5230769230769231, 0.49615384615384617, 0.5, 0.5, 0.4833333333333333]",0.5260869565217391,52,62,114,eeg
P01,valence,svm,hjorth,all_channels,10,primary,16,10,5,0.5419230769230768,0.062682858815474,"[0.6230769230769231, 0.46153846153846156, 0.5265151515151515, 0.5151515151515151, 0.5833333333333333]",0.5616600790513834,52,62,114,eeg
P01,valence,svm,hjorth,all_channels,8,primary,16,8,5,0.5365850815850817,0.0929517997165416,"[0.6615384615384616, 0.5115384615384616, 0.6022727272727273, 0.46590909090909094, 0.44166666666666665]",0.5604743083003952,52,62,114,eeg
P01,valence,svm,paper_compact,all_channels,10,secondary,64,10,5,0.493111888111888,0.0957076991499224,"[0.45769230769230773, 0.4192307692307692, 0.6553030303030303, 0.5, 0.43333333333333335]",0.508300395256917,52,62,114,eeg
P01,valence,svm,paper_compact,all_channels,8,secondary,64,8,5,0.5052797202797203,0.1010940386259444,"[0.48461538461538467, 0.45769230769230773, 0.6515151515151515, 0.5492424242424242, 0.3833333333333333]",0.5252964426877471,52,62,114,eeg
P01,valence,svm,paper_compact,frontal_central,10,secondary,32,10,5,0.4994055944055944,0.1131785830327175,"[0.4461538461538461, 0.4076923076923077, 0.6931818181818181, 0.5, 0.45]",0.51699604743083,52,62,114,eeg
P01,valence,svm,paper_compact,frontal_central,8,secondary,32,8,5,0.541083916083916,0.0751170700241148,"[0.5615384615384615, 0.4461538461538461, 0.6477272727272727, 0.5, 0.55]",0.5703557312252965,52,62,114,eeg
P01,valence,svm,time_statistical,all_channels,all,primary,8,all,5,0.5023426573426574,0.0413297214496289,"[0.5230769230769231, 0.5, 0.5606060606060606, 0.46969696969696967, 0.4583333333333333]",0.5347826086956522,52,62,114,eeg
P02,arousal,gnb,all_eeg,all_channels,10,primary,120,10,5,0.4475274725274725,0.0777799551116255,"[0.375, 0.5, 0.4583333333333333, 0.5416666666666667, 0.3626373626373626]",0.48,39,61,100,eeg
P02,arousal,gnb,all_eeg,all_channels,8,primary,120,8,5,0.4593864468864469,0.0934802957448745,"[0.375, 0.5, 0.4166666666666667, 0.6041666666666667, 0.4010989010989011]",0.49,39,61,100,eeg
P02,arousal,gnb,paper_compact,all_channels,10,secondary,64,10,5,0.4356684981684982,0.1134174469092575,"[0.3125, 0.4583333333333333, 0.5208333333333333, 0.5625, 0.32417582417582413]",0.45,39,61,100,eeg
