participant,target,classifier,feature_family,channel_subset,feature_count_request,analysis_tier,available_feature_count,fold,feature_count_resolved,outer_folds,sample_size,train_size,test_size,low_count,high_count,balanced_accuracy,accuracy
P01,valence,svm,hjorth,all_channels,10,primary,16,2,10,5,114,91,23,52,62,0.46153846153846156,0.5217391304347826
P01,valence,svm,hjorth,all_channels,10,primary,16,3,10,5,114,91,23,52,62,0.5265151515151515,0.5217391304347826
P01,valence,svm,hjorth,all_channels,10,primary,16,4,10,5,114,91,23,52,62,0.5151515151515151,0.5217391304347826
P01,valence,svm,hjorth,all_channels,10,primary,16,5,10,5,114,92,22,52,62,0.5833333333333333,0.5909090909090909
P01,valence,gnb,hjorth,all_channels,10,primary,16,1,10,5,114,91,23,52,62,0.5846153846153846,0.6086956521739131
P01,valence,gnb,hjorth,all_channels,10,primary,16,2,10,5,114,91,23,52,62,0.6076923076923078,0.6086956521739131
P01,valence,gnb,hjorth,all_channels,10,primary,16,3,10,5,114,91,23,52,62,0.6022727272727273,0.6086956521739131
P01,valence,gnb,hjorth,all_channels,10,primary,16,4,10,5,114,91,23,52,62,0.4166666666666667,0.43478260869565216
P01,valence,gnb,hjorth,all_channels,10,primary,16,5,10,5,114,92,22,52,62,0.5833333333333333,0.5909090909090909
P01,valence,logreg,time_statistical,all_channels,all,primary,8,1,all,5,114,91,23,52,62,0.5076923076923077,0.5217391304347826
P01,valence,logreg,time_statistical,all_channels,all,primary,8,2,all,5,114,91,23,52,62,0.46923076923076923,0.4782608695652174
P01,valence,logreg,time_statistical,all_channels,all,primary,8,3,all,5,114,91,23,52,62,0.4810606060606061,0.4782608695652174
P01,valence,logreg,time_statistical,all_channels,all,primary,8,4,all,5,114,91,23,52,62,0.553030303030303,0.5652173913043478
P01,valence,logreg,time_statistical,all_channels,all,primary,8,5,all,5,114,92,22,52,62,0.45833333333333337,0.45454545454545453
P01,valence,svm,time_statistical,all_channels,all,primary,8,1,all,5,114,91,23,52,62,0.5230769230769231,0.5652173913043478
P01,valence,svm,time_statistical,all_channels,all,primary,8,2,all,5,114,91,23,52,62,0.5,0.5652173913043478
P01,valence,svm,time_statistical,all_channels,all,primary,8,3,all,5,114,91,23,52,62,0.5606060606060606,0.5652173913043478
P01,valence,svm,time_statistical,all_channels,all,primary,8,4,all,5,114,91,23,52,62,0.46969696969696967,0.4782608695652174
P01,valence,svm,time_statistical,all_channels,all,primary,8,5,all,5,114,92,22,52,62,0.4583333333333333,0.5
P01,valence,gnb,time_statistical,all_channels,all,primary,8,1,all,5,114,91,23,52,62,0.46923076923076923,0.4782608695652174
