participant,target,task,task_label,feature,geometry,median_contribution,p95_contribution,largest_contributor_pct,median_abs_contribution,median_signed_contribution,direction,dominant_contributor_pct
P19,arousal,shape_sorter_observation,Shape Sorter Observation,eeg_bp_beta__PO8,nearest_image_neighbor,0.01844279233669816,0.40509801827585373,6.779661016949152,,,,
P19,arousal,shape_sorter_observation,Shape Sorter Observation,eeg_bp_beta__PO8,mean_of_11_image_neighbors,0.028652062003658996,0.2845282998194908,5.084745762711865,,,,
P19,arousal,shape_sorter_observation,Shape Sorter Observation,eeg_bp_beta__Pz,nearest_image_neighbor,0.0020840014630838506,0.035404030465959836,0.0,,,,
P19,arousal,shape_sorter_observation,Shape Sorter Observation,eeg_bp_beta__Pz,mean_of_11_image_neighbors,0.002839512272942595,0.043902592023639844,0.0,,,,
P19,arousal,stack,Stack,eeg_se__Fz,nearest_image_neighbor,0.16683435735779137,0.27174176659728255,1.4705882352941175,,,,
P19,arousal,stack,Stack,eeg_se__Fz,mean_of_11_image_neighbors,0.2244880088179046,0.33774761632262573,4.411764705882353,,,,
P19,arousal,stack,Stack,eeg_hm__Fz,nearest_image_neighbor,0.035693865252522564,0.05045821072959744,0.0,,,,
P19,arousal,stack,Stack,eeg_hm__Fz,mean_of_11_image_neighbors,0.036527260840805716,0.05124149574435644,0.0,,,,
P19,arousal,stack,Stack,eeg_hm__PO8,nearest_image_neighbor,0.004544072311790085,0.1037841690891482,1.4705882352941175,,,,
P19,arousal,stack,Stack,eeg_hm__PO8,mean_of_11_image_neighbors,0.00851215815530771,0.042662280866736395,0.0,,,,
P19,arousal,stack,Stack,eeg_hc__Fz,nearest_image_neighbor,0.6608953058828728,0.786836095325076,86.76470588235294,,,,
P19,arousal,stack,Stack,eeg_hc__Fz,mean_of_11_image_neighbors,0.575534119666123,0.74071273877241,88.23529411764706,,,,
P19,arousal,stack,Stack,eeg_hc__PO8,nearest_image_neighbor,0.024783298888552352,0.09805972245390422,0.0,,,,
P19,arousal,stack,Stack,eeg_hc__PO8,mean_of_11_image_neighbors,0.03430796082311126,0.11227252319915026,0.0,,,,
P19,arousal,stack,Stack,eeg_mf_hz__Fz,nearest_image_neighbor,0.0011052597753796985,0.004434916730351319,0.0,,,,
P19,arousal,stack,Stack,eeg_mf_hz__Fz,mean_of_11_image_neighbors,0.002917658678919226,0.011093222039223827,0.0,,,,
P19,arousal,stack,Stack,eeg_mf_hz__PO8,nearest_image_neighbor,0.005661614898996328,0.02031394688517937,0.0,,,,
