mode,target,modality,classifier,feature_count_request,feature_count_resolved,feature,selected_folds,outer_folds,selection_frequency,mean_feature_score
individual,arousal,eeg,gnb,20,20,eeg_mf_hz__C4,17,5,0.34,2.039314427056923
individual,arousal,eeg,gnb,20,20,eeg_se__Oz,17,5,0.34,2.2207077779130433
individual,arousal,eeg,gnb,20,20,eeg_bp_delta__Fz,16,5,0.32,2.0128278914302755
individual,arousal,eeg,gnb,20,20,eeg_bp_delta__Oz,16,5,0.32,1.9657035122982953
individual,arousal,eeg,gnb,20,20,eeg_se__C3,16,5,0.32,1.9008258264921767
individual,arousal,eeg,gnb,20,20,eeg_se_theta__PO7,15,5,0.3,1.9190183700406636
individual,arousal,eeg,gnb,20,20,eeg_se_theta__PO8,15,5,0.3,1.8135764699438344
individual,arousal,eeg,gnb,20,20,eeg_bp_beta__Pz,14,5,0.28,2.055862437508429
individual,arousal,eeg,gnb,20,20,eeg_se__Cz,14,5,0.28,2.221239592298642
individual,arousal,eeg,gnb,20,20,eeg_se_delta__Cz,14,5,0.28,2.2414456733631503
individual,arousal,eeg,gnb,20,20,eeg_bp_gamma__PO8,13,5,0.26,1.4362844080245145
individual,arousal,eeg,gnb,20,20,eeg_bp_theta__Oz,13,5,0.26,1.3978727387305099
individual,arousal,eeg,gnb,20,20,eeg_mf_hz__Fz,13,5,0.26,2.063616416637124
individual,arousal,eeg,gnb,20,20,eeg_bp_beta__Oz,12,5,0.24,1.5494529536889063
individual,arousal,eeg,gnb,20,20,eeg_bp_delta__Cz,12,5,0.24,2.051950818654613
individual,arousal,eeg,gnb,20,20,eeg_hm__C3,12,5,0.24,1.451789540078912
individual,arousal,eeg,gnb,20,20,eeg_mf_hz__PO8,12,5,0.24,2.007480542385567
individual,arousal,eeg,gnb,20,20,eeg_hm__Fz,11,5,0.22,2.0518371343675854
individual,arousal,eeg,gnb,20,20,eeg_mf_hz__Oz,11,5,0.22,1.7727956471228066
individual,arousal,eeg,gnb,20,20,eeg_se__C4,11,5,0.22,1.2302497741005092
individual,arousal,eeg,gnb,20,20,eeg_se__Pz,11,5,0.22,1.385493269531433
individual,arousal,eeg,gnb,20,20,eeg_se_theta__C3,11,5,0.22,1.253335469336776
individual,arousal,eeg,gnb,20,20,eeg_bp_gamma__Fz,10,5,0.2,1.4402025760566923
individual,arousal,eeg,gnb,20,20,eeg_bp_theta__Cz,10,5,0.2,1.4629868075633623
individual,arousal,eeg,gnb,20,20,eeg_hc__Fz,10,5,0.2,2.387407266433144
individual,arousal,eeg,gnb,20,20,eeg_hm__C4,10,5,0.2,1.809070376507213
individual,arousal,eeg,gnb,20,20,eeg_sd__Cz,10,5,0.2,1.3429001422928528
individual,arousal,eeg,gnb,20,20,eeg_se_alpha__C3,10,5,0.2,1.3918259638685913
individual,arousal,eeg,gnb,20,20,eeg_bp_alpha__C3,9,5,0.18,1.273432830562027
individual,arousal,eeg,gnb,20,20,eeg_bp_alpha__PO7,9,5,0.18,1.2322690353465056
individual,arousal,eeg,gnb,20,20,eeg_bp_beta__Fz,9,5,0.18,2.390546206059666
individual,arousal,eeg,gnb,20,20,eeg_se__Fz,9,5,0.18,1.9054714069832304
individual,arousal,eeg,gnb,20,20,eeg_se_alpha__Fz,9,5,0.18,1.0770017077793326
individual,arousal,eeg,gnb,20,20,eeg_se_beta__Cz,9,5,0.18,1.1988746079358203
individual,arousal,eeg,gnb,20,20,eeg_se_beta__Fz,9,5,0.18,1.4294631190785345
individual,arousal,eeg,gnb,20,20,eeg_bp_alpha__PO8,8,5,0.16,1.5005149131699511
individual,arousal,eeg,gnb,20,20,eeg_bp_beta__C4,8,5,0.16,1.401474815236346
individual,arousal,eeg,gnb,20,20,eeg_bp_gamma__Cz,8,5,0.16,1.4055545089282178
individual,arousal,eeg,gnb,20,20,eeg_bp_theta__Fz,8,5,0.16,0.9982159962194
individual,arousal,eeg,gnb,20,20,eeg_bp_theta__PO8,8,5,0.16,1.1519647630821002
individual,arousal,eeg,gnb,20,20,eeg_mf_hz__C3,8,5,0.16,1.0170807134414055
individual,arousal,eeg,gnb,20,20,eeg_mf_hz__PO7,8,5,0.16,1.5487244321179634
individual,arousal,eeg,gnb,20,20,eeg_sd__C4,8,5,0.16,1.4295338035683272
individual,arousal,eeg,gnb,20,20,eeg_se_alpha__PO8,8,5,0.16,1.0735759254736312
individual,arousal,eeg,gnb,20,20,eeg_se_delta__Oz,8,5,0.16,1.2760910468742268
