Timestamp,Experiment_Time,Frame_Count,Trigger,Emotion
2026-05-26 15:15:17.793,0.486,1,0,no face
2026-05-26 15:15:18.268,0.96,2,0,no face
2026-05-26 15:15:18.291,0.983,3,0,no face
2026-05-26 15:15:18.324,1.017,4,0,no face
2026-05-26 15:15:18.357,1.05,5,0,no face
2026-05-26 15:15:18.391,1.083,6,0,no face
2026-05-26 15:15:18.424,1.117,7,0,no face
2026-05-26 15:15:18.458,1.15,8,0,no face
2026-05-26 15:15:18.495,1.188,9,0,no face
2026-05-26 15:15:18.524,1.216,10,0,no face
2026-05-26 15:15:18.557,1.25,11,0,no face
2026-05-26 15:15:18.591,1.284,12,0,no face
2026-05-26 15:15:18.624,1.317,13,0,no face
2026-05-26 15:15:18.657,1.35,14,0,no face
2026-05-26 15:15:18.691,1.384,15,0,no face
2026-05-26 15:15:18.724,1.417,16,0,no face
2026-05-26 15:15:18.757,1.45,17,0,no face
2026-05-26 15:15:18.791,1.483,18,0,no face
2026-05-26 15:15:18.825,1.518,19,0,no face
2026-05-26 15:15:18.858,1.551,20,0,no face
2026-05-26 15:15:18.891,1.583,21,0,no face
2026-05-26 15:15:18.924,1.617,22,0,no face
2026-05-26 15:15:18.957,1.65,23,0,no face
2026-05-26 15:15:18.991,1.683,24,0,no face
2026-05-26 15:15:19.024,1.717,25,0,no face
2026-05-26 15:15:19.058,1.75,26,0,no face
2026-05-26 15:15:19.091,1.783,27,0,no face
2026-05-26 15:15:19.145,1.838,28,0,no face
2026-05-26 15:15:19.162,1.855,29,0,no face
2026-05-26 15:15:19.191,1.883,30,0,no face
2026-05-26 15:15:19.224,1.917,31,0,no face
2026-05-26 15:15:19.258,1.951,32,0,no face
2026-05-26 15:15:19.291,1.984,33,0,no face
2026-05-26 15:15:19.324,2.017,34,0,no face
2026-05-26 15:15:19.358,2.05,35,0,no face
2026-05-26 15:15:19.391,2.084,36,0,no face
2026-05-26 15:15:19.424,2.117,37,0,no face
2026-05-26 15:15:19.458,2.15,38,0,no face
2026-05-26 15:15:19.491,2.184,39,0,no face
2026-05-26 15:15:19.525,2.218,40,0,no face
2026-05-26 15:15:19.558,2.25,41,0,no face
2026-05-26 15:15:19.591,2.284,42,0,no face
2026-05-26 15:15:19.625,2.317,43,0,no face
2026-05-26 15:15:19.658,2.35,44,0,no face
2026-05-26 15:15:19.691,2.384,45,0,no face
2026-05-26 15:15:19.725,2.418,46,0,no face
2026-05-26 15:15:19.758,2.45,47,0,no face
2026-05-26 15:15:19.793,2.485,48,0,no face
2026-05-26 15:15:19.824,2.517,49,0,no face
2026-05-26 15:15:19.858,2.55,50,0,no face
2026-05-26 15:15:19.892,2.585,51,0,no face
2026-05-26 15:15:19.925,2.617,52,0,no face
