trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,stim_id,category,trigger_sent,image_path,valence_rating,valence_rt,arousal_rating,arousal_rt,participant,session,
0,-1,-1,0,,,Cat 10.jpg,LAHV,321,/home/sysgen/Projects/Yolanda/Thesis_EEG_Robots/eeg_emotion_experiment/stimuli/LAHV/Cat 10.jpg,6,1.1795687675476074,3,0.9151413440704346,P01,001,
0,-1,-1,0,,,Fireworks 1.jpg,HAHV,110,/home/sysgen/Projects/Yolanda/Thesis_EEG_Robots/eeg_emotion_experiment/stimuli/HAHV/Fireworks 1.jpg,5,1.3634014129638672,3,3.2638494968414307,P01,001,
0,-1,-1,0,,,Miserable pose 2.jpg,LALV,419,/home/sysgen/Projects/Yolanda/Thesis_EEG_Robots/eeg_emotion_experiment/stimuli/LALV/Miserable pose 2.jpg,3,1.4470765590667725,5,1.46439790725708,P01,001,
0,-1,-1,0,,,Woods 1.jpg,LAHV,310,/home/sysgen/Projects/Yolanda/Thesis_EEG_Robots/eeg_emotion_experiment/stimuli/LAHV/Woods 1.jpg,2,1.7497708797454834,5,1.5804157257080078,P01,001,
0,-1,-1,0,,,Destruction 10.jpg,HALV,216,/home/sysgen/Projects/Yolanda/Thesis_EEG_Robots/eeg_emotion_experiment/stimuli/HALV/Destruction 10.jpg,2,1.463317632675171,6,1.2817192077636719,P01,001,
0,-1,-1,0,,,Neutral pose 1.jpg,LAHV,314,/home/sysgen/Projects/Yolanda/Thesis_EEG_Robots/eeg_emotion_experiment/stimuli/LAHV/Neutral pose 1.jpg,5,0.9439423084259033,3,1.1838881969451904,P01,001,
0,-1,-1,0,,,Bee 1.jpg,HAHV,127,/home/sysgen/Projects/Yolanda/Thesis_EEG_Robots/eeg_emotion_experiment/stimuli/HAHV/Bee 1.jpg,7,1.6946909427642822,2,2.063941478729248,P01,001,
0,-1,-1,0,,,Jail 5.jpg,LALV,428,/home/sysgen/Projects/Yolanda/Thesis_EEG_Robots/eeg_emotion_experiment/stimuli/LALV/Jail 5.jpg,3,3.4636476039886475,5,1.6982529163360596,P01,001,
0,-1,-1,0,,,Father 1.jpg,HAHV,111,/home/sysgen/Projects/Yolanda/Thesis_EEG_Robots/eeg_emotion_experiment/stimuli/HAHV/Father 1.jpg,5,1.8645203113555908,5,0.7143869400024414,P01,001,
0,-1,-1,0,,,Statue 2.jpg,LAHV,325,/home/sysgen/Projects/Yolanda/Thesis_EEG_Robots/eeg_emotion_experiment/stimuli/LAHV/Statue 2.jpg,5,2.110844135284424,3,1.3839006423950195,P01,001,
0,-1,-1,0,,,Keyboard 3.jpg,LAHV,306,/home/sysgen/Projects/Yolanda/Thesis_EEG_Robots/eeg_emotion_experiment/stimuli/LAHV/Keyboard 3.jpg,4,0.5294971466064453,4,0.5975322723388672,P01,001,
0,-1,-1,0,,,Cold 1.jpg,LAHV,312,/home/sysgen/Projects/Yolanda/Thesis_EEG_Robots/eeg_emotion_experiment/stimuli/LAHV/Cold 1.jpg,2,1.1122558116912842,6,1.9161834716796875,P01,001,
0,-1,-1,0,,,Plane crash 1.jpg,HALV,225,/home/sysgen/Projects/Yolanda/Thesis_EEG_Robots/eeg_emotion_experiment/stimuli/HALV/Plane crash 1.jpg,3,1.7780208587646484,5,1.3501384258270264,P01,001,
0,-1,-1,0,,,Cat 4.jpg,HAHV,113,/home/sysgen/Projects/Yolanda/Thesis_EEG_Robots/eeg_emotion_experiment/stimuli/HAHV/Cat 4.jpg,6,2.346611738204956,None,5.0,P01,001,
