old_best_modality,old_best_ba,old_best_classifier,old_feature_count_request,old_feature_count_resolved,participant,target,new_best_modality,new_best_ba,new_best_classifier,new_feature_family,new_channel_subset,new_feature_count_request,new_feature_count_resolved,delta_ba,comparison_outcome
eeg,0.5833333333333333,gnb,all,all,P27,valence,multimodal,0.5983333333333333,svm,all_eeg_plus_face,all_channels,5,5,0.015000000000000013,improved
eeg,0.6086904761904762,gnb,5,5,P28,valence,face,0.6181944444444445,logreg,face_geometry,all_face,all,all,0.009503968253968265,improved
eeg,0.6076923076923076,svm,5,5,P29,valence,eeg,0.6713675213675214,svm,paper_compact,all_channels,10,10,0.06367521367521378,improved
face,0.5903263403263403,gnb,10,10,P30,valence,face,0.5903263403263403,gnb,face_geometry,all_face,all,all,0.0,tied
face,0.5362470862470863,knn,5,5,P31,valence,face,0.5089743589743589,svm,face_geometry,all_face,5,5,-0.027272727272727337,worsened
eeg,0.61497668997669,gnb,20,20,P32,valence,multimodal,0.6065268065268066,logreg,all_eeg_plus_face,all_channels,10,10,-0.0084498834498834,worsened
face,0.6583333333333333,svm,5,5,P33,valence,face,0.6583333333333334,svm,face_geometry,all_face,5,5,1.1102230246251565e-16,improved
multimodal,0.5382051282051281,knn,5,5,P34,valence,eeg,0.5205128205128206,logreg,paper_compact,all_channels,8,8,-0.017692307692307563,worsened
eeg,0.6482983682983683,knn,all,all,P35,valence,face,0.6302397602397602,svm,face_geometry,all_face,all,all,-0.01805860805860804,worsened
multimodal,0.7144444444444444,svm,5,5,P36,valence,multimodal,0.7075252525252524,logreg,all_eeg_plus_face,all_channels,5,5,-0.0069191919191919915,worsened
multimodal,0.5971794871794872,gnb,all,all,P37,valence,eeg,0.5933760683760684,logreg,hjorth,all_channels,10,10,-0.0038034188034188343,worsened
multimodal,0.5433333333333333,svm,20,20,P38,valence,multimodal,0.5904761904761905,svm,all_eeg_plus_face,all_channels,20,20,0.04714285714285715,improved
multimodal,0.6672268907563025,svm,10,10,P39,valence,eeg,0.7042016806722688,svm,all_eeg,all_channels,8,8,0.036974789915966366,improved
multimodal,0.642887112887113,svm,all,all,P40,valence,multimodal,0.6281418581418581,svm,all_eeg_plus_face,all_channels,20,20,-0.014745254745254899,worsened
eeg,0.6013286713286714,knn,all,all,P41,valence,multimodal,0.5852447552447553,gnb,all_eeg_plus_face,all_channels,10,10,-0.016083916083916128,worsened
face,0.5993506493506493,gnb,5,5,P42,valence,face,0.5993506493506493,gnb,face_geometry,all_face,5,5,0.0,tied
eeg,0.5456944444444445,knn,10,10,P43,valence,face,0.5990277777777778,logreg,face_geometry,all_face,all,all,0.053333333333333344,improved
face,0.595063025210084,knn,10,10,P44,valence,face,0.5621848739495798,logreg,face_geometry,all_face,all,all,-0.032878151260504196,worsened
face,0.5936111111111111,svm,10,10,P45,valence,eeg,0.5845833333333333,gnb,hjorth,all_channels,10,10,-0.009027777777777746,worsened
face,0.6009490509490509,gnb,5,5,P46,valence,eeg,0.6252747252747253,logreg,paper_compact,all_channels,10,10,0.02432567432567434,improved
