target,modality,participants,old_mean_participant_best_ba,new_mean_participant_best_ba,mean_delta_ba,old_median_participant_best_ba,new_median_participant_best_ba,median_delta_ba,improved_count,worsened_count,tied_count,old_ge_060_count,new_ge_060_count,old_ge_065_count,new_ge_065_count,old_maximum_participant_best_ba,new_maximum_participant_best_ba
arousal,eeg,46,0.5682093391476385,0.5846718473807503,0.016462508233111916,0.5658000700280112,0.5842390942390943,0.011230158730158757,33,13,0,10,16,4,5,0.6573426573426573,0.7041958041958042
arousal,face,46,0.5589536969420702,0.563223452468472,0.004269755526401775,0.5663417832167832,0.5673526473526473,0.0,20,14,12,7,12,2,1,0.6777777777777778,0.6777777777777778
arousal,multimodal,46,0.5759825007331401,0.573463134265564,-0.002519366467576183,0.5749925074925075,0.5739316239316239,-0.0007692307692307998,17,23,6,13,13,4,5,0.6779420579420579,0.7041958041958042
valence,eeg,46,0.5764645727005231,0.5891927893078788,0.012728216607355786,0.5778704628704628,0.5869039661319073,0.012402042402042346,27,19,0,14,18,3,4,0.6618181818181819,0.7042016806722688
valence,face,46,0.5768763953456544,0.5771426279408512,0.00026623259519680036,0.5872960372960373,0.5817991730491731,0.0,19,15,12,14,15,2,1,0.6882917082917083,0.6583333333333334
valence,multimodal,46,0.5813729563518397,0.5749385110428823,-0.00643444530895737,0.5833300767859592,0.5815834165834166,0.0,17,19,10,16,16,2,4,0.7144444444444444,0.7075252525252524
