participant,target,old_best_ba,new_best_ba,delta_ba,improved,old_ge_060,old_ge_065,new_ge_060,new_ge_065
P01,arousal,0.5414529914529915,0.5818070818070817,0.04035409035409021,True,False,False,False,False
P02,arousal,0.525915750915751,0.4967032967032967,-0.02921245421245433,False,False,False,False,False
P03,arousal,0.5716666666666667,0.5833333333333334,0.011666666666666714,True,False,False,False,False
P04,arousal,0.6112637362637362,0.5157051282051283,-0.09555860805860794,False,True,False,False,False
P05,arousal,0.6007936507936508,0.6428571428571429,0.042063492063492136,True,True,False,True,False
P06,arousal,0.6171728271728272,0.6549950049950051,0.037822177822177894,True,True,False,True,True
P07,arousal,0.51,0.5566666666666666,0.046666666666666634,True,False,False,False,False
P08,arousal,0.5604545454545454,0.5687878787878787,0.008333333333333304,True,False,False,False,False
P09,arousal,0.6535714285714286,0.6473214285714286,-0.006249999999999978,False,True,True,True,False
P10,arousal,0.509965034965035,0.5016899766899767,-0.008275058275058256,False,False,False,False,False
P11,arousal,0.5576723276723277,0.5851448551448551,0.027472527472527486,True,False,False,False,False
P12,arousal,0.5,0.5862068965517242,0.0862068965517242,True,False,False,False,False
P13,arousal,0.6559090909090909,0.6392929292929292,-0.01661616161616164,False,True,True,True,False
P14,arousal,0.558076923076923,0.6201282051282051,0.062051282051282075,True,False,False,True,False
P15,arousal,0.5790196078431371,0.5216666666666667,-0.057352941176470384,False,False,False,False,False
P16,arousal,0.6255555555555555,0.6788888888888889,0.053333333333333344,True,True,False,True,True
P17,arousal,0.619000933706816,0.626890756302521,0.007889822595705032,True,True,False,True,False
P18,arousal,0.5847902097902098,0.5952797202797203,0.010489510489510523,True,False,False,False,False
P19,arousal,0.6573426573426573,0.7041958041958042,0.0468531468531469,True,True,True,True,True
P20,arousal,0.562948717948718,0.5215384615384615,-0.04141025641025653,False,False,False,False,False
P21,arousal,0.5792735042735042,0.6003205128205128,0.021047008547008583,True,False,False,True,False
P22,arousal,0.5841269841269842,0.594920634920635,0.0107936507936508,True,False,False,False,False
P23,arousal,0.480672268907563,0.5131827731092437,0.03251050420168067,True,False,False,False,False
P24,arousal,0.5969463869463869,0.5647086247086247,-0.0322377622377622,False,False,False,False,False
P25,arousal,0.5947852147852147,0.6008691308691309,0.006083916083916119,True,False,False,True,False
P26,arousal,0.5819047619047619,0.6258730158730159,0.04396825396825399,True,False,False,True,False
P27,arousal,0.5381318681318682,0.5831318681318681,0.04499999999999993,True,False,False,False,False
P28,arousal,0.5092857142857142,0.5294642857142857,0.02017857142857149,True,False,False,False,False
P29,arousal,0.5754761904761905,0.5428571428571429,-0.03261904761904755,False,False,False,False,False
