summary_type,target,old_mean_participant_best_ba,new_mean_participant_best_ba,mean_difference_new_minus_old,old_median_participant_best_ba,new_median_participant_best_ba,median_difference_new_minus_old,improved_count,worsened_count,tied_count,old_ge_060_count,new_ge_060_count,old_ge_065_count,new_ge_065_count,old_maximum_participant_best_ba,new_maximum_participant_best_ba,old_configuration_rows,new_configuration_rows,old_configuration_mean_ba,new_configuration_mean_ba,old_configuration_max_ba,new_configuration_max_ba,old_configuration_ge_060_count,new_configuration_ge_060_count,old_configuration_ge_065_count,new_configuration_ge_065_count
participant_level_best,valence,0.5764645727005231,0.5891927893078788,0.012728216607355786,0.5778704628704628,0.5869039661319073,0.012402042402042346,27.0,19.0,0.0,14.0,18.0,3.0,4.0,0.6618181818181819,0.7042016806722688,,,,,,,,,,
configuration_level_context,valence,,,,,,,,,,,,,,,,552.0,1242.0,0.5129711316633766,0.5134461527248801,0.6618181818181819,0.7042016806722688,28.0,84.0,3.0,9.0
participant_level_best,arousal,0.5682093391476385,0.5846718473807503,0.016462508233111916,0.5658000700280112,0.5842390942390943,0.011230158730158757,33.0,13.0,0.0,10.0,16.0,4.0,5.0,0.6573426573426573,0.7041958041958042,,,,,,,,,,
configuration_level_context,arousal,,,,,,,,,,,,,,,,552.0,828.0,0.5103497165411796,0.5128277340670041,0.6573426573426573,0.7041958041958042,30.0,70.0,5.0,15.0
