target,participants,old_mean_participant_best_ba,new_mean_participant_best_ba,old_median_participant_best_ba,new_median_participant_best_ba,mean_delta_ba,median_delta_ba,improved_count,worsened_count,tied_count,old_ge_060_count,old_ge_060_fraction,new_ge_060_count,new_ge_060_fraction,old_ge_065_count,old_ge_065_fraction,new_ge_065_count,new_ge_065_fraction,old_maximum_participant_best_ba,new_maximum_participant_best_ba,winning_modality_changed_count
arousal,46,0.5968799096612395,0.608578286033033,0.5945354645354646,0.6080158730158729,0.011698376371793346,0.004716949716949748,29,13,4,19,0.41304347826086957,27,0.5869565217391305,7,0.15217391304347827,8,0.17391304347826086,0.6779420579420579,0.7041958041958042,17
valence,46,0.6035937074098335,0.6084131813767364,0.6011388611388612,0.6081443556443558,0.004819473966902968,0.0,22,18,6,24,0.5217391304347826,25,0.5434782608695652,6,0.13043478260869565,7,0.15217391304347827,0.7144444444444444,0.7075252525252524,25
