participant,target,n_configurations,median_ba,mean_ba,upper_quartile_ba,maximum_ba,fraction_ba_ge_55,fraction_ba_ge_60,pooled_fold_ba_sd,pooled_fold_ba_min,pooled_fold_ba_max,eeg_usable_trials,face_usable_trials,valence_multimodal_usable_trials,arousal_multimodal_usable_trials,eeg_retention_percent,face_detection_percent,motion_correction_percent,missing_valence,missing_arousal,qc_group,reason,optimized_n_configurations,optimized_median_ba,optimized_maximum_ba,optimized_fraction_ba_ge_60
P41,arousal,36,0.5268681318681319,0.5236000419333753,0.5633272283272284,0.5874236874236874,0.3333333333333333,0.0,0.10186323054684215,0.3,0.8642857142857143,117,120,117,117,97.5,100.0,30.0,0,0,Clean with minor EEG loss,Retention at or above cohort first quartile.,,,,
P35,arousal,36,0.4789303221288515,0.48758364456893866,0.5189732142857143,0.5864285714285714,0.08333333333333333,0.0,0.09694450021315129,0.2666666666666666,0.7232142857142857,114,120,114,114,95.0,99.98611111111111,23.33333333333333,0,0,Review due to elevated EEG rejection,Retention below cohort first quartile (96.7%).,,,,
P30,arousal,36,0.46840277777777783,0.4815239197530864,0.4999305555555556,0.5852777777777778,0.1111111111111111,0.0,0.08378850632407277,0.2777777777777778,0.7,116,120,116,116,96.66666666666669,100.0,21.666666666666668,0,0,Clean with minor EEG loss,Retention at or above cohort first quartile.,,,,
P20,arousal,36,0.49083333333333334,0.49479967200555436,0.5143040293040293,0.585,0.08333333333333333,0.0,0.07430404022009467,0.3076923076923077,0.7628205128205128,117,120,117,117,97.5,100.0,28.33333333333333,0,0,Clean with minor EEG loss,Retention at or above cohort first quartile.,,,,
P11,arousal,36,0.5343156843156843,0.5357486957486958,0.571958041958042,0.5822277722277722,0.3611111111111111,0.0,0.08458537976075611,0.2857142857142857,0.7342657342657343,120,120,120,120,100.0,100.0,20.83333333333333,0,0,Very clean,No AutoReject epoch losses.,,,,
P26,arousal,36,0.5311706349206349,0.5137312610229277,0.5535714285714286,0.5819047619047619,0.3055555555555556,0.0,0.08959326175839408,0.2666666666666666,0.7261904761904762,117,120,117,117,97.5,99.98611111111111,19.166666666666668,0,0,Clean with minor EEG loss,Retention at or above cohort first quartile.,,,,
P14,arousal,36,0.5221794871794871,0.5242454304954305,0.5498397435897436,0.5807692307692307,0.25,0.0,0.07574074543628283,0.3423076923076923,0.7785714285714285,116,120,116,116,96.66666666666669,99.98611111111111,26.666666666666668,0,0,Clean with minor EEG loss,Retention at or above cohort first quartile.,,,,
P43,arousal,36,0.5071428571428571,0.5038007054673721,0.5214285714285715,0.5782539682539682,0.027777777777777776,0.0,0.07615610594923203,0.3222222222222222,0.7,120,120,120,120,100.0,100.0,19.166666666666668,0,0,Very clean,No AutoReject epoch losses.,,,,
P29,arousal,36,0.48125,0.4904497354497354,0.5042857142857142,0.5754761904761905,0.05555555555555555,0.0,0.07232531344279501,0.3482142857142857,0.75,110,120,110,110,91.66666666666669,100.0,28.33333333333333,0,0,Review due to elevated EEG rejection,Retention below cohort first quartile (96.7%).,,,,
P03,arousal,36,0.515,0.49638888888888894,0.5387500000000001,0.575,0.16666666666666666,0.0,0.14881880258382313,0.0833333333333333,0.9166666666666669,53,54,53,53,100.0,100.0,15.09433962264151,0,0,Special/incomplete case,Approved incomplete EEG session.,,,,
P45,arousal,36,0.4917982017982018,0.4908549783549783,0.5023901098901099,0.574985014985015,0.08333333333333333,0.0,0.09664448604947043,0.2642857142857143,0.7785714285714285,120,120,120,120,100.0,100.0,22.5,0,0,Very clean,No AutoReject epoch losses.,,,,
P39,arousal,36,0.49058441558441557,0.5010786435786436,0.5176190476190476,0.5711904761904762,0.16666666666666666,0.0,0.08221697591754637,0.3809523809523809,0.8333333333333333,117,120,117,117,97.5,100.0,25.83333333333333,0,0,Clean with minor EEG loss,Retention at or above cohort first quartile.,,,,
P10,arousal,36,0.49204545454545456,0.49314782439782445,0.5516317016317016,0.5697552447552447,0.2777777777777778,0.0,0.09443490259940812,0.2083333333333333,0.7027972027972028,120,120,120,120,100.0,100.0,17.5,0,0,Very clean,No AutoReject epoch losses.,,,,
P33,arousal,36,0.4822128851540616,0.4899639485423799,0.5118230625583566,0.5686741363211951,0.08333333333333333,0.0,0.07309594381423883,0.2941176470588235,0.7352941176470589,117,120,117,117,97.5,100.0,23.33333333333333,0,0,Clean with minor EEG loss,Retention at or above cohort first quartile.,,,,
P34,arousal,36,0.4934640522875817,0.49198146851333124,0.5100475606909431,0.5661239495798319,0.08333333333333333,0.0,0.08829346019369004,0.25,0.8333333333333333,118,120,118,118,98.33333333333331,100.0,24.166666666666668,0,0,Clean with minor EEG loss,Retention at or above cohort first quartile.,,,,
P08,arousal,36,0.4806060606060606,0.4754166666666666,0.49943181818181814,0.5604545454545454,0.05555555555555555,0.0,0.09685540056384528,0.125,0.6666666666666667,109,119,109,109,90.83333333333331,99.09734759061242,26.666666666666668,0,0,Review due to elevated EEG rejection,Retention below cohort first quartile (96.7%).,,,,
P27,arousal,36,0.4815934065934065,0.4869483180886689,0.5080494505494505,0.5571428571428572,0.027777777777777776,0.0,0.075888406611986,0.3055555555555556,0.7678571428571428,116,120,116,116,96.66666666666669,100.0,23.33333333333333,0,0,Clean with minor EEG loss,Retention at or above cohort first quartile.,,,,
P31,arousal,36,0.47010489510489506,0.47186771561771557,0.5144085081585081,0.5466200466200466,0.0,0.0,0.1029477217428031,0.2159090909090909,0.75,116,120,116,116,96.66666666666669,100.0,,0,0,Clean with minor EEG loss,"Retained 116/120 trials (96.667%), meeting the established clean-cohort boundary with complete ratings.",,,,
P07,arousal,36,0.485,0.4843386243386243,0.495,0.5390476190476191,0.0,0.0,0.05439631575934482,0.325,0.6583333333333333,120,120,119,120,100.0,100.0,,1,0,Review due to missing ratings,Observed ratings remain missing; strict cohort preserves missingness rather than imputing it.,,,,
P32,arousal,36,0.5,0.5033333333333333,0.5285714285714286,0.5378571428571428,0.0,0.0,0.08594807170337872,0.3333333333333333,0.7619047619047619,120,120,120,120,100.0,100.0,26.666666666666668,0,0,Very clean,No AutoReject epoch losses.,,,,
P02,arousal,36,0.45414377289377283,0.46851173517840183,0.4981112637362637,0.525915750915751,0.0,0.0,0.085368634042482,0.2692307692307692,0.6875,110,120,85,101,91.66666666666669,99.95833333333331,22.5,27,10,Review due to missing ratings,At least one target rating is absent.,,,,
P12,arousal,36,0.5,0.4971264367816092,0.5,0.5,0.0,0.0,0.007351748839848643,0.4655172413793103,0.5,120,120,120,120,100.0,100.0,,0,0,Very clean,All 120 EEG trials retained with complete ratings and no incomplete-session flag.,,,,
P36,valence,36,0.5834848484848485,0.5801961926961927,0.6040617715617715,0.7144444444444444,0.75,0.2777777777777778,0.09083835614488454,0.3737373737373737,0.9444444444444444,102,120,102,102,85.0,100.0,34.166666666666664,0,0,Review due to elevated EEG rejection,Retention below cohort first quartile (96.7%).,105.0,0.5909090909090909,0.7075252525252524,0.41904761904761906
P17,valence,36,0.5918231768231768,0.5983205683205682,0.6129895104895104,0.6882917082917083,0.9444444444444444,0.3888888888888889,0.08613982179568407,0.3857142857142857,0.7846153846153847,118,120,118,118,98.33333333333331,99.81944444444444,18.33333333333333,0,0,Clean with minor EEG loss,Retention at or above cohort first quartile.,105.0,0.587972027972028,0.6776823176823178,0.3523809523809524
P39,valence,36,0.5167133520074696,0.5365675899989626,0.5761204481792717,0.6672268907563025,0.3611111111111111,0.2222222222222222,0.09351759004626226,0.3361344537815126,0.803921568627451,117,120,117,117,97.5,100.0,25.83333333333333,0,0,Clean with minor EEG loss,Retention at or above cohort first quartile.,,,,
P02,valence,36,0.5455827505827506,0.5536606449106449,0.5806031468531468,0.6618181818181819,0.4722222222222222,0.16666666666666666,0.10355654336898135,0.3083333333333333,0.9166666666666669,110,120,85,101,91.66666666666669,99.95833333333331,22.5,27,10,Review due to missing ratings,At least one target rating is absent.,,,,
P33,valence,36,0.5363636363636364,0.5519781144781145,0.5753787878787878,0.6583333333333333,0.4444444444444444,0.16666666666666666,0.09910152506932338,0.2575757575757575,0.8333333333333333,117,120,117,117,97.5,100.0,23.33333333333333,0,0,Clean with minor EEG loss,Retention at or above cohort first quartile.,,,,
P03,valence,36,0.5190476190476191,0.528968253968254,0.5704166666666667,0.6564285714285715,0.4166666666666667,0.16666666666666666,0.129828364284706,0.25,0.875,53,54,53,53,100.0,100.0,15.09433962264151,0,0,Special/incomplete case,Approved incomplete EEG session.,,,,
P35,valence,36,0.5480477855477857,0.5412696562696563,0.5757642357642357,0.6482983682983683,0.4444444444444444,0.1388888888888889,0.09118128332168433,0.2902097902097902,0.7482517482517483,114,120,114,114,95.0,99.98611111111111,23.33333333333333,0,0,Review due to elevated EEG rejection,Retention below cohort first quartile (96.7%).,,,,
P40,valence,36,0.5123726273726273,0.5273731823731824,0.5413036963036962,0.642887112887113,0.2222222222222222,0.16666666666666666,0.11146569764494013,0.2447552447552447,0.7937062937062938,120,120,120,120,100.0,100.0,16.666666666666668,0,0,Very clean,No AutoReject epoch losses.,105.0,0.5163636363636364,0.6418481518481519,0.06666666666666667
P22,valence,36,0.5532600732600732,0.5577885386218719,0.6017607392607393,0.6385814185814185,0.5555555555555556,0.2777777777777778,0.07917561224583135,0.3055555555555556,0.7142857142857143,120,120,120,120,100.0,100.0,24.166666666666668,0,0,Very clean,No AutoReject epoch losses.,105.0,0.5455189255189254,0.6504395604395604,0.17142857142857143
P18,valence,36,0.5462703962703963,0.5296021108521108,0.5742715617715618,0.6342657342657343,0.5,0.05555555555555555,0.09979458449499537,0.2902097902097902,0.75,116,120,116,116,96.66666666666669,99.09722222222224,34.166666666666664,0,0,Clean with minor EEG loss,Retention at or above cohort first quartile.,,,,
P06,valence,36,0.555952380952381,0.5523853615520282,0.5697222222222221,0.6336507936507937,0.5555555555555556,0.1388888888888889,0.08827412608961223,0.3571428571428571,0.8444444444444444,115,120,115,115,95.83333333333331,100.0,,0,0,Review due to elevated EEG rejection,"Retained 115/120 trials (95.833%), below the established 116/120 (96.667%) boundary.",105.0,0.5473015873015873,0.6336507936507937,0.05714285714285714
P04,valence,36,0.5488888888888889,0.5463778659611993,0.5717742673992674,0.6222222222222222,0.5,0.1111111111111111,0.10056756116929993,0.3317307692307692,0.7708333333333333,101,120,101,101,84.16666666666667,100.0,,0,0,Review due to elevated EEG rejection,"Retained 101/120 trials (84.167%), below the established 116/120 (96.667%) boundary.",,,,
P19,valence,36,0.5320833333333334,0.5263117283950618,0.5646180555555556,0.6197222222222222,0.3333333333333333,0.1111111111111111,0.08040537921379301,0.3125,0.78125,120,120,120,120,100.0,100.0,27.5,0,0,Very clean,No AutoReject epoch losses.,,,,
P15,valence,36,0.5488690476190476,0.5541137566137566,0.5771428571428572,0.6195238095238096,0.5,0.16666666666666666,0.07759535899984042,0.3291666666666666,0.7458333333333333,116,120,116,116,96.66666666666669,100.0,18.33333333333333,0,0,Clean with minor EEG loss,Retention at or above cohort first quartile.,,,,
P11,valence,36,0.5212412587412587,0.5225653975653975,0.5494318181818182,0.6155594405594406,0.25,0.027777777777777776,0.09265285445299326,0.25,0.7916666666666667,120,120,120,120,100.0,100.0,20.83333333333333,0,0,Very clean,No AutoReject epoch losses.,,,,
P32,valence,36,0.5445804195804196,0.5373866873866874,0.5644522144522145,0.61497668997669,0.3888888888888889,0.08333333333333333,0.08633518024164688,0.375,0.75,120,120,120,120,100.0,100.0,26.666666666666668,0,0,Very clean,No AutoReject epoch losses.,,,,
P28,valence,36,0.5192857142857144,0.5253141534391534,0.5430555555555555,0.6086904761904762,0.19444444444444445,0.027777777777777776,0.08166927079787327,0.3333333333333333,0.7410714285714286,110,117,110,110,94.01709401709402,100.0,,0,0,Special/incomplete case,Current validation manifest records an incomplete session.,,,,
P16,valence,36,0.5282284382284381,0.5222206034706035,0.5482517482517483,0.6078088578088578,0.2222222222222222,0.027777777777777776,0.08483266024405317,0.2762237762237762,0.7386363636363636,117,120,117,117,97.5,100.0,31.666666666666668,0,0,Clean with minor EEG loss,Retention at or above cohort first quartile.,,,,
P29,valence,36,0.5229281829281829,0.5199584520417854,0.5557692307692308,0.6076923076923076,0.3055555555555556,0.05555555555555555,0.09330867791153032,0.3076923076923077,0.8333333333333333,110,120,110,110,91.66666666666669,100.0,28.33333333333333,0,0,Review due to elevated EEG rejection,Retention below cohort first quartile (96.7%).,,,,
P20,valence,36,0.5338888888888889,0.5300701767368434,0.5596264846264846,0.6055644355644356,0.3888888888888889,0.08333333333333333,0.13494450799862695,0.1611111111111111,0.8444444444444444,117,120,117,117,97.5,100.0,28.33333333333333,0,0,Clean with minor EEG loss,Retention at or above cohort first quartile.,,,,
P14,valence,36,0.5353729603729603,0.5310829448329448,0.5470425407925408,0.6037878787878788,0.25,0.05555555555555555,0.08264771537328192,0.2916666666666666,0.7333333333333334,116,120,116,116,96.66666666666669,99.98611111111111,26.666666666666668,0,0,Clean with minor EEG loss,Retention at or above cohort first quartile.,,,,
P05,valence,36,0.5071095571095572,0.5146756021756022,0.5300407925407925,0.6033799533799533,0.16666666666666666,0.08333333333333333,0.0824455593112249,0.2613636363636363,0.7272727272727273,117,120,117,115,97.5,100.0,,0,2,Review due to missing ratings,Observed ratings remain missing; strict cohort preserves missingness rather than imputing it.,,,,
P41,valence,36,0.5215284715284716,0.523435175935176,0.5463836163836164,0.6013286713286714,0.25,0.027777777777777776,0.08213378303668344,0.2657342657342657,0.6958041958041958,117,120,117,117,97.5,100.0,30.0,0,0,Clean with minor EEG loss,Retention at or above cohort first quartile.,,,,
P46,valence,36,0.5267032967032967,0.5229562104562104,0.5551373626373627,0.6009490509490509,0.2777777777777778,0.027777777777777776,0.0922515402941499,0.2423076923076923,0.7357142857142858,117,120,117,117,97.5,100.0,20.83333333333333,0,0,Clean with minor EEG loss,Retention at or above cohort first quartile.,,,,
P42,valence,36,0.5112587412587413,0.5183155733155733,0.5458166833166833,0.5993506493506493,0.25,0.0,0.10440794766836474,0.2928571428571428,0.8251748251748252,120,120,120,120,100.0,100.0,21.666666666666668,0,0,Very clean,No AutoReject epoch losses.,,,,
P09,valence,36,0.4877777777777778,0.4974779541446208,0.52,0.597936507936508,0.1388888888888889,0.0,0.09476981158758441,0.2341269841269841,0.75,115,120,115,115,95.83333333333331,100.0,,0,0,Review due to elevated EEG rejection,"Retained 115/120 trials (95.833%), below the established 116/120 (96.667%) boundary.",,,,
P37,valence,36,0.48855228105228105,0.4996295062961729,0.52866452991453,0.5971794871794872,0.19444444444444445,0.0,0.09101462814393807,0.2638888888888889,0.8194444444444444,108,120,108,108,90.0,100.0,26.666666666666668,0,0,Review due to elevated EEG rejection,Retention below cohort first quartile (96.7%).,,,,
P25,valence,36,0.5199500499500499,0.5108569208569208,0.5415984015984016,0.5960739260739261,0.2222222222222222,0.0,0.0862233305762353,0.2447552447552447,0.7482517482517483,120,120,120,120,100.0,100.0,21.666666666666668,0,0,Very clean,No AutoReject epoch losses.,,,,
P44,valence,36,0.506171218487395,0.508954831932773,0.5409138655462185,0.595063025210084,0.25,0.0,0.09160022305801276,0.25,0.6974789915966386,119,120,119,119,99.16666666666669,100.0,19.166666666666668,0,0,Clean with minor EEG loss,Retention at or above cohort first quartile.,,,,
P13,valence,36,0.49418498168498165,0.5029114519739519,0.5258699633699634,0.5947023809523809,0.2222222222222222,0.0,0.10108832982685331,0.1538461538461538,0.7904761904761906,88,114,88,88,77.19298245614034,99.94152046783628,,0,0,Special/incomplete case,Current validation manifest records an incomplete session.,,,,
P45,valence,36,0.4957638888888889,0.5020138888888889,0.5189236111111111,0.5936111111111111,0.08333333333333333,0.0,0.07255933549084899,0.3125,0.6888888888888889,120,120,120,120,100.0,100.0,22.5,0,0,Very clean,No AutoReject epoch losses.,,,,
P30,valence,36,0.452972027972028,0.45714031339031336,0.481993006993007,0.5903263403263403,0.1111111111111111,0.0,0.09626374680011619,0.2447552447552447,0.75,116,120,116,116,96.66666666666669,100.0,21.666666666666668,0,0,Clean with minor EEG loss,Retention at or above cohort first quartile.,,,,
P23,valence,36,0.512033522033522,0.5171991896991898,0.5445121545121545,0.5837462537462537,0.2222222222222222,0.0,0.09773101918898128,0.2642857142857143,0.7285714285714285,117,120,117,117,97.5,100.0,25.83333333333333,0,0,Clean with minor EEG loss,Retention at or above cohort first quartile.,,,,
P21,valence,36,0.5289338235294118,0.5242412335304493,0.540826330532213,0.5836764705882354,0.19444444444444445,0.0,0.07622538012403615,0.3611111111111111,0.8,111,120,111,111,92.5,98.70851270656853,28.33333333333333,0,0,Review due to elevated EEG rejection,Retention below cohort first quartile (96.7%).,,,,
P27,valence,36,0.5111116946778711,0.5105916394335512,0.5266666666666666,0.5833333333333333,0.08333333333333333,0.0,0.08053626181457005,0.3333333333333333,0.75,116,120,116,116,96.66666666666669,100.0,23.33333333333333,0,0,Clean with minor EEG loss,Retention at or above cohort first quartile.,,,,
P26,valence,36,0.4803146853146853,0.49220862470862475,0.5196953046953047,0.5757042957042957,0.1111111111111111,0.0,0.09153092254683261,0.3076923076923077,0.8181818181818181,117,120,117,117,97.5,99.98611111111111,19.166666666666668,0,0,Clean with minor EEG loss,Retention at or above cohort first quartile.,,,,
P01,valence,36,0.5021878121878122,0.5064827764827764,0.5254399766899767,0.5744555444555445,0.1388888888888889,0.0,0.07798417398563103,0.3,0.6961538461538461,114,120,114,112,95.0,100.0,22.5,0,2,Review due to missing ratings,At least one target rating is absent.,,,,
P10,valence,36,0.48285714285714276,0.49396825396825395,0.5278571428571428,0.5714285714285714,0.19444444444444445,0.0,0.09942492901791153,0.2428571428571428,0.7928571428571429,120,120,120,120,100.0,100.0,17.5,0,0,Very clean,No AutoReject epoch losses.,,,,
P24,valence,36,0.49752331002330996,0.49651644651644644,0.5365093240093239,0.5571678321678322,0.05555555555555555,0.0,0.07499652679854235,0.2954545454545454,0.7386363636363636,117,120,117,117,97.5,100.0,29.166666666666668,0,0,Clean with minor EEG loss,Retention at or above cohort first quartile.,,,,
P08,valence,36,0.4844696969696969,0.48711700336700336,0.5233712121212121,0.5521212121212121,0.1111111111111111,0.0,0.08649697966342895,0.2272727272727272,0.75,109,119,109,109,90.83333333333331,99.09734759061242,26.666666666666668,0,0,Review due to elevated EEG rejection,Retention below cohort first quartile (96.7%).,,,,
P12,valence,36,0.49640231092436976,0.4935384570494864,0.5067489495798319,0.546953781512605,0.0,0.0,0.07508495947548524,0.3235294117647059,0.65625,120,120,120,120,100.0,100.0,,0,0,Very clean,All 120 EEG trials retained with complete ratings and no incomplete-session flag.,,,,
P43,valence,36,0.4960416666666666,0.4891087962962962,0.5097222222222222,0.5456944444444445,0.0,0.0,0.08805895149755776,0.21875,0.8,120,120,120,120,100.0,100.0,19.166666666666668,0,0,Very clean,No AutoReject epoch losses.,,,,
P38,valence,36,0.5035714285714286,0.5075220458553792,0.5264285714285714,0.5433333333333333,0.0,0.0,0.07925835049209237,0.2785714285714286,0.6888888888888889,117,120,117,117,97.5,100.0,21.666666666666668,0,0,Clean with minor EEG loss,Retention at or above cohort first quartile.,,,,
P34,valence,36,0.4687118437118437,0.452691629358296,0.48207264957264956,0.5382051282051281,0.0,0.0,0.08078174539835381,0.2698412698412698,0.7063492063492063,118,120,118,118,98.33333333333331,100.0,24.166666666666668,0,0,Clean with minor EEG loss,Retention at or above cohort first quartile.,,,,
