experiment,target,classifier,parameter,selected_value,n_selected_outer_folds,n_configurations_with_selection,n_configurations,median_ba,mean_ba,upper_quartile_ba,maximum_ba,fraction_ba_ge_55,fraction_ba_ge_60,fraction_ba_ge_65
feature_family_top5,valence,knn,classifier__weights,distance,532,305,532,0.516031746031746,0.5152521862014343,0.5473809523809524,0.6655444555444556,0.23308270676691728,0.039473684210526314,0.0018796992481203006
feature_family_top5,valence,knn,classifier__weights,uniform,1593,424,1593,0.5155555555555555,0.5144627364683861,0.5477411477411478,0.6655444555444556,0.23603264281230382,0.040175768989328314,0.0025109855618330196
feature_family_top5,valence,logreg,classifier__C,0.01,770,358,770,0.5371428571428571,0.5379225759810174,0.5746398046398047,0.6699900099900099,0.4103896103896104,0.11168831168831168,0.012987012987012988
feature_family_top5,valence,logreg,classifier__C,0.1,404,263,404,0.5363858363858364,0.5379103363633067,0.5787312687312688,0.6699900099900099,0.37376237623762376,0.14356435643564355,0.0049504950495049506
feature_family_top5,valence,logreg,classifier__C,1,389,264,389,0.5325074925074925,0.5314810682034332,0.5667399267399267,0.6699900099900099,0.35989717223650386,0.11825192802056556,0.017994858611825194
feature_family_top5,valence,logreg,classifier__C,10,370,257,370,0.5451404151404151,0.5418826818826818,0.5768650793650794,0.6699900099900099,0.4297297297297297,0.12162162162162163,0.02702702702702703
feature_family_top5,valence,logreg,classifier__C,100,192,156,192,0.54007659007659,0.5420981275668776,0.5794011544011545,0.6699900099900099,0.4114583333333333,0.13020833333333334,0.03125
feature_family_top5,valence,logreg,classifier__class_weight,None,1125,412,1125,0.536984126984127,0.5376297228697229,0.5741269841269842,0.6699900099900099,0.39022222222222225,0.12088888888888889,0.016
feature_family_top5,valence,logreg,classifier__class_weight,balanced,1000,404,1000,0.5394755244755245,0.5380082894882895,0.5766107503607504,0.6699900099900099,0.406,0.124,0.017
feature_family_top5,valence,svm,classifier__C,0.01,213,148,213,0.525994005994006,0.523087186678736,0.5563492063492064,0.6643434343434343,0.29577464788732394,0.051643192488262914,0.014084507042253521
feature_family_top5,valence,svm,classifier__C,0.1,169,150,169,0.5406715506715506,0.5365415222515815,0.5670529470529471,0.6703535353535353,0.40236686390532544,0.09467455621301775,0.011834319526627219
feature_family_top5,valence,svm,classifier__C,1,563,321,563,0.5420679320679321,0.5351676890309217,0.5657387057387059,0.6703535353535353,0.4067495559502664,0.11190053285968028,0.0017761989342806395
feature_family_top5,valence,svm,classifier__C,10,598,338,598,0.5367132867132867,0.5309430944380777,0.5613636363636364,0.6703535353535353,0.38127090301003347,0.07190635451505016,0.0016722408026755853
feature_family_top5,valence,svm,classifier__C,100,582,319,582,0.5323556998557,0.5281306751667576,0.5605269730269731,0.6703535353535353,0.32989690721649484,0.08075601374570447,0.005154639175257732
feature_family_top5,valence,svm,classifier__class_weight,None,990,403,990,0.5313131313131313,0.5274277658368567,0.5594830169830171,0.6703535353535353,0.32525252525252524,0.07575757575757576,0.006060606060606061
feature_family_top5,valence,svm,classifier__class_weight,balanced,1135,405,1135,0.5412576312576313,0.5340220547929799,0.5648851148851148,0.6703535353535353,0.4035242290748899,0.09251101321585903,0.003524229074889868
feature_family_top5,valence,svm,classifier__gamma,0.001,248,191,248,0.5438827838827838,0.5374264937571389,0.5642582417582418,0.6643434343434343,0.4314516129032258,0.0967741935483871,0.004032258064516129
feature_family_top5,valence,svm,classifier__gamma,0.01,382,258,382,0.5349877899877901,0.5323422490830868,0.5652514152514153,0.6438095238095238,0.3743455497382199,0.08900523560209424,0.0
feature_family_top5,valence,svm,classifier__gamma,0.1,248,171,248,0.5349877899877901,0.529748266966009,0.5568323343323344,0.6703535353535353,0.35080645161290325,0.12096774193548387,0.008064516129032258
feature_family_top5,valence,svm,classifier__gamma,1,173,128,173,0.5223809523809524,0.5183465923928352,0.5526984126984128,0.632137862137862,0.2832369942196532,0.04046242774566474,0.0
feature_family_top5,valence,svm,classifier__gamma,scale,376,241,376,0.533959373959374,0.5258698570932614,0.559033189033189,0.6703535353535353,0.35106382978723405,0.05851063829787234,0.005319148936170213
feature_family_top5,valence,svm,classifier__kernel,linear,698,343,698,0.5372727272727272,0.5341739452842605,0.5660500610500612,0.6703535353535353,0.3753581661891118,0.09025787965616046,0.0071633237822349575
feature_family_top5,valence,svm,classifier__kernel,rbf,1427,421,1427,0.534920634920635,0.5293728847653164,0.561068931068931,0.6703535353535353,0.3629992992291521,0.08199018920812894,0.00350385423966363
individual_optimized_top15,arousal,extra_trees,classifier__class_weight,None,226,94,226,0.5308091908091909,0.5247955907459422,0.5587301587301587,0.64625,0.336283185840708,0.09292035398230089,0.0
individual_optimized_top15,arousal,extra_trees,classifier__class_weight,balanced,299,101,299,0.5511671335200747,0.5484925403415959,0.5933333333333334,0.64625,0.5150501672240803,0.16387959866220736,0.0
individual_optimized_top15,arousal,extra_trees,classifier__max_depth,10,69,50,69,0.5401198801198801,0.5283287326957402,0.5801587301587301,0.6383016983016984,0.391304347826087,0.14492753623188406,0.0
individual_optimized_top15,arousal,extra_trees,classifier__max_depth,5,197,97,197,0.5444455544455543,0.5416694924215826,0.580889110889111,0.64625,0.4619289340101523,0.14720812182741116,0.0
individual_optimized_top15,arousal,extra_trees,classifier__max_depth,None,259,99,259,0.538888888888889,0.5383764498365339,0.5825,0.64625,0.43243243243243246,0.11969111969111969,0.0
individual_optimized_top15,arousal,extra_trees,classifier__max_features,None,202,99,202,0.5349999999999999,0.5318116755518475,0.5800396825396825,0.64625,0.400990099009901,0.10891089108910891,0.0
individual_optimized_top15,arousal,extra_trees,classifier__max_features,log2,54,30,54,0.5549999999999999,0.5479278662816245,0.58875,0.64625,0.5740740740740741,0.18518518518518517,0.0
individual_optimized_top15,arousal,extra_trees,classifier__max_features,sqrt,269,102,269,0.542097902097902,0.5412230848700343,0.5875,0.64625,0.43866171003717475,0.1412639405204461,0.0
individual_optimized_top15,arousal,extra_trees,classifier__min_samples_leaf,1,151,80,151,0.5331465919701214,0.5273396699716334,0.5733432539682539,0.6383016983016984,0.3576158940397351,0.11920529801324503,0.0
individual_optimized_top15,arousal,extra_trees,classifier__min_samples_leaf,2,130,74,130,0.5444455544455543,0.539608299945404,0.5792063492063492,0.6383016983016984,0.43846153846153846,0.1,0.0
individual_optimized_top15,arousal,extra_trees,classifier__min_samples_leaf,4,244,97,244,0.5476190476190477,0.5443676389840204,0.5892407592407591,0.64625,0.48770491803278687,0.1598360655737705,0.0
individual_optimized_top15,arousal,gnb,classifier__var_smoothing,1e-11,525,105,525,0.5650000000000001,0.5497220068291496,0.5841269841269842,0.6777777777777778,0.6285714285714286,0.1523809523809524,0.0380952380952381
individual_optimized_top15,arousal,knn,classifier__metric,euclidean,281,97,281,0.5362937062937062,0.5374028174800102,0.5696545284780579,0.7028571428571428,0.3487544483985765,0.09252669039145907,0.0498220640569395
individual_optimized_top15,arousal,knn,classifier__metric,manhattan,244,98,244,0.5454845154845155,0.5478354233091455,0.585,0.7028571428571428,0.47950819672131145,0.1598360655737705,0.06557377049180328
individual_optimized_top15,arousal,knn,classifier__n_neighbors,11,64,46,64,0.5394683094683095,0.5399947995478787,0.5777719502719503,0.6595604395604396,0.421875,0.0625,0.015625
